Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DANIJEL MARUŠIÆ;ROBERT MATIÆ;TEA TOMAS;MARIO VUÈINIÆ;RUŽICA VUKOVAC
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;007;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;707;326;326;317;9;130;21;87;37;42
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;008;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;1110;438;438;415;23;179;25;99;55;57
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;009;MJESNI ODBOR CENTAR;ŠUMARIJA SLAVONSKI BROD, P. KREŠIMIRA IV BR. 22/A - PRIZEMLJE, SOBA BR.11;SLAVONSKI BROD, ULICA PETRA KREŠIMIRA IV 22/A;711;306;306;290;16;141;16;62;29;42
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;010;MJESNI ODBOR CENTAR;ŽUPANIJSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TOME SKALICE 2;1136;458;457;437;20;214;32;106;43;42
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;011;MJESNI ODBOR CENTAR;MJESNI ODBOR CENTAR, SUTEREN, SLAVONSKI BROD;SLAVONSKI BROD,  PETRA KREŠIMIRA IV 2;433;168;168;165;3;79;11;43;21;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;012;MJESNI ODBOR PLAVO POLJE;OSNOVNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD,  BOROVSKA 1;977;374;374;349;25;150;23;81;47;48
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;013;MJESNI ODBOR PLAVO POLJE;GIMNAZIJA MATIJA MESIÆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE SLAVONIJA I 8;911;381;381;362;19;154;18;76;65;49
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;014;MJESNI ODBOR PLAVO POLJE;OPÆINSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TRG POBJEDE 15;792;305;305;293;12;127;18;62;65;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;015;MJESNI ODBOR ANTUN MIHANOVIÆ;OSNOVNA ŠKOLA ANTUN MIHANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD, ANTUNA MIHANOVIÆA 35;350;139;139;125;14;53;12;33;13;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;016;MJESNI ODBOR ANTUN MIHANOVIÆ;MJESNI ODBORA ANTUN MIHANOVIÆ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, PAVLEKA MIŠKINA 6;827;378;378;366;12;189;26;72;35;44
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;017;MJESNI ODBOR ANTUN MIHANOVIÆ;VODOVOD SLAVONSKI BROD, NIKOLE ZRINSKOG 25;SLAVONSKI BROD, NIKOLE ZRINSKOG 25;431;162;162;153;9;62;12;40;21;18
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;018;MJESNI ODBOR ANTUN MIHANOVIÆ;OSNOVNA ŠKOLA IVAN GORAN KOVAÈIÆ SLAVONSKI BROD;SLAVONSKI BROD, HUGE BADALIÆA 8;531;283;283;276;7;142;23;37;29;45
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;019;MJESNI ODBOR ANTUN MIHANOVIÆ;OBRTNIÈKA ŠKOLA SLAVONSKI BROD - DVORANA;VLADIMIRA NAZORA 9;673;299;299;288;11;152;20;53;33;30
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;020;MJESNI ODBOR ANTUN MIHANOVIÆ;OSNOVNA ŠKOLA ANTUN MIHANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD, MIHANOVIÆEVA 35;616;255;255;246;9;118;26;45;37;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;021;MJESNI ODBOR KOLONIJA;MJESNI DOM, VELIKA DVORANA SLAVONSKI BROD;SLAVONSKI BROD, VINOGRADSKA CESTA;565;214;214;207;7;90;11;71;20;15
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;022;MJESNI ODBOR KOLONIJA;"MJESNI DOM; MALA DVORANA SLAVONSKI BROD";SLAVONSKI BROD, VINOGRADSKA CESTA;694;243;243;230;13;94;9;103;7;17
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;023;MJESNI ODBOR KOLONIJA;PODRUÈNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;538;216;216;208;8;103;14;63;12;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;024;MJESNI ODBOR KOLONIJA;PODRUÈNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;1014;397;397;387;10;190;29;100;35;33
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;025;MJESNI ODBOR KOLONIJA;PODRUÈNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;962;286;286;275;11;127;12;94;16;26
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;026;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA  1;1076;371;371;342;29;156;25;105;29;27
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;027;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA 1;839;272;272;251;21;108;24;63;20;36
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;028;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA 1;629;206;206;199;7;81;13;55;14;36
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;029;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA 1;355;131;131;126;5;58;14;30;8;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;030;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA 4;1116;411;411;397;14;191;20;105;33;48
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;031;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA KBR. 4;469;161;161;156;5;77;5;50;8;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;032;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIÆ PODVINJE;PODVINJE, PODVINJSKA ULICA  25;763;269;269;259;10;108;14;73;16;48
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;033;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIÆ PODVINJE;PODVINJE, PODVINJSKA ULICA 25;928;350;350;344;6;175;19;87;31;32
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;034;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM-PRIZEMLJE,  SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIÆA 6;598;245;245;233;12;134;11;60;6;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;035;MJESNI ODBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIÆA 6;492;255;255;242;13;110;7;116;2;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;036;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIÆA 6;946;427;427;394;33;143;14;206;12;19
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;037;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA 23;780;244;244;230;14;109;15;58;10;38
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;038;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA  23;554;207;207;200;7;105;6;57;14;18
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;039;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA 23;721;267;267;262;5;127;7;88;19;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;040;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA 23;640;247;247;237;10;92;13;99;11;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;041;MJESNI ODBOR BUDAINKA;MJESNI ODBOR BUDAINKA, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 51;1121;435;435;419;16;182;25;136;30;46
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;042;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 78;1113;402;402;387;15;172;27;117;30;41
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;043;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 78;543;200;200;194;6;96;14;53;9;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;044;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 78;301;131;131;129;2;43;8;68;5;5
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;045;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-VELIKA DVORANA;BRODSKI VAROŠ, ZAGREBAÈKA 338;597;255;255;242;13;159;0;60;9;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;046;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-MALA SALA;BRODSKI VAROŠ, ZAGREBAÈKA 338;570;267;267;257;10;141;41;51;12;12
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;047;MJESNI ODBOR BRODSKI VAROŠ;PODRUÈNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ BRODSKI VAROŠ;BRODSKI VAROŠ, ZAGREBAÈKA 290;473;206;206;199;7;86;14;80;5;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;048;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIÆA 37;912;329;329;317;12;140;13;87;23;54
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;049;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIÆA 37;1179;457;457;435;22;179;18;128;36;74
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;050;MJESNI ODBOR MALI PARIZ;MJESNI ODBOR MALI PARIZ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KVATERNIKA 7;1202;496;496;484;12;238;31;92;57;66
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;051;MJESNI ODBOR MALI PARIZ;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KUMIÈIÆEVA 55;1195;512;512;478;34;192;24;158;46;58
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;052;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI DOM - VELIKA SALA;SLAVONSKI BROD, OSJEÈKA 24;399;163;163;157;6;65;11;45;18;18
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;053;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1041;416;416;407;9;131;12;186;24;54
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;054;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE  2;1356;537;537;520;17;216;27;199;29;49
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;055;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1090;436;436;424;12;192;27;114;48;43
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;056;MJESNI ODBOR DR. ANTE STARÈEVIÆ;DJEÈJI VRTIÆ KOSJENKA SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 3;784;285;285;272;13;109;16;108;11;28
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;057;MJESNI ODBOR DR. ANTE STARÈEVIÆ;HRVATSKE ŠUME SLAVONSKI BROD;SLAVONSKI BROD, OSJEÈKA 282;805;316;316;308;8;123;4;149;18;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;058;MJESNI ODBOR DR. ANTE STARÈEVIÆ;HRVATSKE ŠUME SLAVONSKI BROD;SLAVONSKI BROD, OSJEÈKA 282;952;324;324;314;10;118;13;137;14;32
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;059;MJESNI ODBOR DR. ANTE STARÈEVIÆ;MJESNI DOM SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 4;668;273;273;262;11;107;10;107;15;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;060;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;965;372;372;355;17;129;17;135;45;29
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;061;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;DJEÈJI VRTIÆ RADOST SLAVONSKI BROD;SLAVONSKI BROD, ULICA TOME BAKAÈA 120 A;388;146;146;138;8;53;8;45;11;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;062;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;DJEÈJI VRTIÆ RADOST SLAVONSKI BROD;SLAVONSKI BROD, ULICA TOME BAKAÈA 120 A;913;326;326;311;15;126;17;91;25;52
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;063;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;MJESNI ODBOR JOSIP JURAJ STROSSMAYER, DOM-VELIKA SALA, SLAVONSKI BROD;SLAVONSKI BROD, ULICA FRANA SUPILA 2;1105;429;429;415;14;157;35;97;82;44
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;064;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;MJESNI ODBOR JOSIP JURAJ STROSSMAYER, DOM-MALA SALA, SLAVONSKI BROD;SLAVONSKI BROD, ULICA FRANA SUPILA 2;888;346;346;328;18;136;27;58;50;57
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;065;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;OSNOVNA ŠKOLA VLADIMIR NAZOR SLAVONSKI BROD;SLAVONSKI BROD, FRANJE MARINIÆA 9;804;316;316;299;17;137;19;76;31;36
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;066;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;SLAVONIJA DI, SLAVONSKI BROD;SLAVONSKI BROD, SVETOG LOVRE 75;950;296;296;283;13;114;10;110;21;28
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BEBRINA;001;KANIŽA;DRUŠTVENI DOM KANIŽA;KANIŽA 117;652;315;315;299;16;165;12;51;32;39
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BEBRINA;002;BEBRINA;DRUŠTVENI DOM BEBRINA;BEBRINA 83;342;191;191;185;6;121;6;36;8;14
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BEBRINA;003;STUPNIÈKI KUTI;DRUŠTVENI DOM STUPNIÈKI KUTI;STUPNIÈKI KUTI 96;301;184;184;175;9;113;14;22;4;22
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BEBRINA;004;BANOVCI;DRUŠTVENI DOM BANOVCI;BANOVCI 20;286;159;159;144;15;86;8;11;17;22
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BEBRINA;005;DUBOÈAC;DRUŠTVENI DOM DUBOÈAC;DUBOÈAC 69;162;100;100;92;8;65;4;13;4;6
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BEBRINA;006;ŠUMEÆE;DRUŠTVENI DOM ŠUMEÆE;ŠUMEÆE BB;435;246;246;234;12;128;11;41;25;29
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BEBRINA;007;ZBJEG;DRUŠTVENI DOM ZBJEG;ZBJEG 86;358;206;206;188;18;103;10;30;22;23
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BRODSKI STUPNIK;001;BRODSKI STUPNIK;DRUŠTVENI DOM BRODSKI STUPNIK;BRODSKI STUPNIK, ULICA STJEPANA RADIÆA 117;627;408;407;385;22;221;28;64;29;43
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BRODSKI STUPNIK;002;BRODSKI STUPNIK;ŠPORTSKI DOM BRODSKI  STUPNIK;BRODSKI STUPNIK, OMLADINSKA ULICA 2;680;432;432;401;31;245;23;52;32;49
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BRODSKI STUPNIK;003;STARI SLATINIK;DRUŠTVENI DOM STARI SLATINIK;STARI SLATINIK, ULICA HRVATSKIH BRANITELJA 183;986;534;534;506;28;280;38;63;38;87
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BRODSKI STUPNIK;004;LOVÈIÆ;DRUŠTVENI DOM LOVÈIÆ;LOVÈIÆ;36;28;28;25;3;18;1;4;0;2
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BRODSKI STUPNIK;005;KRAJAÈIÆI;DRUŠTVENI DOM KRAJAÈIÆI;KRAJAÈIÆI;86;49;49;45;4;32;1;6;2;4
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BUKOVLJE;001;BUKOVLJE;DRUŠTVENI DOM BUKOVLJE;BUKOVLJE, JOSIPA KOZARCA 20;950;543;543;517;26;274;21;87;91;44
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BUKOVLJE;002;BUKOVLJE;DRUŠTVENI DOM BUKOVLJE;BUKOVLJE, JOSIPA KOZARCA 20;926;576;576;554;22;339;12;106;54;43
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BUKOVLJE;003;VRANOVCI;DRUŠTVENI DOM VRANOVCI;VRANOVCI, SLAVONSKA 14;548;364;364;339;25;179;10;67;35;48
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BUKOVLJE;004;KORDUŠEVCI;DRUŠTVENI DOM KORDUŠEVCI;KORDUŠEVCI 34;136;99;99;94;5;65;1;12;13;3
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BUKOVLJE;005;JEŽEVIK;DRUŠTVENI DOM JEŽEVIK;JEŽEVIK 24;56;19;19;18;1;9;3;4;0;2
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;BUKOVLJE;006;ŠUŠNJEVCI;DRUŠTVENI DOM ŠUŠNJEVCI;ŠUŠNJEVCI, TRG SVETOG MIHOVILA 1;205;144;144;143;1;72;4;24;27;16
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;CERNIK;001;OPATOVAC;DRUŠTVENI DOM OPATOVAC;OPATOVAC;262;110;110;100;10;84;1;1;4;10
