Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MIRKO DUSPARA;DRAGAN JELIÆ;MATO KLARIÆ;MARTINA KRALJEVIÆ;SLAVICA LEMAIÆ;MATEJ PUDIÆ
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;014;MJESNI ODBOR PLAVO POLJE;OPÆINSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TRG POBJEDE 15;792;306;306;298;8;109;91;5;22;60;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;015;MJESNI ODBOR ANTUN MIHANOVIÆ;OSNOVNA ŠKOLA ANTUN MIHANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD, ANTUNA MIHANOVIÆA 35;350;140;140;134;6;41;52;0;4;24;13
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;016;MJESNI ODBOR ANTUN MIHANOVIÆ;MJESNI ODBORA ANTUN MIHANOVIÆ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, PAVLEKA MIŠKINA 6;827;378;378;374;4;106;163;5;13;64;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;017;MJESNI ODBOR ANTUN MIHANOVIÆ;VODOVOD SLAVONSKI BROD, NIKOLE ZRINSKOG 25;SLAVONSKI BROD, NIKOLE ZRINSKOG 25;431;162;162;157;5;60;62;3;6;20;6
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;018;MJESNI ODBOR ANTUN MIHANOVIÆ;OSNOVNA ŠKOLA IVAN GORAN KOVAÈIÆ SLAVONSKI BROD;SLAVONSKI BROD, HUGE BADALIÆA 8;531;283;283;282;1;68;133;5;9;51;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;019;MJESNI ODBOR ANTUN MIHANOVIÆ;OBRTNIÈKA ŠKOLA SLAVONSKI BROD - DVORANA;VLADIMIRA NAZORA 9;673;299;299;289;10;79;133;9;14;46;8
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;020;MJESNI ODBOR ANTUN MIHANOVIÆ;OSNOVNA ŠKOLA ANTUN MIHANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD, MIHANOVIÆEVA 35;616;255;255;249;6;72;110;5;13;36;13
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;021;MJESNI ODBOR KOLONIJA;MJESNI DOM, VELIKA DVORANA SLAVONSKI BROD;SLAVONSKI BROD, VINOGRADSKA CESTA;565;214;214;210;4;95;71;3;7;26;8
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;022;MJESNI ODBOR KOLONIJA;"MJESNI DOM; MALA DVORANA SLAVONSKI BROD";SLAVONSKI BROD, VINOGRADSKA CESTA;694;243;243;240;3;148;66;1;4;7;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;023;MJESNI ODBOR KOLONIJA;PODRUÈNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;538;216;216;215;1;109;74;4;5;6;17
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;024;MJESNI ODBOR KOLONIJA;PODRUÈNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;1014;397;397;392;5;167;134;2;14;54;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;025;MJESNI ODBOR KOLONIJA;PODRUÈNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;962;286;286;277;9;145;87;4;5;25;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;026;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA  1;1076;371;371;357;14;172;111;7;14;35;18
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;027;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA 1;839;272;272;255;17;89;109;2;11;26;18
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;028;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA 1;629;206;206;202;4;83;64;1;11;17;26
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;029;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ÐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIÆA 1;355;131;131;129;2;59;50;1;3;8;8
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;030;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA 4;1116;411;411;399;12;169;164;10;6;25;25
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;031;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA KBR. 4;469;161;161;158;3;66;66;1;5;13;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;032;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIÆ PODVINJE;PODVINJE, PODVINJSKA ULICA  25;763;269;269;263;6;136;75;4;7;16;25
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;033;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIÆ PODVINJE;PODVINJE, PODVINJSKA ULICA 25;928;350;350;344;6;139;138;7;10;26;24
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;034;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM-PRIZEMLJE,  SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIÆA 6;598;245;245;236;9;102;96;4;4;9;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;035;MJESNI ODBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIÆA 6;492;255;255;245;10;141;94;1;1;1;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;036;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIÆA 6;946;427;426;406;20;275;99;5;1;12;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;037;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA 23;780;244;244;242;2;95;90;2;6;29;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;038;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA  23;554;207;207;207;0;98;73;4;6;9;17
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;039;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA 23;721;267;267;264;3;137;81;7;8;20;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;040;MJESNI ODBOR JELAS;PODRUÈNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAÈA 23;640;247;247;240;7;123;66;6;4;23;18
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;041;MJESNI ODBOR BUDAINKA;MJESNI ODBOR BUDAINKA, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 51;1121;435;435;427;8;201;135;3;13;56;19
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;042;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 78;1113;402;402;392;10;195;125;3;10;40;19
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;043;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 78;543;200;200;196;4;84;65;3;2;26;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;044;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAÈKA 78;301;131;131;128;3;84;23;3;2;10;6
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;045;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-VELIKA DVORANA;BRODSKI VAROŠ, ZAGREBAÈKA 338;597;255;255;244;11;105;105;0;6;18;10
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;046;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-MALA SALA;BRODSKI VAROŠ, ZAGREBAÈKA 338;570;267;266;251;15;99;112;3;14;16;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;047;MJESNI ODBOR BRODSKI VAROŠ;PODRUÈNA ŠKOLA IVANA BRLIÆ MAŽURANIÆ BRODSKI VAROŠ;BRODSKI VAROŠ, ZAGREBAÈKA 290;473;206;206;202;4;111;70;3;1;8;9
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;048;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIÆA 37;912;329;329;327;2;125;114;6;11;43;28
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;049;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIÆA 37;1179;457;457;444;13;186;135;3;16;59;45
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;050;MJESNI ODBOR MALI PARIZ;MJESNI ODBOR MALI PARIZ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KVATERNIKA 7;1202;496;495;482;13;134;202;5;25;87;29
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;051;MJESNI ODBOR MALI PARIZ;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KUMIÈIÆEVA 55;1195;512;512;499;13;228;148;7;17;71;28
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;052;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI DOM - VELIKA SALA;SLAVONSKI BROD, OSJEÈKA 24;399;168;168;163;5;68;44;6;3;32;10
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;053;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1041;416;416;413;3;250;82;5;13;31;32
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;054;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE  2;1356;537;537;530;7;305;130;9;12;57;17
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;055;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1090;436;436;434;2;151;162;11;14;75;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;056;MJESNI ODBOR DR. ANTE STARÈEVIÆ;DJEÈJI VRTIÆ KOSJENKA SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 3;784;285;285;280;5;178;66;6;4;16;10
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;057;MJESNI ODBOR DR. ANTE STARÈEVIÆ;HRVATSKE ŠUME SLAVONSKI BROD;SLAVONSKI BROD, OSJEÈKA 282;805;316;316;312;4;213;70;4;6;12;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;058;MJESNI ODBOR DR. ANTE STARÈEVIÆ;HRVATSKE ŠUME SLAVONSKI BROD;SLAVONSKI BROD, OSJEÈKA 282;952;324;324;316;8;206;71;6;4;19;10
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;059;MJESNI ODBOR DR. ANTE STARÈEVIÆ;MJESNI DOM SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 4;668;273;273;268;5;139;81;2;11;22;13
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;060;MJESNI ODBOR DR. ANTE STARÈEVIÆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;965;372;372;360;12;177;100;5;13;40;25
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;061;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;DJEÈJI VRTIÆ RADOST SLAVONSKI BROD;SLAVONSKI BROD, ULICA TOME BAKAÈA 120 A;388;146;146;142;4;45;46;7;10;21;13
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;062;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;DJEÈJI VRTIÆ RADOST SLAVONSKI BROD;SLAVONSKI BROD, ULICA TOME BAKAÈA 120 A;913;326;326;317;9;148;75;10;14;46;24
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;063;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;MJESNI ODBOR JOSIP JURAJ STROSSMAYER, DOM-VELIKA SALA, SLAVONSKI BROD;SLAVONSKI BROD, ULICA FRANA SUPILA 2;1105;429;429;426;3;161;119;13;38;73;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;064;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;MJESNI ODBOR JOSIP JURAJ STROSSMAYER, DOM-MALA SALA, SLAVONSKI BROD;SLAVONSKI BROD, ULICA FRANA SUPILA 2;888;346;346;339;7;96;134;10;24;60;15
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;065;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;OSNOVNA ŠKOLA VLADIMIR NAZOR SLAVONSKI BROD;SLAVONSKI BROD, FRANJE MARINIÆA 9;804;316;316;310;6;109;104;6;14;57;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;066;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;SLAVONIJA DI, SLAVONSKI BROD;SLAVONSKI BROD, SVETOG LOVRE 75;950;296;296;287;9;180;65;18;9;10;5
