Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;HRVATSKA SELJAČKA STRANKA - HSS, STRANKA UMIROVLJENIKA - SU;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;MOST;SNAGA SLAVONIJE I BARANJE - Snaga SiB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;013;NOVA GRADIŠKA;PODRUČNA ŠKOLA LJUPINA;LJUPINA;774;388;388;344;44;36;25;171;7;26;33;12;2;32
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;014;NOVA GRADIŠKA;DRUŠTVENI DOM PRVČA;PRVČA BB;611;275;275;259;16;12;17;128;5;17;27;7;2;44
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;001;MJESNI ODBOR LUTVINKA;RADNIČKI DOM SLAVONSKI BROD;SLAVONSKI BROD RADNIČKI TRG 5;572;284;284;276;8;32;64;101;1;4;3;15;11;45
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;002;MJESNI ODBOR LUTVINKA;OBRTNIČKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, VLADIMIRA NAZORA 9;641;285;285;278;7;29;64;106;2;7;4;16;12;38
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;003;MJESNI ODBOR LUTVINKA;OSNOVNA ŠKOLA MILAN AMRUŠ SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 100;530;235;235;229;6;28;58;75;1;12;2;14;3;36
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;004;MJESNI ODBOR LUTVINKA;MJESNI ODBOR LUTVINKA SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 86;545;232;232;222;10;20;81;73;0;2;3;4;4;35
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;005;MJESNI ODBOR LUTVINKA;HRVATSKE CESTE SLAVONSKI BROD;SLAVONSKI BROD, IVANA GORANA KOVAČIĆA 58;363;125;125;121;4;16;44;34;0;3;3;8;3;10
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;006;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI ODBOR ANDRIJA HEBRANG, DOM, SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG BLOK 6/1;1001;455;455;441;14;49;126;174;8;6;1;14;15;48
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;007;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;707;326;326;318;8;33;103;101;2;9;3;21;12;34
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;008;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;1110;438;438;415;23;52;119;134;1;11;5;23;15;55
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;009;MJESNI ODBOR CENTAR;ŠUMARIJA SLAVONSKI BROD, P. KREŠIMIRA IV BR. 22/A - PRIZEMLJE, SOBA BR.11;SLAVONSKI BROD, ULICA PETRA KREŠIMIRA IV 22/A;711;306;306;292;14;42;75;120;1;3;4;18;4;25
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;010;MJESNI ODBOR CENTAR;ŽUPANIJSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TOME SKALICE 2;1136;458;458;443;15;37;123;185;2;7;4;30;12;43
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;011;MJESNI ODBOR CENTAR;MJESNI ODBOR CENTAR, SUTEREN, SLAVONSKI BROD;SLAVONSKI BROD,  PETRA KREŠIMIRA IV 2;433;168;168;164;4;12;50;71;0;4;0;2;4;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;012;MJESNI ODBOR PLAVO POLJE;OSNOVNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD,  BOROVSKA 1;977;374;374;349;25;51;99;112;1;12;5;17;15;37
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;013;MJESNI ODBOR PLAVO POLJE;GIMNAZIJA MATIJA MESIĆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE SLAVONIJA I 8;911;381;381;362;19;39;77;124;0;13;7;29;12;61
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;014;MJESNI ODBOR PLAVO POLJE;OPĆINSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TRG POBJEDE 15;792;305;305;295;10;25;80;94;7;8;8;14;6;53
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;015;MJESNI ODBOR ANTUN MIHANOVIĆ;OSNOVNA ŠKOLA ANTUN MIHANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD, ANTUNA MIHANOVIĆA 35;350;139;139;131;8;10;36;50;1;2;1;17;3;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;016;MJESNI ODBOR ANTUN MIHANOVIĆ;MJESNI ODBORA ANTUN MIHANOVIĆ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, PAVLEKA MIŠKINA 6;827;378;378;364;14;39;80;157;3;5;4;18;8;50
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;017;MJESNI ODBOR ANTUN MIHANOVIĆ;VODOVOD SLAVONSKI BROD, NIKOLE ZRINSKOG 25;SLAVONSKI BROD, NIKOLE ZRINSKOG 25;431;160;160;151;9;11;46;50;0;3;4;8;6;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;018;MJESNI ODBOR ANTUN MIHANOVIĆ;OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ SLAVONSKI BROD;SLAVONSKI BROD, HUGE BADALIĆA 8;531;283;283;277;6;38;57;112;1;12;4;18;9;26
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;019;MJESNI ODBOR ANTUN MIHANOVIĆ;OBRTNIČKA ŠKOLA SLAVONSKI BROD - DVORANA;VLADIMIRA NAZORA 9;673;299;299;288;11;28;69;124;2;11;3;16;8;27
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;020;MJESNI ODBOR ANTUN MIHANOVIĆ;OSNOVNA ŠKOLA ANTUN MIHANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD, MIHANOVIĆEVA 35;616;255;255;246;9;18;63;94;1;8;4;22;6;30
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;021;MJESNI ODBOR KOLONIJA;MJESNI DOM, VELIKA DVORANA SLAVONSKI BROD;SLAVONSKI BROD, VINOGRADSKA CESTA;565;214;214;205;9;11;83;70;3;4;3;11;3;17
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;022;MJESNI ODBOR KOLONIJA;"MJESNI DOM; MALA DVORANA SLAVONSKI BROD";SLAVONSKI BROD, VINOGRADSKA CESTA;694;243;243;234;9;15;135;64;0;1;2;8;2;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;023;MJESNI ODBOR KOLONIJA;PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;538;216;216;211;5;17;91;77;0;2;1;11;3;9
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;024;MJESNI ODBOR KOLONIJA;PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;1014;397;397;388;9;31;137;132;4;10;2;29;3;40
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;025;MJESNI ODBOR KOLONIJA;PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;962;286;286;275;11;22;122;90;1;2;5;15;4;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;026;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA  1;1076;371;371;349;22;37;144;110;4;4;3;17;7;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;027;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1;839;272;272;250;22;35;74;86;0;6;0;23;3;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;028;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1;629;206;206;199;7;33;70;63;1;5;1;12;1;13
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;029;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1;355;131;131;129;2;10;43;50;0;7;1;11;2;5
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;030;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA 4;1116;411;411;391;20;33;142;155;3;8;2;18;10;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;031;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA KBR. 4;469;161;161;157;4;13;69;65;0;0;0;3;0;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;032;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ PODVINJE;PODVINJE, PODVINJSKA ULICA  25;763;269;269;259;10;44;116;69;4;6;2;6;2;10
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;033;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ PODVINJE;PODVINJE, PODVINJSKA ULICA 25;928;350;350;342;8;29;117;131;2;3;1;21;13;25
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;034;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM-PRIZEMLJE,  SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIĆA 6;598;245;245;231;14;24;91;90;2;3;1;9;2;9
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;035;MJESNI ODBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIĆA 6;492;255;255;247;8;6;136;99;3;0;0;2;1;0
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;036;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIĆA 6;946;427;427;399;28;28;249;102;4;2;2;3;5;4
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;037;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA 23;780;244;240;229;11;37;81;90;1;0;2;7;2;9
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;038;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA  23;554;206;206;201;5;19;79;73;5;0;0;9;7;9
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;039;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA 23;721;267;267;262;5;19;118;93;2;4;0;6;6;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;040;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA 23;640;247;247;236;11;23;122;58;0;2;2;14;4;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;041;MJESNI ODBOR BUDAINKA;MJESNI ODBOR BUDAINKA, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 51;1121;435;435;421;14;50;173;131;4;7;7;19;4;26
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;042;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 78;1113;402;402;387;15;36;157;127;2;6;3;19;7;30
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;043;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 78;543;200;200;194;6;24;65;76;0;1;2;6;6;14
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;044;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 78;301;131;131;129;2;8;79;25;0;2;2;2;4;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;045;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-VELIKA DVORANA;BRODSKI VAROŠ, ZAGREBAČKA 338;597;255;255;244;11;15;88;113;2;4;2;9;2;9
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;046;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-MALA SALA;BRODSKI VAROŠ, ZAGREBAČKA 338;570;267;267;256;11;20;78;127;0;1;1;12;2;15
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;047;MJESNI ODBOR BRODSKI VAROŠ;PODRUČNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ BRODSKI VAROŠ;BRODSKI VAROŠ, ZAGREBAČKA 290;473;206;206;199;7;21;101;68;0;0;1;2;4;2
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;048;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIĆA 37;912;329;329;319;10;58;101;114;1;0;2;10;8;25
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;049;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIĆA 37;1179;457;457;435;22;66;142;150;3;6;8;17;8;35
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;050;MJESNI ODBOR MALI PARIZ;MJESNI ODBOR MALI PARIZ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KVATERNIKA 7;1202;496;494;478;16;63;112;181;6;15;7;28;17;49
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;051;MJESNI ODBOR MALI PARIZ;INDUSTRIJSKO-OBRTNIČKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KUMIČIĆEVA 55;1195;512;512;489;23;51;195;151;3;12;4;27;10;36
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;052;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI DOM - VELIKA SALA;SLAVONSKI BROD, OSJEČKA 24;399;162;162;152;10;17;51;44;4;0;4;12;7;13
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;053;MJESNI ODBOR DR. ANTE STARČEVIĆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1041;416;416;408;8;47;218;91;3;5;6;13;5;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;054;MJESNI ODBOR DR. ANTE STARČEVIĆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE  2;1356;537;537;521;16;53;251;141;4;11;5;22;12;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;055;MJESNI ODBOR DR. ANTE STARČEVIĆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1090;436;436;430;6;40;133;160;5;12;7;16;20;37
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;056;MJESNI ODBOR DR. ANTE STARČEVIĆ;DJEČJI VRTIĆ KOSJENKA SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 3;784;285;285;278;7;19;136;69;1;1;14;16;7;15
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;057;MJESNI ODBOR DR. ANTE STARČEVIĆ;HRVATSKE ŠUME SLAVONSKI BROD;SLAVONSKI BROD, OSJEČKA 282;805;316;316;311;5;13;195;80;1;1;1;3;5;12
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;058;MJESNI ODBOR DR. ANTE STARČEVIĆ;HRVATSKE ŠUME SLAVONSKI BROD;SLAVONSKI BROD, OSJEČKA 282;952;324;324;316;8;26;172;75;2;2;4;13;10;12
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;059;MJESNI ODBOR DR. ANTE STARČEVIĆ;MJESNI DOM SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 4;668;273;273;262;11;25;121;78;2;2;6;10;6;12
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;060;MJESNI ODBOR DR. ANTE STARČEVIĆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;965;372;372;355;17;39;152;95;1;5;6;14;6;37
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;061;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;DJEČJI VRTIĆ RADOST SLAVONSKI BROD;SLAVONSKI BROD, ULICA TOME BAKAČA 120 A;388;146;146;139;7;19;41;41;0;5;1;6;11;15
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;062;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;DJEČJI VRTIĆ RADOST SLAVONSKI BROD;SLAVONSKI BROD, ULICA TOME BAKAČA 120 A;913;326;326;314;12;47;117;78;2;10;4;20;13;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;063;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;MJESNI ODBOR JOSIP JURAJ STROSSMAYER, DOM-VELIKA SALA, SLAVONSKI BROD;SLAVONSKI BROD, ULICA FRANA SUPILA 2;1105;429;429;412;17;41;121;108;7;11;7;27;13;77
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;064;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;MJESNI ODBOR JOSIP JURAJ STROSSMAYER, DOM-MALA SALA, SLAVONSKI BROD;SLAVONSKI BROD, ULICA FRANA SUPILA 2;888;346;346;336;10;40;83;112;2;12;4;24;17;42
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;065;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;OSNOVNA ŠKOLA VLADIMIR NAZOR SLAVONSKI BROD;SLAVONSKI BROD, FRANJE MARINIĆA 9;804;316;316;304;12;34;91;100;4;11;7;16;11;30
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;066;MJESNI ODBOR JOSIP JURAJ STROSSMAYER;SLAVONIJA DI, SLAVONSKI BROD;SLAVONSKI BROD, SVETOG LOVRE 75;950;296;296;288;8;13;148;73;0;1;2;9;21;21
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BEBRINA;001;KANIŽA;DRUŠTVENI DOM KANIŽA;KANIŽA 117;652;315;315;300;15;32;76;99;2;42;3;7;6;33
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BEBRINA;002;BEBRINA;DRUŠTVENI DOM BEBRINA;BEBRINA 83;342;191;191;183;8;27;40;90;2;9;2;6;5;2
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BEBRINA;003;STUPNIČKI KUTI;DRUŠTVENI DOM STUPNIČKI KUTI;STUPNIČKI KUTI 96;301;184;184;174;10;33;27;82;0;13;6;8;3;2
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BEBRINA;004;BANOVCI;DRUŠTVENI DOM BANOVCI;BANOVCI 20;286;159;159;149;10;19;16;59;1;22;10;6;2;14
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BEBRINA;005;DUBOČAC;DRUŠTVENI DOM DUBOČAC;DUBOČAC 69;162;100;100;94;6;3;6;60;0;18;3;1;1;2
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BEBRINA;006;ŠUMEĆE;DRUŠTVENI DOM ŠUMEĆE;ŠUMEĆE BB;435;246;246;234;12;37;43;95;4;11;6;8;4;26
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BEBRINA;007;ZBJEG;DRUŠTVENI DOM ZBJEG;ZBJEG 86;358;206;206;189;17;18;38;74;0;5;28;5;7;14
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;BRODSKI STUPNIK;001;BRODSKI STUPNIK;DRUŠTVENI DOM BRODSKI STUPNIK;BRODSKI STUPNIK, ULICA STJEPANA RADIĆA 117;627;408;407;383;24;41;75;171;2;17;2;41;1;33
