Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SRĐAN KOLAR;SRĐAN MILAKOVIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;015;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;273;70;70;70;0;32;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;016;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;352;98;98;97;1;27;70
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;017;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;219;47;47;45;2;16;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;018;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;219;60;60;57;3;25;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;019;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA"", PODRUČNA ŠKOLA LUŽAC";LJUDEVITA POSAVSKOG BR. 16;321;90;90;81;9;46;35
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;020;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;434;74;74;73;1;47;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;021;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;293;70;70;69;1;50;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;022;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;402;68;68;68;0;38;30
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;023;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;313;76;76;74;2;41;33
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;024;VUKOVAR;EKONOMSKA ŠKOLA VUKOVAR;STJEPANA FILIPOVIĆA BR. 6;264;91;91;90;1;62;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;025;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA  84;210;38;38;38;0;30;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;026;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;176;45;45;45;0;26;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;027;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;140;31;31;28;3;23;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;028;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIĆA BR. 2;297;79;79;74;5;49;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;029;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIĆA BR. 2;320;76;76;72;4;46;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;030;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIĆA""";DR. A. STARČEVIĆA BR.5;300;82;82;76;6;46;30
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;031;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIĆA""";DR. A. STARČEVIĆA BR.5;498;127;127;124;3;76;48
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;032;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE"" PODRUČNA ŠKOLA LIPOVAČA";SVETE ANE BR. 24;147;60;60;56;4;51;5
