Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, ZELENA LISTA;HRVATSKA STRANKA PRAVA DR. ANTE STARČEVIĆ U STEČAJU - HSP AS;MOST, HRVATSKI SUVERENISTI, ŽIVI ZID;KANDIDACIJSKA LISTA GRUPE BIRAČA - TIHOMIR POSAVČIĆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;011;VINKOVCI;"IV.MJESNI ODBOR ""KOLODVOR""";KRALJA ZVONIMIRA 101;835;379;379;367;12;56;152;6;19;60;36;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;012;VINKOVCI;UDRUŽENJE UMIROVLJENIKA;TRG J. RUNJANINA 11;802;385;378;365;13;54;187;13;8;47;23;33
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;013;VINKOVCI;UPRAVA ZA CESTE VUKOVARSKO-SRIJEMSKE ŽUPANIJE,VINKOVCI;JOSIPA KOZARCA 10;950;409;409;397;12;68;179;9;7;68;26;40
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;014;VINKOVCI;"V. MJESNI ODBOR ""DVANAEST REDARSTVENIKA"" VINKOVCI";12 REDARSTVENIKA 1A;1035;442;442;431;11;63;196;20;16;62;32;42
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;015;VINKOVCI;"DJEČJI VRTIĆ ""PČELICA""";DVANAEST REDARSTVENIKA 20;736;297;297;281;16;43;142;12;7;31;7;39
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;016;VINKOVCI;DJEČJI VRTIĆ EDEN PODRUŽNICA SRCE MARIJINO;ŠKOLSKA 35;660;277;277;272;5;44;130;7;1;47;12;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;017;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;811;383;383;375;8;83;182;4;9;48;14;35
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;018;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;903;376;375;366;9;58;186;6;8;58;13;37
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;019;VINKOVCI;"O.Š. ""BARTOLA KAŠIĆA""";B.KAŠIĆA 48;1082;479;479;462;17;88;251;11;10;51;10;41
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;020;VINKOVCI;PLINARA ISTOČNE SLAVONIJE (PIS);OHRIDSKA 17;722;279;279;272;7;43;128;5;1;44;13;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;021;VINKOVCI;O.Š.  A.G. MATOŠA VINKOVCI;OHRIDSKA 21;826;384;384;359;25;54;176;10;4;54;16;45
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;022;VINKOVCI;"DJEČJI VRTIĆ ""STRIBOR""";J.J.STROSSMAYERA 7;568;283;283;265;18;35;109;12;7;36;23;43
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;023;VINKOVCI;"VII. MJESNI ODBOR ""LAPOVCI"" VINKOVCI";MATICE HRVATSKE 8;1009;453;453;441;12;50;221;12;3;65;35;55
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;024;VINKOVCI;"POSLOVNI PROSTOR (DJEČJA IGRAONICA ""KREATIVNI SVIJET"")";FRANA KRSTE FRANKOPANA 6 (BIVŠA DRVARSKA);732;385;384;360;24;53;171;17;3;51;12;53
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;025;VINKOVCI;"VIII. MJESNI ODBOR ""BAN JELAČIĆ"" VINKOVCI";BANA J.JELAČIĆA 11;781;304;302;297;5;31;140;13;5;51;21;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;026;VINKOVCI;"IX. MJESNI ODBOR ""ZAGREBAČKI BLOK"" VINKOVCI";M.BRAŠNIĆA 2A;715;340;340;331;9;65;145;12;4;43;13;49
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;027;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;865;373;373;361;12;74;147;18;14;52;20;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;028;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;654;288;288;270;18;59;124;5;14;38;5;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;029;VINKOVCI;"X. MJESNI ODBOR ""SLAVIJA"" VINKOVCI";ŠOKAČKI ŠOR 1;1227;554;554;535;19;129;234;20;5;90;22;35
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;030;VINKOVCI;"DILJ, D.D. POGON ""SLAVONKA"", VINKOVCI";KRALJA ZVONIMIRA 156;828;398;398;383;15;91;201;14;3;40;13;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;031;VINKOVCI;"XI. MJESNI ODBOR ""MALA BOSNA"" VINKOVCI";V.GORTANA 25B;958;395;395;380;15;60;211;10;4;62;10;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;032;MIRKOVCI;"XII. MJESNI ODBOR ""MIRKOVCI"" - MIRKOVCI";DUNAVSKA 1;1496;406;406;389;17;43;200;20;5;53;10;58
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;033;MIRKOVCI;"O.Š. ""NIKOLE TESLE"" MIRKOVCI";VUKOVARSKA 2;1325;388;388;357;31;59;157;10;5;72;10;44
