Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAVOR ĆAVAR;JOSIP DABRO;DAMIR DEKANIĆ;NIKOLA KAJKIĆ;TOMISLAV PANENIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;018;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;903;376;375;366;9;41;71;154;80;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;019;VINKOVCI;"O.Š. ""BARTOLA KAŠIĆA""";B.KAŠIĆA 48;1082;479;479;463;16;31;96;206;106;24
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;020;VINKOVCI;PLINARA ISTOČNE SLAVONIJE (PIS);OHRIDSKA 17;722;279;279;268;11;39;44;114;55;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;021;VINKOVCI;O.Š.  A.G. MATOŠA VINKOVCI;OHRIDSKA 21;826;384;384;365;19;49;55;149;76;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;022;VINKOVCI;"DJEČJI VRTIĆ ""STRIBOR""";J.J.STROSSMAYERA 7;568;283;283;268;15;37;50;111;45;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;023;VINKOVCI;"VII. MJESNI ODBOR ""LAPOVCI"" VINKOVCI";MATICE HRVATSKE 8;1009;453;453;430;23;53;52;194;101;30
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;024;VINKOVCI;"POSLOVNI PROSTOR (DJEČJA IGRAONICA ""KREATIVNI SVIJET"")";FRANA KRSTE FRANKOPANA 6 (BIVŠA DRVARSKA);732;385;384;364;20;73;41;147;73;30
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;025;VINKOVCI;"VIII. MJESNI ODBOR ""BAN JELAČIĆ"" VINKOVCI";BANA J.JELAČIĆA 11;781;304;302;292;10;44;54;109;53;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;026;VINKOVCI;"IX. MJESNI ODBOR ""ZAGREBAČKI BLOK"" VINKOVCI";M.BRAŠNIĆA 2A;715;340;340;329;11;44;55;128;69;33
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;027;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;865;371;371;357;14;51;80;116;84;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;028;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;654;288;288;277;11;35;57;112;54;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;029;VINKOVCI;"X. MJESNI ODBOR ""SLAVIJA"" VINKOVCI";ŠOKAČKI ŠOR 1;1227;554;554;539;15;34;139;184;144;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;030;VINKOVCI;"DILJ, D.D. POGON ""SLAVONKA"", VINKOVCI";KRALJA ZVONIMIRA 156;828;398;398;382;16;25;81;180;67;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;031;VINKOVCI;"XI. MJESNI ODBOR ""MALA BOSNA"" VINKOVCI";V.GORTANA 25B;958;395;395;384;11;36;54;185;89;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;032;MIRKOVCI;"XII. MJESNI ODBOR ""MIRKOVCI"" - MIRKOVCI";DUNAVSKA 1;1496;406;406;381;25;47;67;154;80;33
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;033;MIRKOVCI;"O.Š. ""NIKOLE TESLE"" MIRKOVCI";VUKOVARSKA 2;1325;388;388;363;25;48;64;152;81;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;001;SOTIN;DOM KULTURE;ULICA DR. FRANJE TUĐMANA BR. 2;621;333;333;320;13;31;66;102;105;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;002;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;657;355;355;344;11;8;117;105;86;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;003;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;855;480;480;463;17;18;130;170;117;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;004;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;862;500;500;469;31;30;136;151;125;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;005;VUKOVAR;OSNOVNA ŠKOLA MITNICA;FRUŠKOGORSKA BR. 2;676;364;364;348;16;12;112;110;86;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;006;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;675;380;380;356;24;64;91;106;69;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;007;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;600;303;303;268;35;45;60;69;67;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;008;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;705;370;370;349;21;57;89;92;80;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;009;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;579;239;238;222;16;38;49;68;50;17
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;010;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;765;397;396;368;28;41;97;111;85;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;011;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;733;346;346;324;22;40;84;99;70;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;012;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;789;380;380;335;45;54;87;93;69;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;013;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;843;370;370;325;45;40;89;95;68;33
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;014;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;771;327;325;284;41;69;58;58;72;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;015;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;761;364;364;337;27;80;71;93;75;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;016;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;951;436;436;388;48;76;73;107;87;45
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;017;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;619;276;276;248;28;34;57;62;63;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;018;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;629;280;280;259;21;52;60;67;52;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;019;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA"", PODRUČNA ŠKOLA LUŽAC";LJUDEVITA POSAVSKOG BR. 16;659;287;286;239;47;65;52;56;38;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;020;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;1023;416;416;372;44;74;82;101;84;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;021;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;673;293;293;264;29;57;57;70;59;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;022;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;822;343;343;306;37;63;43;93;71;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;023;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;712;316;316;282;34;64;43;78;72;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;024;VUKOVAR;EKONOMSKA ŠKOLA VUKOVAR;STJEPANA FILIPOVIĆA BR. 6;723;381;381;356;25;65;69;107;78;37
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;025;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA  84;709;361;361;335;26;23;91;106;86;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;026;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;553;279;279;256;23;28;59;76;70;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;027;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;577;285;285;265;20;27;69;65;66;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;028;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIĆA BR. 2;784;357;357;324;33;51;56;74;111;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;029;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIĆA BR. 2;811;369;369;335;34;66;74;104;68;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;030;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIĆA""";DR. A. STARČEVIĆA BR.5;593;266;266;243;23;59;46;63;52;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;031;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIĆA""";DR. A. STARČEVIĆA BR.5;1097;523;523;465;58;91;78;130;123;43
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;032;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE"" PODRUČNA ŠKOLA LIPOVAČA";SVETE ANE BR. 24;311;185;185;156;29;31;44;26;48;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;001;ŽUPANJA;"OŠ ""IVAN KOZARAC"" I";DR. FRANJE RAČKOG 30;923;474;474;449;25;78;87;180;66;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;002;ŽUPANJA;"OŠ ""IVAN KOZARAC"" II";DR.FRANJE RAČKOG 30;809;385;385;365;20;73;98;123;42;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;003;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA I;VELIKI KRAJ 42;917;426;426;406;20;36;89;180;69;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;004;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA II;VELIKI KRAJ 42;475;219;219;206;13;26;55;84;29;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;005;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA III;VELIKI KRAJ 42;640;295;295;281;14;35;81;96;47;22
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;006;ŽUPANJA;ŠUMARIJA I;DR.FRANJE RAČKOG 34;751;425;425;416;9;89;99;142;60;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;007;ŽUPANJA;ŠUMARIJA II;DR.FRANJE RAČKOG 34;777;422;422;408;14;83;89;148;51;37
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;008;ŽUPANJA;"KINO ""MLADOST"" I";STROSMAYEROVA 51;522;292;292;283;9;35;82;98;49;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;009;ŽUPANJA;"KINO ""MLADOST"" II";STROSSMAYEROVA 51;671;374;374;363;11;74;99;110;58;22
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;010;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" I";A.STEPINCA 18;1078;522;522;499;23;78;132;186;65;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;011;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" II";A.STEPINCA 18;804;364;364;348;16;63;71;130;62;22
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;012;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" III";A.STEPINCA 18;935;465;465;449;16;80;93;184;61;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;013;ŽUPANJA;"KINO ""KRISTAL""";ŠEĆERANA 62;663;338;337;319;18;64;61;141;30;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;014;ŽUPANJA;"PROSTORIJE NK ""ŽUPANJA 77""";M.ĆATIĆA;553;243;243;232;11;22;41;131;32;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;001;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;942;530;529;521;8;11;38;402;63;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;002;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;619;315;315;306;9;3;24;238;35;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;003;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;672;390;390;384;6;8;29;306;36;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;004;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;986;484;484;475;9;11;37;390;26;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;001;BABINA GREDA;"ČITAONICA ""NOVA SALA""";KRALJA TOMISLAVA BB;644;297;297;288;9;110;42;105;28;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;002;BABINA GREDA;"ČITAONICA ""ČEVATOVO""";BANA J.JELAČIĆA BB;621;328;328;322;6;98;60;105;47;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;003;BABINA GREDA;"ČITAONICA ""DONJA MALA""";VLADIMIRA NAZORA 42;874;454;454;437;17;126;51;186;65;9
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;004;BABINA GREDA;"ČITAONICA ""BERAVA""";BRAĆE RADIĆA 33;527;293;293;288;5;82;40;112;44;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;005;BABINA GREDA;"ČITAONICA ""JELAS""";MIJATA STOJANOVIĆA 116;265;168;168;150;18;57;21;48;21;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;001;BOGDANOVCI;ZGRADA OPĆINE;BANA JOSIPA JELAČIĆA 1;579;398;398;373;25;8;66;163;116;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;002;PETROVCI;OSNOVNA ŠKOLA PETROVCI;BANA JOSIPA JELAČIĆA 1;648;314;314;285;29;62;51;80;53;39
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;003;SVINJAREVCI;ZGRADA MJESNOG ODBORA (STARA OSNOVNA ŠKOLA);CRKVENA 4;300;193;193;186;7;13;64;45;44;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;001;BOROVO;"NASELJE ""CREPULJE""";B.MASLARIĆA 46;443;154;154;132;22;63;11;14;18;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;002;BOROVO;BOROVO;GLAVNA 79;605;210;210;172;38;59;18;51;19;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;003;BOROVO;"OSNOVNA ŠKOLA ""BOROVO""";TRG PALIH BORACA 30;1185;449;449;364;85;88;57;142;34;43
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;004;BOROVO;"DJEČJI VRTIĆ ""ZLATOKOSA""";N. KOVAČEVIĆA 2A;1005;426;426;314;112;108;33;95;31;47
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;005;BOROVO;BOROVO;OZRENSKA 37;505;214;214;157;57;60;17;48;12;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;001;BOŠNJACI;DOM KULTURE (PROSTORIJE KUD-A);TRG FRA B.T.LEAKOVIĆA 10;885;461;461;435;26;32;64;220;88;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;002;BOŠNJACI;OPĆINA BOŠNJACI;TRG FRA B.T.LEAKOVIĆA 15;662;318;318;297;21;30;39;163;50;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;003;BOŠNJACI;VATROGASNI DOM;TRG FRA B.T.LEAKOVIĆA 12;735;330;330;316;14;27;52;164;59;14
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;004;BOŠNJACI;"OSNOVNA ŠKOLA ""FRA B.T.LEAKOVIĆ""";BRAĆE RADIĆA 38 A;848;403;403;388;15;22;61;192;100;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;001;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ""";ŠETALIŠTE DR. FRANJE TUĐMANA 3;1022;565;565;537;28;40;112;307;66;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;002;ŠIŠKOVCI;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ"" PODRUČNA ŠKOLA ŠIŠKOVCI";J.KOZARCA 8;659;419;419;401;18;14;49;281;49;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;003;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ""";ŠETALIŠTE DR. FRANJE TUĐMANA 3;1069;678;678;645;33;49;131;360;97;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;004;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ """;ŠETALIŠTE  DR.FRANJE TUĐMANA 3;896;503;503;484;19;40;103;240;82;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;001;DRENOVCI;OPĆINSKA  NARODNA KNJIŽNICA DRENOVCI;BRAĆE RADIĆA 2;698;291;291;277;14;24;75;109;47;22
