Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN BOSANČIĆ;GORAN KAJKIĆ;TIHOMIR POSAVČIĆ;DAVOR RAIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;011;VINKOVCI;"IV.MJESNI ODBOR ""KOLODVOR""";KRALJA ZVONIMIRA 101;835;379;379;367;12;207;73;39;48
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;012;VINKOVCI;UDRUŽENJE UMIROVLJENIKA;TRG J. RUNJANINA 11;802;385;385;374;11;238;55;33;48
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;013;VINKOVCI;UPRAVA ZA CESTE VUKOVARSKO-SRIJEMSKE ŽUPANIJE,VINKOVCI;JOSIPA KOZARCA 10;950;411;411;398;13;228;82;40;48
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;014;VINKOVCI;"V. MJESNI ODBOR ""DVANAEST REDARSTVENIKA"" VINKOVCI";12 REDARSTVENIKA 1A;1035;442;442;436;6;256;86;42;52
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;015;VINKOVCI;"DJEČJI VRTIĆ ""PČELICA""";DVANAEST REDARSTVENIKA 20;736;304;304;294;10;175;45;34;40
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;016;VINKOVCI;DJEČJI VRTIĆ EDEN PODRUŽNICA SRCE MARIJINO;ŠKOLSKA 35;660;277;277;270;7;148;63;22;37
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;017;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;811;383;383;378;5;237;66;21;54
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;018;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;903;376;375;363;12;218;66;25;54
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;019;VINKOVCI;"O.Š. ""BARTOLA KAŠIĆA""";B.KAŠIĆA 48;1082;479;479;468;11;305;76;19;68
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;020;VINKOVCI;PLINARA ISTOČNE SLAVONIJE (PIS);OHRIDSKA 17;722;279;279;271;8;156;59;22;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;021;VINKOVCI;O.Š.  A.G. MATOŠA VINKOVCI;OHRIDSKA 21;826;384;384;368;16;234;64;31;39
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;022;VINKOVCI;"DJEČJI VRTIĆ ""STRIBOR""";J.J.STROSSMAYERA 7;568;283;283;267;16;149;44;45;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;023;VINKOVCI;"VII. MJESNI ODBOR ""LAPOVCI"" VINKOVCI";MATICE HRVATSKE 8;1009;453;453;442;11;261;83;49;49
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;024;VINKOVCI;"POSLOVNI PROSTOR (DJEČJA IGRAONICA ""KREATIVNI SVIJET"")";FRANA KRSTE FRANKOPANA 6 (BIVŠA DRVARSKA);732;385;384;356;28;222;64;26;44
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;025;VINKOVCI;"VIII. MJESNI ODBOR ""BAN JELAČIĆ"" VINKOVCI";BANA J.JELAČIĆA 11;781;304;304;291;13;176;58;30;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;026;VINKOVCI;"IX. MJESNI ODBOR ""ZAGREBAČKI BLOK"" VINKOVCI";M.BRAŠNIĆA 2A;715;340;340;331;9;191;48;33;59
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;027;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;865;373;373;359;14;194;67;30;68
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;028;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;654;288;287;279;8;164;54;13;48
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;029;VINKOVCI;"X. MJESNI ODBOR ""SLAVIJA"" VINKOVCI";ŠOKAČKI ŠOR 1;1227;554;554;540;14;302;97;33;108
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;030;VINKOVCI;"DILJ, D.D. POGON ""SLAVONKA"", VINKOVCI";KRALJA ZVONIMIRA 156;828;398;398;385;13;236;53;25;71
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;031;VINKOVCI;"XI. MJESNI ODBOR ""MALA BOSNA"" VINKOVCI";V.GORTANA 25B;958;395;395;382;13;249;68;20;45
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;032;MIRKOVCI;"XII. MJESNI ODBOR ""MIRKOVCI"" - MIRKOVCI";DUNAVSKA 1;1496;406;406;381;25;236;78;22;45
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;033;MIRKOVCI;"O.Š. ""NIKOLE TESLE"" MIRKOVCI";VUKOVARSKA 2;1325;388;388;375;13;219;85;28;43
