Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DRAGAN CRNOGORAC;DOMOVINSKI POKRET - DP, IVAN PENAVA NEZAVISNA LISTA - IP-NL, HRVATSKA SELJAČKA STRANKA - HSS, DEMOKRATSKI SAVEZ NACIONALNE OBNOVE - DESNO, ZELENA LISTA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, DEMOKRATSKI HSS - DHSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA STRANKA PRAVA DR. ANTE STARČEVIĆ U STEČAJU - HSP AS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKI SUVERENISTI, MOST, HRVATSKA KONZERVATIVNA STRANKA - HKS, STRANKA UMIROVLJENIKA - SU, HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  TOMISLAV PANENIĆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;010;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" I";A.STEPINCA 18;1078;522;522;496;26;10;145;185;61;29;4;62
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;011;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" II";A.STEPINCA 18;804;364;364;345;19;3;80;138;48;17;3;56
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;012;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" III";A.STEPINCA 18;935;465;464;444;20;9;106;189;40;23;1;76
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;013;ŽUPANJA;"KINO ""KRISTAL""";ŠEĆERANA 62;663;338;337;324;13;5;68;147;29;20;1;54
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;014;ŽUPANJA;"PROSTORIJE NK ""ŽUPANJA 77""";M.ĆATIĆA;553;243;243;228;15;1;50;139;22;5;0;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;001;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;942;530;529;511;18;6;79;350;51;9;3;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;002;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;619;315;315;302;13;4;40;213;27;7;0;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;003;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;672;390;390;378;12;4;64;263;32;5;2;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;004;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;986;484;484;462;22;6;69;344;22;10;1;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;001;BABINA GREDA;"ČITAONICA ""NOVA SALA""";KRALJA TOMISLAVA BB;644;297;297;281;16;4;48;99;15;5;1;109
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;002;BABINA GREDA;"ČITAONICA ""ČEVATOVO""";BANA J.JELAČIĆA BB;621;328;328;314;14;7;53;127;28;8;0;91
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;003;BABINA GREDA;"ČITAONICA ""DONJA MALA""";VLADIMIRA NAZORA 42;874;454;454;425;29;3;56;195;37;3;0;131
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;004;BABINA GREDA;"ČITAONICA ""BERAVA""";BRAĆE RADIĆA 33;527;293;293;286;7;3;39;119;28;1;0;96
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;005;BABINA GREDA;"ČITAONICA ""JELAS""";MIJATA STOJANOVIĆA 116;265;168;168;148;20;1;27;54;13;1;0;52
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;001;BOGDANOVCI;ZGRADA OPĆINE;BANA JOSIPA JELAČIĆA 1;579;398;398;371;27;3;99;181;66;14;2;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;002;PETROVCI;OSNOVNA ŠKOLA PETROVCI;BANA JOSIPA JELAČIĆA 1;648;314;314;281;33;20;63;65;36;18;21;58
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;003;SVINJAREVCI;ZGRADA MJESNOG ODBORA (STARA OSNOVNA ŠKOLA);CRKVENA 4;300;193;193;184;9;14;75;37;29;15;11;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;001;BOROVO;"NASELJE ""CREPULJE""";B.MASLARIĆA 46;443;154;154;149;5;45;6;5;2;2;83;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;002;BOROVO;BOROVO;GLAVNA 79;605;210;210;192;18;37;2;5;5;3;135;5
