Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ANTONIJA JOZIÆ;JOSIP REÐO;LUKA SAMARDŽIJA
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;012;DRUŠTVENI DOM;KULA;STJEPANA RADIÆA 2;282;106;106;98;8;68;11;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;013;DRUŠTVENI DOM;LUKAÈ;LUKAÈ 10A;121;75;75;69;6;39;27;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;014;PODRUÈNA ŠKOLA MITROVAC;MITROVAC;MITROVAC 59;97;58;58;57;1;38;16;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;015;DRUŠTVENI DOM;OVÈARE;OVÈARE 2;100;60;60;59;1;35;14;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;016;PODRUÈNA ŠKOLA;POREÈ;POREÈ 78;88;19;19;18;1;10;3;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;017;VATROGASNI DOM;ŠUMANOVCI;ŠUMANOVCI BB;115;63;63;60;3;45;10;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;018;PODRUÈNA ŠKOLA;TOMINOVAC;TOMINOVAC 29;126;61;61;58;3;47;4;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;019;DRUŠTVENI DOM;VENJE;VENJE 16A;82;41;41;38;3;28;7;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;020;DRUŠTVENI DOM;VETOVO;ZAGREBAÈKA 1;400;120;120;111;9;80;23;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;021;PODRUÈNA ŠKOLA;VETOVO;MATIJE GUPCA 7A;468;167;167;160;7;96;42;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;001;OSNOVNA ŠKOLA LIPIK;LIPIK;ŠKOLSKA 25;684;312;312;293;19;157;98;38
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;002;DRUŠTVENI DOM U LIPIKU;LIPIK;SLAVONSKA 45;461;222;222;209;13;107;73;29
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;003;GRADSKA UPRAVA U LIPIKU;LIPIK;MARIJE TEREZIJE 27;652;290;289;273;16;167;70;36
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;004;DRUŠTVENI DOM U ANTUNOVCU;ANTUNOVAC;POLJANSKA 79;286;116;116;103;13;65;30;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;005;DRUŠTVENI DOM U BREKINSKOJ;BREKINSKA;BREKINSKA 65;108;77;77;70;7;57;8;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;006;DRUŠTVENI DOM U BREZINAMA;BREZINE;BREZINE 49;175;81;81;76;5;44;25;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;007;BUJAVICA (BIVŠI LAKTOFRIZ);BUJAVICA;BUJAVICA BB;24;7;7;7;0;1;1;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;008;OSNOVNA ŠKOLA U DOBROVCU;DOBROVAC;STJEPANA RADIÆA 54;325;153;153;146;7;86;55;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;009;KUÆA BORISA KOPA, DONJI ÈAGLIÆ;DONJI ÈAGLIÆ;UL. ROBERTA ŽILIJA 96;316;143;143;131;12;68;30;33
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;010;DRUŠTVENI DOM U FILIPOVCU;FILIPOVAC;TABOR 14;311;142;141;132;9;52;62;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;011;DRUŠTVENI DOM U GAJU;GAJ;SLAVKA SUDRE 2;228;144;144;134;10;74;40;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;012;DRUŠTVENI DOM U JAPAGI;JAPAGA;PSUNJSKA 11;141;54;54;50;4;25;6;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;013;JAGMA (BIVŠI LAKTOFRIZ);JAGMA;JAGMA 52 A;36;16;16;14;2;7;0;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;014;DRUŠTVENI DOM U KLISI;KLISA;KLISA 42;65;43;43;42;1;26;15;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;015;DRUŠTVENI DOM U KUKUNJEVCU;KUKUNJEVAC;FRANJE FILIPOVIÆA 106;211;96;96;87;9;30;24;33
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;016;DRUŠTVENI DOM U MARINOM SELU;MARINO SELO;MARINO SELO 55 A;218;110;110;108;2;66;34;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;017;OSNOVNA ŠKOLA U POLJANI;POLJANA;ANTUNOVAÈKA 23;426;177;177;168;9;107;39;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;018;DRUŠTVENI DOM U ŠEOVICI;ŠEOVICA;OMANOVAÈKA 93;211;76;76;70;6;42;13;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;001;OSNOVNA ŠKOLA - BADLJEVINA;BADLJEVINA;TRG DR. FRANJE TUÐMANA 4;600;153;153;143;10;97;23;23
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;002;VATROGASNI DOM - OMANOVAC;OMANOVAC;OMANOVAC 6 B;103;38;38;37;1;26;4;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;003;"""ZAJEDNICA ŠPANOVÈANA"" - ŠPANOVICA";ŠPANOVICA;ŠPANOVICA 24;86;28;28;24;4;4;1;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;004;DRUŠTVENI DOM - NOVI MAJUR;NOVI MAJUR;NOVI MAJUR 12;75;32;32;30;2;22;6;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;005;DRUŠTVENI DOM - STARI MAJUR;STARI MAJUR;STARI MAJUR 12A;15;10;10;10;0;8;1;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;006;OSNOVNA ŠKOLA - PREKOPAKRA;PREKOPAKRA;DR. A. STARÈEVIÆA 23;912;321;321;296;25;208;44;44
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;007;OSNOVNA ŠKOLA -  BATINJANI;BATINJANI;BATINJANI 53;45;14;14;13;1;4;1;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;008;OSNOVNA ŠKOLA - DONJA OBRIJEŽ;DONJA OBRIJEŽ;DONJA OBRIJEŽ 50;184;64;64;60;4;52;3;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;009;ZGRADA AMBULANTE - PLOŠTINE;PLOŠTINE;PLOŠTINE 54A;115;24;24;22;2;14;3;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;010;"LOVAÈKA KUÆA LD ""FAZAN"" - KAPETANOVO POLJE";KAPETANOVO POLJE;DONJA OBRIJEŽ 131;34;10;10;9;1;6;0;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;011;DRUŠTVENI DOM - VELIKI BANOVAC;VELIKI BANOVAC;VELIKI BANOVAC 18;190;90;90;83;7;72;3;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;012;DRUŠTVENI DOM - TORANJ;TORANJ;TORANJ 80;67;14;14;14;0;8;1;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;013;DRUŠTVENI DOM - KRAGUJ;KRAGUJ;KRAGUJ 28;55;16;16;16;0;3;2;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;014;"DJEÈJI VRTIÆ ""MASLAÈAK"" -  PAKRAC";PAKRAC;MATICE HRVATSKE 13B;757;213;213;194;19;104;38;52
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;015;OSNOVNA ŠKOLA (NOVA) - PAKRAC;PAKRAC;BOLNIÈKA 55;719;245;245;220;25;120;44;56
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;016;HCK - HRVATSKI CRVENI KRIŽ - PAKRAC;PAKRAC;BRAÆE RADIÆA 13;482;139;139;129;10;79;29;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;017;GLAZBENA ŠKOLA - PAKRAC;PAKRAC;TRG BANA J. JELAÈIÆA 1;1048;300;300;284;16;162;42;80
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;018;SREDNJA ŠKOLA (PEDAGOŠKA) - PAKRAC;PAKRAC;ALEJA KESTENOVA 37;659;242;242;225;17;154;38;33
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;019;"ZGRADA ""STARE KUGLANE""  -  PAKRAC";PAKRAC;LEPTIROVO BRDO 1;311;71;71;69;2;49;14;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;020;DRUŠTVENI DOM - ŠUMETLICA;ŠUMETLICA;GORNJA ŠUMETLICA;50;1;1;1;0;1;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;021;"LOVAÈKA KUÆA LD ""KOŠUTA"" - BRANEŠCI";BRANEŠCI;BRANEŠCI 3;136;18;18;15;3;7;0;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;022;LAKTOFRIZ KUSONJE;KUSONJE;KUSONJE BB;324;91;91;82;9;27;9;46
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;001;GRADSKA VIJEÆNICA;PLETERNICA;TRG HRVATSKIH BRANITELJA 1;525;310;310;300;10;218;52;30
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;002;VATROGASNI DOM;PLETERNICA;S. RADIÆA 2;893;481;481;469;12;339;96;34
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;003;KUÆA STJEPANA GALOVIÆA;PLETERNICA;VLADIMIRA NAZORA 14;516;241;241;230;11;166;43;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;004;KUÆA NEDJELJKA BUŠIÆA;PLETERNICA;E. PODUBSKOG 20;519;295;295;289;6;231;40;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;005;"KUD ""ORLJAVA""";PLETERNICA;B. J. JELAÈIÆA 25;412;198;198;192;6;122;50;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;006;"OŠ ""FRA KAJE ADŽIÆA"", PODRUÈNA ŠKOLA";KUZMICA;KUZMICA 90;591;285;284;272;12;195;43;34
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;007;KUÆA MILE GRBEŠA;VIŠKOVCI;VIŠKOVCI 16;193;94;94;89;5;64;18;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;008;SEOSKI DOM;BLACKO;BLACKO BB;171;91;91;87;4;60;20;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;009;SEOSKI DOM;TRAPARI;TRAPARI;132;74;74;74;0;49;15;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;010;KUÆA MARKA MEŠTROVIÆA;NOVOSELCI;NOVOSELCI 67;160;80;80;76;4;50;15;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;011;VATROGASNI DOM;LAKUŠIJA;LAKUŠIJA BB;65;34;34;33;1;32;1;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;012;"OŠ ""FRA KAJE ADŽIÆA"", PODRUÈNA ŠKOLA";SESVETE;SESVETE BB;104;63;63;62;1;48;13;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;013;KUÆA DRAGANA TURKOVIÆA;ÆOSINAC;ÆOSINAC 30;41;20;20;20;0;17;0;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;014;VATROGASNI DOM;SULKOVCI;SULKOVCI BB;456;186;186;180;6;137;28;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;015;SEOSKI DOM;BRESNICA;BRESNICA BB;180;94;94;90;4;66;18;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;016;SEOSKI DOM;BZENICA;BZENICA BB;83;61;61;56;5;39;12;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;017;VATROGASNI DOM;POŽEŠKA KOPRIVNICA;POŽEŠKA KOPRIVNICA BB;210;99;99;95;4;83;5;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;018;SEOSKI DOM;KOMORICA;KOMORICA BB;127;90;90;88;2;65;18;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;019;DRUŠTVENI DOM;RATKOVICA;RATKOVICA BB;206;91;91;81;10;73;5;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;020;PROSTOR STARE AMBULANTE;BRODSKI DRENOVAC;BRODSKI DRENOVAC BB;599;210;210;199;11;179;13;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;021;"OŠ ""FRA KAJE ADŽIÆA"", PODRUÈNA ŠKOLA";BUÈJE;BUÈJE 38;225;116;116;114;2;92;18;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;022;"OŠ ""FRA KAJE ADŽIÆA"", PODRUÈNA ŠKOLA";ZAGRAÐE;ZAGRAÐE 37;363;201;201;189;12;154;28;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;023;SEOSKI DOM;BILICE;BILICE BB;140;96;96;94;2;74;13;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;024;KUÆA MARIJE KOVAÈEVIÆ;BRÐANI;BRÐANI 34;33;14;14;14;0;10;4;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;025;"OŠ ""FRA KAJE ADŽIÆA"", PODRUÈNA ŠKOLA";GRADAC;STJEPANA RADIÆA 211;772;393;393;377;16;305;48;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;026;SEOSKI DOM;AŠIKOVCI;AŠIKOVCI BB;68;36;36;34;2;30;4;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;027;"OŠ ""FRA KAJE ADŽIÆA"", PODRUÈNA ŠKOLA";ZARILAC;ZARILAC 39;127;67;67;66;1;53;12;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;028;VATROGASNI DOM;KNEŽCI;KNEŽCI BB;43;32;32;30;2;25;1;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;029;VATROGASNI DOM;BUK;BUK BB;463;272;272;268;4;200;53;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;030;SEOSKI DOM;KALINIÆ;KALINIÆ BB;52;42;42;42;0;34;8;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;031;KUÆA ÐURE LOMBAR;PLETERNIÈKI MIHALJEVCI;PLETERNIÈKI MIHALJEVCI 29;9;3;3;3;0;3;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;032;KUÆA BRANKA DAMJANOVIÆ;TULNIK;TULNIK 29;17;15;15;15;0;11;4;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;033;KUÆA MARIJE ÈIÈKOVIÆ;MALI BILAÈ;MALI BILAÈ 15;15;12;12;12;0;12;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;034;KUÆA STANKA BARIŠIÆA, DVORANA;VESELA;VESELA 4A;117;57;57;53;4;36;13;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;035;KUÆA PETRA ŽALCA;POLOJE;POLOJE 2C;80;40;40;38;2;31;5;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;036;"OŠ ""FRA KAJE ADŽIÆA"", PODRUÈNA ŠKOLA FRKLJEVCI";KADANOVCI;KADANOVCI 5;459;229;229;224;5;196;22;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;001;"ARSLANOVCI I, ŠPORTSKA DVORANA ""GRABRIK""";POŽEGA;ANTUNA KANIŽLIÆA 14A;533;222;222;211;11;104;38;69
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;002;ARSLANOVCI II, PRIVATNA KUÆA ROKIÆ GORANA;POŽEGA;ARSLANOVCI 11;755;297;297;290;7;146;50;94
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;003;ARSLANOVCI III, PRIVATNA KUÆA LADE CIGANOVIÆ;POŽEGA;VRANDUK 3;404;160;160;152;8;77;31;44
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;004;"ARSLANOVCI IV, TRGOVINA ""INLES""";POŽEGA;DUBROVAÈKA 115;601;254;254;242;12;131;45;66
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;005;CENTAR I, ZGRADA VELEUÈILIŠTA;POŽEGA;VUKOVARSKA 17;841;388;388;373;15;179;64;130
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;006;"CENTAR II, OŠ ""ANTUNA KANIŽLIÆA""";POŽEGA;ANTUNA KANIŽLIÆA 2;325;146;146;145;1;73;18;54
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;007;CENTAR III I GAREVICA, OŠ DOBRIŠE CESARIÆA;POŽEGA;SLAVONSKA 8;605;296;295;280;15;143;68;69
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;008;CENTAR IV  I GAREVICA, OŠ DOBRIŠE CESARIÆA;POŽEGA;SLAVONSKA 8;620;258;258;235;23;99;41;95
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;009;"CENTAR V, ""CROATIA"" D.D.";POŽEGA;REPUBLIKE HRVATSKE 1C;335;154;154;151;3;73;25;53
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;010;CENTAR VI, GRADSKA KUÆA (PROSTORIJA KOMUNALNIH REDARA);POŽEGA;TRG SV. TROJSTVA 1;1121;442;441;413;28;211;82;120
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;011;CIGLANE I, PRIVATNA KUÆA BORE ŠIPURE;POŽEGA;PAVLA RADIÆA 23;877;396;396;379;17;180;79;120
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;012;CIGLANE II, TENISKI KLUB POŽEGA;POŽEGA;PAVLA RADIÆA 2A;307;124;124;118;6;60;15;43
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;013;CIGLANE III, DJEÈJI VRTIÆ ŠARENI SVIJET;POŽEGA;FRANKOPANSKA 180;1116;441;441;416;25;214;67;135
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;014;CIGLANE IV, PRIVATNA KUÆA RUŽE RAJIÈ;POŽEGA;EUGENA KVATERNIKA 126;1075;431;431;408;23;239;84;85
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;015;ORLJAVA I, POSLOVNI PROSTOR AC BOŠKOVIÆ;POŽEGA;OSJEÈKA 62;240;98;98;92;6;45;15;32
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;016;ORLJAVA II, GRADSKA KUGLANA;POŽEGA;OSJEÈKA 7;412;176;176;166;10;80;40;46
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;017;"ORLJAVA III, DJEÈJI VRTIÆI ""CVJETNA LIVADA""";POŽEGA;KRALJA KREŠIMIRA 32A;1219;574;574;539;35;256;100;183
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;018;"ORLJAVA IV, ""HRVATSKE ŠUME""";POŽEGA;MILKE TRNINE 2;620;277;277;261;16;111;47;103
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;019;"ORLJAVA V, ""ZGRADA GRAÐANSKOG STRELJAÈKOG DRUŠTVA-STRELJANA""";POŽEGA;MILKE TRNINE 10;821;327;327;316;11;167;68;81
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;020;"TEKIJA I, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;1247;582;582;546;36;256;108;182
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;021;"TEKIJA II, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;1023;440;440;413;27;218;64;131
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;022;"TEKIJA III, AUTO-ŠKOLA ""HERZ""";POŽEGA;SVETOG ROKA 2;845;385;384;375;9;159;68;148
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;023;"VIDOVCI I, NK ""DINAMO""";VIDOVCI;STJEPANA RADIÆA BB;395;141;141;132;9;80;20;32
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;024;"VIDOVCI II, NK ""DINAMO""";VIDOVCI;VILIMA KORAJCA 2B;950;332;332;315;17;176;53;86
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;025;MJESNI DOM;DERVIŠAGA;S. RADIÆA BB;734;330;330;320;10;189;66;65
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;026;MJESNI DOM;SEOCI;SEOCI BB;76;38;38;38;0;31;5;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;027;PRIVATNA KUÆA ŽELJKA RAJÈEVIÆA;CRKVENI VRHOVCI;CRKVENI VRHOVCI 1;55;17;17;17;0;5;2;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;028;PRIVATNA KUÆA DAMIRA GRABUSINA;LAZE VASINE;LAZE VASINE 5 A;55;30;30;29;1;20;2;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;029;PRIVATNA KUÆA IVE BLAŽEVIÆA;KOMUŠINA;KOMUŠINA 22;74;33;33;32;1;22;2;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;030;PRIVATNA KUÆA JOZE BLAŽEVIÆA;ŠKRABUTNIK;ŠKRABUTNIK 14;20;8;8;7;1;6;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;031;DRUŠTVENI DOM;DRŠKOVCI;BRAÆE RADIÆA BB;315;154;154;146;8;66;19;61
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;032;MJESNI DOM;NOVO SELO;HRV. DRAGOVOLJACA BB;371;173;173;165;8;101;21;43
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;033;"NK ""LIPA""";STARA LIPA;STARA LIPA BB;170;79;79;75;4;37;12;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;034;ZGRADA ŠKOLE;NOVA LIPA;NOVA LIPA BB;70;42;42;41;1;31;3;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;035;PRIVATNA KUÆA MARKA PANDŽIÆA;DONJI EMOVCI;DONJI EMOVCI 3B;151;64;64;62;2;39;11;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;036;MJESNI DOM;GORNJI EMOVCI;GORNJI EMOVCI BB;114;54;54;54;0;28;8;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;037;MJESNI DOM;UGARCI;UGARCI BB;41;29;29;28;1;22;2;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;038;PRIVATNA KUÆA ZVONKA ŠPIRANECA;KUNOVCI;KUNOVCI 1C;76;35;35;32;3;18;9;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;039;OŠ VLADIMIRA NAZORA;MIHALJEVCI;KOLODVORSKA 1;662;297;297;288;9;139;69;80
