Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;MOST;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;013;CIGLANE III, DJEČJI VRTIĆ ŠARENI SVIJET;POŽEGA;FRANKOPANSKA 180;1116;441;441;420;21;48;178;9;48;6;131
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;014;CIGLANE IV, PRIVATNA KUĆA RUŽE RAJIČ;POŽEGA;EUGENA KVATERNIKA 126;1075;431;431;405;26;73;198;4;50;6;74
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;015;ORLJAVA I, POSLOVNI PROSTOR AC BOŠKOVIĆ;POŽEGA;OSJEČKA 62;240;98;98;90;8;5;38;2;10;5;30
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;016;ORLJAVA II, GRADSKA KUGLANA;POŽEGA;OSJEČKA 7;412;176;176;164;12;26;57;3;34;6;38
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;017;"ORLJAVA III, DJEČJI VRTIĆI ""CVJETNA LIVADA""";POŽEGA;KRALJA KREŠIMIRA 32A;1219;574;574;543;31;58;197;15;90;20;163
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;018;"ORLJAVA IV, ""HRVATSKE ŠUME""";POŽEGA;MILKE TRNINE 2;620;277;277;268;9;27;100;3;35;5;98
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;019;"ORLJAVA V, ""ZGRADA GRAĐANSKOG STRELJAČKOG DRUŠTVA-STRELJANA""";POŽEGA;MILKE TRNINE 10;821;327;327;314;13;42;151;5;39;4;73
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;020;"TEKIJA I, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;1247;581;581;554;27;80;197;22;77;31;147
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;021;"TEKIJA II, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;1023;427;427;411;16;56;158;16;44;14;123
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;022;"TEKIJA III, AUTO-ŠKOLA ""HERZ""";POŽEGA;SVETOG ROKA 2;845;385;383;377;6;41;129;4;50;16;137
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;023;"VIDOVCI I, NK ""DINAMO""";VIDOVCI;STJEPANA RADIĆA BB;395;141;141;133;8;11;73;3;19;0;27
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;024;"VIDOVCI II, NK ""DINAMO""";VIDOVCI;VILIMA KORAJCA 2B;950;332;330;315;15;46;138;3;35;13;80
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;025;MJESNI DOM;DERVIŠAGA;S. RADIĆA BB;734;330;330;323;7;59;161;4;17;13;69
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;026;MJESNI DOM;SEOCI;SEOCI BB;76;38;38;38;0;4;31;0;1;0;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;027;PRIVATNA KUĆA ŽELJKA RAJČEVIĆA;CRKVENI VRHOVCI;CRKVENI VRHOVCI 1;55;17;17;17;0;0;4;2;0;0;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;028;PRIVATNA KUĆA DAMIRA GRABUSINA;LAZE VASINE;LAZE VASINE 5 A;55;30;30;29;1;4;15;3;0;0;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;029;PRIVATNA KUĆA IVE BLAŽEVIĆA;KOMUŠINA;KOMUŠINA 22;74;26;26;25;1;1;14;1;1;0;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;030;PRIVATNA KUĆA JOZE BLAŽEVIĆA;ŠKRABUTNIK;ŠKRABUTNIK 14;20;8;8;7;1;0;6;0;0;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;031;DRUŠTVENI DOM;DRŠKOVCI;BRAĆE RADIĆA BB;315;154;154;147;7;13;54;0;17;11;52
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;032;MJESNI DOM;NOVO SELO;HRV. DRAGOVOLJACA BB;371;171;171;164;7;20;84;3;13;3;41
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;033;"NK ""LIPA""";STARA LIPA;STARA LIPA BB;170;79;79;74;5;9;30;4;5;4;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;034;ZGRADA ŠKOLE;NOVA LIPA;NOVA LIPA BB;70;42;42;40;2;7;23;0;1;2;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;035;PRIVATNA KUĆA MARKA PANDŽIĆA;DONJI EMOVCI;DONJI EMOVCI 3B;151;64;64;63;1;7;36;0;5;3;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;036;MJESNI DOM;GORNJI EMOVCI;GORNJI EMOVCI BB;114;54;54;51;3;6;18;2;5;4;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;037;MJESNI DOM;UGARCI;UGARCI BB;41;29;29;24;5;3;17;0;0;0;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;038;PRIVATNA KUĆA ZVONKA ŠPIRANECA;KUNOVCI;KUNOVCI 1C;76;35;35;33;2;3;19;0;6;0;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;039;OŠ VLADIMIRA NAZORA;MIHALJEVCI;KOLODVORSKA 1;662;297;297;286;11;37;92;23;79;4;51
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;040;MJESNI DOM;GOLOBRDCI;GOLOBRDCI BB;272;124;124;118;6;16;66;3;18;1;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;041;"ZGRADA ""KUTJEVO"" D.D. I MJESNOG DOMA";KRIVAJ;KRIVAJ BB;63;24;24;24;0;1;10;0;1;0;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;042;PRIVATNA KUĆA ŽELJKA BIČANIĆA;MARINDVOR;MARINDVOR 33;103;54;54;53;1;8;30;1;2;3;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;043;MJESNI DOM;NOVI MIHALJEVCI;NOVI MIHALJEVCI BB;227;118;118;114;4;14;61;8;9;0;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;044;PRIVATNA KUĆA DALIBORA BREZICKI;NOVI ŠTITNJAK;NOVI ŠTITNJAK 22A;107;35;35;33;2;4;20;0;3;4;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;045;PRIVATNA KUĆA PERE SAMARDŽIJE;ŠEOVCI;ŠEOVCI 5;80;33;33;31;2;3;22;0;4;2;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;046;PRIVATNA KUĆA DARKA LONČAREVIĆA;ŠTITNJAK;ŠTITNJAK 7;44;19;19;18;1;5;10;1;2;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;047;PRIVATNA KUĆA VLADE VRANIĆA;TURNIĆ;TURNIĆ 28;59;28;28;26;2;3;15;0;0;5;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;048;PRIVATNA KUĆA JADRANKE MAHMUTOVIĆ;ALAGINCI;ALAGINCI 26;163;74;74;68;6;10;24;3;11;1;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;049;PRIVATNA KUĆA ZORANA TKALCA;BANKOVCI;BANKOVCI 22;91;38;38;33;5;2;21;1;2;3;4
