Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN RADIÆ;BERISLAV MLINAREVIÆ
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;063;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;ULICA KRALJA PETRA SVAÈIÆA 36;565;169;169;165;4;101;64
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;064;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;ULICA KRALJA PETRA SVAÈIÆA 36;1043;301;301;298;3;187;111
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;065;OSIJEK;"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";KORÈULANSKA 1;780;189;189;183;6;100;83
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;066;OSIJEK;"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";KORÈULANSKA 1;903;301;301;294;7;195;99
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;067;OSIJEK;GRADSKA ÈETVRT JUG II;SRIJEMSKA ULICA 124B;477;126;126;122;4;78;44
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;068;OSIJEK;GRADSKA ÈETVRT JUG II;SRIJEMSKA ULICA 124B;719;268;268;258;10;187;71
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;069;OSIJEK;GRADSKA ÈETVRT JUG II;SRIJEMSKA ULICA 124B;784;195;195;189;6;122;67
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;070;OSIJEK;"DJEÈJI VRTIÆ ""MASLAÈAK""";VELALUŠKA BB;972;319;317;303;14;197;106
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;071;OSIJEK;"DJEÈJI VRTIÆ ""NEVIÈICA""";OPATIJSKA BB;640;147;147;137;10;89;48
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;072;OSIJEK;DOM SINDIKATA TVORNICE ŠEÆERA;FRANKOPANSKA 99;755;211;211;204;7;122;82
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;073;OSIJEK;DOM SINDIKATA TVORNICE ŠEÆERA;FRANKOPANSKA 99;759;239;239;231;8;144;87
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;074;OSIJEK;DOM SINDIKATA TVORNICE ŠEÆERA;FRANKOPANSKA 99;762;220;220;215;5;145;70
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;075;OSIJEK;GRADSKA ÈETVRT JUG II;KAŠTELANSKA 42B;781;214;213;198;15;144;54
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;076;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIÆ""";OPATIJSKA 46;891;253;253;239;14;150;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;077;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIÆ""";OPATIJSKA 46;552;150;150;148;2;88;60
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;078;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIÆ""";OPATIJSKA 46;639;176;176;167;9;106;61
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;079;OSIJEK;OBRTNIÈKA ŠKOLA OSIJEK;TRG BANA JOSIPA JELAÈIÆA 24;891;259;259;239;20;150;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;080;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;TRG BANA JOSIPA JELAÈIÆA 25;854;242;242;223;19;142;81
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;081;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA ULICA 23;871;275;275;258;17;155;103
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;082;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA ULICA 23;760;219;219;211;8;136;75
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;083;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA ULICA 23;915;235;235;225;10;145;80
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;084;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;KRSTOVA ULICA 97B;649;213;213;203;10;129;74
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;085;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;KRSTOVA ULICA 97B;586;196;196;184;12;120;64
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;086;OSIJEK;OSNOVNA ŠKOLA LJUDEVITA GAJA;KRSTOVA ULICA 99;644;167;167;158;9;102;56
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;087;OSIJEK;OSNOVNA ŠKOLA LJUDEVITA GAJA;KRSTOVA ULICA 99;678;168;166;159;7;114;45
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;088;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;ZELENO POLJE 5;853;200;200;188;12;117;71
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;089;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;ZELENO POLJE 5;963;228;228;222;6;135;87
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;090;JOSIPOVAC;OSNOVNA ŠKOLA JOSIPOVAC;OSJEÈKA 77A;827;219;219;212;7;161;51
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;091;JOSIPOVAC;OSNOVNA ŠKOLA JOSIPOVAC;OSJEÈKA 77A;1029;327;327;321;6;235;86
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;092;JOSIPOVAC;HRVATSKI DOM JOSIPOVAC;OSJEÈKA 66;668;224;224;222;2;131;91
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;093;JOSIPOVAC;HRVATSKI DOM JOSIPOVAC;OSJEÈKA 66;887;257;257;250;7;139;111
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;094;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;ULICA J.J. STROSSMAYERA 2;996;287;287;280;7;191;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;095;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;ULICA J.J. STROSSMAYERA 2;829;227;227;221;6;132;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;096;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;ULICA J.J. STROSSMAYERA 2;874;249;249;246;3;157;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;097;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;804;234;234;225;9;152;73
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;098;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;668;200;200;194;6;130;64
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;099;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;800;230;230;225;5;149;76
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;100;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;581;149;148;143;5;87;56
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;101;BRIJEŠÆE;OSNOVNA ŠKOLA CVJETNO;ZELENA ULICA 1;514;125;125;124;1;77;47
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;102;BRIJEŠÆE;OSNOVNA ŠKOLA CVJETNO;ZELENA ULICA 1;674;139;139;137;2;100;37
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;103;OSIJEK;MJESNO ODBOR CVJETNO;VIJENAC LIPA 36;783;240;240;232;8;145;87
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;104;OSIJEK;MJESNO ODBOR CVJETNO;VIJENAC LIPA 36;737;247;247;243;4;170;73
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;105;BRIJEST;MJESNI ODBOR BRIJEST;JUŽNO PREDGRAÐE 54;959;297;297;292;5;208;84
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;106;PODRAVLJE;MJESNI ODBOR OSIJEK - LIJEVA OBALA;ULICA PRINCA EUGENA SAVOJSKOG 38;493;208;208;204;4;120;84
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;107;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;746;203;203;200;3;128;72
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;108;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;808;244;244;242;2;153;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;109;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;685;201;201;199;2;144;55
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;110;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;698;210;210;202;8;136;66
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;111;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;1092;262;262;255;7;176;79
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;112;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;972;128;128;125;3;78;47
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;113;TENJA;HRVATSKI DOM TENJA;ULICA SVETE ANE 1E;1022;146;146;137;9;88;49
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;114;KLISA;MJESNI ODBOR KLISA;VUKOVARSKA ULICA 48;231;31;31;29;2;16;13
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;115;SARVAŠ;MJESNI ODBOR SARVAŠ;OSJEÈKA ULICA 64;810;232;232;227;5;160;67
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;116;SARVAŠ;MJESNI ODBOR SARVAŠ;OSJEÈKA ULICA 64;740;192;192;184;8;121;63
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;117;TVRÐAVICA;PROSTOR ŽELJKE BARIŠIÆ;TVRÐAVICA 84;494;189;189;180;9;125;55
