Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KARLO STARČEVIĆ;MARIO STILINOVIĆ
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;019;GOSPIĆ;MJESNI ODBOR MOGORIĆ;MOGORIĆ;94;41;41;41;0;39;2
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;020;GOSPIĆ;MJESNI ODBOR MEDAK;MEDAK;123;44;44;43;1;36;7
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;021;GOSPIĆ;ZGRADA HRVATSKOG NARODNOG DOMA SMILJAN;SMILJAN;497;329;329;322;7;242;80
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;022;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE DEBELO BRDO;DEBELO BRDO;63;44;44;44;0;35;9
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;023;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE  BUŽIM;BUŽIM;86;57;57;56;1;37;19
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;024;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE VELIKI ŽITNIK;VELIKI ŽITNIK;44;24;24;23;1;20;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;025;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE KLANAC;KLANAC;192;112;112;104;8;73;31
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;026;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE ALEKSINICA;ALEKSINICA;123;80;80;77;3;49;28
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;027;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE KALINOVAČA;KALINOVAČA;108;63;63;63;0;50;13
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;028;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE NOVOSELIJA;NOVOSELIJA;202;134;134;130;4;90;40
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;029;GOSPIĆ;KUĆA MARIA JOVANOVIĆA;MALA PLANA 35 A;73;44;44;43;1;32;11
