Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO JELIĆ;GORAN PAUK
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;008;BIRAČKO MJESTO 8;PRIVATNA KUĆA ANDRIJE ŠKEGRO;DOMOVINSKOG RATA 33, KOVAČIĆ;948;438;438;431;7;326;105
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;009;BIRAČKO MJESTO 9;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48, KNIN;1332;635;635;621;14;428;193
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;010;BIRAČKO MJESTO 10;ZGRADA OŠ DR. FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;744;328;328;323;5;217;106
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;011;BIRAČKO MJESTO 11;ZGRADA OŠ DR.FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;641;292;292;285;7;215;70
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;012;BIRAČKO MJESTO 12;KUĆA VLATKE ČOVIĆ;SURONJINA 15, KNIN;1492;686;686;681;5;489;192
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;013;BIRAČKO MJESTO 13;DOM KULTURE U VRPOLJU;FRA ANDRIJE MARIĆA 2, VRPOLJE;602;270;270;268;2;203;65
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;014;BIRAČKO MJESTO 14;OSNOVNA ŠKOLA DOMOVINSKE ZAHVALNOSTI, PODRUČNA ŠKOLA GOLUBIĆ;GOLUBIĆ;724;298;298;297;1;221;76
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;015;BIRAČKO MJESTO 15;ZGRADA NOVE AMBULANTE;PLAVNO;182;71;71;70;1;66;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;016;BIRAČKO MJESTO 16;KUĆA ĐURE RADOŠA;CENTAR 34, STRMICA;195;83;83;83;0;80;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;017;BIRAČKO MJESTO 17;ZGRADA TELEKOMUNIKACIJA-POŠTA;ZADARSKA 1, ŽAGROVIĆ;530;224;224;222;2;161;61
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;018;BIRAČKO MJESTO 18;KUĆA ILIJE ORLOVIĆA;LJUBAČ;51;34;34;33;1;32;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;019;BIRAČKO MJESTO 19;KUĆA VLASNIŠTVA VELJKA TANJGE;OČESTOVO;89;44;44;43;1;39;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;020;BIRAČKO MJESTO 20;KUĆA RADOJKE MILIVOJEVIĆ;POLAČA;159;74;74;72;2;59;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;001;BIRAČKO MJESTO 1;"""KULTURNI CENTAR U SKRADINU""";ANTUNA BECIĆA 2, SKRADIN;758;269;269;267;2;164;103
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;002;BIRAČKO MJESTO 2;PROSTORIJE OSNOVNE ŠKOLE U DUBRAVICAMA;DUBRAVICE;617;218;218;216;2;68;148
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;003;BIRAČKO MJESTO 3;KUĆA JOSE SLADIĆA POK. GRGE U PLASTOVU;PLASTOVO;259;104;104;104;0;10;94
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;004;BIRAČKO MJESTO 4;PROSTORIJE OSNOVNE ŠKOLE U RUPAMA;RUPE;487;189;189;186;3;49;137
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;005;BIRAČKO MJESTO 5;POSLOVNI PROSTOR DALIBORA DUJIĆA - POSLOVNA ZONA KOSA BB;IĆEVO;117;87;87;84;3;2;82
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;006;BIRAČKO MJESTO 6;POLJOPRIVREDNA ZADRUGA BRANITELJA BRATIŠKOVCI-BRIBIR;DOBROTE VULINOVIĆI 52 A, BRATIŠKOVCI;272;42;42;42;0;13;29
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;007;BIRAČKO MJESTO 7;POSLOVNI PROSTOR ZDRAVKA MARETIĆA U VAĆANIMA;DONJI VAĆANI 15;194;68;66;65;1;19;46
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;008;BIRAČKO MJESTO 8;"PROSTORIJE BOĆARSKOG KLUBA ""SONKOVIĆ"" U SONKOVIĆU";SONKOVIĆ;597;178;178;176;2;42;134
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;009;BIRAČKO MJESTO 9;POSLOVNI PROSTOR JOŠKA CIGIĆA U BRIBIRU (BIVŠA OSNOVNA ŠKOLA);BRIBIRSKE MOSTINE BB;274;25;25;24;1;8;16
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;010;BIRAČKO MJESTO 10;PROSTORIJE OSNOVNE ŠKOLE U PIRAMATOVCIMA;PIRAMATOVCI;242;76;76;76;0;21;55
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;011;BIRAČKO MJESTO 11;PROSTORIJE OSNOVNE ŠKOLE  U KRKOVIĆU;KRKOVIĆ;309;93;93;88;5;35;53
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;001;BIRAČKO MJESTO 1;TURISTIČKO - UGOSTITELJSKA ŠKOLA;ANTE ŠUPUKA BB, ŠIBENIK;726;364;364;359;5;211;148
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;002;BIRAČKO MJESTO 2;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A , ŠIBENIK;486;223;223;219;4;142;77
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;003;BIRAČKO MJESTO 3;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A, ŠIBENIK;624;308;308;306;2;224;82
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;004;BIRAČKO MJESTO 4;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;986;447;447;441;6;267;174
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;578;281;281;272;9;171;101
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;006;BIRAČKO MJESTO 6;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;617;248;248;247;1;153;94
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;007;BIRAČKO MJESTO 7;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;844;386;386;381;5;235;146
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;008;BIRAČKO MJESTO 8;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;705;298;298;293;5;182;111
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;009;BIRAČKO MJESTO 9;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;925;404;404;397;7;243;154
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;010;BIRAČKO MJESTO 10;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;871;381;381;372;9;250;122
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;719;333;333;327;6;224;103
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;012;BIRAČKO MJESTO 12;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;543;245;245;237;8;156;81
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;013;BIRAČKO MJESTO 13;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;717;348;348;345;3;186;159
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;014;BIRAČKO MJESTO 14;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;705;289;289;280;9;182;98
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;015;BIRAČKO MJESTO 15;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;947;446;446;429;17;207;222
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;016;BIRAČKO MJESTO 16;VODOVOD I ODVODNJA D.O.O. ŠIBENIK;KRALJA ZVONIMIRA 50,  ŠIBENIK;903;425;425;418;7;233;185
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;017;BIRAČKO MJESTO 17;PROSTORIJE DJEČJEG VRTIĆA ŽIŽULA;ULICA MILICE I TURKA 4,  ŠIBENIK;490;224;224;223;1;125;98
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;018;BIRAČKO MJESTO 18;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;1011;430;428;418;10;224;194
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;019;BIRAČKO MJESTO 19;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;1241;546;546;536;10;271;265
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;020;BIRAČKO MJESTO 20;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;958;434;434;424;10;274;150
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;021;BIRAČKO MJESTO 21;PROSTORIJE GRAD. ČETVRTI PLIŠAC;FRA STJEPANA ZLATOVIĆA,   ŠIBENIK;637;288;288;280;8;179;101
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;022;BIRAČKO MJESTO 22;OSNOVNA ŠKOLA VIDICI - PODRUČNA ŠKOLA RAŽINE;PUT EGERA BB, ŠIBENIK;1344;535;535;524;11;295;229
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;023;BIRAČKO MJESTO 23;PROSTORIJE GRADSKE ČETVRTI RAŽINE DONJE;LEPENIČKA 1, ŠIBENIK;699;280;280;276;4;167;109
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;024;BIRAČKO MJESTO 24;PROSTORIJE GRADSKE VIJEĆNICE;TRG REPUBLIKE HRVATSKE,  ŠIBENIK;669;290;290;285;5;175;110
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;025;BIRAČKO MJESTO 25;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1,  ŠIBENIK;491;213;213;211;2;140;71
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;026;BIRAČKO MJESTO 26;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1, ŠIBENIK;461;229;229;224;5;134;90
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;027;BIRAČKO MJESTO 27;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;820;395;395;384;11;224;160
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;028;BIRAČKO MJESTO 28;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;780;344;344;338;6;204;134
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;029;BIRAČKO MJESTO 29;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;661;298;298;295;3;199;96
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;030;BIRAČKO MJESTO 30;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;1138;543;543;529;14;310;219
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;031;BIRAČKO MJESTO 31;PROSTORIJE PROMETNO TEHNIČKE ŠKOLE (EX EKONOMSKA ŠKOLA);KRALJA ZVONIMIRA 2,  ŠIBENIK;700;308;308;300;8;175;125
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;032;BIRAČKO MJESTO 32;KREŠIMIROV DOM;TRG PALIH BRANITELJA DOMOVINSKOG RATA 1,  ŠIBENIK;768;339;339;330;9;172;158
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;033;BIRAČKO MJESTO 33;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;514;211;211;207;4;145;62
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;034;BIRAČKO MJESTO 34;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;551;245;245;242;3;165;77
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;035;BIRAČKO MJESTO 35;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;594;262;262;261;1;161;100
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;036;BIRAČKO MJESTO 36;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;669;281;281;280;1;198;82
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;037;BIRAČKO MJESTO 37;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;672;315;315;308;7;180;128
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;038;BIRAČKO MJESTO 38;PROSTORIJE ŠPORTSKOG KLUBA POLET U ZABLAĆU;ZABLAĆE;661;202;202;196;6;122;74
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;039;BIRAČKO MJESTO 39;PROSTORIJE TURISTIČKOG UREDA JADRIJA;JADRIJA;224;106;106;105;1;60;45
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;040;BIRAČKO MJESTO 40;ŠKOLSKA ZGRADA U BORAJI;BORAJA BB;214;116;116;114;2;37;77
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;041;BIRAČKO MJESTO 41;PROSTORIJE MJESNOG ODBORA BRODARICA;KRAPANJSKIH SPUŽVARA 4, BRODARICA;736;287;287;283;4;172;111
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;042;BIRAČKO MJESTO 42;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;846;338;338;331;7;199;132
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;043;BIRAČKO MJESTO 43;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;972;383;383;375;8;221;154
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;044;BIRAČKO MJESTO 44;ŠKOLSKA ZGRADA U DANILU;DANILO BB;314;150;150;149;1;63;86
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;045;BIRAČKO MJESTO 45;PROSTORIJE ŠKOLSKE ZGRADE U DANILU BIRNJU;DANILO BIRANJ BB;376;150;150;148;2;65;83
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;046;BIRAČKO MJESTO 46;PROSTORIJE ŠKOLSKE ZGRADE U DANILU KRALJICAMA;DANILO KRALJICE BB;106;44;44;44;0;10;34
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;047;BIRAČKO MJESTO 47;PRIVATNA KUĆA VLASNIŠTVO ZVONKA MIŠURE U DONJEM POLJU;VRPOLJAČKA CESTA 8, DONJE POLJE;236;97;97;97;0;44;53
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;048;BIRAČKO MJESTO 48;PODRUČNA OSNOVNA ŠKOLA PETRA KREŠIMIRA IV U DUBRAVI KOD ŠIBENIKA;DUBRAVA KOD ŠIBENIKA BB;706;338;338;328;10;171;157
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;049;BIRAČKO MJESTO 49;U PRIVATNOJ KUĆI VLASNIŠTVO IVICE RAKA;RAKOVO SELO 67;293;138;138;135;3;66;69
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;050;BIRAČKO MJESTO 50;MJESNI ODBOR GORIŠ;LABORI 63A, GORIŠ;126;71;71;70;1;19;51
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;051;BIRAČKO MJESTO 51;U PROSTORIJAMA ŠKOLSKE ZGRADE U  GREBAŠTICI;GREBAŠTICA DONJA BB;908;389;389;382;7;210;172
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;052;BIRAČKO MJESTO 52;PROSTORIJE MJESNOG ODBORA JADRTOVAC U JADRTOVCU;JADRTOVAC BB;156;84;84;83;1;46;37
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;053;BIRAČKO MJESTO 53;PROSTORIJE MJESNOG ODBORA KAPRIJE U KAPRIJU;KAPRIJE BB;271;128;128;127;1;60;67
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;054;BIRAČKO MJESTO 54;PROSTORIJE LOVAČKOG DOMA KRKA U KONJEVRATIMA;KONJEVRATE, KONJEVRATE BB;297;106;106;105;1;44;61
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;055;BIRAČKO MJESTO 55;PROSTORIJE ŠKOLSKE ZGRADE U BRNJICI;BRNJICA BB;70;31;31;31;0;17;14
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;056;BIRAČKO MJESTO 56;PROSTORIJE ŠKOLSKE ZGRADE U KRAPNJU;KRAPANJ BB;259;68;68;66;2;36;30
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;057;BIRAČKO MJESTO 57;U PRIVATNOJ KUĆI VINKA PAŠKALINA (POK. NIKOLE) U LEPENICI;MRDEŽE 5;58;24;24;23;1;7;16
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;058;BIRAČKO MJESTO 58;PROSTORIJE MJESNOG ODBORA LOZOVAC U TROMILJI;TROMILJA BB;351;155;155;152;3;85;67
