Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN ÈEHOK;NEVEN BOSILJ
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;011;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;607;259;259;251;8;101;150
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;012;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;822;312;312;302;10;143;159
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;013;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;985;423;423;405;18;203;202
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;014;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;761;325;325;315;10;131;184
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;015;VARAŽDIN;PROSTORIJE IV. MJESNOG ODBORA;TRAKOŠÆANSKA 24;439;206;206;201;5;92;109
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;016;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;783;335;335;323;12;162;161
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;017;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;660;288;288;277;11;135;142
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;018;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;618;282;282;268;14;109;159
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;019;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;556;275;275;268;7;138;130
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;020;VARAŽDIN;"PROSTORIJE POSLOVNE ZGRADE ""ELEKTRA""";KRATKA 3;590;298;298;287;11;104;183
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;021;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;770;390;390;382;8;150;232
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;022;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;730;337;337;324;13;179;145
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;023;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE  TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;713;295;295;285;10;138;147
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;024;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;786;308;308;298;10;142;156
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;025;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;1086;471;471;460;11;221;239
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;026;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;789;373;373;365;8;185;180
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;027;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;917;433;432;414;18;196;218
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;028;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;837;300;300;292;8;165;127
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;029;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;984;383;383;374;9;200;174
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;030;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;963;370;369;358;11;184;174
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;031;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;909;351;351;337;14;170;167
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;032;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;VLADIMIRA GORTANA 19;944;400;400;376;24;194;182
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;033;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;VLADIMIRA GORTANA 19;987;439;439;419;20;190;229
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;034;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;625;261;261;250;11;101;149
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;035;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;1013;430;430;419;11;166;253
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;036;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;777;312;312;303;9;123;180
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;037;VARAŽDIN;"BIRALIŠTE 1, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;802;394;394;384;10;192;192
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;038;VARAŽDIN;"BIRALIŠTE 2, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;887;403;403;387;16;179;208
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;039;VARAŽDIN;"BIRALIŠTE 3, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;779;296;296;293;3;145;148
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;040;VARAŽDIN;PROSTORIJE III. OSNOVNE ŠKOLE;TRG IVANA PERKOVCA 35;726;307;307;287;20;174;113
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;041;VARAŽDIN;BIRALIŠTE 1,  PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIÆA 23;842;396;396;379;17;166;213
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;042;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIÆA 23;641;289;289;280;9;154;126
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;043;HRAŠÆICA;PROSTORIJE MJESNOG ODBORA;SPORTSKI CENTAR HRAŠÆICA;1185;461;461;438;23;289;149
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;044;JALKOVEC;PROSTORIJE DRUŠTVENOG DOMA;BRAÆE RADIÆA 99;1065;381;381;373;8;209;164
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;045;POLJANA BIŠKUPEÈKA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 56;396;177;177;169;8;114;55
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;046;ÈRNEC BIŠKUPEÈKI;PROSTORIJE DRUŠTVENOG DOMA;ÈRNEC BIŠKUPEÈKI 137;553;164;164;156;8;90;66
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;047;GOJANEC;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA;MATIJE GUPCA 24;511;248;248;240;8;167;73
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;048;KUÆAN MAROF;PROSTORIJE DRUŠTVENOG DOMA;MAROFSKA 2 A;1159;518;518;497;21;290;207
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;049;GORNJI KUÆAN;PROSTORIJE VATROGASNOG DOMA;GORNJI KUÆAN;901;484;484;464;20;268;196
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;050;DONJI KUÆAN;PROSTORIJE VATROGASNOG DOMA;DONJI KUÆAN;646;241;241;237;4;161;76
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;051;ZBELAVA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 119;402;158;158;156;2;103;53
