Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MILORAD BATINIĆ;ZDENKO ĐURAS
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;011;KANIŽA;DRUŠTVENI DOM;KANIŽA;221;87;87;87;0;77;10
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;012;BEDENEC;VATROGASNI DOM - BIRALIŠTE I;BEDENEC;335;129;129;127;2;53;74
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;013;BEDENEC;VATROGASNI DOM - BIRALIŠTE II;BEDENEC;231;88;88;87;1;50;37
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;014;JEROVEC DONJI;DRUŠTVENI DOM JEROVEC DONJI;JEROVEC 80 C;359;172;172;170;2;81;89
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;015;JEROVEC GORNJI;DRUŠTVENI DOM JEROVEC GORNJI;JEROVEC 205;321;157;157;150;7;55;95
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;016;RIBIĆ BREG;KUĆA POK. VJEKOSLAVA PAHIĆA;RIBIĆ BREG 3;125;57;57;54;3;20;34
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;017;HORVATSKO;"PROSTORIJE ""ORION""";HORVATSKO 28;139;38;38;38;0;22;16
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;018;PRIGOREC;OSNOVNA ŠKOLA;PRIGOREC;426;161;161;154;7;109;45
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;019;PUNIKVE;DRUŠTVENI DOM;PUNIKVE;352;137;137;136;1;94;42
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;020;IVANEČKO NASELJE;"BIVŠA TISKARA ""PIMS""";IVANEČKO NASELJE 7;214;87;87;81;6;42;39
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;021;IVANEČKI VRHOVEC;KUĆA IVANA LONČARA;IVANEČKI VRHOVEC 53 A;239;73;73;73;0;32;41
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;022;VITEŠINEC;"BIVŠE IZLETIŠTE ""CRKVENJAK""";VITEŠINEC;83;36;36;33;3;24;9
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;023;GAČICE;OSNOVNA ŠKOLA;GAČICE;288;114;114;113;1;66;47
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;024;CERJE TUŽNO;DRUŠTVENI DOM;CERJE TUŽNO;145;58;58;56;2;29;27
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;025;SALINOVEC;OSNOVNA ŠKOLA;SALINOVEC;418;154;154;153;1;83;70
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;026;IVANEČKA ŽELJEZNICA;DRUŠTVENI DOM;IVANEČKA ŽELJEZNICA;297;93;93;93;0;51;42
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;027;STAŽNJEVEC;STARA ŠKOLA;STAŽNJEVEC;277;146;146;144;2;96;48
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;028;LUKAVEC;DRUŠTVENI DOM;LUKAVEC;112;60;60;58;2;39;19
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;029;MARGEČAN;OSNOVNA ŠKOLA - BIRALIŠTE I;MARGEČAN;329;183;183;181;2;45;136
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;030;OSEČKA;DRUŠTVENI DOM;OSEČKA;185;105;105;105;0;65;40
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;031;MARGEČAN;OSNOVNA ŠKOLA - BIRALIŠTE II;MARGEČAN;183;115;115;114;1;14;100
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;032;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE I;RADOVAN;367;132;132;130;2;26;104
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;033;ŠKRILJEVEC;DRUŠTVENI DOM;ŠKRILJEVEC;210;89;89;86;3;39;47
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;034;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE II;RADOVAN;384;129;129;127;2;41;86
