Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;RADIMIR ÈAÈIÆ;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;012;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;822;312;312;288;24;167;121
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;013;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;985;423;423;391;32;214;177
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;014;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;761;325;325;293;32;159;134
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;015;VARAŽDIN;PROSTORIJE IV. MJESNOG ODBORA;TRAKOŠÆANSKA 24;439;207;207;188;19;97;91
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;016;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;783;335;335;302;33;179;123
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;017;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;660;288;288;258;30;136;122
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;018;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;618;282;282;263;19;168;95
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;019;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;556;275;275;253;22;146;107
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;020;VARAŽDIN;"PROSTORIJE POSLOVNE ZGRADE ""ELEKTRA""";KRATKA 3;590;298;298;283;15;165;118
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;021;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;770;391;391;367;24;214;153
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;022;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;730;337;337;304;33;149;155
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;023;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE  TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;713;295;295;270;25;144;126
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;024;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;786;308;308;281;27;143;138
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;025;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;1086;471;471;445;26;269;176
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;026;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;789;373;373;341;32;190;151
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;027;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;917;433;433;390;43;201;189
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;028;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;837;300;300;275;25;152;123
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;029;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;984;383;383;374;9;162;212
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;030;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;963;370;370;343;27;183;160
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;031;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;909;351;351;328;23;175;153
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;032;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;VLADIMIRA GORTANA 19;944;400;400;366;34;175;191
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;033;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;VLADIMIRA GORTANA 19;987;439;439;408;31;225;183
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;034;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;625;261;261;238;23;139;99
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;035;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;1013;430;430;412;18;234;178
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;036;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;777;312;312;285;27;171;114
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;037;VARAŽDIN;"BIRALIŠTE 1, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;802;394;394;368;26;206;162
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;038;VARAŽDIN;"BIRALIŠTE 2, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;887;402;402;368;34;198;170
