Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;FOKUS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IGOR HODALJ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  FRAN KOMLINOVIÆ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  JASENKO KROVINOVIÆ;MOST;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA KONZERVATIVNA STRANKA - HKS;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA DEMOKRATSKA REGIONALNA STRANKA - HDRS
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;011;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIÆA 18;965;353;353;347;6;13;3;9;134;3;25;56;38;49;3;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;012;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIÆA 18;966;420;420;410;10;21;7;14;113;2;34;79;53;65;3;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;013;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;935;379;379;370;9;24;12;6;113;3;21;75;41;46;7;22
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;014;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;879;366;366;353;13;29;10;10;111;3;25;60;44;41;4;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;015;PETRINJA;PODRUÈNA ŠKOLA MATE LOVRAKA;ÈEŠKO SELO, SISAÈKA BB;1098;439;439;427;12;27;7;15;141;4;16;56;27;88;1;45
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;016;NOVA DRENÈINA;HRVATSKI DOM NOVA DRENÈINA;NOVA DRENÈINA;321;152;152;145;7;8;1;5;67;2;2;23;9;20;0;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;017;BREST POKUPSKI;HRVATSKI DOM BREST POKUPSKI;BREST POKUPSKI;266;164;164;155;9;8;0;4;70;2;5;31;9;23;0;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;018;MALA GORICA;PODRUÈNA ŠKOLA MALA GORICA;MALA GORICA;313;123;123;118;5;8;2;4;44;2;3;25;9;19;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;019;DONJA BUDIÈINA;IGRALIŠTE U DONJOJ BUDIÈINI;DONJA BUDIÈINA (ŠATOR);229;114;114;110;4;2;2;0;59;0;2;16;3;19;1;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;020;TABORIŠTE;HRVATSKI DOM TABORIŠTE;TABORIŠTE;202;108;108;105;3;3;1;1;50;0;2;11;8;24;0;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;021;KRIŽ HRASTOVAÈKI;PRIVATNA KUÆA ÐURE PEJAKOVIÆA;KRIŽ HRASTOVAÈKI 22;256;131;131;128;3;7;4;11;39;0;2;15;13;31;4;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;022;HRASTOVICA;"NARODNI DOM ""STJEPAN RADIÆ"" HRASTOVICA";HRASTOVICA BB, HRASTOVICA;389;234;234;222;12;12;4;4;88;4;4;27;19;53;0;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;023;SREDNJE MOKRICE;DRUŠTVENI DOM SREDNJE MOKRICE;SREDNJE MOKRICE;185;99;99;95;4;2;2;0;49;1;2;14;1;23;0;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;024;NOVI FARKAŠIÆ;HRVATSKI DOM;NOVI FARKAŠIÆ;248;131;130;119;11;3;2;0;38;1;3;5;4;61;0;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;025;STRAŠNIK;HRVATSKI DOM STRAŠNIK;STRAŠNIK 26/A;505;272;272;264;8;18;4;60;100;1;6;26;6;41;0;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;026;GRABERJE;DRUŠTVENI DOM GRABERJE;GRABERJE 7/A (ŠATOR);124;77;77;75;2;3;1;2;10;1;4;9;6;39;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;027;NEBOJAN;DRUŠTVENI DOM NEBOJAN;NEBOJAN;149;80;80;75;5;7;0;1;33;0;2;3;5;18;0;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;028;MOŠÆENICA;HRVATSKI DOM MOŠÆENICA;MOŠÆENICA, ULICA MARINA DRŽIÆA 7;1208;602;602;572;30;34;17;8;123;4;26;55;17;253;7;28
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;029;MOŠÆENICA;OSNOVNA ŠKOLA MOŠÆENICA;MOŠÆENICA;979;504;504;479;25;30;14;2;90;6;8;17;13;261;5;33
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;030;PRNJAVOR ÈUNTIÈKI;DIC;PRNJAVOR ÈUNTIÈKI 1/B;201;91;91;88;3;2;2;3;20;1;2;8;3;25;11;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;031;JABUKOVAC;OSNOVNA ŠKOLA;JABUKOVAC;614;296;296;270;26;15;9;20;33;3;8;18;8;92;39;25
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;032;BLINJA;HRVATSKI DOM BLINJA;BLINJA (ŠATOR);319;164;164;155;9;1;1;1;8;0;1;9;2;68;45;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;033;GRABOVAC BANSKI;CENTAR ZA ŠLJIVU I KESTEN;DONJA BAÈUGA 108/C (ŠATOR);385;110;110;99;11;1;2;0;7;0;2;4;0;33;37;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;034;NOVO SELIŠTE;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);276;125;125;123;2;11;4;2;43;4;14;15;15;10;0;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;035;SLANA;DRUŠTVENI DOM;SLANA;227;101;101;100;1;9;0;6;58;0;2;20;2;2;0;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;036;PETRINJA;PODRUÈNA ŠKOLA MATE LOVRAKA;ÈEŠKO SELO, SISAÈKA BB;1043;448;448;436;12;27;13;23;140;5;26;82;33;54;1;32
