Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA - HSP, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MOST;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, HRVATSKA DEMOKRATSKA REGIONALNA STRANKA - HDRS, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;STRANKA UMIROVLJENIKA - SU;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVO ŽINIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;004;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 2";ŠKOLSKA 2;837;392;392;371;21;70;125;24;4;5;117;6;20
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;005;KUTINA;VATROGASNI DOM KUTINA;LJUDEVITA POSAVSKOG 27;509;202;202;190;12;28;62;20;2;5;65;3;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;006;KUTINA;"DJEÈJI VRTIÆ""MASLAÈAK""";ANDRIJE HEBRANGA 1;711;317;317;304;13;69;107;16;7;4;89;8;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;007;KUTINA;ŠUMARIJA;UL. ANTUNA GUSTAVA MATOŠA;866;413;413;383;30;75;122;26;9;6;129;7;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;008;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 2";NIKOLE TESLE 1;667;283;283;271;12;67;91;16;5;2;78;3;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;009;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 3";NIKOLE TESLE 1;707;293;293;283;10;50;109;17;1;0;94;6;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;010;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 1";CRKVENA 59;679;262;262;253;9;60;112;15;2;2;54;0;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;011;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 2";CRKVENA 59;432;199;199;189;10;36;78;7;2;4;51;5;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;012;KUTINA;TEHNIÈKA ŠKOLA KUTINA PROSTOR BR. 2;HRVATSKIH BRANITELJA 6;771;347;347;330;17;54;102;13;5;7;129;9;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;013;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 1";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;931;344;344;329;15;69;139;24;8;3;71;6;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;014;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 2";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;736;330;330;318;12;72;107;30;3;3;76;8;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;015;KUTINA;DOM RADNIÈKO NASELJE;HUSAINSKA 41;316;123;123;118;5;72;20;7;2;1;12;3;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;016;KUTINA;DOM;ULICA STJEPANA RADIÆA;1003;452;452;411;41;105;199;18;13;4;37;5;30
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;017;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 101;842;415;415;388;27;82;212;16;6;1;54;6;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;018;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;707;300;300;283;17;64;146;8;3;2;52;4;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;019;MEÐURIÆ;DOM MEÐURIÆ;MEÐURIÆ;386;216;216;212;4;12;101;4;0;2;87;2;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;020;JANJA LIPA;DOM JANJA LIPA;HRVATSKIH BRANITELJA 44;155;105;105;104;1;15;84;3;0;0;2;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;021;JAMARICE;DOM JAMARICE;JAMARICA;331;146;146;138;8;16;86;3;1;0;28;2;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;022;BANOVA JARUGA;VATROGASNI DOM BANOVA JARUGA;BANOVA JARUGA;576;213;213;204;9;39;93;12;1;2;48;4;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;023;ILOVA;ŠKOLA ILOVA;ILOVA;694;252;252;245;7;66;119;13;5;2;35;2;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;024;ZBJEGOVAÈA;DOM ZBJEGOVAÈA;ZBJEGOVAÈA;284;112;112;109;3;13;68;3;2;1;19;0;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;025;HUSAIN;DOM HUSAIN;HUSAIN;805;345;345;331;14;70;144;13;1;1;81;11;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;026;BATINA;DOM BATINA;BATINA;176;81;81;79;2;10;55;1;0;0;10;1;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;027;GOJLO;DOM GOJLO;GOJLO;289;138;138;130;8;24;60;9;4;1;28;3;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;028;MIŠINKA;KUÆA OBITELJI MLINAR;MIŠINKA 6;116;45;45;44;1;12;20;1;1;0;9;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;029;KUTINSKA SLATINA;DOM KUTINSKA SLATINA;KUTINSKA SLATINA;503;262;262;253;9;53;170;9;2;0;18;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;030;KATOLIÈKE ÈAIRE;DOM KATOLIÈKE ÈAIRE;KATOLIÈKE ÈAIRE;198;84;84;81;3;16;46;3;1;0;4;4;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;031;KLETIŠTE;DRUŠTVENI DOM;GORNJE KLETIŠTE;106;52;52;51;1;15;28;2;1;1;4;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;032;ŠARTOVAC;DOM ŠARTOVAC;ŠARTOVAC;321;185;185;179;6;44;112;1;2;0;12;7;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;033;STUPOVAÈA;ŠKOLA STUPOVAÈA;STUPOVAÈA;375;155;155;150;5;13;68;6;2;10;47;2;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;034;BRINJANI;DOM BRINJANI;BRINJANI;185;110;110;109;1;7;51;1;1;15;28;2;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;035;KRAJIŠKA KUTINICA;DOM KRAJIŠKA KUTINICA;KRAJIŠKA KUTINICA;58;29;29;27;2;0;11;0;0;8;5;1;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;036;KUTINICA;DOM KUTINICA;KUTINICA;53;27;27;27;0;0;15;1;0;2;8;0;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;037;ÈAIRE;OBJEKAT OPG MALBAŠIÆ;ÈAIRE 12;25;15;15;15;0;1;6;2;1;0;5;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;038;SELIŠTE;DOM SELIŠTE;SELIŠTE;240;116;116;110;6;17;51;2;2;1;32;3;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;039;MIKLEUŠKA;DOM MIKLEUŠKA;MIKLEUŠKA;103;29;29;29;0;0;13;1;3;3;9;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;001;NOVSKA;OSNOVNA ŠKOLA NOVSKA;TRG DR. FRANJE TUÐMANA 1;1049;456;456;426;30;75;221;34;0;6;59;13;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;002;NOVSKA;DJEÈJI VRTIÆ STRIBOR;POSAVSKA 5;1235;523;523;494;29;82;280;30;4;4;65;10;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;003;NOVSKA;GRADSKA GALERIJA PUÈKOG OTVORENOG UÈILIŠTA;TRG DR. FRANJE TUÐMANA BR. 3;718;322;322;297;25;73;156;9;3;0;39;9;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;004;NOVSKA;DJEÈJI VRTIÆ ''RADOST'';ULICA I. BRLIÆ MAŽURANIÆ 1;1204;526;526;496;30;91;281;28;4;6;65;11;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;005;NOVSKA;PODUZETNIÈKI INKUBATOR PISMO;TRG L. ILIÆA ORIOVÈANINA 8;537;231;230;212;18;33;114;15;4;3;29;11;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;006;NOVSKA;ZGRADA RAZVOJNE AGENCIJE NOVSKA NORA;POTOÈNA ULICA 25;1029;443;443;428;15;107;216;28;8;8;46;11;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;007;BROÈICE;HRVATSKI DOM;BROÈICE;735;349;349;335;14;70;200;11;3;3;28;10;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;008;BRESTAÈA;HRVATSKI DOM;BRESTAÈA;729;276;276;252;24;53;146;9;7;0;24;7;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;009;KOZARICE;HRVATSKI SELJAÈKI PROSVJETNI DOM U KOZARICAMA;KOZARICE;342;134;134;124;10;17;92;3;0;1;3;4;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;010;NOVA SUBOCKA;OSNOVNA ŠKOLA;NOVA SUBOCKA;598;259;259;241;18;33;167;6;5;1;11;8;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;011;STARA SUBOCKA;HRVATSKI DOM;STARA SUBOCKA;384;161;161;155;6;31;92;3;7;1;10;8;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;012;SIGETAC;HRVATSKI DOM;SIGETAC;96;61;61;53;8;7;36;2;1;2;3;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;013;PLESMO;HRVATSKI DOM;PLESMO;58;38;38;38;0;2;20;0;2;0;9;4;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;014;STARI GRABOVAC;HRVATSKI DOM;STARI GRABOVAC;335;159;159;151;8;22;98;4;2;0;11;6;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;015;PAKLENICA;HRVATSKI DOM;PAKLENICA;214;86;86;76;10;14;41;2;0;0;16;0;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;016;VOÆARICA;HRVATSKI DOM;VOÆARICA;129;76;76;75;1;10;62;0;0;0;2;0;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;017;JAZAVICA;HRVATSKI DOM;JAZAVICA;304;142;142;138;4;19;85;21;2;3;1;4;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;018;ROŽDANIK;HRVATSKI DOM;ROŽDANIK;212;112;112;106;6;8;80;7;1;0;7;2;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;019;RAJIÆ;VATROGASNI DOM;RAJIÆ;725;275;275;256;19;36;145;30;1;2;21;9;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;NOVSKA;020;BOROVAC;HRVATSKI DOM;BOROVAC;195;92;92;92;0;11;60;3;0;3;10;5;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;001;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAÆE HANŽEK 19;448;277;277;263;14;23;90;32;46;3;38;6;25
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;002;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAÆE HANŽEK 19;539;301;301;289;12;30;108;34;43;0;53;7;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;003;PETRINJA;RUKOMETNO IGRALIŠTE;ULICA ANTUNA MATIJE RELJKOVIÆA BB (ŠATOR);875;488;488;470;18;42;233;56;45;0;66;9;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;004;PETRINJA;HRVAÈKA DVORANA;TRG NARODNIH UÈITELJA 7/A;872;502;501;473;28;56;159;62;51;0;115;13;17
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;005;PETRINJA;DJEÈJI VRTIÆ, PETRINJA;ULICA MILANA DUJNIÆA 25;765;378;378;361;17;40;149;34;36;5;74;9;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;006;PETRINJA;DJEÈJI VRTIÆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIÆA 18/3;650;314;314;295;19;38;117;33;26;1;56;7;17
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;007;PETRINJA;DJEÈJI VRTIÆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIÆA 18/3;962;511;511;485;26;65;188;71;54;3;85;7;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;008;PETRINJA;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);868;447;447;421;26;56;143;60;56;6;84;5;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;009;PETRINJA;DOM ZDRAVLJA PETRINJA;R. LOPAŠIÆA BB;634;352;352;335;17;22;123;48;44;7;77;9;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;010;PETRINJA;DJEÈJI VRTIÆ, PETRINJA;ULICA MILANA DUJNIÆA 25;863;319;319;307;12;31;126;49;33;9;45;7;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;011;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIÆA 18;965;353;353;337;16;30;142;67;40;6;34;4;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;012;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIÆA 18;966;420;420;403;17;39;154;71;56;7;54;6;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;013;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;935;379;379;360;19;41;134;57;48;0;59;7;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;014;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;879;366;366;345;21;46;142;60;40;4;39;6;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;015;PETRINJA;PODRUÈNA ŠKOLA MATE LOVRAKA;ÈEŠKO SELO, SISAÈKA BB;1098;439;439;422;17;37;167;41;69;5;73;11;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;016;NOVA DRENÈINA;HRVATSKI DOM NOVA DRENÈINA;NOVA DRENÈINA;321;151;151;144;7;15;68;19;17;0;15;5;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;017;BREST POKUPSKI;HRVATSKI DOM BREST POKUPSKI;BREST POKUPSKI;266;164;164;152;12;14;83;8;23;0;9;2;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;018;MALA GORICA;PODRUÈNA ŠKOLA MALA GORICA;MALA GORICA;313;123;123;118;5;11;59;8;26;0;10;1;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;019;DONJA BUDIÈINA;IGRALIŠTE U DONJOJ BUDIÈINI;DONJA BUDIÈINA (ŠATOR);229;114;114;109;5;5;71;4;17;0;8;3;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;020;TABORIŠTE;HRVATSKI DOM TABORIŠTE;TABORIŠTE;202;108;108;103;5;7;52;8;21;1;4;3;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;021;KRIŽ HRASTOVAÈKI;PRIVATNA KUÆA ÐURE PEJAKOVIÆA;KRIŽ HRASTOVAÈKI 22;256;131;131;124;7;13;59;16;20;2;8;2;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;022;HRASTOVICA;"NARODNI DOM ""STJEPAN RADIÆ"" HRASTOVICA";HRASTOVICA BB, HRASTOVICA;389;234;234;216;18;20;102;17;35;0;20;2;20
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;023;SREDNJE MOKRICE;DRUŠTVENI DOM SREDNJE MOKRICE;SREDNJE MOKRICE;185;99;99;93;6;6;57;1;18;0;2;2;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;024;NOVI FARKAŠIÆ;HRVATSKI DOM;NOVI FARKAŠIÆ;248;110;110;98;12;3;47;5;37;0;3;1;2
