Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DUŠAN BJELAJAC;MIRJANA OLUIĆ;MILAN VUKELIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;011;HAĐER;ŠATOR ISPRED DRUŠTVENOG DOMA HAĐER;HAĐER;1;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;012;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;4;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;013;STANKOVAC;ŠATOR ISPRED DRUŠTVENOG DOMA;STANKOVAC;0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;014;SLATINA POKUPSKA;"ŠATOR  ISPRED ""RADIO BANOVINA"" D.O.O.";SLATINA POKUPSKA 80;0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;015;GORNJA BUČICA;VATROGASNI DOM DVD BUČICA;GORNJA BUČICA 8;2;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;016;GORNJE SELIŠTE;DRUŠTVENI DOM;GORNJE SELIŠTE;207;91;91;85;6;41;29;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;017;MAJA;OSNOVNA ŠKOLA;MAJA;172;77;73;65;8;39;17;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;018;MALI GRADAC;PROSTORIJE VATROGASNOG DOMA MALI GRADAC;MALI GRADAC 76;233;136;136;116;20;82;24;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;019;DRAGOTINA;ŠATOR ISPRED STARE ZGRADE PREHRAMBENE INDUSTRIJE PETRINJA U DRAGOTINI/BLIZINA OSNOVNE ŠKOLE/;DRAGOTINA;360;200;199;154;45;79;53;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;001;"HRVATSKA KOSTAJNICA - ""DONJI GRAD""";PROSTORIJE MAGISTRATA;TRG N. Š. ZRINSKOG;75;20;20;20;0;3;7;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;002;"HRVATSKA KOSTAJNICA - ""CENTAR""";HRVATSKI DOM;ULICA VLADIMIRA NAZORA 17;70;16;16;15;1;3;7;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;003;"HRVATSKA KOSTAJNICA - ""GORNJI GRAD""";"PROSTORIJE SREDNJE ŠKOLE ""IVANA TRNSKOG"" HRVATSKA KOSTAJNICA";HRVATSKA KOSTAJNICA;188;60;60;58;2;23;20;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;004;ČUKUR;PROSTORIJE MJESNOG ODBORA ČUKUR;ČUKUR BB;83;41;41;40;1;19;13;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;005;PANJANI;PROSTORIJE MJESNOG ODBORA PANJANI;PANJANI BB;43;19;19;18;1;0;9;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;006;ROSULJE;"PROSTORIJE ŠRU ""UNA""";ROSULJE 92;54;25;25;25;0;5;11;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;007;SELIŠTE KOSTAJNIČKO;PROSTORIJE MJESNOG ODBORA SELIŠTE KOSTAJNIČKO;SELIŠTE KOSTAJNIČKO BB;3;2;2;0;2;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;008;UTOLICA;PROSTORIJE MJESNOG ODBORA UTOLICA;UTOLICA BB;38;11;11;11;0;4;5;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;001;KUTINA;O.Š. STJEPAN KEFELJA - PROSTOR BR. 1;NIKOLE TESLE 1;27;4;4;4;0;0;4;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;002;KUTINA;TEHNIČKA ŠKOLA KUTINA - PROSTOR BR. 1;HRVATSKIH BRANITELJA 6;51;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;003;KUTINA;"O.Š. ""VLADIMIR VIDRIĆ"" - PROSTOR BR. 1";ŠKOLSKA 2;15;1;1;1;0;0;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;004;KUTINA;"O.Š. ""VLADIMIR VIDRIĆ"" - PROSTOR BR. 2";ŠKOLSKA 2;66;2;2;2;0;0;2;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;005;KUTINA;VATROGASNI DOM KUTINA;LJUDEVITA POSAVSKOG 27;52;3;3;3;0;2;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;006;KUTINA;"DJEČJI VRTIĆ""MASLAČAK""";ANDRIJE HEBRANGA 1;42;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;007;KUTINA;ŠUMARIJA;UL. ANTUNA GUSTAVA MATOŠA;52;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;008;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 2";NIKOLE TESLE 1;38;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;009;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 3";NIKOLE TESLE 1;36;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;010;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 1";CRKVENA 59;19;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;011;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 2";CRKVENA 59;25;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;012;KUTINA;TEHNIČKA ŠKOLA KUTINA PROSTOR BR. 2;HRVATSKIH BRANITELJA 6;63;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;013;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 1";SILVIJA STRAHIMIRA KRANJČEVIĆA 2;46;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;014;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 2";SILVIJA STRAHIMIRA KRANJČEVIĆA 2;64;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;015;KUTINA;DOM RADNIČKO NASELJE;HUSAINSKA 41;8;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;016;KUTINA;DOM;ULICA STJEPANA RADIĆA;5;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;017;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 101;3;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;018;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;019;MEĐURIĆ;DOM MEĐURIĆ;MEĐURIĆ;4;1;1;1;0;0;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;020;JANJA LIPA;DOM JANJA LIPA;HRVATSKIH BRANITELJA 44;0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;021;JAMARICE;DOM JAMARICE;JAMARICA;1;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;022;BANOVA JARUGA;VATROGASNI DOM BANOVA JARUGA;BANOVA JARUGA;7;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;023;ILOVA;ŠKOLA ILOVA;ILOVA;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;024;ZBJEGOVAČA;DOM ZBJEGOVAČA;ZBJEGOVAČA;3;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;025;HUSAIN;DOM HUSAIN;HUSAIN;25;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;026;BATINA;DOM BATINA;BATINA;1;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;027;GOJLO;DOM GOJLO;GOJLO;18;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;028;MIŠINKA;KUĆA OBITELJI MLINAR;MIŠINKA 6;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;029;KUTINSKA SLATINA;DOM KUTINSKA SLATINA;KUTINSKA SLATINA;9;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;030;KATOLIČKE ČAIRE;DOM KATOLIČKE ČAIRE;KATOLIČKE ČAIRE;2;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;031;KLETIŠTE;DRUŠTVENI DOM;GORNJE KLETIŠTE;1;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;032;ŠARTOVAC;DOM ŠARTOVAC;ŠARTOVAC;16;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;033;STUPOVAČA;ŠKOLA STUPOVAČA;STUPOVAČA;135;31;31;30;1;5;23;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;034;BRINJANI;DOM BRINJANI;BRINJANI;73;15;15;14;1;1;13;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;035;KRAJIŠKA KUTINICA;DOM KRAJIŠKA KUTINICA;KRAJIŠKA KUTINICA;41;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;036;KUTINICA;DOM KUTINICA;KUTINICA;27;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;037;ČAIRE;OBJEKAT OPG MALBAŠIĆ;ČAIRE 12;12;2;2;2;0;2;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;038;SELIŠTE;DOM SELIŠTE;SELIŠTE;92;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;039;MIKLEUŠKA;DOM MIKLEUŠKA;MIKLEUŠKA;58;13;13;13;0;7;5;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;001;NOVSKA;OSNOVNA ŠKOLA NOVSKA;TRG DR. FRANJE TUĐMANA 1;55;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;002;NOVSKA;DJEČJI VRTIĆ STRIBOR;POSAVSKA 5;62;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;003;NOVSKA;GRADSKA GALERIJA PUČKOG OTVORENOG UČILIŠTA;TRG DR. FRANJE TUĐMANA BR. 3;18;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;004;NOVSKA;DJEČJI VRTIĆ ''RADOST'';ULICA I. BRLIĆ MAŽURANIĆ 1;90;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;005;NOVSKA;PODUZETNIČKI INKUBATOR PISMO;TRG L. ILIĆA ORIOVČANINA 8;34;1;1;1;0;0;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;006;NOVSKA;ZGRADA RAZVOJNE AGENCIJE NOVSKA NORA;POTOČNA ULICA 25;28;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;007;BROČICE;HRVATSKI DOM;BROČICE;14;1;1;1;0;0;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;008;BRESTAČA;HRVATSKI DOM;BRESTAČA;19;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;009;KOZARICE;HRVATSKI SELJAČKI PROSVJETNI DOM U KOZARICAMA;KOZARICE;31;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;010;NOVA SUBOCKA;OSNOVNA ŠKOLA;NOVA SUBOCKA;11;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;011;STARA SUBOCKA;HRVATSKI DOM;STARA SUBOCKA;2;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;012;SIGETAC;HRVATSKI DOM;SIGETAC;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;013;PLESMO;HRVATSKI DOM;PLESMO;1;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;014;STARI GRABOVAC;HRVATSKI DOM;STARI GRABOVAC;24;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;015;PAKLENICA;HRVATSKI DOM;PAKLENICA;36;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;016;VOĆARICA;HRVATSKI DOM;VOĆARICA;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;017;JAZAVICA;HRVATSKI DOM;JAZAVICA;11;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;018;ROŽDANIK;HRVATSKI DOM;ROŽDANIK;5;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;019;RAJIĆ;VATROGASNI DOM;RAJIĆ;85;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;020;BOROVAC;HRVATSKI DOM;BOROVAC;34;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;001;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;14;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;002;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;23;2;2;2;0;1;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;003;PETRINJA;RUKOMETNO IGRALIŠTE;ULICA ANTUNA MATIJE RELJKOVIĆA BB (ŠATOR);33;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;004;PETRINJA;HRVAČKA DVORANA;TRG NARODNIH UČITELJA 7/A;57;2;2;2;0;0;2;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;005;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;71;2;2;2;0;0;2;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;006;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;23;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;007;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;52;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;008;PETRINJA;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);55;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;009;PETRINJA;DOM ZDRAVLJA PETRINJA;R. LOPAŠIĆA BB;62;4;4;4;0;3;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;010;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;71;3;3;3;0;1;2;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;011;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;57;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;012;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;48;4;4;4;0;0;4;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;013;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;75;3;3;3;0;0;3;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;014;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;72;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;015;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;63;3;3;3;0;2;0;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;016;NOVA DRENČINA;HRVATSKI DOM NOVA DRENČINA;NOVA DRENČINA;5;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;017;BREST POKUPSKI;HRVATSKI DOM BREST POKUPSKI;BREST POKUPSKI;3;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;018;MALA GORICA;PODRUČNA ŠKOLA MALA GORICA;MALA GORICA;0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;019;DONJA BUDIČINA;IGRALIŠTE U DONJOJ BUDIČINI;DONJA BUDIČINA (ŠATOR);25;5;5;5;0;0;1;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;020;TABORIŠTE;HRVATSKI DOM TABORIŠTE;TABORIŠTE;3;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;021;KRIŽ HRASTOVAČKI;PRIVATNA KUĆA ĐURE PEJAKOVIĆA;KRIŽ HRASTOVAČKI 22;7;3;3;3;0;0;3;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;022;HRASTOVICA;"NARODNI DOM ""STJEPAN RADIĆ"" HRASTOVICA";HRASTOVICA BB, HRASTOVICA;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;023;SREDNJE MOKRICE;DRUŠTVENI DOM SREDNJE MOKRICE;SREDNJE MOKRICE;0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;024;NOVI FARKAŠIĆ;HRVATSKI DOM;NOVI FARKAŠIĆ;0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;025;STRAŠNIK;HRVATSKI DOM STRAŠNIK;STRAŠNIK 26/A;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;026;GRABERJE;DRUŠTVENI DOM GRABERJE;GRABERJE 7/A (ŠATOR);0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;027;NEBOJAN;DRUŠTVENI DOM NEBOJAN;NEBOJAN;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;028;MOŠĆENICA;HRVATSKI DOM MOŠĆENICA;MOŠĆENICA, ULICA MARINA DRŽIĆA 7;66;2;2;2;0;0;2;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;029;MOŠĆENICA;OSNOVNA ŠKOLA MOŠĆENICA;MOŠĆENICA;75;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;030;PRNJAVOR ČUNTIČKI;DIC;PRNJAVOR ČUNTIČKI 1/B;66;10;10;10;0;1;9;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;031;JABUKOVAC;OSNOVNA ŠKOLA;JABUKOVAC;313;20;20;19;1;7;11;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;032;BLINJA;HRVATSKI DOM BLINJA;BLINJA (ŠATOR);205;100;100;90;10;15;68;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;033;GRABOVAC BANSKI;CENTAR ZA ŠLJIVU I KESTEN;DONJA BAČUGA 108/C (ŠATOR);217;78;78;70;8;23;45;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;034;NOVO SELIŠTE;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);5;1;1;1;0;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;035;SLANA;DRUŠTVENI DOM;SLANA;7;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;036;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;50;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;001;GORNJA GRAČENICA;DOM GORNJA GRAČENICA;GORNJA GRAČENICA;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;002;CIGLENICA;DOM CIGLENICA;CIGLENICA;5;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;003;VOLODER;HRVATSKI PUČKI DOM VOLODER;VOLODER;4;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;004;VOLODER;NOVA ŠKOLA;VOLODER;2;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;005;DONJI KRIVAJ;VATROGASNI DOM;DONJI KRIVAJ;1;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;006;DONJA GRAČENICA;DOM DONJA GRAČENICA;DONJA GRAČENICA;2;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;007;OSEKOVO;DOM OSEKOVO;OSEKOVO;3;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;008;GORNJA JELENSKA;DOM GORNJA JELENSKA;GORNJA JELENSKA;6;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;009;MOSLAVAČKA SLATINA;ŠKOLA MOSLAVAČKA SLATINA;MOSLAVAČKA SLATINA;1;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;010;PODBRĐE;VATROGASNI DOM;PODBRĐE;0;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;011;POPOVAČA;DOM KULTURE;POPOVAČA;14;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;012;POPOVAČA;OSNOVNA ŠKOLA;POPOVAČA;3;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;013;POPOVAČA;VATROGASNI DOM;POPOVAČA;12;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;014;STRUŽEC;DOM STRUŽEC;STRUŽEC;2;0;0;0;0;0;0;0
