Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ZLATKO BABIĆ;ANDREJA ČUTURIĆ;ŽELJKO LENART;JASMINKA MOLNAR
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;018;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;707;300;300;287;13;175;24;25;63
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;019;MEĐURIĆ;DOM MEĐURIĆ;MEĐURIĆ;386;216;216;213;3;101;2;4;106
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;020;JANJA LIPA;DOM JANJA LIPA;HRVATSKIH BRANITELJA 44;155;105;105;105;0;86;14;3;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;021;JAMARICE;DOM JAMARICE;JAMARICA;331;146;146;141;5;97;13;2;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;022;BANOVA JARUGA;VATROGASNI DOM BANOVA JARUGA;BANOVA JARUGA;576;213;213;205;8;110;23;13;59
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;023;ILOVA;ŠKOLA ILOVA;ILOVA;694;252;252;247;5;149;19;39;40
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;024;ZBJEGOVAČA;DOM ZBJEGOVAČA;ZBJEGOVAČA;284;112;112;107;5;80;8;3;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;025;HUSAIN;DOM HUSAIN;HUSAIN;805;345;345;342;3;189;37;18;98
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;026;BATINA;DOM BATINA;BATINA;176;81;81;81;0;59;8;2;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;027;GOJLO;DOM GOJLO;GOJLO;289;138;138;134;4;80;9;8;37
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;028;MIŠINKA;KUĆA OBITELJI MLINAR;MIŠINKA 6;116;45;45;44;1;32;2;3;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;029;KUTINSKA SLATINA;DOM KUTINSKA SLATINA;KUTINSKA SLATINA;503;263;263;254;9;206;10;16;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;030;KATOLIČKE ČAIRE;DOM KATOLIČKE ČAIRE;KATOLIČKE ČAIRE;198;84;84;81;3;58;12;7;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;031;KLETIŠTE;DRUŠTVENI DOM;GORNJE KLETIŠTE;106;52;52;52;0;38;9;1;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;032;ŠARTOVAC;DOM ŠARTOVAC;ŠARTOVAC;321;185;185;182;3;154;13;5;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;033;STUPOVAČA;ŠKOLA STUPOVAČA;STUPOVAČA;375;155;155;153;2;79;12;8;54
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;034;BRINJANI;DOM BRINJANI;BRINJANI;185;111;111;110;1;65;2;8;35
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;035;KRAJIŠKA KUTINICA;DOM KRAJIŠKA KUTINICA;KRAJIŠKA KUTINICA;58;29;29;29;0;27;0;1;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;036;KUTINICA;DOM KUTINICA;KUTINICA;53;27;27;26;1;21;0;2;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;037;ČAIRE;OBJEKAT OPG MALBAŠIĆ;ČAIRE 12;25;15;15;15;0;9;0;0;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;038;SELIŠTE;DOM SELIŠTE;SELIŠTE;240;118;118;117;1;71;7;8;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;039;MIKLEUŠKA;DOM MIKLEUŠKA;MIKLEUŠKA;103;32;32;32;0;14;0;11;7
