Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  BOJAN DADASOVIÆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ U STEÈAJU - HSP AS;MOST;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ZORAN SERTIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;STRANKA UMIROVLJENIKA - SU
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;020;SISAK;RC ZIBEL - STARI OBJEKT (STOLNOTENISKA DVORANA);ULAZ IZ CESARÈEVE ULICE;477;230;230;219;11;26;17;72;1;7;2;12;78;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;021;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1148;503;503;480;23;55;36;117;4;15;15;43;185;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;022;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1246;599;599;569;30;61;29;138;1;34;15;43;240;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;023;SISAK;PROSTORIJE AMBULANTE;AUGUSTA CESARCA 109B;877;444;444;422;22;53;34;108;5;3;7;25;176;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;024;SISAK;ŠATOR NA PARKIRALIŠTU ISPRED PROSTORIJA GRADSKE ÈETVRTI GALDOVO;GALDOVAÈKA ULICA 6;1234;582;581;567;14;113;48;193;21;20;2;20;136;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;025;SISAK;OSNOVNA ŠKOLA GALDOVO (U PREDVORJU ŠKOLE);ULICA BREZOVIÈKOG ODREDA 1;883;429;429;418;11;170;24;90;4;7;3;15;97;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;026;SISAK;OSNOVNA ŠKOLA GALDOVO (ŠKOLSKA DVORANA);ULICA BREZOVIÈKOG ODREDA 1;765;374;374;365;9;72;35;133;17;8;0;9;85;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;027;SISAK;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO GALDOVO KAPTOLSKO);VLADIMIRA LOGOMERCA 27;1494;698;698;680;18;100;45;227;28;26;10;34;197;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;028;SISAK;PROSTORIJE  PRIJAŠNJEG MO CAPRAG;ANDRIJE HEBRANGA 25;1359;494;494;468;26;27;32;112;4;10;11;64;194;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;029;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIÆ;NINE MARAKOVIÆA 4;305;109;109;105;4;13;4;25;3;7;1;11;39;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;030;SISAK;PROSTORIJE DJ. VRTIÆA MASLAÈAK;HRVATSKOG NARODNOG PREPORODA 33;761;319;319;307;12;26;25;65;4;8;8;36;132;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;031;SISAK;NARODNA KNJIŽNICA I ÈITAONICA VLADO GOTOVAC - ODJEL CAPRAG;TRG HRVATSKE DRŽAVNOSTI 1;752;330;329;312;17;22;18;73;6;8;10;48;119;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;032;SISAK;OSNOVNA ŠKOLA BRAÆA BOBETKO SISAK;MARIJANA CVETKOVIÆA 2;924;409;409;393;16;26;26;99;6;16;8;55;148;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;033;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIÆ;NINE MARAKOVIÆA 4;313;101;101;93;8;15;5;18;3;2;1;13;33;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;034;SISAK;DOM INA RAFINERIJE NAFTE SISAK;ANTE KOVAÈIÆA 1;337;122;122;121;1;20;6;35;1;7;4;8;37;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;035;SISAK;DRUŠTVENI DOM, PROSTORIJE GRADSKE ÈETVRTI CAPRAG ( PRIJAŠNJI MO EUGEN KVATERNIK);LASINJSKA UL 15;1313;587;587;564;23;61;33;158;9;28;13;76;173;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;036;SISAK;MO CRNAC U ZGRADI BIVŠE PODRUÈNE ŠKOLE BRAÆA BOBETKO;ULICA BRAÆE BOBETKO;202;123;123;119;4;5;3;76;2;2;0;12;19;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;037;NOVO SELO;PROSTORIJE U VATROGASNOM DOMU DVD-A MLADOST U NOVOM SELU;NOVOSELSKA ULICA 50;504;212;212;202;10;16;23;65;3;3;5;26;61;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;038;CAPRAŠKE POLJANE;ROMSKA KUÆA;CAPRAŠKE POLJANE 54;352;178;178;169;9;5;5;5;2;1;1;6;143;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;039;NOVO PRAÈNO;PROSTORIJE OŠ I.K. SAKCINSKI;NOVO PRAÈNO;322;165;165;157;8;2;12;67;1;3;3;28;35;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;040;HRASTELNICA;OSNOVNA ŠKOLA GALDOVO - PODRUÈNA ŠKOLA HRASTELNICA;HRASTELNICA 85 (UMJESTO U DRUŠTVENOM DOMU MO HRASTELNICA, HRASTELNICA 85A);689;332;332;322;10;59;27;114;8;5;0;13;92;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;041;PALANJEK;DRUŠTVENI DOM MO PALANJEK;PALANJEK BB;253;141;141;136;5;16;19;34;3;1;1;5;57;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;042;PRELOŠÆICA;PROSTORIJE DVD PRELOŠÆICA;PRELOŠÆICA;416;193;193;186;7;14;12;107;2;5;0;4;41;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;043;BUKOVSKO;DRUŠTVENI DOM BUKOVSKO;BUKOVSKO 10;65;22;22;22;0;1;1;19;0;0;0;0;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;044;KOMAREVO;DRUŠTVENI DOM MO KOMAREVO;GORNJE KOMAREVO 4;630;288;288;284;4;7;18;87;1;7;0;120;37;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;045;BLINJSKI KUT;DRUŠTVENI DOM BLINJSKI KUT;BLINJSKI KUT 34 A;240;92;92;87;5;2;2;19;1;0;8;17;36;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;046;MADŽARI;DRUŠTVENI DOM MO MADŽARI-LETOVANCI;MADŽARI 30 A;204;125;125;124;1;4;10;35;1;0;3;21;48;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;047;KLOBUÈAK;ŠATOR NA POVRŠINI POKRAJ PROSTORIJA MO KLOBUÈAK - KONTEJNER;KLOBUÈAK BB;58;24;24;22;2;1;1;0;0;1;2;11;6;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;048;LETOVANCI;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO LETOVANCI);LETOVANCI;46;31;31;30;1;2;0;19;1;2;0;1;5;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;049;ODRA;DRUŠTVENI DOM MO ODRA;ODRA SISAÈKA 38;638;320;320;308;12;42;20;147;4;9;9;6;66;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;050;ŽABNO;PROSTORIJE OSNOVNE ŠKOLE BRAÆA RIBAR SISAK;PODRUÈNA ŠKOLA ŽABNO;396;191;191;184;7;20;17;86;3;5;7;3;41;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;051;GREDA;"PROSTORIJE O.Š. ""SELA"", PODRUÈNI ODJEL GREDA";GREDA;726;320;320;304;16;12;39;133;13;3;1;10;88;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;052;JAZVENIK;"DRUŠTVENI DOM ""ÈEŠKA BESEDA""";JAZVENIK 7B;111;75;75;71;4;8;4;41;0;2;1;1;13;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;053;SELA;OSNOVNA ŠKOLA SELA;SELA;798;364;364;350;14;26;28;180;6;4;0;23;67;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;054;STARA DRENÈINA;NOVI VATROGASNI DOM DVD-A STARA DRENÈINA;STARA DRENÈINA 59A (UMJESTO U DRUŠTVENOM DOMU STARA DRENÈINA, STARA DRENÈINA BB);177;108;108;105;3;5;5;69;1;4;0;1;20;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;055;STARO PRAÈNO;DRUŠTVENI DOM STARO PRAÈNO;STARO PRAÈNO 10;737;354;354;345;9;55;25;124;4;6;2;24;99;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;056;STUPNO;DRUŠTVENI DOM MO STUPNO;STUPNO 58;403;201;201;198;3;23;16;101;2;5;3;5;42;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;057;VUROT;DRUŠTVENI DOM MO VUROT;VUROT 33A;102;44;44;44;0;11;6;15;0;0;1;1;10;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;058;BUDAŠEVO;OSNOVNA ŠKOLA BUDAŠEVO - TOPOLOVAC - GUŠÆE;TRG MARIJANA ŠOKÈEVIÆA 1 (UMJESTO U DRUŠTVENOM DOMU MO BUDAŠEVO, TRG MARIJANA ŠOKÈEVIÆA 3);1320;552;552;537;15;51;60;250;16;12;3;22;113;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;059;NOVO SELO PALANJEÈKO;DRUŠTVENI DOM MO NOVO SELO PALANJEÈKO;NOVO SELO PALANJEÈKO BB;463;184;184;179;5;15;21;78;6;3;2;9;41;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;060;TOPOLOVAC;PROSTORIJE NOGOMETNOG KLUBA TŠK, TOPOLOVAC;TRG HRVATSKIH DRAGOVOLJACA 1A (UMJESTO U DRUŠTVENOM DOMU MO TOPOLOVAC, TRG HRVATSKIH DRAGOVOLJACA 1);740;341;341;330;11;35;27;156;6;11;0;16;73;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;061;LUKAVEC POSAVSKI;DRUŠTVENI DOM MO LUKAVEC POSAVSKI;LUKAVEC POSAVSKI 1C;100;49;49;49;0;4;3;32;0;0;0;0;10;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;062;GUŠÆE;MO GUŠÆE U ZGRADI DVD GUŠÆE;GUŠÆE 105;292;130;130;128;2;6;10;67;5;1;0;4;35;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;063;ÈIGOÆ;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA ÈIGOÆ;ÈIGOÆ 16;62;28;28;26;2;0;3;13;0;6;0;0;4;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;064;KRATEÈKO;DRUŠTVENI DOM MO KRATEÈKO;KRATEÈKO 96;149;73;73;70;3;4;5;43;0;1;0;2;13;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;065;MUŽILOVÈICA;VATROGASNI DOM MUŽILOVÈICA;MUŽILOVÈICA;67;34;34;33;1;0;2;19;1;0;0;0;11;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;066;SUVOJ;DRUŠTVENI DOM (PROSTORIJE PRIJAŠNJEG MO SUVOJ);SUVOJ;27;21;21;20;1;1;2;12;0;0;1;0;4;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;067;LONJA;PROSTORIJE DVD-A LONJA;LONJA BB;84;27;27;27;0;3;3;14;0;2;0;0;5;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;068;SVINJIÈKO;PROSTORIJE MO VELIKO SVINJIÈKO U PODRUÈNOJ ŠKOLI;VELIKO SVINJIÈKO 105;191;88;88;86;2;3;3;48;0;0;0;4;27;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;069;STARO SELO;KUÆA MILOŠA ÐUKIÆA;STARO SELO 61;108;47;47;46;1;2;0;3;0;1;31;0;7;2
