Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DANIEL BERDAIS;IVAN CELJAK;LUCA GAŠPAR ŠAKO;ADELINA IVKOVIĆ;DAMIR MARKUŠ;IVO ŽINIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;015;KUTINA;DOM RADNIČKO NASELJE;HUSAINSKA 41;316;123;123;119;4;15;20;7;2;72;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;016;KUTINA;DOM;ULICA STJEPANA RADIĆA;1003;452;444;411;33;41;209;12;7;101;41
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;017;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 101;842;415;415;395;20;58;211;14;5;80;27
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;018;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;707;300;300;285;15;56;143;9;2;63;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;019;MEĐURIĆ;DOM MEĐURIĆ;MEĐURIĆ;386;216;216;211;5;83;98;2;3;17;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;020;JANJA LIPA;DOM JANJA LIPA;HRVATSKIH BRANITELJA 44;155;105;105;104;1;4;83;1;0;15;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;021;JAMARICE;DOM JAMARICE;JAMARICA;331;146;146;137;9;31;79;2;2;16;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;022;BANOVA JARUGA;VATROGASNI DOM BANOVA JARUGA;BANOVA JARUGA;576;213;213;201;12;47;95;7;2;44;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;023;ILOVA;ŠKOLA ILOVA;ILOVA;694;252;252;241;11;47;111;9;2;64;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;024;ZBJEGOVAČA;DOM ZBJEGOVAČA;ZBJEGOVAČA;284;112;112;108;4;18;64;3;0;16;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;025;HUSAIN;DOM HUSAIN;HUSAIN;805;345;345;332;13;91;131;10;4;80;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;026;BATINA;DOM BATINA;BATINA;176;81;81;80;1;9;51;1;0;12;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;027;GOJLO;DOM GOJLO;GOJLO;289;138;138;130;8;23;62;11;5;23;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;028;MIŠINKA;KUĆA OBITELJI MLINAR;MIŠINKA 6;116;45;45;44;1;7;20;3;0;11;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;029;KUTINSKA SLATINA;DOM KUTINSKA SLATINA;KUTINSKA SLATINA;503;261;261;252;9;20;158;9;3;56;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;030;KATOLIČKE ČAIRE;DOM KATOLIČKE ČAIRE;KATOLIČKE ČAIRE;198;84;84;80;4;8;44;3;0;14;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;031;KLETIŠTE;DRUŠTVENI DOM;GORNJE KLETIŠTE;106;52;52;52;0;4;29;0;0;18;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;032;ŠARTOVAC;DOM ŠARTOVAC;ŠARTOVAC;321;185;185;177;8;20;103;0;0;51;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;033;STUPOVAČA;ŠKOLA STUPOVAČA;STUPOVAČA;375;155;155;152;3;51;73;8;2;14;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;034;BRINJANI;DOM BRINJANI;BRINJANI;185;110;110;110;0;41;51;1;1;7;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;035;KRAJIŠKA KUTINICA;DOM KRAJIŠKA KUTINICA;KRAJIŠKA KUTINICA;58;29;29;27;2;7;15;0;0;0;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;036;KUTINICA;DOM KUTINICA;KUTINICA;53;27;27;26;1;11;12;1;0;0;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;037;ČAIRE;OBJEKAT OPG MALBAŠIĆ;ČAIRE 12;25;14;14;14;0;5;7;0;0;2;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;038;SELIŠTE;DOM SELIŠTE;SELIŠTE;240;116;116;113;3;35;53;3;0;17;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;039;MIKLEUŠKA;DOM MIKLEUŠKA;MIKLEUŠKA;103;30;30;29;1;10;15;3;1;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;001;NOVSKA;OSNOVNA ŠKOLA NOVSKA;TRG DR. FRANJE TUĐMANA 1;1049;456;456;428;28;82;231;23;8;57;27
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;002;NOVSKA;DJEČJI VRTIĆ STRIBOR;POSAVSKA 5;1235;523;523;491;32;76;270;29;6;70;40
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;003;NOVSKA;GRADSKA GALERIJA PUČKOG OTVORENOG UČILIŠTA;TRG DR. FRANJE TUĐMANA BR. 3;718;322;322;296;26;59;148;5;4;54;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;004;NOVSKA;DJEČJI VRTIĆ ''RADOST'';ULICA I. BRLIĆ MAŽURANIĆ 1;1204;524;524;491;33;84;283;20;1;83;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;005;NOVSKA;PODUZETNIČKI INKUBATOR PISMO;TRG L. ILIĆA ORIOVČANINA 8;537;231;231;211;20;38;115;18;5;22;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;006;NOVSKA;ZGRADA RAZVOJNE AGENCIJE NOVSKA NORA;POTOČNA ULICA 25;1029;443;443;424;19;75;218;30;7;82;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;007;BROČICE;HRVATSKI DOM;BROČICE;735;349;349;331;18;40;194;11;4;56;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;008;BRESTAČA;HRVATSKI DOM;BRESTAČA;729;276;276;249;27;32;145;13;2;46;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;009;KOZARICE;HRVATSKI SELJAČKI PROSVJETNI DOM U KOZARICAMA;KOZARICE;342;134;134;120;14;11;85;3;1;12;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;010;NOVA SUBOCKA;OSNOVNA ŠKOLA;NOVA SUBOCKA;598;259;259;241;18;19;166;6;5;26;19
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;011;STARA SUBOCKA;HRVATSKI DOM;STARA SUBOCKA;384;161;161;154;7;17;93;4;1;27;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;012;SIGETAC;HRVATSKI DOM;SIGETAC;96;61;61;56;5;8;36;2;0;7;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;013;PLESMO;HRVATSKI DOM;PLESMO;58;38;38;38;0;9;26;0;0;1;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;014;STARI GRABOVAC;HRVATSKI DOM;STARI GRABOVAC;335;159;159;151;8;17;99;1;1;22;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;015;PAKLENICA;HRVATSKI DOM;PAKLENICA;214;86;86;77;9;24;32;3;0;6;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;016;VOĆARICA;HRVATSKI DOM;VOĆARICA;129;76;76;75;1;3;59;1;1;7;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;017;JAZAVICA;HRVATSKI DOM;JAZAVICA;304;142;142;137;5;6;87;20;2;15;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;018;ROŽDANIK;HRVATSKI DOM;ROŽDANIK;212;112;112;105;7;11;75;10;0;4;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;019;RAJIĆ;VATROGASNI DOM;RAJIĆ;725;275;275;256;19;33;142;30;1;30;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;020;BOROVAC;HRVATSKI DOM;BOROVAC;195;92;92;92;0;19;56;6;1;3;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;001;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;448;277;277;258;19;50;116;29;17;17;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;002;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;539;301;301;288;13;65;121;28;22;23;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;003;PETRINJA;RUKOMETNO IGRALIŠTE;ULICA ANTUNA MATIJE RELJKOVIĆA BB (ŠATOR);875;488;488;469;19;78;259;48;18;34;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;004;PETRINJA;HRVAČKA DVORANA;TRG NARODNIH UČITELJA 7/A;872;502;501;476;25;126;197;63;21;39;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;005;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;765;378;378;358;20;86;172;29;14;28;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;006;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;650;314;314;297;17;61;131;34;9;25;37
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;007;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;962;511;511;490;21;122;200;65;27;44;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;008;PETRINJA;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);868;447;447;421;26;104;183;53;14;36;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;009;PETRINJA;DOM ZDRAVLJA PETRINJA;R. LOPAŠIĆA BB;634;352;352;334;18;97;145;39;27;17;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;010;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;863;319;319;306;13;67;146;40;14;24;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;011;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;965;354;354;333;21;38;172;58;18;21;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;012;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;966;420;420;400;20;82;179;63;18;27;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;013;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;935;379;379;362;17;69;163;53;14;32;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;014;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;879;366;366;343;23;62;157;54;15;38;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;015;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;1098;439;439;420;19;79;216;34;22;32;37
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;016;NOVA DRENČINA;HRVATSKI DOM NOVA DRENČINA;NOVA DRENČINA;321;160;160;153;7;22;100;12;2;10;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;017;BREST POKUPSKI;HRVATSKI DOM BREST POKUPSKI;BREST POKUPSKI;266;164;164;154;10;14;99;7;3;9;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;018;MALA GORICA;PODRUČNA ŠKOLA MALA GORICA;MALA GORICA;313;123;123;120;3;19;68;11;1;10;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;019;DONJA BUDIČINA;IGRALIŠTE U DONJOJ BUDIČINI;DONJA BUDIČINA (ŠATOR);229;114;114;108;6;14;78;3;6;4;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;020;TABORIŠTE;HRVATSKI DOM TABORIŠTE;TABORIŠTE;202;108;108;100;8;6;65;10;1;5;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;021;KRIŽ HRASTOVAČKI;PRIVATNA KUĆA ĐURE PEJAKOVIĆA;KRIŽ HRASTOVAČKI 22;256;131;131;123;8;13;61;15;6;7;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;022;HRASTOVICA;"NARODNI DOM ""STJEPAN RADIĆ"" HRASTOVICA";HRASTOVICA BB, HRASTOVICA;389;233;233;217;16;33;112;11;7;16;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;023;SREDNJE MOKRICE;DRUŠTVENI DOM SREDNJE MOKRICE;SREDNJE MOKRICE;185;99;99;94;5;5;69;2;3;4;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;024;NOVI FARKAŠIĆ;HRVATSKI DOM;NOVI FARKAŠIĆ;248;119;119;109;10;7;72;5;16;3;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;025;STRAŠNIK;HRVATSKI DOM STRAŠNIK;STRAŠNIK 26/A;505;272;272;261;11;28;140;10;20;33;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;026;GRABERJE;DRUŠTVENI DOM GRABERJE;GRABERJE 7/A (ŠATOR);124;77;77;73;4;5;33;4;1;9;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;027;NEBOJAN;DRUŠTVENI DOM NEBOJAN;NEBOJAN;149;80;80;74;6;14;37;1;6;8;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;028;MOŠĆENICA;HRVATSKI DOM MOŠĆENICA;MOŠĆENICA, ULICA MARINA DRŽIĆA 7;1208;602;602;568;34;104;269;30;90;34;41
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;029;MOŠĆENICA;OSNOVNA ŠKOLA MOŠĆENICA;MOŠĆENICA;979;504;504;469;35;113;184;24;84;32;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;030;PRNJAVOR ČUNTIČKI;DIC;PRNJAVOR ČUNTIČKI 1/B;201;90;90;85;5;23;42;6;8;1;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;031;JABUKOVAC;OSNOVNA ŠKOLA;JABUKOVAC;614;296;296;250;46;69;74;15;49;13;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;032;BLINJA;HRVATSKI DOM BLINJA;BLINJA (ŠATOR);319;164;164;147;17;48;32;4;36;2;25
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;033;GRABOVAC BANSKI;CENTAR ZA ŠLJIVU I KESTEN;DONJA BAČUGA 108/C (ŠATOR);385;108;108;91;17;36;18;6;25;1;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;034;NOVO SELIŠTE;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);276;125;125;119;6;25;62;14;2;7;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;035;SLANA;DRUŠTVENI DOM;SLANA;227;101;101;98;3;5;59;7;1;9;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;036;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;1043;448;448;433;15;78;208;53;22;33;39
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;001;GORNJA GRAČENICA;DOM GORNJA GRAČENICA;GORNJA GRAČENICA;846;453;453;432;21;73;198;28;8;98;27
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;002;CIGLENICA;DOM CIGLENICA;CIGLENICA;102;65;65;65;0;22;29;5;0;4;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;003;VOLODER;HRVATSKI PUČKI DOM VOLODER;VOLODER;769;359;359;344;15;64;189;15;5;34;37
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;004;VOLODER;NOVA ŠKOLA;VOLODER;677;364;364;347;17;45;190;13;3;55;41
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;005;DONJI KRIVAJ;VATROGASNI DOM;DONJI KRIVAJ;106;50;50;49;1;9;21;1;1;9;8
