Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;CENTAR;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVAN ČEHOK;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, DEMOKRATSKA KNEGINEČKA STRANKA - DKS, BLOK UMIROVLJENICI ZAJEDNO - BUZ;MOST, HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU;NARODNA STRANKA - REFORMISTI - REFORMISTI, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DAVOR PATAFTA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;011;KANIŽA;DRUŠTVENI DOM;KANIŽA;221;74;74;70;4;1;6;2;10;4;0;33;1;13
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;012;BEDENEC;VATROGASNI DOM - BIRALIŠTE I;BEDENEC;337;137;137;129;8;0;6;4;48;11;1;45;3;11
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;013;BEDENEC;VATROGASNI DOM - BIRALIŠTE II;BEDENEC;232;109;109;109;0;4;8;2;36;14;2;30;1;12
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;014;JEROVEC DONJI;DRUŠTVENI DOM JEROVEC DONJI;JEROVEC 80 C;359;177;177;174;3;5;9;6;75;9;1;48;3;18
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;015;JEROVEC GORNJI;DRUŠTVENI DOM JEROVEC GORNJI;JEROVEC 205;321;147;147;144;3;0;7;6;65;16;0;29;1;20
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;016;RIBIĆ BREG;KUĆA POK. VJEKOSLAVA PAHIĆA;RIBIĆ BREG 3;125;73;73;69;4;1;4;3;26;7;0;18;1;9
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;017;HORVATSKO;"PROSTORIJE ""ORION""";HORVATSKO 28;140;72;72;71;1;0;8;2;23;8;2;17;1;10
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;018;PRIGOREC;OSNOVNA ŠKOLA;PRIGOREC;426;181;181;166;15;3;28;7;39;20;1;54;3;11
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;019;PUNIKVE;DRUŠTVENI DOM;PUNIKVE;352;179;179;170;9;6;24;7;43;14;5;50;5;16
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;020;IVANEČKO NASELJE;"BIVŠA TISKARA ""PIMS""";IVANEČKO NASELJE 7;213;101;101;96;5;1;6;4;19;10;7;24;8;17
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;021;IVANEČKI VRHOVEC;KUĆA IVANA LONČARA;IVANEČKI VRHOVEC 53 A;239;77;77;76;1;1;6;2;25;8;0;14;3;17
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;022;VITEŠINEC;"BIVŠE IZLETIŠTE ""CRKVENJAK""";VITEŠINEC;84;48;48;47;1;1;3;3;14;2;0;19;1;4
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;023;GAČICE;OSNOVNA ŠKOLA;GAČICE;288;122;122;116;6;2;20;1;29;9;1;38;0;16
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;024;CERJE TUŽNO;DRUŠTVENI DOM;CERJE TUŽNO;145;68;68;65;3;1;11;3;13;12;2;18;1;4
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;025;SALINOVEC;OSNOVNA ŠKOLA;SALINOVEC;417;187;187;177;10;1;25;6;48;21;6;51;5;14
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;026;IVANEČKA ŽELJEZNICA;DRUŠTVENI DOM;IVANEČKA ŽELJEZNICA;297;128;128;125;3;2;11;7;33;18;7;30;10;7
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;027;STAŽNJEVEC;STARA ŠKOLA;STAŽNJEVEC;277;181;181;172;9;3;13;1;31;51;6;47;6;14
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;028;LUKAVEC;DRUŠTVENI DOM;LUKAVEC;112;76;76;75;1;2;5;0;15;11;2;30;1;9
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;029;MARGEČAN;OSNOVNA ŠKOLA - BIRALIŠTE I;MARGEČAN;329;198;198;193;5;2;10;5;105;7;5;39;12;8
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;030;OSEČKA;DRUŠTVENI DOM;OSEČKA;185;108;108;104;4;1;14;0;30;7;1;44;1;6
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;031;MARGEČAN;OSNOVNA ŠKOLA - BIRALIŠTE II;MARGEČAN;183;115;115;109;6;1;13;2;67;9;1;14;1;1
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;032;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE I;RADOVAN;367;150;150;145;5;0;17;6;57;18;3;29;1;14
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;033;ŠKRILJEVEC;DRUŠTVENI DOM;ŠKRILJEVEC;210;109;109;104;5;3;15;2;37;4;4;18;4;17
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;034;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE II;RADOVAN;384;162;162;154;8;8;13;1;46;27;7;29;11;12
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;001;LEPOGLAVA - 1;"UGOSTITELJSKI OBJEKT CAFFE BAR ""CIGLA""";ULICA HRVATSKIH PAVLINA 101;630;335;335;318;17;3;16;10;70;71;9;85;5;49
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;002;LEPOGLAVA - 2;"BIVŠA TRGOVINA ""RENOVA"" VL. TOME KOSTANJEVCA";ULICA HRVATSKIH PAVLINA 52;400;219;219;210;9;2;9;5;35;35;7;71;3;43
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;003;LEPOGLAVA - 3;"OSNOVNA ŠKOLA ""ANTE STARČEVIĆ""";LEPOGLAVA;802;440;440;418;22;3;18;10;78;71;18;97;15;108
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;004;LEPOGLAVA - 4;VATROGASNI DOM;LEPOGLAVA;321;163;163;158;5;0;6;1;36;31;9;34;4;37
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;005;OČURA;DRUŠTVENI DOM;OČURA;397;200;200;189;11;0;10;7;40;47;8;52;4;21
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;006;PURGA;"UGOSTITELJSKI OBJEKT ""SPORT""";IVANA MAŽURANIĆA 2A;481;233;233;225;8;6;20;5;47;46;9;42;4;46
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;007;KAMENIČKI VRHOVEC;"BIVŠI UGOST. OBJEKT ""ZELENA DOLINA""";KAMENIČKI VRHOVEC;162;107;107;97;10;0;5;3;15;19;5;22;1;27
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;008;KAMENICA;"OSNOVNA ŠKOLA ""IVAN RANGER""";KAMENICA;120;76;76;72;4;0;13;0;13;24;0;15;2;5
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;009;CRKOVEC;KUĆA TOME ERDEC;CRKOVEC 16;135;64;64;62;2;1;2;2;11;10;3;23;0;10
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;010;VILETINEC;"BIVŠI UGOST. OBJEKT ""VIKTORIJA""";VILETINEC;135;38;38;37;1;0;2;1;9;7;3;7;0;8
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;011;VULIŠINEC;KUĆA MILICE KELEMENIĆ;VULIŠINEC 2;193;89;89;84;5;2;3;4;16;13;6;14;1;25
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;012;KAMENIČKO PODGORJE - 1;PROSTORIJE NOVOG DRUŠTVENOG DOMA;KAMENIČKO PODGORJE BB;201;109;109;107;2;1;3;0;41;31;3;23;1;4
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;013;KAMENIČKO PODGORJE - 2;KUĆA KRISTIJANA GALIĆ;ŽAROVNICA 215;132;45;45;44;1;0;3;0;8;8;3;14;0;8
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;014;DONJA VIŠNJICA;"OSNOVNA ŠKOLA ""IZIDOR POLJAK""";VIŠNJICA;426;220;220;209;11;3;9;4;113;33;6;27;2;12
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;015;BEDNJICA;DRUŠTVENI DOM BEDNJICA;BEDNJICA;221;143;143;137;6;1;2;3;112;1;0;11;0;7
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;016;GORNJA VIŠNJICA;VATROGASNI DOM DONJA VIŠNJICA;GORNJA VIŠNJICA;373;175;175;163;12;10;13;5;91;7;3;27;0;7
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;017;ZLOGONJE;KUĆA ČELIG JOSIPA;ZLOGONJE 140;357;158;158;155;3;4;14;3;86;11;6;25;1;5
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;018;ŽAROVNICA;PODRUČNA ŠKOLA ŽAROVNICA;ŽAROVNICA;602;331;331;314;17;0;18;3;78;106;6;45;8;50
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;001;LUDBREG - 1;MEĐUGENERACIJSKI CENTAR-PROSTORIJA UDRUGE UMIROVLJENIKA;TRG SVETOGA TROJSTVA 16;1612;710;710;656;54;14;62;34;120;23;37;161;23;182
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;002;LUDBREG - 2;OSNOVNA ŠKOLA LUDBREG;ULICA ANDRIJE KAČIĆA MIOŠIĆA 17;1469;724;724;682;42;24;84;24;84;45;39;170;39;173
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;003;VINOGRADI LUDBREŠKI;DRUŠTVENI DOM, VINOGRADI LUDBREŠKI;GORNJOGRADSKA ULICA 2;586;228;228;212;16;5;26;9;42;12;8;47;6;57
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;004;SIGETEC LUDBREŠKI;DRUŠTVENI DOM;SIGETEC LUDBREŠKI, ULICA BRAĆE RADIĆ 13;536;271;271;259;12;8;17;13;75;19;14;79;9;25
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;005;SLOKOVEC;VATROGASNI DOM;SLOKOVEC 45;210;127;127;117;10;3;9;5;34;21;6;23;2;14
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;006;APATIJA;DRUŠTVENI DOM;APATIJA 21A;201;105;105;102;3;1;10;6;49;11;3;15;1;6
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;007;SELNIK;DRUŠTVENI DOM;SELNIK, GLAVNA ULICA 1;705;345;345;321;24;6;34;14;62;13;12;142;9;29
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;008;KUĆAN LUDBREŠKI;DRUŠTVENI DOM;KUĆAN LUDBREŠKI 2D;149;78;78;72;6;1;13;5;15;7;2;10;0;19
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;009;HRASTOVSKO;DRUŠTVENI DOM, HRASTOVSKO;KALNIČKA ULICA 3;613;324;324;290;34;10;48;11;31;19;15;97;5;54
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;010;GLOBOČEC LUDBREŠKI;DRUŠTVENI DOM;GLOBOČEC LUDBREŠKI, LUDBREŠKA ULICA 80;390;170;170;159;11;3;11;10;32;15;5;47;5;31
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;011;ČUKOVEC;DRUŠTVENI DOM;ČUKOVEC, GRACI 2;253;83;83;79;4;1;5;6;9;4;6;36;1;11
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;012;BOLFAN;DRUŠTVENI DOM;BOLFAN, VARAŽDINSKA ULICA 42;361;144;144;137;7;1;12;12;12;11;4;65;6;14
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;013;SEGOVINA;DRUŠTVENI DOM;SEGOVINA 17;36;26;26;26;0;0;1;0;3;3;1;6;1;11
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;014;POLJANEC;DRUŠTVENI DOM;VARAŽDINSKA ULICA 185;564;201;201;188;13;5;12;8;30;9;6;61;8;49
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;001;NOVI MAROF 1.;"KULTURNI CENTAR ""IVAN RABUZIN"" (MALA DVORANA)";ULICA ANTUNA MIHANOVIĆA 3;665;352;352;324;28;4;12;9;117;10;14;46;20;92
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;002;NOVI MAROF 2.;OSNOVNA ŠKOLA NOVI MAROF;ZAGORSKA ULICA 23;619;285;285;269;16;2;14;4;143;15;6;37;2;46
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;003;NOVI MAROF 3.;"U POSLOVNOM PROSTORU ""MARŠIĆ"", NOVI MAROF";VARAŽDINSKA ULICA 88;359;176;176;167;9;1;16;9;58;2;9;32;8;32
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;004;PURGARI;POSLOVNO-STAMBENI PROSTOR, VL. ŠTEFANIJE ZIDAR;REMETINEC 8A;248;139;139;135;4;1;4;8;55;4;3;41;3;16
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;005;REMETINEC 1.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;628;301;301;286;15;4;13;38;125;10;14;48;4;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;006;REMETINEC 2.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;379;188;188;178;10;0;10;19;79;10;12;22;5;21
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;007;STRMEC REMETINEČKI;DRUŠTVENI DOM STRMEC REMETINEČKI;STRMEC REMETINEČKI 76;423;256;256;243;13;1;12;14;145;8;9;34;3;17
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;008;GORNJE PRESEČNO;BIVŠA PODRUČNA ŠKOLA PRESEČNO;PRESEČNO 35;484;204;204;185;19;1;11;19;85;3;15;19;9;23
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;009;KLJUČ 1.;DOM KULTURE KLJUČ;VIKTORA ČOLJE 2, KLJUČ;530;262;262;253;9;0;18;13;131;3;11;33;10;34
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;010;KLJUČ 2.;PODRUČNA ŠKOLA KLJUČ;VIKTORA ČOLJE 168, KLJUČ;196;78;78;74;4;1;6;6;39;2;1;11;4;4
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;011;OŠTRICE;VATROGASNI DOM OŠTRICE;OŠTRICE 24;392;192;192;181;11;2;5;10;83;10;7;41;3;20
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;012;OREHOVEC;DRUŠTVENI DOM OREHOVEC;OREHOVEC 23 C;229;109;109;107;2;1;4;12;48;6;5;8;8;15
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;013;DONJE PRESEČNO;STAMBENI OBJEKT (STARA KUĆA) VL. BOŽICE STEPAN;PRESEČNO 184;240;94;94;91;3;0;5;6;32;0;6;12;5;25
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;014;MOŽĐENEC;DRUŠTVENI DOM MOŽĐENEC;MOŽĐENEC 86 A;571;240;240;225;15;4;4;7;91;14;9;27;7;62
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;015;GRANA;UREDSKI KONTEJNER PORED MALONOGOMETNOG IGRALIŠTA U GRANI;GRANA;454;197;197;178;19;5;7;9;90;8;6;28;6;19
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;016;GORNJE MAKOJIŠĆE;DRUŠTVENI DOM GORNJE MAKOJIŠĆE;GORNJE MAKOJIŠĆE 90 G;343;163;163;153;10;0;9;4;88;8;6;15;3;20
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;017;PAKA;"POSLOVNI PROSTOR ""PLASTILAK"" VL. FRANJE KUZMIĆA";PAKA 20;64;31;31;31;0;1;0;2;16;1;2;4;0;5
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;018;SUDOVEC;DRUŠTVENI DOM SUDOVEC;TRG SVETOG FLORIJANA 1, SUDOVEC;278;190;190;184;6;1;0;5;121;22;1;9;1;24
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;019;DONJE MAKOJIŠĆE 1.;KUĆA VL. VLADIMIRA OŠTREKA;DONJE MAKOJIŠĆE 16;101;52;52;51;1;1;3;13;21;1;0;3;3;6
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;020;DONJE MAKOJIŠĆE 2.;OSNOVNA ŠKOLA PODRUTE U DONJEM MAKOJIŠĆU;DONJE MAKOJIŠĆE 115;317;123;123;115;8;0;3;7;41;3;8;21;4;28
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;021;MAĐAREVO;PODRUČNA ŠKOLA MAĐAREVO;MADŽAREVO 149;775;385;385;368;17;2;20;34;161;18;11;59;2;61
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;022;TOPLIČICA;KUĆA VL. VLADE CESARA;TOPLIČICA, ZLATARSKA 48;212;86;86;81;5;0;2;6;28;7;3;17;3;15
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;023;KRČ;U POSLOVNOM PROSTORU VL. STJEPANA PAŽURA;KRČ 44;360;167;167;160;7;3;5;9;66;22;4;25;4;22
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;024;JELENŠČAK;KUĆA VL. NEVENKE KUZMIĆ;JELENŠČAK 7;161;67;67;65;2;0;3;6;27;6;3;10;1;9
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;025;KAMENA GORICA;DRUŠTVENI DOM KAMENA GORICA;KAMENA GORICA 40 B;183;86;86;83;3;1;3;6;41;5;1;19;1;6
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;026;PODRUTE;ZADRUŽNI DOM PODRUTE (U PRIZEMLJU);PODRUTE 29;226;79;79;75;4;1;4;7;27;6;4;17;1;8
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;027;PODEVČEVO;DRUŠTVENI DOM PODEVČEVO;PODEVČEVO 90;638;193;193;184;9;0;14;11;88;11;6;33;4;17
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;028;ZAVRŠJE PODBELSKO;PODRUČNA ŠKOLA ZAVRŠJE PODBELSKO;ZAVRŠJE PODBELSKO 115;716;208;208;203;5;2;13;7;78;8;12;51;3;29
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;029;FILIPIĆI;KUĆA VL. DIJANE PISKAČ;FILIPIĆI 2;101;20;20;20;0;0;0;0;10;3;2;4;0;1
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;030;GORNJE PODRUTE;DRUŠTVENI DOM GORNJE PODRUTE;PODRUTE 154 B;123;47;47;47;0;0;4;7;25;2;3;5;0;1
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;001;VARAŽDIN;PROSTORIJE GRADSKE  VIJEĆNICE (DVORANA PRIZ.LIJEVO);TRG KRALJA TOMISLAVA 1;494;248;247;240;7;15;26;12;72;8;20;45;13;29
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;002;VARAŽDIN;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA VARAŽDIN (DVORIŠTE);TRENKOVA 44;739;318;318;307;11;11;64;11;46;14;11;65;22;63
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;003;VARAŽDIN;BIVŠE PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA VARAŽDIN;ULICA STANKA VRAZA 8;506;213;213;202;11;6;41;5;31;3;9;47;12;48
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;004;VARAŽDIN;PROSTORIJE II. MJESNOG ODBORA;KOLODVORSKA 3;841;414;414;391;23;21;53;18;73;12;23;69;26;96
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;005;VARAŽDIN;PROSTORIJE HŽ-ODRŽAVANJE PRUGA;ULAZ IZ ULICE MATICE HRVATSKE;762;358;358;338;20;20;50;8;55;13;25;72;18;77
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;006;VARAŽDIN;PROSTORIJE HŽ-PUTNIČKI PRIJEVOZ (ULAZ IZA DOMA ŽELJEZNIČARA);KOLODVORSKA 17;808;339;339;318;21;11;40;17;54;14;20;69;27;66
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;007;VARAŽDIN;PROSTORIJE I. OSNOVNE ŠKOLE;KRALJA P. KREŠIMIRA IV 10;625;310;310;296;14;15;43;8;48;11;15;68;8;80
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;008;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAČKA 17;910;403;403;383;20;25;45;19;61;11;16;77;26;103
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;009;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAČKA 17;973;420;420;396;24;15;68;28;55;8;30;78;11;103
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;010;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA (LEGO DVORANA);ALEJA KRALJA ZVONIMIRA 3;666;275;275;264;11;13;48;11;29;4;12;48;11;88
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;011;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;608;248;248;238;10;11;42;8;44;12;9;43;11;58
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;012;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEČJEG VRTIĆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;821;297;297;282;15;12;58;10;33;12;18;51;15;73
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;013;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA;JOSIPA KOZARCA 24;985;447;447;435;12;25;80;22;71;12;35;56;31;103
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;014;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA;JOSIPA KOZARCA 24;760;348;348;329;19;23;52;21;41;10;26;48;16;92
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;015;VARAŽDIN;PROSTORIJE IV. MJESNOG ODBORA;TRAKOŠĆANSKA 24;439;214;214;201;13;11;39;2;22;12;9;40;12;54
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;016;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;783;333;333;319;14;10;75;15;43;5;19;62;27;63
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;017;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;660;295;295;281;14;10;61;15;50;6;17;46;9;67
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;018;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŽUPANIJSKOG SUDA;BRAĆE RADIĆ 2;617;275;275;260;15;12;41;12;35;15;9;49;11;76
