Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NEVEN BOSILJ;IVAN ÈEHOK;ZDRAVKA GRÐAN;GORAN HABUŠ;DUBRAVKA NOVAK;DAVOR PATAFTA;RONALD REÐEP;ALEN RUNAC
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;011;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;608;248;248;242;6;55;66;17;8;33;21;8;34
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;012;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;821;299;299;286;13;60;88;24;11;43;30;6;24
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;013;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;985;447;447;432;15;96;120;17;8;73;46;15;57
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;014;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;760;348;348;332;16;97;74;20;5;58;28;11;39
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;015;VARAŽDIN;PROSTORIJE IV. MJESNOG ODBORA;TRAKOŠÆANSKA 24;439;214;214;205;9;45;59;14;5;38;22;1;21
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;016;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;783;333;333;327;6;66;106;20;8;50;24;14;39
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;017;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;660;295;295;283;12;66;79;16;7;58;19;3;35
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;018;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;617;275;275;261;14;63;71;14;12;45;21;8;27
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;019;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;556;271;271;263;8;69;90;6;2;46;27;4;19
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;020;VARAŽDIN;"PROSTORIJE POSLOVNE ZGRADE ""ELEKTRA""";KRATKA 3;590;313;313;306;7;74;83;17;5;78;17;6;26
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;021;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;771;408;408;397;11;92;95;29;15;102;10;10;44
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;022;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;732;339;339;333;6;51;100;18;16;54;36;12;46
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;023;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE  TOMISLAV ŠPOLJAR;JURJA KRIŽANIÆA 33;715;318;318;310;8;66;82;13;15;63;26;7;38
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;024;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;786;324;324;311;13;56;100;21;6;59;19;8;42
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;025;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;1086;484;484;474;10;103;133;35;6;95;45;11;46
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;026;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;790;394;394;386;8;85;115;21;9;64;42;8;42
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;027;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;916;435;434;413;21;76;109;27;6;79;33;15;68
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;028;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;837;320;320;313;7;59;107;13;5;50;28;12;39
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;029;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;984;417;417;402;15;64;127;24;11;70;33;15;58
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;030;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;965;412;412;396;16;83;133;12;21;66;35;8;38
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;031;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIÆA 36;908;364;364;351;13;64;124;12;14;74;18;11;34
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;032;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;VLADIMIRA GORTANA 19;947;423;423;405;18;71;132;18;8;68;37;14;57
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;033;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;VLADIMIRA GORTANA 19;987;462;462;450;12;94;129;14;8;83;39;25;58
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;034;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;626;286;286;279;7;67;55;12;6;66;26;3;44
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;035;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;1016;422;422;407;15;93;94;19;11;96;39;9;46
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;036;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEÈJEG VRTIÆA;DRAVSKA ULICA 1;777;327;327;319;8;85;86;13;12;61;26;10;26
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;037;VARAŽDIN;"BIRALIŠTE 1, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;803;411;411;395;16;71;107;15;5;109;36;7;45
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;038;VARAŽDIN;"BIRALIŠTE 2, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;888;409;409;396;13;78;112;21;8;96;23;9;49
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;039;VARAŽDIN;"BIRALIŠTE 3, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;779;267;267;260;7;60;85;12;9;33;23;17;21
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;040;VARAŽDIN;PROSTORIJE III. OSNOVNE ŠKOLE;TRG IVANA PERKOVCA 35;725;305;305;296;9;42;133;22;2;38;24;5;30
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;041;VARAŽDIN;BIRALIŠTE 1,  PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIÆA 23;841;403;403;393;10;95;105;34;3;60;29;6;61
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;042;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIÆA 23;641;305;304;293;11;43;93;24;12;45;30;4;42
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;043;HRAŠÆICA;PROSTORIJE MJESNOG ODBORA;SPORTSKI CENTAR HRAŠÆICA;1187;486;486;474;12;59;194;15;12;52;27;15;100
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;044;JALKOVEC;PROSTORIJE DRUŠTVENOG DOMA;BRAÆE RADIÆA 99;1065;380;380;365;15;47;170;27;6;46;32;7;30
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;045;POLJANA BIŠKUPEÈKA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 56;396;197;197;193;4;21;92;1;2;10;14;0;53
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;046;ÈRNEC BIŠKUPEÈKI;PROSTORIJE DRUŠTVENOG DOMA;ÈRNEC BIŠKUPEÈKI 137;556;194;194;184;10;23;62;13;11;20;15;3;37
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;047;GOJANEC;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA;MATIJE GUPCA 24;512;263;263;256;7;34;107;8;22;27;10;8;40
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;048;KUÆAN MAROF;PROSTORIJE DRUŠTVENOG DOMA;MAROFSKA 2 A;1159;501;501;483;18;80;189;42;14;48;35;16;59
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;049;GORNJI KUÆAN;PROSTORIJE VATROGASNOG DOMA;GORNJI KUÆAN;901;385;385;374;11;65;133;26;20;34;31;8;57
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;050;DONJI KUÆAN;PROSTORIJE VATROGASNOG DOMA;DONJI KUÆAN;646;245;245;243;2;30;105;22;6;23;15;3;39
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;051;ZBELAVA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 119;401;172;172;169;3;26;95;8;5;10;17;1;7
