Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;CENTAR;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVAN ČEHOK;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;MOST, HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU;NARODNA STRANKA - REFORMISTI - REFORMISTI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DUBRAVKA NOVAK;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DAVOR PATAFTA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;011;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;608;248;248;242;6;6;48;9;42;9;8;16;30;14;60
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;012;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEČJEG VRTIĆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;821;297;297;281;16;10;59;7;36;12;8;22;42;22;63
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;013;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA;JOSIPA KOZARCA 24;985;447;447;431;16;14;91;22;67;13;16;20;61;36;91
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;014;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA;JOSIPA KOZARCA 24;760;348;348;332;16;17;54;12;39;7;19;24;52;17;91
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;015;VARAŽDIN;PROSTORIJE IV. MJESNOG ODBORA;TRAKOŠĆANSKA 24;439;214;214;203;11;6;44;1;21;9;10;15;40;13;44
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;016;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;783;333;333;324;9;2;83;19;44;5;8;29;52;22;60
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;017;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;660;295;295;286;9;9;64;10;41;1;14;25;55;12;55
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;018;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŽUPANIJSKOG SUDA;BRAĆE RADIĆ 2;617;275;275;260;15;5;54;11;29;11;9;21;43;14;63
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;019;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŽUPANIJSKOG SUDA;BRAĆE RADIĆ 2;556;271;271;262;9;4;71;2;28;4;3;14;48;23;65
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;020;VARAŽDIN;"PROSTORIJE POSLOVNE ZGRADE ""ELEKTRA""";KRATKA 3;590;313;313;307;6;9;47;5;38;5;14;27;73;15;74
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;021;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIĆA 33;771;408;408;394;14;10;76;11;41;20;11;32;102;14;77
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;022;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIĆA 33;732;339;339;331;8;5;84;11;56;20;15;18;39;22;61
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;023;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE  TOMISLAV ŠPOLJAR;JURJA KRIŽANIĆA 33;715;318;318;307;11;6;63;12;41;14;12;15;62;17;65
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;024;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;786;324;324;313;11;12;80;10;49;8;10;20;60;12;52
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;025;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;1086;484;484;473;11;8;104;16;58;3;22;30;93;31;108
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;026;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;790;394;394;383;11;6;86;11;43;12;18;29;62;40;76
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;027;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;916;435;433;419;14;12;91;11;67;10;20;30;74;28;76
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;028;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;837;320;320;309;11;4;81;10;52;4;31;21;29;21;56
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;029;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;984;417;417;401;16;1;99;19;57;11;28;26;71;26;63
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;030;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;965;412;412;396;16;5;106;12;43;21;25;21;57;24;82
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;031;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;908;364;364;348;16;9;89;12;44;18;19;21;65;9;62
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;032;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA;VLADIMIRA GORTANA 19;947;423;423;407;16;11;87;11;71;7;40;19;60;23;78
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;033;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA;VLADIMIRA GORTANA 19;987;462;462;449;13;6;88;31;66;10;35;20;73;29;91
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;034;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA;DRAVSKA ULICA 1;626;286;286;280;6;9;36;6;44;7;13;10;67;18;70
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;035;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA;DRAVSKA ULICA 1;1016;422;422;408;14;9;68;13;54;13;9;29;94;25;94
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;036;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEČJEG VRTIĆA;DRAVSKA ULICA 1;777;327;327;317;10;6;50;14;34;17;22;18;58;19;79
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;037;VARAŽDIN;"BIRALIŠTE 1, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;803;411;411;399;12;3;75;11;47;7;21;18;112;28;77
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;038;VARAŽDIN;"BIRALIŠTE 2, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;888;409;409;395;14;9;80;11;60;11;12;28;89;19;76
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;039;VARAŽDIN;"BIRALIŠTE 3, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;779;300;300;294;6;4;70;17;21;14;11;14;66;20;57
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;040;VARAŽDIN;PROSTORIJE III. OSNOVNE ŠKOLE;TRG IVANA PERKOVCA 35;725;305;305;292;13;3;106;8;32;3;17;31;31;17;44
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;041;VARAŽDIN;BIRALIŠTE 1,  PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIĆA 23;841;403;403;395;8;6;77;8;63;8;16;50;57;27;83
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;042;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIĆA 23;641;305;304;296;8;3;71;10;51;8;14;28;48;19;44
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;043;HRAŠĆICA;PROSTORIJE MJESNOG ODBORA;SPORTSKI CENTAR HRAŠĆICA;1187;486;486;473;13;10;146;22;101;11;20;26;53;20;64
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;044;JALKOVEC;PROSTORIJE DRUŠTVENOG DOMA;BRAĆE RADIĆA 99;1065;380;380;366;14;2;132;7;41;10;7;50;37;25;55
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;045;POLJANA BIŠKUPEČKA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 56;396;197;197;191;6;1;83;0;60;4;5;3;4;9;22
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;046;ČRNEC BIŠKUPEČKI;PROSTORIJE DRUŠTVENOG DOMA;ČRNEC BIŠKUPEČKI 137;556;194;194;186;8;2;41;4;51;11;10;16;15;11;25
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;047;GOJANEC;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA;MATIJE GUPCA 24;512;263;263;255;8;3;84;9;47;28;11;8;20;14;31
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;048;KUĆAN MAROF;PROSTORIJE DRUŠTVENOG DOMA;MAROFSKA 2 A;1159;501;501;477;24;7;137;16;75;18;20;55;38;35;76
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;049;GORNJI KUĆAN;PROSTORIJE VATROGASNOG DOMA;GORNJI KUĆAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;050;DONJI KUĆAN;PROSTORIJE VATROGASNOG DOMA;DONJI KUĆAN;646;245;245;242;3;7;79;5;49;9;6;23;20;9;35
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;051;ZBELAVA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 119;401;172;172;168;4;4;77;3;10;5;4;11;9;15;30
