Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ALTERNATIVA 101 - ALTERNATIVA, AKCIJA MLADIH - AM;CENTAR;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS, HRVATSKA SELJAČKA STRANKA - STJEPAN RADIĆ - HSS - SR, STRANKA UMIROVLJENIKA - SU;KANDIDACIJSKA LISTA GRUPE BIRAČA -  TOMISLAV MAMIĆ;MOST;NEZAVISNA LISTA MLADIH - NLM, PAMETNO ZA SPLIT I DALMACIJU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;RADNIČKA FRONTA - RF, SOCIJALISTIČKA RADNIČKA PARTIJA HRVATSKE - SRP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;ŽELJKO KERUM - HRVATSKA GRAĐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;006;VINJANI GORNJI;"OŠ ""LONČARI""";VINJANI GORNJI;298;136;135;133;2;1;1;18;50;0;2;46;7;0;2;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;007;VINJANI DONJI;OŠ DONJI VINJANI (NOVA ŠKOLA);VINJANI DONJI;1459;786;786;753;33;4;23;72;318;7;16;219;34;1;14;45
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;008;VINJANI DONJI;DVORANA KOD SV. ROKA;VINJANI DONJI;279;142;142;138;4;1;1;15;84;1;1;21;6;0;3;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;009;GLAVINA DONJA;OŠ  GLAVINA DONJA  (NOVA ŠKOLA);GLAVINA DONJA;1488;771;770;753;17;7;11;88;368;11;6;168;28;4;25;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;001;BIRAČKO MJESTO 1. KAŠTEL SUĆURAC;"KINO ""SV. JURAJ""";DR. A.ALFIREVIĆA 20;1160;366;366;348;18;7;17;61;129;3;8;47;15;3;32;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;002;BIRAČKO MJESTO 2. KAŠTEL SUĆURAC;MJESNI ODBOR;DR. A.ALFIREVIĆA 20;1064;393;393;374;19;11;28;48;125;7;11;47;20;5;47;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;003;BIRAČKO MJESTO 3. KAŠTEL SUĆURAC;"OŠ ""KNEZ MISLAV""";BRAĆE RADIĆ 6;2412;807;806;761;45;20;22;83;293;8;16;139;48;4;76;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;004;BIRAČKO MJESTO 4. KAŠTEL SUĆURAC;"UDRUGA ""PUTALJ"" (STARA ŠKOLA)";MATICE HRVATSKE 1;1232;433;433;413;20;12;23;58;165;4;5;42;23;5;50;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;005;BIRAČKO MJESTO 5. KAŠTEL GOMILICA;MJESNI ODBOR;CESTA DR. FRANJE TUĐMANA 434A;1442;583;582;569;13;10;40;64;213;8;9;81;44;3;62;35
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;006;BIRAČKO MJESTO 6. KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1400;539;539;524;15;14;28;51;250;6;10;71;26;4;36;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;007;BIRAČKO MJESTO 7.  KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1568;571;569;548;21;7;39;55;244;10;10;75;35;6;42;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;008;BIRAČKO MJESTO 8. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1621;557;557;536;21;14;41;40;202;14;17;73;52;5;47;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;009;BIRAČKO MJESTO 9. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1630;559;559;534;25;7;27;58;191;11;22;111;38;5;32;32
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;010;BIRAČKO MJESTO 10. KAŠTEL KAMBELOVAC;"PROSTORIJE BRATSKE KUĆE - UDRUGA UMIROVLJENIKA ""LAŽANI""";BRCE 23;1476;470;470;460;10;13;30;46;167;8;7;91;43;5;29;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;011;BIRAČKO MJESTO 11. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV.LOVRE 2;1443;472;472;464;8;7;22;72;192;3;14;64;24;3;28;35
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;012;BIRAČKO MJESTO 12. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV. LOVRE 2;1306;454;453;434;19;9;27;89;153;6;8;70;22;1;33;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;013;BIRAČKO MJESTO 13. KAŠTEL LUKŠIĆ;DVORAC VITTURI;BRCE 5;2332;719;710;689;21;5;39;121;256;6;22;80;46;8;72;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;014;BIRAČKO MJESTO 14. KAŠTEL STARI;"OŠ. ""PROF. FILIP LUKAS""";SLAVONSKA 5;2568;839;839;815;24;14;38;99;310;14;22;145;42;11;68;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;015;BIRAČKO MJESTO 15. KAŠTEL STARI;VATROGASNI DOM;IVANA DANILA 19;1672;551;551;538;13;13;29;39;197;9;15;113;40;7;54;22
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;016;BIRAČKO MJESTO 16. KAŠTEL STARI;"DJEČJI VRTIĆ ""VIŠNJICA""";RADUN, VELE NJIVE 1;2295;711;711;683;28;12;26;96;331;13;8;107;22;3;17;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;017;BIRAČKO MJESTO 17. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2234;661;661;638;23;16;32;73;251;7;16;116;43;3;42;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;018;BIRAČKO MJESTO 18. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2105;602;601;579;22;8;26;68;243;10;18;101;27;4;39;35
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;019;BIRAČKO MJESTO 19. KAŠTEL NOVI;MJESNI ODBOR RUDINE;PUT MIRA 14;1987;579;579;560;19;17;16;70;251;6;10;81;24;3;29;53
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;020;BIRAČKO MJESTO 20. KAŠTEL ŠTAFILIĆ;"POLJOPRIVREDNA ŠKOLA ""BRAĆE RADIĆ""";PUT POLJOPRIVREDNIKA 5;1497;441;441;423;18;12;9;60;157;8;14;74;17;1;40;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;021;BIRAČKO MJESTO 21. KAŠTEL ŠTAFILIĆ;POLJOPRIVREDNA ŠKOLA BRAĆE RADIĆ;PUT POLJOPRIVREDNIKA 5;1563;442;442;428;14;11;26;49;167;9;8;75;22;2;38;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;001;KOMIŽA;GALERIJA BORISA MARDEŠIĆA;HRVATSKIH MUČENIKA 9;736;372;371;340;31;17;19;9;72;4;3;23;60;8;107;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;002;KOMIŽA;"GRADSKA KNJIŽNICA ""RANKO MARINKOVIĆ""";KOMIŠKIH ISELJENIKA 1, KOMIŽA;712;337;337;300;37;18;15;10;85;8;1;19;36;8;85;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;003;PODŠPILJE;"OSNOVNA ŠKOLA ""PODŠPILJE""";PODŠPILJE;129;50;50;50;0;2;2;1;13;1;1;4;6;1;15;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;001;BIRAČKO MJESTO BR. 1;OŠ PETRA PERICE - MAKARSKA;ZELENKA BB, SOBA BR. I;2099;941;941;907;34;17;33;54;263;12;24;91;164;8;207;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;002;BIRAČKO MJESTO BR. 2;DJEČJI VRTIĆ;DR. M. UJEVIĆA 5;2041;944;944;917;27;15;36;30;271;1;8;75;223;14;216;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;003;BIRAČKO MJESTO BR. 3;"UDRUGA ""SUNCE""";KRALJA PETRA KREŠIMIRA IV BR.9;2336;893;893;854;39;18;42;27;186;5;12;64;121;13;341;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;004;BIRAČKO MJESTO BR. 4;ZGRADA GRADA MAKARSKE - GRADSKA VIJEĆNICA;MAKARSKA, OBALA KRALJA TOMISLAVA 1;699;337;337;325;12;14;16;10;77;3;9;24;55;9;101;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;005;BIRAČKO MJESTO BR. 5;VATROGASNI DOM;POTOK BROJ 2;2034;951;949;911;38;20;35;41;240;12;14;74;177;12;248;38
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;006;BIRAČKO MJESTO BR. 6;SREDNJA ŠKOLA FRA A.K. MIOŠIĆA;Z. FRANKOPANSKA BB, SOBA BR. I;1666;745;745;701;44;19;16;29;188;7;7;52;150;8;206;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;007;BIRAČKO MJESTO BR.7;PLANINARSKI DOM VELIKOBRDSKIH LEDARA;VELIKO BRDO KBR. 103;560;271;271;260;11;3;7;7;96;2;5;14;51;2;64;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;008;BIRAČKO MJESTO BR. 8;OŠ PETRA PERICE - MAKARSKA;ZELENKA BB, SOBA BR. II;1833;831;831;786;45;16;23;50;268;7;15;98;145;7;131;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;009;BIRAČKO MJESTO BR. 9;SREDNJA ŠKOLA FRA A. K. MIOŠIĆA - MAKARSKA;Z. FRANKOPANSKA BB, SOBA BR. II;1763;706;706;678;28;7;29;19;194;12;14;53;131;10;192;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;001;PRIKO I;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1675;828;827;790;37;7;50;50;265;11;22;145;87;9;84;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;002;PRIKO II;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1015;568;567;539;28;8;54;20;142;8;16;128;50;7;75;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;003;PUNTA - STARI GRAD;MJESNI ODBOR;FOŠAL BROJ 6 - OMIŠ;1125;579;579;556;23;11;48;43;143;7;19;109;71;3;71;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;004;MLIJA;SAMOSTAN SESTARA SLUŽAVKI MALOG ISUSA;VANGRAD 5;1473;772;772;740;32;9;66;35;203;7;37;148;64;8;103;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;005;BORAK;PROSTORIJE NIKŠE ČEČUKA;BORAK, PUT BORKA 67;151;97;97;94;3;4;6;4;15;1;1;30;12;0;15;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;006;BRZET;PROSTORIJE   HOTELSKOG NASELJA BRZET;OMIŠ;145;69;69;63;6;1;6;0;16;1;5;7;12;1;7;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;007;NEMIRA;"PROSTORIJE MJESNOG ODBORA NEMIRA ""IGRALIŠTE"" U NEMIRI";PUT NEMIRE;422;178;178;176;2;1;13;14;54;5;10;31;20;1;13;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;008;ČELINA-STANIĆI;MJESNI ODBOR;STANIĆI;763;278;278;263;15;4;15;15;99;3;10;56;27;3;18;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;009;LOKVA ROGOZNICA;PROSTORIJE MJESNOG ODBORA;LOKVA ROGOZNICA, IVAŠNJAK 3;506;194;194;185;9;2;10;9;57;4;16;38;10;1;22;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;010;MIMICE;PROSTORIJE TURIST BIROA;MIMICE;262;122;122;120;2;4;5;6;63;0;2;17;10;1;6;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;011;MARUŠIĆI;SPOMEN DOM U MARUŠIĆIMA, PROSTORIJE MJESNOG ODBORA;MARUŠIĆI, PUT DVORA 35;212;82;82;80;2;1;6;8;28;1;2;9;9;0;6;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;012;PISAK;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U PISKU;PISAK;245;72;72;71;1;2;9;5;19;1;5;9;4;1;15;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;013;SEOCA;PROSTORIJE ZADRUŽNOG DOMA U SEOCIMA;SEOCA;120;79;79;79;0;2;0;2;54;4;1;9;2;0;1;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;014;KOSTANJE;PROSTORIJE U ZADRUŽNOM DOMU U KOSTANJAMA;KOSTANJE;532;284;284;270;14;2;6;12;166;11;1;33;7;1;13;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;015;PODGRAĐE;PROSTORIJE OSNOVNE ŠKOLE U PODGRAĐU;PODGRAĐE;233;137;137;133;4;2;4;8;54;1;4;32;6;0;2;20
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;016;SLIME;PROSTORIJE OSNOVNE ŠKOLE U SLIMENU;SLIME;252;103;103;101;2;0;3;1;34;0;9;23;10;1;10;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;017;KUČIĆE;PROSTORIJE OSNOVNE ŠKOLE;KUČIĆE;583;323;323;309;14;1;8;21;117;1;5;83;23;1;8;41
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;018;SVINIŠĆE;PROSTORIJE ZADRUŽNOG DOMA;SVINIŠĆE;116;61;61;60;1;0;2;2;19;0;4;14;7;0;5;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;019;ZVEČANJE;PROSTORIJE MJESNOG ODBORA U ZVEČANJU;ZVEČANJE;226;117;117;114;3;1;3;9;55;3;0;24;4;2;9;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;020;OSTRVICA DONJA;PROSTORIJE MJESNOG ODBORA (ANTONSKA KUĆA);OSTRVICA DONJA;105;55;55;50;5;0;3;1;31;0;1;6;2;0;3;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;021;OSTRVICA GORNJA;PROSTORIJE HPT-A U OSTRVICI GORNJOJ;OSTRVICA GORNJA;60;36;36;33;3;0;3;0;19;0;1;4;1;0;0;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;022;ČIŠLA;PROSTORIJE OSNOVNE ŠKOLE;ČIŠLA;256;109;109;104;5;3;3;17;39;5;2;17;4;0;5;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;023;GATA;PROSTORIJE  DOMA KULTURE;GATA;486;261;261;252;9;4;11;15;89;2;7;50;23;3;29;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;024;ZAKUČAC;PROSTORIJE MJESNOG ODBORA;ZAKUČAC;126;55;55;54;1;0;1;4;22;0;1;16;5;1;1;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;025;NAKLICE;PROSTORIJE OSNOVNE ŠKOLE;NAKLICE;205;139;139;136;3;4;6;3;70;1;9;19;12;0;4;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;026;TUGARE  -DOČINE;PROSTORIJE ZADRUŽNOG DOMA U DOČINAMA;TUGARE-DOČINE;372;200;200;193;7;4;21;10;76;10;7;23;19;1;11;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;027;TUGARE - PODUME-RAČNIK;PROSTORIJE MJESNOG ODBORA TUGARE-PODUME-RAČNIK;TUGARE;325;185;185;179;6;3;9;14;89;1;6;26;9;1;5;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;028;TUGARE   - ČAŽIN DOLAC;PROSTORIJE MJESNOG ODBORA U ČAŽIN DOCU;TUGARE;84;49;49;49;0;4;2;6;21;2;1;4;3;0;3;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;029;DUBRAVA;PROSTORIJE OSNOVNE ŠKOLE;DUBRAVA;255;108;108;101;7;3;4;1;55;1;6;15;2;0;1;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;030;BLATO NA CETINI;PROSTORIJE MJESNOG ODBORA (IZNAD POŠTE);BLATO NA CETINI;407;190;190;186;4;0;8;20;95;1;2;34;9;0;5;12
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;031;NOVA SELA;PROSTORIJE MJESNOG ODBORA U NOVIM SELIMA;NOVA SELA;175;71;71;65;6;1;0;8;34;2;1;13;1;0;0;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;032;TRNBUSI;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U TRNBUSIMA;TRNBUSI 86;143;61;61;59;2;1;1;2;20;1;0;13;13;0;1;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;033;SRIJANE I -ZIDINE;PROSTORIJE MJESNOG ODBORA U SRIJANIMA;SRIJANE;30;17;17;16;1;0;0;1;8;0;1;2;1;0;1;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;034;SRIJANE  II -NEČAJ;PROSTORIJE OSNOVNE ŠKOLE U SRIJANIMA;SRIJANE;183;78;78;76;2;2;5;8;20;0;2;21;7;0;4;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;035;GORNJI DOLAC;PROSTORIJE OSNOVNE ŠKOLE U GORNJEM DOCU;GORNJI DOLAC;113;56;56;53;3;4;2;4;22;0;1;7;8;0;2;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;036;DONJI DOLAC I - RUPA;PROSTORIJE BIVŠE O.Š. RUPA-DONJI DOLAC;DONJI DOLAC;151;86;86;78;8;0;3;1;56;3;0;4;5;0;1;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;037;DONJI DOLAC II  - SMAJIĆI;PROSTORIJE BIVŠE O.Š. SMAJIĆI-DONJI DOLAC;DONJI DOLAC;70;33;33;31;2;0;0;2;15;1;0;2;4;0;2;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;038;DONJI DOLAC III -ROŠCA;OBITELJSKA KUĆA POK.ŽELJKA ŠOŠIĆA, DONJI DOLAC 173B, ROŠCA;DONJI DOLAC;78;33;33;32;1;1;0;9;8;3;2;6;1;0;1;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;039;PUTIŠIĆI;PROSTORIJE MJESNOG ODBORA U PUTIŠIĆIMA;PUTIŠIĆI;35;25;25;25;0;0;2;3;14;0;0;0;0;0;0;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;001;BIRAČKO MJESTO 1. U SINJU;GALERIJA GALIOTOVIĆ;BRNAŠKA 44;926;480;480;470;10;5;17;14;114;8;7;224;17;1;47;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;002;BIRAČKO MJESTO 2. U SINJU;GALERIJA GALIOTOVIĆ;BRNAŠKA 44;1676;850;850;825;25;8;33;37;303;10;6;293;31;6;78;20
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;003;BIRAČKO MJESTO 3. U SINJU;"DJEČJI VRTIĆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;852;462;462;440;22;2;25;19;124;10;4;156;21;2;63;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;004;BIRAČKO MJESTO 4. U SINJU;"DJEČJI VRTIĆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;1601;793;793;763;30;3;32;33;232;9;13;287;44;5;74;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;005;BIRAČKO MJESTO 5. U SINJU;"OŠ ""MARKA MARULIĆA""";VLADIMIRA NAZORA 33;1856;985;984;951;33;7;32;42;208;10;7;453;33;11;118;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;006;BIRAČKO MJESTO 6. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1208;629;629;602;27;3;41;18;149;5;8;254;28;1;68;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;007;BIRAČKO MJESTO 7. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1533;765;765;739;26;5;31;29;217;5;5;329;17;7;67;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;008;BIRAČKO MJESTO 8. U BRNAZAMA;"DJEČJI VRTIĆ ""ALKARIĆ""";BRNAZE;965;547;547;535;12;3;13;34;199;5;9;215;15;2;22;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;009;BIRAČKO MJESTO 9. U BRNAZAMA;OŠ BRNAZE;BRNAZE;1779;947;947;918;29;11;30;41;403;13;12;292;52;3;33;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;010;BIRAČKO MJESTO 10. U TURJACIMA;OŠ TURJACI;TURJACI;963;486;486;474;12;3;9;19;183;1;6;202;17;0;13;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;011;BIRAČKO MJESTO 11. U GLAVICAMA DONJIM;OŠ U GLAVICAMA;GLAVICE DONJE;1732;902;902;866;36;8;22;26;291;6;15;342;29;5;88;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;012;BIRAČKO MJESTO 12. GLAVICE GORNJE;OŠ U GLAVICAMA, GLAVICE DONJE;OŠ U GLAVICAMA, GLAVICE DONJE;1471;816;816;773;43;6;24;41;211;5;8;366;30;3;53;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;013;BIRAČKO MJESTO 13. U HANU;OŠ U HANU;HAN;722;342;342;331;11;1;13;15;114;6;2;141;9;2;11;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;014;BIRAČKO MJESTO 14. U BAJAGIĆU;OŠ BAJAGIĆ;BAJAGIĆ;492;215;215;208;7;1;0;10;98;4;2;73;4;2;8;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;015;BIRAČKO MJESTO 15. U GLJEVU;OŠ U GLJEVU;GLJEV;280;128;128;123;5;3;1;7;57;2;1;41;6;0;1;4
