Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BLAŽENKO BOBAN;TONI JURIŠIĆ-SOKIĆ;IVICA KUKAVICA;RANKO OSTOJIĆ;ANTE PRANIĆ;MATE ŠIMUNDIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;012;BIRAČKO MJESTO 12. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV. LOVRE 2;1306;454;453;432;21;185;10;50;57;31;99
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;013;BIRAČKO MJESTO 13. KAŠTEL LUKŠIĆ;DVORAC VITTURI;BRCE 5;2332;719;718;697;21;305;16;59;114;68;135
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;014;BIRAČKO MJESTO 14. KAŠTEL STARI;"OŠ. ""PROF. FILIP LUKAS""";SLAVONSKA 5;2568;839;839;810;29;380;36;108;112;71;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;015;BIRAČKO MJESTO 15. KAŠTEL STARI;VATROGASNI DOM;IVANA DANILA 19;1672;551;551;535;16;233;11;85;99;55;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;016;BIRAČKO MJESTO 16. KAŠTEL STARI;"DJEČJI VRTIĆ ""VIŠNJICA""";RADUN, VELE NJIVE 1;2295;711;711;687;24;392;22;68;37;54;114
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;017;BIRAČKO MJESTO 17. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2234;663;663;620;43;283;33;78;74;71;81
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;018;BIRAČKO MJESTO 18. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2105;602;602;574;28;284;22;76;73;40;79
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;019;BIRAČKO MJESTO 19. KAŠTEL NOVI;MJESNI ODBOR RUDINE;PUT MIRA 14;1987;579;579;556;23;306;19;58;51;39;83
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;020;BIRAČKO MJESTO 20. KAŠTEL ŠTAFILIĆ;"POLJOPRIVREDNA ŠKOLA ""BRAĆE RADIĆ""";PUT POLJOPRIVREDNIKA 5;1497;441;441;426;15;201;13;57;58;30;67
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;021;BIRAČKO MJESTO 21. KAŠTEL ŠTAFILIĆ;POLJOPRIVREDNA ŠKOLA BRAĆE RADIĆ;PUT POLJOPRIVREDNIKA 5;1563;442;442;424;18;186;8;57;63;48;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;001;KOMIŽA;GALERIJA BORISA MARDEŠIĆA;HRVATSKIH MUČENIKA 9;736;372;372;341;31;110;6;22;127;53;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;002;KOMIŽA;"GRADSKA KNJIŽNICA ""RANKO MARINKOVIĆ""";KOMIŠKIH ISELJENIKA 1, KOMIŽA;712;337;337;305;32;111;13;14;115;33;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;003;PODŠPILJE;"OSNOVNA ŠKOLA ""PODŠPILJE""";PODŠPILJE;129;50;50;50;0;17;1;3;22;6;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;001;BIRAČKO MJESTO BR. 1;OŠ PETRA PERICE - MAKARSKA;ZELENKA BB, SOBA BR. I;2099;941;941;906;35;305;10;45;238;244;64
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;002;BIRAČKO MJESTO BR. 2;DJEČJI VRTIĆ;DR. M. UJEVIĆA 5;2041;944;944;909;35;273;22;40;226;317;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;003;BIRAČKO MJESTO BR. 3;"UDRUGA ""SUNCE""";KRALJA PETRA KREŠIMIRA IV BR.9;2336;893;893;860;33;217;14;38;353;211;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;004;BIRAČKO MJESTO BR. 4;ZGRADA GRADA MAKARSKE - GRADSKA VIJEĆNICA;MAKARSKA, OBALA KRALJA TOMISLAVA 1;699;337;337;320;17;88;2;19;113;90;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;005;BIRAČKO MJESTO BR. 5;VATROGASNI DOM;POTOK BROJ 2;2034;951;950;914;36;284;16;50;260;261;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;006;BIRAČKO MJESTO BR. 6;SREDNJA ŠKOLA FRA A.K. MIOŠIĆA;Z. FRANKOPANSKA BB, SOBA BR. I;1666;745;745;708;37;212;15;34;213;206;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;007;BIRAČKO MJESTO BR.7;PLANINARSKI DOM VELIKOBRDSKIH LEDARA;VELIKO BRDO KBR. 103;560;271;271;264;7;107;7;7;68;71;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;008;BIRAČKO MJESTO BR. 8;OŠ PETRA PERICE - MAKARSKA;ZELENKA BB, SOBA BR. II;1833;831;831;784;47;302;11;37;140;241;53
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;009;BIRAČKO MJESTO BR. 9;SREDNJA ŠKOLA FRA A. K. MIOŠIĆA - MAKARSKA;Z. FRANKOPANSKA BB, SOBA BR. II;1763;706;706;672;34;212;11;25;180;223;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;001;PRIKO I;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1675;828;828;782;46;321;29;105;121;144;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;002;PRIKO II;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1015;568;567;540;27;189;20;102;121;78;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;003;PUNTA - STARI GRAD;MJESNI ODBOR;FOŠAL BROJ 6 - OMIŠ;1125;579;579;555;24;194;13;95;111;97;45
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;004;MLIJA;SAMOSTAN SESTARA SLUŽAVKI MALOG ISUSA;VANGRAD 5;1473;772;772;724;48;277;25;122;136;117;47
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;005;BORAK;PROSTORIJE NIKŠE ČEČUKA;BORAK, PUT BORKA 67;151;97;97;91;6;24;4;25;17;15;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;006;BRZET;PROSTORIJE   HOTELSKOG NASELJA BRZET;OMIŠ;145;69;69;63;6;24;2;13;10;14;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;007;NEMIRA;"PROSTORIJE MJESNOG ODBORA NEMIRA ""IGRALIŠTE"" U NEMIRI";PUT NEMIRE;422;178;178;174;4;73;8;24;23;33;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;008;ČELINA-STANIĆI;MJESNI ODBOR;STANIĆI;763;278;278;261;17;113;8;51;32;33;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;009;LOKVA ROGOZNICA;PROSTORIJE MJESNOG ODBORA;LOKVA ROGOZNICA, IVAŠNJAK 3;506;195;195;184;11;85;7;23;38;15;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;010;MIMICE;PROSTORIJE TURIST BIROA;MIMICE;262;122;122;121;1;80;1;10;14;10;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;011;MARUŠIĆI;SPOMEN DOM U MARUŠIĆIMA, PROSTORIJE MJESNOG ODBORA;MARUŠIĆI, PUT DVORA 35;212;82;82;80;2;34;6;7;10;15;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;012;PISAK;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U PISKU;PISAK;245;72;72;71;1;21;3;8;27;5;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;013;SEOCA;PROSTORIJE ZADRUŽNOG DOMA U SEOCIMA;SEOCA;120;79;79;77;2;56;6;10;1;2;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;014;KOSTANJE;PROSTORIJE U ZADRUŽNOM DOMU U KOSTANJAMA;KOSTANJE;532;284;284;270;14;187;12;25;13;20;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;015;PODGRAĐE;PROSTORIJE OSNOVNE ŠKOLE U PODGRAĐU;PODGRAĐE;233;137;136;133;3;66;15;19;6;16;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;016;SLIME;PROSTORIJE OSNOVNE ŠKOLE U SLIMENU;SLIME;252;103;103;101;2;44;1;18;13;19;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;017;KUČIĆE;PROSTORIJE OSNOVNE ŠKOLE;KUČIĆE;583;323;323;309;14;166;22;56;13;29;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;018;SVINIŠĆE;PROSTORIJE ZADRUŽNOG DOMA;SVINIŠĆE;116;62;62;60;2;27;6;9;8;9;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;019;ZVEČANJE;PROSTORIJE MJESNOG ODBORA U ZVEČANJU;ZVEČANJE;226;117;117;113;4;56;2;25;11;9;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;020;OSTRVICA DONJA;PROSTORIJE MJESNOG ODBORA (ANTONSKA KUĆA);OSTRVICA DONJA;105;55;55;49;6;34;1;1;3;6;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;021;OSTRVICA GORNJA;PROSTORIJE HPT-A U OSTRVICI GORNJOJ;OSTRVICA GORNJA;60;36;36;34;2;27;0;3;1;3;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;022;ČIŠLA;PROSTORIJE OSNOVNE ŠKOLE;ČIŠLA;256;109;109;106;3;58;4;12;10;4;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;023;GATA;PROSTORIJE  DOMA KULTURE;GATA;486;261;261;252;9;119;9;32;42;33;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;024;ZAKUČAC;PROSTORIJE MJESNOG ODBORA;ZAKUČAC;126;55;55;53;2;24;0;10;6;10;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;025;NAKLICE;PROSTORIJE OSNOVNE ŠKOLE;NAKLICE;205;139;139;134;5;87;4;8;8;18;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;026;TUGARE  -DOČINE;PROSTORIJE ZADRUŽNOG DOMA U DOČINAMA;TUGARE-DOČINE;372;200;200;190;10;95;9;15;27;30;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;027;TUGARE - PODUME-RAČNIK;PROSTORIJE MJESNOG ODBORA TUGARE-PODUME-RAČNIK;TUGARE;325;185;185;174;11;108;8;17;12;15;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;028;TUGARE   - ČAŽIN DOLAC;PROSTORIJE MJESNOG ODBORA U ČAŽIN DOCU;TUGARE;84;49;49;48;1;25;2;9;1;6;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;029;DUBRAVA;PROSTORIJE OSNOVNE ŠKOLE;DUBRAVA;255;108;108;98;10;73;5;9;6;3;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;030;BLATO NA CETINI;PROSTORIJE MJESNOG ODBORA (IZNAD POŠTE);BLATO NA CETINI;407;191;191;186;5;112;7;21;9;15;22
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;031;NOVA SELA;PROSTORIJE MJESNOG ODBORA U NOVIM SELIMA;NOVA SELA;175;71;71;63;8;41;5;6;0;3;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;032;TRNBUSI;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U TRNBUSIMA;TRNBUSI 86;143;64;64;62;2;30;6;7;2;12;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;033;SRIJANE I -ZIDINE;PROSTORIJE MJESNOG ODBORA U SRIJANIMA;SRIJANE;30;17;17;15;2;12;0;1;2;0;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;034;SRIJANE  II -NEČAJ;PROSTORIJE OSNOVNE ŠKOLE U SRIJANIMA;SRIJANE;183;78;78;76;2;27;4;14;9;15;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;035;GORNJI DOLAC;PROSTORIJE OSNOVNE ŠKOLE U GORNJEM DOCU;GORNJI DOLAC;113;56;56;55;1;30;1;9;3;8;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;036;DONJI DOLAC I - RUPA;PROSTORIJE BIVŠE O.Š. RUPA-DONJI DOLAC;DONJI DOLAC;151;86;86;80;6;60;3;1;4;9;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;037;DONJI DOLAC II  - SMAJIĆI;PROSTORIJE BIVŠE O.Š. SMAJIĆI-DONJI DOLAC;DONJI DOLAC;70;35;35;34;1;22;2;0;3;3;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;038;DONJI DOLAC III -ROŠCA;OBITELJSKA KUĆA POK.ŽELJKA ŠOŠIĆA, DONJI DOLAC 173B, ROŠCA;DONJI DOLAC;78;33;33;32;1;13;2;0;2;1;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;039;PUTIŠIĆI;PROSTORIJE MJESNOG ODBORA U PUTIŠIĆIMA;PUTIŠIĆI;35;25;25;25;0;16;2;1;1;2;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;001;BIRAČKO MJESTO 1. U SINJU;GALERIJA GALIOTOVIĆ;BRNAŠKA 44;926;480;480;457;23;176;17;138;68;39;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;002;BIRAČKO MJESTO 2. U SINJU;GALERIJA GALIOTOVIĆ;BRNAŠKA 44;1676;850;848;817;31;394;14;165;128;68;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;003;BIRAČKO MJESTO 3. U SINJU;"DJEČJI VRTIĆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;852;462;462;432;30;179;13;84;94;36;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;004;BIRAČKO MJESTO 4. U SINJU;"DJEČJI VRTIĆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;1601;791;791;763;28;321;16;158;140;86;42
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;005;BIRAČKO MJESTO 5. U SINJU;"OŠ ""MARKA MARULIĆA""";VLADIMIRA NAZORA 33;1856;987;986;941;45;300;32;273;203;77;56
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;006;BIRAČKO MJESTO 6. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1208;629;629;591;38;226;26;135;114;48;42
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;007;BIRAČKO MJESTO 7. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1533;765;765;752;13;344;15;185;115;43;50
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;008;BIRAČKO MJESTO 8. U BRNAZAMA;"DJEČJI VRTIĆ ""ALKARIĆ""";BRNAZE;965;548;548;528;20;267;17;131;46;28;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;009;BIRAČKO MJESTO 9. U BRNAZAMA;OŠ BRNAZE;BRNAZE;1779;947;947;913;34;551;33;120;74;89;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;010;BIRAČKO MJESTO 10. U TURJACIMA;OŠ TURJACI;TURJACI;963;486;486;469;17;245;22;103;26;41;32
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;011;BIRAČKO MJESTO 11. U GLAVICAMA DONJIM;OŠ U GLAVICAMA;GLAVICE DONJE;1732;902;901;855;46;415;27;177;143;54;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;012;BIRAČKO MJESTO 12. GLAVICE GORNJE;OŠ U GLAVICAMA, GLAVICE DONJE;OŠ U GLAVICAMA, GLAVICE DONJE;1471;816;816;756;60;328;25;180;113;57;53
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;013;BIRAČKO MJESTO 13. U HANU;OŠ U HANU;HAN;722;342;342;323;19;173;23;64;22;22;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;014;BIRAČKO MJESTO 14. U BAJAGIĆU;OŠ BAJAGIĆ;BAJAGIĆ;492;215;215;210;5;127;4;43;12;9;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;015;BIRAČKO MJESTO 15. U GLJEVU;OŠ U GLJEVU;GLJEV;280;128;128;121;7;72;1;27;5;7;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;016;BIRAČKO MJESTO 16. U RADOŠIĆU;OŠ U RADOŠIĆU;RADOŠIĆ;563;340;339;321;18;169;13;77;30;17;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;017;BIRAČKO MJESTO 17. U SUHAČU;"PODUZEĆE ""CIGLANE"" U SLANICI";SLANICA;489;345;345;319;26;81;3;181;24;14;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;018;BIRAČKO MJESTO 18. U LUČANIMA;OŠ U LUČANIMA;LUČANI;538;330;330;316;14;134;12;100;30;20;20
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;019;BIRAČKO MJESTO 19. U KARAKAŠICI;OŠ U KARAKAŠICI;KARAKAŠICA;595;363;363;348;15;197;5;87;24;18;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;020;BIRAČKO MJESTO 20. U JASENSKOM;KUĆA MARIJE ŠUŠNJARE;JASENSKO 55 A;293;138;138;134;4;70;8;38;8;6;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;021;BIRAČKO MJESTO 21. U ČITLUKU;OŠ U ČITLUKU;ČITLUK;419;275;275;269;6;164;17;54;14;9;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;022;BIRAČKO MJESTO 22. U ZELOVU;"U PROSTORIJAMA BIVŠEG PODUZEĆA ""KONKURENT"" (BIVŠA PRODAVAONICA)";ZELOVO;144;68;68;65;3;41;2;11;7;1;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;001;CENTAR I;PROSTORIJE ZGRADE GRADSKE UPRAVE GRADA SOLINA;STJEPANA RADIĆA 42, SOLIN;947;399;399;388;11;174;27;19;64;77;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;002;CENTAR II;PROSTORIJE CRVENOG KRIŽA GRADA SOLINA;KRALJA ZVONIMIRA  117 D;579;255;255;243;12;114;6;23;48;30;22
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;003;CENTAR III;OŠ DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;556;208;208;201;7;107;1;17;30;35;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;004;CENTAR IV;OSNOVNA ŠKOLA DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;432;186;186;180;6;65;7;15;32;37;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;005;CENTAR V;PROSTORIJE O.Š. DON LOVRE KATIĆA;PUT MAJDANA 3;457;210;210;205;5;98;8;18;24;41;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;006;KUČINE;PROSTORIJE DRUŠTVENOG DOMA KUČINE;DRAGE MARKOVIĆA 35, SOLIN;900;455;455;431;24;187;23;34;54;97;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;007;MRAVINCE I;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";GAJEVA ULICA 45, MRAVINCE;984;470;469;442;27;197;14;44;40;74;73
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;008;MRAVINCE II;"OSNOVNA ŠKOLA ""KRALJICE JELENE """;GAJEVA ULICA 45, MRAVINCE;467;230;230;227;3;99;2;20;35;53;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;009;PRIKO VODA I;"PROSTORIJA OSNOVE ŠKOLU""KRALJICE JELENE";SOLIN, PUT MIRA 3;896;380;379;362;17;184;14;47;30;54;33
