Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZDESLAV BENZON;ANTE FRANIÆ;IVICA GRKOVIÆ;NANSI IVANIŠEVIÆ;ŽELJKO KERUM;VICE MIHANOVIÆ;MARIJO POPOVIÆ;JAKOV PRKIÆ;IVICA PULJAK;BRANKA RAMLJAK;SINIŠA VUCO
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;053;SPLIT;O.Š. SKALICE;PUT SKALICA 18;648;288;288;283;5;14;26;8;7;32;37;1;29;100;25;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;054;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;670;299;299;294;5;6;28;4;24;29;50;3;26;97;24;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;055;SPLIT;DJEÈJI VRTIÆ ÈAROBNI PIANINO;TERZIÆEVA 9;1055;489;489;484;5;12;34;17;17;85;99;3;41;120;55;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;056;SPLIT;ZGRADA STANOUPRAVE;PUT SKALICA 18;1159;629;629;616;13;21;25;35;15;103;93;3;37;220;61;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;057;SPLIT;O.Š. SKALICE;PUT SKALICA 18;875;407;407;402;5;11;33;17;10;51;70;4;30;138;31;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;058;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;723;311;311;302;9;6;35;10;14;46;37;1;22;106;23;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;059;SPLIT;DJEÈJI VRTIÆ MALA SIRENA;KNEZA VIŠESLAVA 24;678;328;328;321;7;9;24;8;12;40;40;3;23;125;34;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;060;SPLIT;GIMNAZIJA VLADIMIR NAZORA;ZAGREBAÈKA 2;770;355;355;351;4;5;31;12;11;48;65;5;29;125;19;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;061;SPLIT;O.Š. LUÈAC;OMIŠKA 27;690;329;329;323;6;9;40;13;14;19;56;1;33;117;19;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;062;SPLIT;O.Š. LUÈAC;OMIŠKA 27;558;217;216;213;3;3;18;11;8;43;45;4;17;47;17;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;063;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;690;304;304;293;11;6;27;17;4;58;56;5;17;75;27;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;064;SPLIT;GRADSKI KOTAR LUÈAC-MANUŠ;OMIŠKA 16;719;372;372;362;10;15;27;12;13;41;64;2;25;135;27;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;065;SPLIT;GRADSKI KOTAR MEJE;NJEGOŠEVA 1 A;707;363;363;358;5;13;24;23;10;41;61;5;20;131;30;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;066;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;617;292;292;286;6;18;23;9;16;28;48;5;27;104;6;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;067;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;998;507;507;498;9;3;22;23;16;76;117;9;22;170;39;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;068;SPLIT;DJEÈJI VRTIÆ KAŠTELET;T.P MAROVIÆA 4;834;408;408;400;8;9;33;15;13;79;90;9;16;104;32;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;069;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;985;459;457;446;11;7;29;25;18;44;82;11;24;148;52;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;070;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;780;346;346;337;9;7;23;19;16;34;82;2;22;112;18;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;071;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;812;381;381;375;6;5;28;23;9;43;64;3;18;127;45;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;072;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;1042;507;507;490;17;12;48;22;23;103;87;8;20;122;42;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;073;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;855;390;390;380;10;8;50;10;15;42;89;9;27;97;30;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;074;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;1290;586;586;574;12;16;51;21;23;59;125;12;38;174;53;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;075;SPLIT;O.Š. PLOKITE;SLAVONSKA 13;714;327;327;326;1;28;32;10;5;38;59;2;26;102;21;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;076;SPLIT;OŠ PLOKITE;SLAVONSKA ULICA 13;870;382;382;380;2;17;47;8;13;56;64;3;20;126;25;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;077;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;668;292;292;286;6;7;34;10;7;47;51;5;12;91;20;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;078;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;777;293;293;289;4;11;29;12;13;46;47;3;15;96;17;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;079;SPLIT;O.Š. PLOKITE;SLAVONSKA 13;603;245;245;242;3;9;30;13;6;38;41;0;12;73;16;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;080;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;903;414;414;410;4;19;23;20;18;42;76;2;33;145;31;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;081;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;988;365;365;360;5;10;28;13;16;50;75;1;12;132;22;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;082;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1105;467;467;454;13;11;13;29;27;110;125;1;18;92;27;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;083;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1021;430;430;422;8;13;34;23;16;75;80;0;33;101;45;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;084;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1151;512;512;499;13;15;48;34;12;85;102;5;28;138;29;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;085;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1036;472;472;463;9;7;36;33;11;59;83;3;34;163;33;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;086;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;808;309;308;302;6;9;29;14;16;58;74;4;8;60;25;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;087;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;730;295;295;293;2;3;26;10;18;54;70;3;15;76;17;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;088;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;693;280;280;273;7;10;22;24;9;46;55;8;14;68;17;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;089;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;709;249;249;242;7;7;22;13;7;39;44;1;19;67;20;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;090;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;817;323;323;315;8;11;27;13;24;66;60;7;14;70;19;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;091;SPLIT;GRADSKI KOTAR RAVNE NJIVE;HERCEGOVAÈKA 40;1207;552;552;535;17;21;40;35;23;101;116;2;31;115;46;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;092;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;662;277;277;268;9;11;18;12;19;49;57;2;24;62;14;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;093;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;920;451;451;437;14;12;41;18;18;50;81;5;53;134;24;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;094;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;861;437;437;425;12;11;39;23;14;48;66;1;29;162;31;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;095;SPLIT;O.Š. SPINUT;TESLINA 12;735;356;356;348;8;13;47;10;2;41;75;2;27;113;17;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;096;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;729;360;359;351;8;14;49;11;6;31;62;3;24;137;14;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;097;SPLIT;O.Š. SPINUT;TESLINA 12;538;258;258;256;2;3;24;6;10;9;38;0;28;124;14;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;098;SPLIT;ELEKTROTEHNIÈKA ŠKOLA;TESLINA 2;727;365;365;359;6;12;43;6;6;38;47;4;44;144;14;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;099;SPLIT;O.Š. SPINUT;TESLINA 12;786;387;387;379;8;13;44;14;14;27;52;1;29;146;36;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;100;SPLIT;O.Š. SPINUT;TESLINA 12;832;414;414;409;5;8;58;20;8;42;48;0;31;173;19;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;101;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;834;418;418;410;8;12;36;9;8;33;101;4;39;133;31;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;102;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;829;376;376;361;15;11;47;17;13;39;56;5;26;126;21;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;103;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;773;378;377;367;10;6;42;19;13;40;76;4;25;110;29;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;104;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;742;347;347;342;5;10;38;25;9;49;48;1;22;116;21;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;105;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;671;315;315;305;10;10;34;15;11;27;54;1;24;98;28;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;106;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;883;352;352;345;7;4;17;7;17;52;56;4;37;118;30;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;107;SPLIT;FESB;RUÐERA BOŠKOVIÆA;955;390;390;384;6;11;33;18;10;66;69;4;21;114;37;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;108;SPLIT;FAKULTET GRAÐEVINSKIH ZNANOSTI;MATICE HRVATSKE 15;624;284;275;264;11;7;25;5;7;41;63;4;12;71;27;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;109;SPLIT;FESB;RUÐERA BOŠKOVIÆA;930;388;388;378;10;14;35;15;13;65;59;4;20;117;34;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;110;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1084;409;408;398;10;8;18;26;21;97;92;8;10;86;32;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;111;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1298;514;514;501;13;9;25;37;15;85;133;4;31;122;39;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;112;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;788;297;297;292;5;8;22;16;13;59;55;1;17;89;12;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;113;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;823;347;346;339;7;8;45;14;9;42;58;5;19;115;22;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;114;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1065;360;360;355;5;10;18;20;9;68;84;7;14;90;31;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;115;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1105;429;429;416;13;11;17;38;15;54;124;2;13;108;29;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;116;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1219;521;520;504;16;12;33;25;17;102;109;4;33;129;38;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;117;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;843;337;337;326;11;7;32;15;15;63;47;10;10;92;33;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;118;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1008;477;477;470;7;10;38;17;14;66;91;4;32;147;46;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;119;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;811;395;395;390;5;11;38;21;16;36;75;4;28;134;25;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;120;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;933;414;414;407;7;6;38;5;10;51;93;4;27;136;36;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;121;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;863;381;381;371;10;14;53;3;11;54;65;1;28;116;22;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;122;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;1163;492;492;486;6;12;50;31;23;64;80;9;30;147;40;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;123;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1094;479;479;471;8;7;38;18;13;51;133;7;25;144;34;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;124;SPLIT;KRUH SV.ANTE;SINOVÈIÆA 6;922;365;365;362;3;12;21;17;14;75;67;2;31;99;23;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;125;SPLIT;KLUB DVORANA;SINOVÈIÆA 6;775;313;313;304;9;10;18;15;12;67;70;1;19;77;14;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;126;SPLIT;DJEÈJI VRTIÆ TAMARIN;NAZOROV PRILAZ 20;747;374;374;363;11;17;31;8;15;67;79;4;29;78;31;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;127;SPLIT;O.Š. MARJAN;GAJEVA 1;859;319;319;312;7;8;27;19;14;57;64;2;21;76;22;2
