Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ZLATKO KOMADINA;GARI CAPPELLI
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;005;BIRAČKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;1288;561;561;550;11;351;199
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;006;BIRAČKO MJESTO BR. 6;"ZGRADA OSNOVNE ŠKOLE ""F.K.FRANKOPANA""  BROD NA KUPI";BROD NA KUPI, KRALJA TOMISLAVA 17 A;369;117;117;112;5;81;31
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;007;BIRAČKO MJESTO BR. 7;ZGRADA OSNOVNE ŠKOLE TURKE;TURKE, TURKE 19;133;56;56;55;1;44;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;001;KASTAV;DOM BRAĆE MATEŠIĆ;ŠPOROVA JAMA 2;878;207;207;205;2;138;67
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;002;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRNČIĆI;BRNČIĆI 66;1133;218;218;213;5;132;81
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;003;KASTAV;PROSTORIJA U PRIZEMLJU ZGRADE (MO REŠETARI);ŠTIVAR 13;2260;453;453;438;15;247;191
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;004;KASTAV;"PROSTORIJA GLAZBENOG DOMA ""DR. VOJKO VLAH""";SPINČIĆI 47;1707;358;358;344;14;198;146
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;005;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAĆE MILIH (PRIZEMLJE);RUBEŠI 65;1605;321;321;315;6;187;128
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;006;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAĆE MILIH (SUTEREN);RUBEŠI 65;957;223;223;221;2;112;109
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;007;KASTAV;PROSTORIJA ŠKOLSKE SPORTSKE DVORANE;STRAŽNICA 2;855;201;201;197;4;138;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;001;KRALJEVICA;I KAT - VIJEĆNICA;FRANKOPANSKA 1A;1166;283;283;281;2;129;152
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;002;KRALJEVICA;DOM KULTURE I SPORTA, PROSTORIJA UDRUGE UMIROVLJENIKA;STROSSMAYEROVA 29;1187;235;235;227;8;116;111
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;003;BAKARAC;PROSTORIJE DRUŠTVENOG DOMA;BAKARAC 8;265;92;92;91;1;49;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;004;KRIŽIŠĆE;PROSTORIJE DRUŠTVENOG DOMA;KRIŽIŠĆE 27;386;135;135;132;3;49;83
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;005;ŠMRIKA;"PROSTORIJE DRUŠTVENOG  DOMA ""IVICA TURINA""";BURIĆEVA 38;906;230;230;222;8;114;108
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;001;KRK;GALERIJA DECUMANUS;KRK, J.J.STROSSMAYERA BB;839;119;119;114;5;65;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;002;KRK;MALA VIJEĆNICA GRADA KRKA;KRK, TRG JOSIPA BANA JELAČIĆA BR.2;728;103;103;103;0;58;45
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;003;KRK;VELIKA VIJEĆ. GRADA KRKA - I DIO;KRK, TRG JOSIPA BANA JELAČIĆA BR.2;1007;179;179;177;2;111;66
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;004;KRK;VELIKA VIJEĆ. GRADA KRKA - II DIO;KRK, TRG JOSIPA BANA JELAČIĆA BR.2;1138;170;170;169;1;112;57
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;005;KORNIĆ;MJESNI DOM KORNIĆ;KORNIĆ;565;96;96;94;2;66;28
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;006;VRH;MJESNI DOM VRH;VRH;857;103;103;100;3;57;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;007;PINEZIĆI;MJESNI DOM PINEZIĆI;PINEZIĆI;437;125;125;124;1;79;45
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;008;MILOHNIĆI;MJESNI DOM MILOHNIĆI;MILOHNIĆI;430;83;83;82;1;63;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;009;POLJICA;ŠKOLA POLJICA;POLJICA 14;417;96;96;95;1;48;47
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;001;MALI LOŠINJ;GRAD MALI LOŠINJ;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 7;872;402;402;390;12;209;181
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;002;MALI LOŠINJ;MUZEJ APOKSIOMENA;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 13;814;380;380;367;13;223;144
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;003;MALI LOŠINJ;VODOOPSKRBA I ODVODNJA CRES LOŠINJ D.O.O.;MALI LOŠINJ, TRG ŽRTAVA FAŠIZMA 6;1044;548;548;531;17;268;263
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;004;MALI LOŠINJ;UDRUGA UMIROVLJENIKA GRADA MALOG LOŠINJA;MALI LOŠINJ, BRAĆE IVANA I STJEPANA VIDULIĆA 14;1428;717;717;679;38;360;319
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;005;MALI LOŠINJ;POSLOVNI PROSTOR BIVŠE POSLOVNICE OTP BANKE;MALI LOŠINJ, CRESKA 3;1144;581;581;570;11;304;266
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;006;VELI LOŠINJ;PROSTORIJA MJESNOG ODBORA;VELI LOŠINJ, OBALA MARŠALA TITA 36;819;332;332;321;11;208;113
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;007;ILOVIK;ILOVIK - PROSTORIJA MJESNOG ODBORA;ILOVIK;135;63;63;63;0;10;53
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;008;SUSAK;SUSAK - PROSTORIJE MJESNOG ODBORA - DOM ISELJENIKA;SUSAK;256;69;69;68;1;29;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;009;UNIJE;UNIJE - PROSTORIJA OSNOVNE ŠKOLE;UNIJE;117;41;41;36;5;26;10
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;010;ĆUNSKI;ĆUNSKI - PROSTORIJE MJESNOG ODBORA;ĆUNSKI BR. 23;312;156;156;151;5;83;68
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;011;NEREZINE;"NEREZINE - PROSTORIJA ""GRADSKE VIJEĆNICE""";NEREZINE, TRG STUDENAC;532;233;233;225;8;122;103
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;012;PUNTA KRIŽA;PUNTA KRIŽA - PROSTORIJA OSNOVNE ŠKOLE;PUNTA KRIŽA;65;31;31;30;1;15;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;013;BELEJ;"BELEJ - PROSTORIJA ""ZADRUŽNOG DOMA""";BELEJ;81;46;46;44;2;22;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;001;BIRAČKO MJESTO BR. 1;PROSTORIJE MJESNOG ODBORA KLENOVICA;KLENOVICA, OMLADINSKI PRILAZ 2;528;170;170;166;4;55;111
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;002;BIRAČKO MJESTO BR. 2;PROSTOR RECEPCIJE U BIVŠEM TURISTIČKOM NASELJU POVILE;POVILE, M. BUTKOVIĆA BB;240;80;80;79;1;26;53
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;003;BIRAČKO MJESTO BR. 3;PROSTORIJE BIVŠE OSNOVNE ŠKOLE DONJI ZAGON;DONJI ZAGON B.B.;120;39;39;38;1;14;24
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;004;BIRAČKO MJESTO BR. 4;PROSTORIJE DOMA KULTURE LEDENICE;LEDENICE;161;106;106;104;2;22;82
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;005;BIRAČKO MJESTO BR. 5;"PROSTORIJE ""DOMA KULTURE"" BATER";BATER BB;112;65;65;63;2;20;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;006;BIRAČKO MJESTO BR. 6;PROSTORIJE VATROGASNOG DOMA NOVI VINODOLSKI;NOVI VINODOLSKI, VATROGASNA 2;467;137;137;136;1;68;68
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;007;BIRAČKO MJESTO BR. 7;"PROSTORIJE ""MALE SALE DOMA KULTURE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 1;732;212;212;211;1;80;131
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;008;BIRAČKO MJESTO BR. 8;"PROSTORIJE OSNOVNE ŠKOLE ""IVAN MAŽURANIĆ""";NOVI VINODOLSKI, LOKVICA 2;733;206;206;200;6;99;101
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;009;BIRAČKO MJESTO BR. 9;PROSTORIJE NARODNE ČITAONICE I KNJIŽNICE NOVI VINODOLSKI;NOVI VINODOLSKI, TRG VINODOLSKOG ZAKONA 1;797;200;200;198;2;92;106
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;010;BIRAČKO MJESTO BR. 10;"PROSTOR ""ADRIA TURIST""";NOVI VINODOLSKI, KRALJA TOMISLAVA 6;535;169;169;158;11;76;82
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;011;BIRAČKO MJESTO BR. 11;"PROSTORIJE UPRAVNE ZGRADE ""ŠUMARIJE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 39;583;155;155;153;2;79;74
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;001;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA - TOŠINA);GIUSEPPE VERDI 23;839;388;388;369;19;252;117
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;002;OPATIJA;DOM LIBURNIJA (PROSTORIJE MOHO CENTRA);ANDRIJE ŠTANGERA 48;636;343;343;334;9;199;135
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;003;OPATIJA;(PROSTORIJE MJESNOG ODBORA  OPATIJA - KOSOVO);KOSIĆEVO 7;822;421;419;403;16;278;125
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;004;POBRI;(PROSTORIJE MJESNOG ODBORA POBRI);POBARSKA CESTA 3;1035;445;445;432;13;276;156
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;005;IKA;(DRUŠTVENI DOM IKA, PROSTORIJE MJESNOG ODBORA IKA);PRIMORSKA ULICA BB;1001;472;472;451;21;289;162
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;006;DOBREĆ;(ŠKOLA, PROSTORIJE MJESNOG ODBORA DOBREĆ);DOBREĆ BR. 20/C;352;153;153;144;9;93;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;007;VEPRINAC;(ETNO ZBIRKA VEPRINAC);VEPRINAC - STARI GRAD 5;937;467;467;458;9;335;123
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;008;POLJANE;(DRUŠTVENI DOM, PROSTORIJE MJESNOG ODBORA POLJANE);POLJANE 67;501;264;264;254;10;205;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;009;IČIĆI;(OSNOVNA ŠKOLA, PROSTORIJE MJESNOG ODBORA IČIĆI);LIBURNIJSKA CESTA 30;789;392;392;378;14;233;145
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;010;OPATIJA;(PROSTORIJE DJEČJEG VRTIĆA PUNTA KOLOVA);ANTONA MIHIĆA 5/A;404;180;180;169;11;110;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;011;OPATIJA;(VILLA ANTONIO MEĐUNARODNI CENTAR ZA OBRAZOVANJE NOVINARA);NAZOROVA  BR. 2;910;440;440;425;15;304;121
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;012;OPATIJA;(PROSTORIJE MJESNOG ODBORA);J. RAKOVCA 15;603;283;283;276;7;180;96
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;013;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA-CENTAR II);VRUTKI 6;849;384;384;372;12;239;133
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;014;OPATIJA;(GRADSKA VIJEĆNICA);M. TITA 3;679;354;354;337;17;234;103
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;001;RAB;PROSTORIJA GRADSKE VIJEĆNICE GRADA RABA;RAB MUNICIPIUM ARBA 2;413;145;145;144;1;66;78
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;002;SUPETARSKA DRAGA;PODRUČNA ŠKOLA SUPETARSKA  DRAGA;SUPETARSKA DRAGA;1012;262;262;257;5;128;129
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;003;MUNDANIJE;PODRUČNA ŠKOLA MUNDANIJE;MUNDANIJE;444;108;108;105;3;51;54
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;004;KAMPOR;PODRUČNA ŠKOLA KAMPOR;KAMPOR;991;220;220;217;3;96;121
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;005;PALIT;"O.Š.""IVANA RABLJANINA"" - UČ. IV. RAZ";PALIT;1514;397;397;391;6;225;166
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;006;BANJOL 2;PODRUČNA ŠKOLA BANJOL;BANJOL;583;126;126;123;3;59;64
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;007;BANJOL 1;"OŠ ""IVANA  RABLJANINA "" - UČION. I.RAZ.";BANJOL;1152;300;300;296;4;140;156
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;008;BARBAT;"PODRUČNA ŠKOLA  ""BARBAT""";BARBAT;1107;284;284;283;1;158;125
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;001;COSTABELLA;PROSTORIJE MJESNOG ODBORA;ISTARSKA 50;1231;517;517;501;16;269;232
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;002;KANTRIDA;"OŠ ""KANTRIDA""";IZVIĐAČKA 9;1208;467;466;439;27;275;164
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;003;KANTRIDA;"DOM  ""MIRKO ČURBEG""";LOVRANSKA 10;1057;390;390;375;15;227;148
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;004;KANTRIDA;"OŠ ""KANTRIDA""";IZVIĐAČKA 9;1045;413;413;394;19;237;157
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;005;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;934;335;334;321;13;182;139
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;006;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;1015;311;311;305;6;184;121
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;007;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;925;324;324;315;9;192;123
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;008;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;793;298;298;288;10;168;120
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;009;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIĆ 2;1077;307;307;292;15;141;151
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;010;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIĆ 2;1258;356;355;341;14;191;150
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;011;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIĆ 2A;941;221;221;213;8;107;106
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;012;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIĆ 2A;1199;320;320;306;14;141;165
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;013;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1372;476;476;464;12;282;182
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;014;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1301;400;400;380;20;248;132
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;015;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1238;410;410;396;14;216;180
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;016;SRDOČI;PROSTORIJE MJESNOG ODBORA;MIROSLAVA KRLEŽE 4;1507;574;573;553;20;271;282
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;017;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;1372;488;488;477;11;264;213
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;018;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;1318;416;416;401;15;214;187
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;019;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;1508;490;490;476;14;233;243
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;020;GRBCI;PROSTORIJE MJESNOG ODBORA;DRAŽIČKA 4;1442;480;480;464;16;176;288
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;021;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;912;259;259;247;12;139;108
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;022;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1246;377;377;365;12;184;181
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;023;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1105;322;322;310;12;134;176
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;024;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1377;394;394;383;11;210;173
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;025;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;934;337;337;315;22;176;139
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;026;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;800;303;303;291;12;173;118
