Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO FILIPOVIĆ;DAVOR ŠTIMAC
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;013;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1372;476;476;468;8;280;188
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;014;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1301;400;399;381;18;221;160
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;015;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1238;410;410;398;12;202;196
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;016;SRDOČI;PROSTORIJE MJESNOG ODBORA;MIROSLAVA KRLEŽE 4;1507;574;573;553;20;266;287
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;017;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;1372;488;486;479;7;271;208
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;018;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;1318;416;416;401;15;215;186
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;019;SRDOČI;"OSNOVNA ŠKOLA ""SRDOČI""";ANTE MODRUŠANA 33;1508;490;490;472;18;225;247
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;020;GRBCI;PROSTORIJE MJESNOG ODBORA;DRAŽIČKA 4;1442;480;480;468;12;153;315
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;021;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;912;259;258;252;6;141;111
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;022;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1246;377;377;356;21;183;173
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;023;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1105;323;323;308;15;135;173
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;024;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1377;394;394;388;6;189;199
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;025;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;934;336;336;323;13;170;153
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;026;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;800;303;303;297;6;164;133
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;027;BELVEDER;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1001;317;317;312;5;197;115
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;028;KOZALA;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1004;419;419;401;18;223;178
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;029;KOZALA;"OŠ  ""KOZALA""";ANTE KOVAČIĆA 21;1172;485;485;468;17;262;206
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;030;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLČIĆEV TRG 2;1202;445;444;431;13;242;189
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;031;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLČIĆEV TRG 2;948;365;365;350;15;199;151
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;032;BRAŠĆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;1041;405;405;398;7;195;203
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;033;BRAŠĆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;931;296;296;284;12;118;166
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;034;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1190;377;377;363;14;193;170
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;035;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1242;383;383;376;7;193;183
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;036;DRENOVA;"""DVD"" DRENOVA";CVETKOV TRG 1;1363;480;480;462;18;210;252
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;037;DRENOVA;"PROSTORIJE ""LINGUAE"" ŠKOLE STRANIH JEZIKA";CVETKOV TRG 1;1203;400;400;393;7;195;198
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;038;DRENOVA;ZAVIČAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;861;263;263;254;9;140;114
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;039;DRENOVA;ZAVIČAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;782;218;218;215;3;124;91
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;040;ŠKURINJE;"OŠ  ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1314;402;402;382;20;199;183
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;041;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1090;299;299;288;11;145;143
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;042;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1182;379;379;366;13;203;163
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;043;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1106;322;322;315;7;160;155
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;044;ŠKURINJSKA DRAGA;GEODETSKI ZAVOD RIJEKA;FRANA KRESNIKA 33;959;311;311;304;7;171;133
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;045;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAČEVA DRAGA 13;1064;335;335;325;10;196;129
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;046;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAČEVA DRAGA 13;862;207;207;204;3;105;99
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;047;ŠKURINJSKA DRAGA;PROSTORIJE MJESNOG ODBORA;POREČKA 94;807;267;267;259;8;150;109
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;048;OREHOVICA;PROSTORIJE MJESNOG ODBORA;KALINA 2;467;141;141;137;4;69;68
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;049;PAŠAC;"DOM ""PAŠAC""";BALDE FUĆKA 39;331;123;123;115;8;54;61
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;050;SVILNO;"DOM KULTURE ""SVILNO""";SVILNO 82;777;242;242;231;11;111;120
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;051;BRAJDA;PROSTORIJE MJESNOG ODBORA;POMERIO 26;899;295;295;287;8;172;115
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;052;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIĆA""";IVANA FILIPOVIĆA 2;978;306;306;301;5;175;126
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;053;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIĆA""";IVANA FILIPOVIĆA 2;858;303;303;285;18;155;130
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;054;DOLAC;PRVA RIJEČKA HRVATSKA GIMNAZIJA;FRANA KURELCA 1;583;203;203;197;6;108;89
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;055;LUKA;PROSTORIJE MJESNOG ODBORA;VERDIEVA 11;1136;432;432;419;13;221;198
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;056;ŠKOLJIĆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUČARIĆA 1;683;242;242;236;6;132;104
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;057;ŠKOLJIĆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUČARIĆA 1;753;250;249;246;3;135;111
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;058;MLAKA;OŠ PODMURVICE;PODMURVICE 6;1212;385;384;364;20;199;165
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;059;MLAKA;SREDNJA ŠKOLA ZA ELEKTROTEHNIKU I RAČUNALSTVO;ZVONIMIROVA 12;1066;351;351;336;15;200;136
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;060;MLAKA;PROSTORIJE MJESNOG ODBORA;GIUSEPPEA DUELLE 2B;951;359;359;346;13;202;144
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;061;BANDEROVO;MEDICINSKI FAKULTET;BRAĆE BRANCHETTA 20;796;234;234;229;5;137;92
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;062;BANDEROVO;PROSTORIJE MJESNOG ODBORA;RUDOLFA TOMŠIĆA 15;1037;379;378;366;12;184;182
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;063;POTOK;PROSTORIJE MJESNOG ODBORA;MILANA BUTKOVIĆA 2;1152;498;498;484;14;251;233
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;064;PODMURVICE;PRAVNI FAKULTET;HAHLIĆ 6;1364;460;460;446;14;244;202
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;065;PODMURVICE;PRAVNI FAKULTET;HAHLIĆ 6;1233;405;404;389;15;225;164
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;066;PODMURVICE;PROSTORIJE MJESNOG ODBORA;DUBROVAČKA 2;1099;361;361;345;16;194;151
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;067;PODMURVICE;"DJEČJI VRTIĆ ""PODMURVICE""";CAVTATSKA 4;1126;364;364;344;20;192;152
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;068;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ČURBEGA 18;975;288;288;280;8;175;105
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;069;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ČURBEGA 18;1093;358;358;348;10;210;138
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;070;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1031;333;333;322;11;197;125
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;071;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1057;347;345;343;2;212;131
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;072;SVETI NIKOLA;"DJEČJI VRTIĆ ""KRNJEVO""";KARASOVA 4;1294;455;454;440;14;238;202
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;073;SVETI NIKOLA;"DJEČJI VRTIĆ ""KRNJEVO""";KARASOVA 4;1222;426;426;409;17;233;176
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;074;SVETI NIKOLA;"DJEČJI VRTIĆ ""KRNJEVO""";KARASOVA 4;859;313;313;301;12;175;126
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;075;TURNIĆ;"OŠ ""TURNIĆ""";FRANJE ČANDEKA 20;840;244;244;237;7;157;80
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;076;TURNIĆ;PROSTORIJE MJESNOG ODBORA;FRANJE ČANDEKA 36B;870;255;255;252;3;152;100
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;077;TURNIĆ;PROSTORIJE MJESNOG ODBORA;FRANJE ČANDEKA 36B;927;251;251;246;5;136;110
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;078;TURNIĆ;PROSTORIJE MJESNOG ODBORA;FRANJE ČANDEKA 36B;904;233;233;224;9;131;93
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;079;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAČIĆA 14;777;357;357;348;9;185;163
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;080;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAČIĆA 14;895;357;356;348;8;181;167
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;081;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIČIĆEVA 50;1205;470;470;453;17;237;216
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;082;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIČIĆEVA 50;1255;459;456;444;12;262;182
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;083;CENTAR - SUŠAK;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE ANDRIJE KAČIĆA MIOŠIĆA 8A;606;229;229;225;4;134;91
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;084;CENTAR - SUŠAK;"OŠ ""CENTAR""";PODHUMSKIH ŽRTAVA 5;843;294;293;281;12;149;132
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;085;PEĆINE;PROSTORIJE MJESNOG ODBORA;JANKA POLIĆA KAMOVA 73A;1204;496;494;481;13;305;176
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;086;PEĆINE;"OŠ ""PEĆINE""";ŠETALIŠTE TRINAESTE DIVIZIJE 25;759;330;329;318;11;180;138
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;087;PODVEŽICA;DOM UČENIKA SUŠAK;DRAGE GERVAISA 34;1062;391;389;371;18;209;162
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;088;PODVEŽICA;PROSTORIJE MJESNOG ODBORA;KVATERNIKOVA 58B;1237;495;495;480;15;270;210
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;089;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1298;409;409;395;14;214;181
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;090;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1160;409;409;392;17;200;192
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;091;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;951;374;374;353;21;167;186
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;092;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;974;378;376;354;22;172;182
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;093;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1166;540;540;522;18;328;194
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;094;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1111;442;442;419;23;227;192
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;095;GORNJA VEŽICA;HRVATSKI DOM VEŽICA;ZDRAVKA KUČIĆA 1;1173;408;408;392;16;234;158
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;096;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;1038;390;390;367;23;186;181
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;097;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;990;346;346;334;12;211;123
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;098;GORNJA VEŽICA;"DJEČJI VRTIĆ ""MORČIĆ""";BRAĆE STIPČIĆ 32;1024;384;384;366;18;208;158
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;099;GORNJA VEŽICA;"DJEČJI VRTIĆ ""MORČIĆ""";BRAĆE STIPČIĆ 32;1023;380;380;365;15;198;167
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;100;DRAGA;HRVATSKI DOM DRAGA;BRIG 24;1243;344;344;331;13;148;183
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;101;SVETI KUZAM;"HRVATSKI DOM ""SVETI KUZAM""";SVETI KUZAM 19;189;56;56;51;5;26;25
