Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;TOMISLAV TOMAŠEVIÆ;MIROSLAV ŠKORO
21;GRAD ZAGREB;grad;GRAD ZAGREB;031;AUGUST CESAREC;PROSTORIJE MJESNOG ODBORA;TKALÈIÆEVA ULICA 33 DVORANA, PRIZEMLJE DESNO;1355;572;571;560;11;354;206
21;GRAD ZAGREB;grad;GRAD ZAGREB;032;GORNJI GRAD;STARA GRADSKA VIJEÆNICA;ULICA SV. ÆIRILA I METODA 5;1233;610;610;593;17;457;136
21;GRAD ZAGREB;grad;GRAD ZAGREB;033;GORNJI GRAD;STARA GRADSKA VIJEÆNICA;ULICA SV. ÆIRILA I METODA 5;1107;514;514;502;12;382;120
21;GRAD ZAGREB;grad;GRAD ZAGREB;034;GUPÈEVA ZVIJEZDA;UPRAVA GRADSKIH GROBLJA;ALEJA HERMANNA BOLLEA 27;602;285;285;281;4;198;83
21;GRAD ZAGREB;grad;GRAD ZAGREB;035;GUPÈEVA ZVIJEZDA;PROSTORIJE MJESNOG ODBORA, DVORANA LIJEVO;KSAVER 203;544;276;276;273;3;209;64
21;GRAD ZAGREB;grad;GRAD ZAGREB;036;GUPÈEVA ZVIJEZDA;CENTAR ZA REHABILITACIJU 'ZAGREB';ORLOVAC 2;692;384;384;369;15;227;142
21;GRAD ZAGREB;grad;GRAD ZAGREB;037;IVAN KUKULJEVIÆ SAKCINSKI;PROSTORIJE MJESNOG ODBORA;RADNIÈKI DOL 1;837;460;460;454;6;371;83
21;GRAD ZAGREB;grad;GRAD ZAGREB;038;IVAN KUKULJEVIÆ SAKCINSKI;DOM ZDRAVLJA ZAGREB-ZAPAD;RADNIÈKI DOL 24;868;461;460;452;8;342;110
21;GRAD ZAGREB;grad;GRAD ZAGREB;039;KRALJEVEC;PROSTORIJE MJESNOG ODBORA;KRALJEVEC 11;906;482;482;468;14;347;121
21;GRAD ZAGREB;grad;GRAD ZAGREB;040;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;MEDVEŠÈAK 2;1350;687;687;672;15;530;142
21;GRAD ZAGREB;grad;GRAD ZAGREB;041;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;ULICA MILANA ŠUFFLAYA 2;783;400;400;389;11;290;99
21;GRAD ZAGREB;grad;GRAD ZAGREB;042;NOVA VES;PROSTORIJE MJESNOG ODBORA;NOVA VES 36;1405;706;706;682;24;488;194
21;GRAD ZAGREB;grad;GRAD ZAGREB;043;NOVA VES;ŠKOLA ZA MEDICINSKE SESTRE MLINARSKA;MLINARSKA CESTA 34;1103;520;520;511;9;378;133
21;GRAD ZAGREB;grad;GRAD ZAGREB;044;PETROVA;PROSTORIJE MJESNOG ODBORA;ULICA JAKOVA GOTOVCA 7;876;420;420;411;9;319;92
21;GRAD ZAGREB;grad;GRAD ZAGREB;045;PETROVA;DJEÈJI VRTIÆ MEDVEŠÈAK - PODRUÈNI OBJEKT;JURKOVIÆEVA ULICA 14;679;320;320;308;12;232;76
21;GRAD ZAGREB;grad;GRAD ZAGREB;046;RIBNJAK;"CENTAR MLADIH ""RIBNJAK""";RIBNJAK 1;1143;588;588;575;13;452;123
21;GRAD ZAGREB;grad;GRAD ZAGREB;047;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA ULICA 108;1253;637;637;631;6;422;209
21;GRAD ZAGREB;grad;GRAD ZAGREB;048;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA ULICA 108;1359;701;701;688;13;472;216
21;GRAD ZAGREB;grad;GRAD ZAGREB;049;STJEPAN RADIÆ;KAZALIŠTE HISTRION - PREDVORJE;ILICA 90;1252;616;616;604;12;445;159
21;GRAD ZAGREB;grad;GRAD ZAGREB;050;ŠALATA;OŠ IVANA GORANA KOVAÈIÆA;ULICA MATIJE MESIÆA 35;1468;812;812;785;27;534;251
21;GRAD ZAGREB;grad;GRAD ZAGREB;051;TUŠKANAC;DJEÈJI VRTIÆ TATJANE MARINIÆ, PODRUÈNI OBJEKT;ULICA IVANA GORANA KOVAÈIÆA 31;775;408;406;398;8;307;91
21;GRAD ZAGREB;grad;GRAD ZAGREB;052;TUŠKANAC;PROSTORIJE MJESNOG ODBORA;JABUKOVAC 28;628;314;314;312;2;212;100
21;GRAD ZAGREB;grad;GRAD ZAGREB;053;TUŠKANAC;CENTAR ZA ODGOJ DJECE I MLADEŽI;GORNJE PREKRIŽJE 48;344;186;186;185;1;143;42
21;GRAD ZAGREB;grad;GRAD ZAGREB;054;TUŠKANAC;HRVATSKI FILMSKI SAVEZ;TUŠKANAC 1;235;106;106;105;1;90;15
21;GRAD ZAGREB;grad;GRAD ZAGREB;055;VOÆARSKA;DJEÈJI VRTIÆ MEDVEŠÈAK;VOÆARSKA CESTA 69;1354;700;700;691;9;502;189
21;GRAD ZAGREB;grad;GRAD ZAGREB;056;VOÆARSKA;DJEÈJI VRTIÆ MEDVEŠÈAK;VOÆARSKA CESTA 69;1462;676;676;663;13;498;165
21;GRAD ZAGREB;grad;GRAD ZAGREB;057;CVJETNICA;DJEÈJI VRTIÆ VRBIK;ŠETALIŠTE JURIJA GAGARINA 10;828;442;442;433;9;344;89
21;GRAD ZAGREB;grad;GRAD ZAGREB;058;CVJETNICA;DJEÈJI VRTIÆ VRBIK;ŠETALIŠTE JURIJA GAGARINA 10;706;393;393;385;8;305;80
21;GRAD ZAGREB;grad;GRAD ZAGREB;059;CVJETNO NASELJE;OŠ CVJETNO NASELJE;CVJETNA CESTA 17;1513;777;777;764;13;593;171
21;GRAD ZAGREB;grad;GRAD ZAGREB;060;KANAL;PRIRODOSLOVNA ŠKOLA VLADIMIRA PRELOGA;ULICA GRADA VUKOVARA 269;1291;549;549;543;6;397;146
21;GRAD ZAGREB;grad;GRAD ZAGREB;061;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1402;708;707;694;13;504;190
21;GRAD ZAGREB;grad;GRAD ZAGREB;062;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1391;666;666;652;14;502;150
21;GRAD ZAGREB;grad;GRAD ZAGREB;063;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1361;707;707;688;19;510;178
21;GRAD ZAGREB;grad;GRAD ZAGREB;064;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1347;656;652;635;17;470;165
21;GRAD ZAGREB;grad;GRAD ZAGREB;065;MARTINOVKA;OŠ TINA UJEVIÆA;KOTURAŠKA CESTA 75;1294;678;678;666;12;483;183
21;GRAD ZAGREB;grad;GRAD ZAGREB;066;MARTINOVKA;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 11F;1124;504;504;498;6;386;112
21;GRAD ZAGREB;grad;GRAD ZAGREB;067;MIRAMARE;OŠ DAVORINA TRSTENJAKA;KRÈKA ULICA 3;1116;574;574;563;11;375;188
21;GRAD ZAGREB;grad;GRAD ZAGREB;068;SAVSKI KUTI;PROSTORIJE MJESNOG ODBORA;LOMNIÈKA ULICA 3;1493;856;846;834;12;677;157
21;GRAD ZAGREB;grad;GRAD ZAGREB;069;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1073;529;529;516;13;397;119
21;GRAD ZAGREB;grad;GRAD ZAGREB;070;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1075;506;506;492;14;374;118
21;GRAD ZAGREB;grad;GRAD ZAGREB;071;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1084;490;489;474;15;340;134
21;GRAD ZAGREB;grad;GRAD ZAGREB;072;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1121;490;490;482;8;363;119
21;GRAD ZAGREB;grad;GRAD ZAGREB;073;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1118;509;508;499;9;380;119
21;GRAD ZAGREB;grad;GRAD ZAGREB;074;STARO TRNJE;DJEÈJI VRTIÆ SAVICA;ULICA VLADIMIRA RUŽDJAKA 22;1664;815;814;791;23;561;230
21;GRAD ZAGREB;grad;GRAD ZAGREB;075;STARO TRNJE;PROSTORIJE MJESNOG ODBORA-STARO TRNJE;TRNJANSKA CESTA 128;1576;761;761;754;7;493;261
21;GRAD ZAGREB;grad;GRAD ZAGREB;076;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1169;552;552;540;12;414;126
21;GRAD ZAGREB;grad;GRAD ZAGREB;077;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1167;641;640;632;8;479;153
21;GRAD ZAGREB;grad;GRAD ZAGREB;078;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1223;630;630;612;18;469;143
21;GRAD ZAGREB;grad;GRAD ZAGREB;079;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1209;649;649;633;16;460;173
21;GRAD ZAGREB;grad;GRAD ZAGREB;080;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1200;684;684;674;10;506;168
21;GRAD ZAGREB;grad;GRAD ZAGREB;081;TRNJANSKA SAVICA;PROSTORIJE MJESNOG ODBORA;ULICA VLADIMIRA RUŽDJAKA 21;1400;706;704;685;19;503;182
21;GRAD ZAGREB;grad;GRAD ZAGREB;082;TRNJE;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 33;1152;524;524;509;15;352;157
21;GRAD ZAGREB;grad;GRAD ZAGREB;083;TRNJE;OŠ GRIGORA VITEZA;KRUGE 46;745;319;319;313;6;164;149
21;GRAD ZAGREB;grad;GRAD ZAGREB;084;VESLAÈKO NASELJE;PROSTORIJE MJESNOG ODBORA;VESLAÈKA ULICA 17A;944;510;510;499;11;387;112
21;GRAD ZAGREB;grad;GRAD ZAGREB;085;VRBIK;PROSTORIJE MJESNOG ODBORA;ULICA LAVOSLAVA RUŽIÈKE 26;1380;761;761;736;25;620;116
21;GRAD ZAGREB;grad;GRAD ZAGREB;086;VRBIK;PROSTORIJE MJESNOG ODBORA;ULICA LAVOSLAVA RUŽIÈKE 26;1431;741;741;727;14;544;183
21;GRAD ZAGREB;grad;GRAD ZAGREB;087;BUKOVAC;DOM ZDRAVLJA ZAGREB - ISTOK;KOSA 1B;1157;523;523;512;11;317;195
21;GRAD ZAGREB;grad;GRAD ZAGREB;088;BUKOVAC;DOM ZDRAVLJA ZAGREB - ISTOK;KOSA 1B;1160;543;543;538;5;337;201
21;GRAD ZAGREB;grad;GRAD ZAGREB;089;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA ULICA 50;964;436;436;427;9;262;165
21;GRAD ZAGREB;grad;GRAD ZAGREB;090;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA ULICA 50;978;453;453;445;8;300;145
21;GRAD ZAGREB;grad;GRAD ZAGREB;091;BUKOVAC;VATROGASNI DOM;IX. BUKOVAÈKI OGRANAK 2;1646;798;796;779;17;391;388
21;GRAD ZAGREB;grad;GRAD ZAGREB;092;DINKO ŠIMUNOVIÆ;OŠ IVANA FILIPOVIÆA;ULICA IVANA FILIPOVIÆA 1;1131;513;513;505;8;382;123
21;GRAD ZAGREB;grad;GRAD ZAGREB;093;DINKO ŠIMUNOVIÆ;OŠ IVANA FILIPOVIÆA;ULICA IVANA FILIPOVIÆA 1;1133;513;513;507;6;347;160
21;GRAD ZAGREB;grad;GRAD ZAGREB;094;DINKO ŠIMUNOVIÆ;OŠ IVANA FILIPOVIÆA;ULICA IVANA FILIPOVIÆA 1;1123;557;557;541;16;376;165
21;GRAD ZAGREB;grad;GRAD ZAGREB;095;DOBRI DOL;PROSTORIJE MJESNOG ODBORA;DOBRI DOL 49;907;511;511;498;13;378;120
21;GRAD ZAGREB;grad;GRAD ZAGREB;096;DOBRI DOL;OŠ JORDANOVAC;JORDANOVAC 108;1472;802;801;783;18;529;254
21;GRAD ZAGREB;grad;GRAD ZAGREB;097;DOBRI DOL;PODRUÈNI URED MAKSIMIR;PETROVA ULICA 116;1474;729;729;715;14;528;187
21;GRAD ZAGREB;grad;GRAD ZAGREB;098;DOTRŠÈINA;PROSTORIJE MJESNOG ODBORA;JAZBINSKI ODVOJAK II. 6;853;333;333;316;17;175;141
21;GRAD ZAGREB;grad;GRAD ZAGREB;099;DOTRŠÈINA;PROSTORIJE MJESNOG ODBORA;JAZBINSKI ODVOJAK II. 6;847;376;376;370;6;216;154
21;GRAD ZAGREB;grad;GRAD ZAGREB;100;EUGEN KVATERNIK;PROSTORIJE MJESNOG ODBORA;ULICA KRALJA ZVONIMIRA 68;850;411;411;403;8;294;109
21;GRAD ZAGREB;grad;GRAD ZAGREB;101;EUGEN KVATERNIK;DOM ZDRAVLJA ZAGREB-ISTOK AMBULANTA;ULICA METELA OŽEGOVIÆA 5;1107;583;582;563;19;451;112
21;GRAD ZAGREB;grad;GRAD ZAGREB;102;KOZJAK;PROSTORIJE MJESNOG ODBORA;BIJENIÈKA CESTA 97;1104;553;553;541;12;358;183
21;GRAD ZAGREB;grad;GRAD ZAGREB;103;KOZJAK;PROSTORIJE MJESNOG ODBORA;BIJENIÈKA CESTA 97;1155;543;543;531;12;428;103
21;GRAD ZAGREB;grad;GRAD ZAGREB;104;KOZJAK;OŠ JORDANOVAC - PODRUÈNA ŠKOLA KOZJAK;KOZJAK 27;1127;549;549;542;7;302;240
21;GRAD ZAGREB;grad;GRAD ZAGREB;105;MAKSIMIR;PROSTORIJE MJESNOG ODBORA;BARUTANSKI BREG 5;1193;604;604;584;20;417;167
21;GRAD ZAGREB;grad;GRAD ZAGREB;106;MAKSIMIR;PROSTORIJE MJESNOG ODBORA;BARUTANSKI BREG 5;1247;597;596;592;4;419;173
21;GRAD ZAGREB;grad;GRAD ZAGREB;107;MAKSIMIR;DOM ZDRAVLJA ZAGREB - ISTOK;REBAR 33;964;462;462;445;17;302;143
21;GRAD ZAGREB;grad;GRAD ZAGREB;108;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1195;623;623;609;14;415;194
21;GRAD ZAGREB;grad;GRAD ZAGREB;109;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1175;569;569;555;14;395;160
21;GRAD ZAGREB;grad;GRAD ZAGREB;110;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1181;648;648;639;9;475;164
21;GRAD ZAGREB;grad;GRAD ZAGREB;111;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1162;578;578;570;8;402;168
21;GRAD ZAGREB;grad;GRAD ZAGREB;112;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1194;602;600;589;11;441;148
21;GRAD ZAGREB;grad;GRAD ZAGREB;113;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1200;574;574;565;9;397;168
21;GRAD ZAGREB;grad;GRAD ZAGREB;114;MAŠIÆEVA;OŠ VLADIMIRA NAZORA;JORDANOVAC 23;1256;607;607;594;13;445;149
21;GRAD ZAGREB;grad;GRAD ZAGREB;115;MAŠIÆEVA;OŠ VLADIMIRA NAZORA;JORDANOVAC 23;1211;636;636;623;13;477;146
21;GRAD ZAGREB;grad;GRAD ZAGREB;116;MAŠIÆEVA;XV. GIMNAZIJA MIOC;JORDANOVAC 8;1370;717;716;700;16;499;201
21;GRAD ZAGREB;grad;GRAD ZAGREB;117;REMETE;PROSTORIJE MJESNOG ODBORA;VINEC 1;1386;663;663;654;9;352;302
21;GRAD ZAGREB;grad;GRAD ZAGREB;118;REMETE;PROSTORIJE MJESNOG ODBORA;VINEC 1;1452;666;666;658;8;364;294
21;GRAD ZAGREB;grad;GRAD ZAGREB;119;REMETE;OŠ REMETE;REMETE 99A;1016;504;504;486;18;249;237
21;GRAD ZAGREB;grad;GRAD ZAGREB;120;REMETE;OŠ REMETE;REMETE 99A;1005;514;513;498;15;268;230
21;GRAD ZAGREB;grad;GRAD ZAGREB;121;RUŽMARINKA;OŠ A.HARAMBAŠIÆA;ULICA AUGUSTA HARAMBAŠIÆA 18;1277;659;658;643;15;485;158
21;GRAD ZAGREB;grad;GRAD ZAGREB;122;RUŽMARINKA;OŠ A.HARAMBAŠIÆA;ULICA AUGUSTA HARAMBAŠIÆA 18;1241;653;653;646;7;484;162
21;GRAD ZAGREB;grad;GRAD ZAGREB;123;BORONGAJ-LUGOVI;PROSTORIJE MJESNOG ODBORA;VUKOMEREC 41;1118;367;367;360;7;209;151
21;GRAD ZAGREB;grad;GRAD ZAGREB;124;BORONGAJ-LUGOVI;DJEÈJI VRTIÆ CVRÈAK - PODRUÈNI OBJEKT;VUKOMEREC 43;831;388;388;378;10;263;115
21;GRAD ZAGREB;grad;GRAD ZAGREB;125;BRUNO BUŠIÆ;OŠ DOBRIŠE CESARIÆA;ULICA KSAVERA ŠANDORA GJALSKOG 29;1310;558;558;547;11;385;162
21;GRAD ZAGREB;grad;GRAD ZAGREB;126;BRUNO BUŠIÆ;OŠ DOBRIŠE CESARIÆA;ULICA KSAVERA ŠANDORA GJALSKOG 29;1345;626;626;601;25;433;168
21;GRAD ZAGREB;grad;GRAD ZAGREB;127;BRUNO BUŠIÆ;OŠ DOBRIŠE CESARIÆA;ULICA KSAVERA ŠANDORA GJALSKOG 29;1376;631;631;616;15;489;127
21;GRAD ZAGREB;grad;GRAD ZAGREB;128;DONJE SVETICE;OŠ FRANA KRSTE FRANKOPANA;IVANIÆGRADSKA ULICA 24;1187;491;490;481;9;341;140
21;GRAD ZAGREB;grad;GRAD ZAGREB;129;DONJE SVETICE;OŠ FRANA KRSTE FRANKOPANA;IVANIÆGRADSKA ULICA 24;1245;524;524;514;10;351;163
21;GRAD ZAGREB;grad;GRAD ZAGREB;130;FERENŠÈICA;OŠ AUGUSTA CESARCA;FERENŠÈICA II. 9A;1270;523;522;509;13;331;178
21;GRAD ZAGREB;grad;GRAD ZAGREB;131;FERENŠÈICA;OŠ AUGUSTA CESARCA;FERENŠÈICA II. 9A;1335;555;555;546;9;372;174
21;GRAD ZAGREB;grad;GRAD ZAGREB;132;FERENŠÈICA;OŠ AUGUSTA CESARCA;FERENŠÈICA II. 9A;1280;551;551;533;18;381;152
21;GRAD ZAGREB;grad;GRAD ZAGREB;133;FERENŠÈICA;OŠ AUGUSTA CESARCA;FERENŠÈICA II. 9A;1274;432;432;422;10;305;117
21;GRAD ZAGREB;grad;GRAD ZAGREB;134;FOLNEGOVIÆEVO NASELJE;OŠ LOVRE PL.MATAÈIÆA;ULICA JOZE LAURENÈIÆA 1;1375;610;610;602;8;442;160
21;GRAD ZAGREB;grad;GRAD ZAGREB;135;FOLNEGOVIÆEVO NASELJE;OŠ LOVRE PL.MATAÈIÆA;ULICA JOZE LAURENÈIÆA 1;1369;651;651;634;17;464;170
21;GRAD ZAGREB;grad;GRAD ZAGREB;136;JANKO MATKO;PROSTORIJE MJESNOG ODBORA;ULICA FRANJE HORVATA KIŠA 12;1143;511;511;503;8;374;129
21;GRAD ZAGREB;grad;GRAD ZAGREB;137;IVANJA REKA;PROSTORIJE MJESNOG ODBORA;MAROFSKA ULICA 1A;1556;661;661;646;15;316;330
21;GRAD ZAGREB;grad;GRAD ZAGREB;138;KOZARI BOK;DOM ZDRAVLJA ZAGREB - ISTOK;KOZARI BOK IX. ODVOJAK 11;604;246;246;241;5;121;120
21;GRAD ZAGREB;grad;GRAD ZAGREB;139;KOZARI BOK;PROSTORIJE MJESNOG ODBORA;KOZARI BOK IX. ODVOJAK 11;903;326;326;325;1;176;149
21;GRAD ZAGREB;grad;GRAD ZAGREB;140;KOZARI PUTEVI;OŠ DR. VINKA ŽGANCA;ULICA NEDE KRMPOTIÆ 7;1130;345;345;340;5;142;198
21;GRAD ZAGREB;grad;GRAD ZAGREB;141;KOZARI PUTEVI;OŠ DR. VINKA ŽGANCA;ULICA NEDE KRMPOTIÆ 7;1156;339;339;335;4;158;177
21;GRAD ZAGREB;grad;GRAD ZAGREB;142;KOZARI PUTEVI;OŠ DR. VINKA ŽGANCA;ULICA NEDE KRMPOTIÆ 7;1123;317;317;311;6;132;179
21;GRAD ZAGREB;grad;GRAD ZAGREB;143;KOZARI PUTEVI;OŠ DR. VINKA ŽGANCA;ULICA NEDE KRMPOTIÆ 7;1165;252;252;249;3;102;147
21;GRAD ZAGREB;grad;GRAD ZAGREB;144;KOZARI PUTEVI;OŠ DR. VINKA ŽGANCA;ULICA NEDE KRMPOTIÆ 7;1185;254;254;246;8;98;148
21;GRAD ZAGREB;grad;GRAD ZAGREB;145;PEŠÈENICA;PROSTORIJE MJESNOG ODBORA-DVORANA A;ULICA PETRA PETROVIÆA NJEGOŠA 10;1268;605;605;593;12;451;142
21;GRAD ZAGREB;grad;GRAD ZAGREB;146;PEŠÈENICA;PROSTORIJE MJESNOG ODBORA-DVORANA B;ULICA PETRA PETROVIÆA NJEGOŠA 10;1300;669;668;655;13;468;187
