Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;"HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, ""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI"", STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS";MOST, NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, GRAĐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAČKA STRANKA - HSS
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;011;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;1659;504;504;486;18;62;163;127;134
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;012;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""NIKOLA HRIBAR""";VELIKA GORICA, R. BOŠKOVIĆA 13;1366;603;603;571;32;75;202;139;155
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;013;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""NIKOLA HRIBAR""";VELIKA GORICA, R. BOŠKOVIĆA 13;1443;604;604;572;32;71;218;166;117
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;014;STARI GRAD;"OSNOVNA ŠKOLA ""JURJA HABDELIĆA""";VELIKA GORICA, ŠKOLSKA ULICA 1;1449;735;734;701;33;70;248;203;180
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;015;STARI GRAD;VATROGASNI DOM;VELIKA GORICA, ZAGREBAČKA 3;1713;714;714;692;22;123;231;147;191
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;016;VLADIMIR NAZOR;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;1211;459;459;441;18;46;142;88;165
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;017;VLADIMIR NAZOR;ELEKTRA;VELIKA GORICA, S. KOLARA 17;551;205;205;199;6;27;48;52;72
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;018;VLADIMIR NAZOR;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;756;286;286;280;6;29;81;68;102
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;019;VLADIMIR NAZOR;PROSTORIJE GRADSKE ČETVRTI;VELIKA GORICA, M. SLATINSKOG 4;966;388;388;375;13;44;121;63;147
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;020;KURILOVEC;VATROGASNI DOM;VELIKA GORICA, HORVATOVA 57;1426;596;594;573;21;64;226;149;134
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;021;KURILOVEC;"PROSTORIJE NK ""UDARNIK""";VELIKA GORICA, SPORTSKA 2;1709;651;651;629;22;81;249;167;132
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;022;PLESO;DRUŠTVENI DOM;VELIKA GORICA, Š. BREŠČENSKOG 18;1200;642;641;610;31;78;253;124;155
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;023;RAKARJE;DRUŠTVENI DOM;VELIKA GORICA, RAKARSKA 55;940;446;446;430;16;62;200;85;83
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;024;BAPČE;DRUŠTVENI DOM;BAPČE 12 A;109;54;53;50;3;9;25;8;8
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;025;BUKOVČAK;DRUŠTVENI DOM;BUKOVČAK 18;51;27;27;26;1;1;24;0;1
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;026;BUŠEVEC-NOVO SELO;OSNOVNA ŠKOLA U BUŠEVCU;BUŠEVEC BB;916;426;425;417;8;29;191;53;144
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;027;CEROVSKI VRH;DRUŠTVENI DOM;CEROVSKI VRH 3 A;217;81;80;77;3;12;44;3;18
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;028;ČIČKA POLJANA;ZGRADA BIVŠE ŠKOLE;POLJANA ČIČKA 81;594;219;219;209;10;26;90;19;74
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;029;ČRNKOVEC;DRUŠTVENI DOM;ČRNKOVEC 55;387;147;147;135;12;19;69;25;22
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;030;DONJA LOMNICA;VATROGASNI DOM;DONJA LOMNICA, ŠKOLSKA 20 A;1462;758;756;734;22;86;413;135;100
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;031;DONJE PODOTOČJE;DRUŠTVENI DOM;PODOTOČJE DONJE, DAVUTOVIĆI 15;338;115;115;106;9;13;56;10;27
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;032;DUBRANEC;DRUŠTVENI DOM;DUBRANEC 13;311;123;123;119;4;15;68;6;30
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;033;GORNJA LOMNICA;PROSTORIJE NK;GORNJA LOMNICA BB;464;185;185;175;10;29;92;20;34
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;034;GORNJE PODOTOČJE;DRUŠTVENI DOM;PODOTOČJE GORNJE 41;368;152;152;145;7;22;71;18;34
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;035;GRADIĆI;DRUŠTVENI DOM;GRADIĆI, GRADIĆKA 33;1740;807;807;755;52;78;408;135;134
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;036;GUDCI;DRUŠTVENI DOM;GUDCI 52 A;366;151;151;140;11;22;57;11;50
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;037;GUSTELNICA;DRUŠTVENI DOM;GUSTELNICA 14 A;87;28;28;26;2;5;18;2;1
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;038;JAGODNO;DRUŠTVENI DOM;JAGODNO 45;503;157;157;155;2;10;84;22;39
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;039;KOBILIĆ;DRUŠTVENI DOM;KOBILIĆ 74;506;260;260;250;10;22;145;33;50
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;040;KOSNICA;DRUŠTVENI DOM;PETINA 32;814;284;284;267;17;21;163;36;47
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;041;KOZJAČA;DRUŠTVENI DOM;KOZJAČA, ŠKOLSKA CESTA 6;280;126;126;118;8;6;77;14;21
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;042;KUČE;VATROGASNI DOM-NOVI;KUČE, PETROVA 24/1;1207;540;540;521;19;57;263;111;90
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;043;LAZINA;DRUŠTVENI DOM;LAZINA ČIČKA 24/1;490;189;189;177;12;25;86;29;37
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;044;LEKNENO-TRNJE;"SPORTSKI DOM NK ""BUDUĆNOST"" (NOGOMETNO IGRALIŠTE)";LEKNENO, VELIKOGORIČKA BB;386;133;133;129;4;19;70;20;20
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;045;LUKAVEC;DRUŠTVENI DOM;LUKAVEC, DOLENSKA 1;1093;532;532;511;21;53;283;47;128
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;046;MARKUŠEVEC;DRUŠTVENI DOM;MARKUŠEVEC 12 A;333;129;129;123;6;16;67;11;29
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;047;MIČEVEC;DRUŠTVENI DOM;MIČEVEC, TRG KARDINALA A. STEPINCA 7;1125;311;310;297;13;55;135;34;73
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;048;MRACLIN;VATROGASNI DOM;MRACLIN, BRAĆE RADIĆA 89 A;937;460;459;446;13;47;276;44;79
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;049;NOVO ČIČE;OSNOVNA ŠKOLA;NOVO ČIČE, TRG ANTUNA CVETKOVIĆA 27;1113;406;406;394;12;57;185;80;72
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;050;OGULINEC;DRUŠTVENI DOM;OGULINEC, OGULINEČKA 11 A;271;118;118;113;5;36;54;5;18
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;051;OKUJE;PROSTORIJE MJESNOG ODBORA;OKUJE BB;387;195;195;190;5;26;125;18;21
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;052;PETROVINA;DRUŠTVENI DOM;PETROVINA, PETROVINSKA ULICA 34 A;660;390;390;368;22;45;235;43;45
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;053;RAKITOVEC;VATROGASNI DOM;RAKITOVEC 310;527;224;224;212;12;28;102;35;47
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;054;RIBNICA;VATROGASNI DOM;RIBNICA, ULICA HRVATSKOG PROLJEĆA 87;790;288;288;277;11;49;132;39;57
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;055;SELNICA;PROSTORIJE MJESNOG ODBORA-KONTEJNER;SELNICA ŠČITARJEVSKA BB;440;171;171;166;5;23;98;19;26
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;056;SOP BUKEVSKI;PROSTORIJE MJESNOG ODBORA;SOP BUKEVSKI BB;70;29;29;29;0;4;20;2;3
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;057;STARO ČIČE;DRUŠTVENI DOM;STARO ČIČE, J. HABDELIĆA 21;649;271;271;263;8;30;116;29;88
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;058;STRMEC BUKEVSKI;KULTURNO-PROSVJETNI DOM;STRMEC BUKEVSKI 70;369;128;128;125;3;9;84;18;14
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;059;ŠČITARJEVO;OSNOVNA ŠKOLA;ŠČITARJEVO 104;1372;485;485;466;19;153;188;50;75
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;060;ŠILJAKOVINA;VATROGASNI DOM-NOVI;ŠILJAKOVINA, I. ŠABANA 2 C;599;250;250;243;7;27;127;50;39
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;061;TUROPOLJE;DRUŠTVENI DOM;TUROPOLJE, PROLETERSKA BB;670;261;261;252;9;30;139;29;54
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;062;VELIKA BUNA;DRUŠTVENI DOM;VELIKA BUNA, TUROPOLJSKO POSAVSKOG ODREDA  107;760;354;354;343;11;30;221;33;59
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;063;VELIKA BUNA;DRUŠTVENI DOM;MALA BUNA, MALOBUNSKA CESTA 2;224;114;114;108;6;15;73;6;14
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;064;VELIKA BUNA;DRUŠTVENI DOM;KLJUČIĆ BRDO, KLJUČIĆKA CESTA 80;179;71;71;67;4;2;37;16;12
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;065;VELIKA MLAKA;OSNOVNA ŠKOLA;VELIKA MLAKA, BRUNE BUŠIĆA 7;1648;641;641;604;37;73;252;125;154
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;066;VELIKA MLAKA;VATROGASNI DOM;VELIKA MLAKA, TRG MAJKE HRVATICE 17;1408;541;541;521;20;96;211;103;111
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;067;VUKOMERIĆ;DRUŠTVENI DOM;VUKOMERIĆ 17;115;47;47;43;4;4;19;4;16
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;068;VUKOVINA;"NK ""BAN JELAČIĆ""";VUKOVINA, ŠKOLSKA ULICA 8A;906;397;397;378;19;32;215;62;69
