Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;FOKUS;GRAĐANSKO-LIBERALNI SAVEZ - GLAS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;MOST;"""PAVAO GROM - NEZAVISNA LISTA"" - ""PGnl"", DEMOKRATSKI HSS - DHSS, STRANKA UMIROVLJENIKA - SU";SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS;"STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL, ""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";ŽIVI ZID
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;011;DUGO SELO - SJEVER IV;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;522;217;217;209;8;26;19;2;51;24;2;49;30;6
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;012;DUGO SELO - ISTOK I;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;730;306;306;288;18;41;18;6;73;21;5;61;52;11
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;013;DUGO SELO - ISTOK II;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;592;211;211;197;14;35;15;5;56;19;0;35;28;4
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;014;DUGO SELO - ISTOK III;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;537;241;241;214;27;25;26;9;41;15;4;49;39;6
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;015;DUGO SELO - ISTOK IV;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;688;268;268;253;15;34;21;3;63;20;3;57;38;14
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;016;DUGO SELO - ISTOK V;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;687;239;239;230;9;27;21;4;80;15;0;44;31;8
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;017;DUGO SELO - ISTOK VI;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;584;161;161;153;8;37;10;1;40;16;1;30;13;5
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;018;LUKARIŠĆE;POSLOVNI PROSTOR VL. KARMEN PAVLIC;LUKARIŠĆE, BJELOVARSKA 17;976;301;301;291;10;44;17;4;95;22;2;51;42;14
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;019;KOZINŠČAK I;"UGOSTITELJSKI OBRT ""LIVNO"" VL. MLADENKA NUJIĆ";KOZINŠČAK, KOZINSKA 31;603;182;178;169;9;33;13;2;65;11;1;18;23;3
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;020;KOZINŠČAK II;OBITELJSKA KUĆA VL. DUŠAN ŽIVKOVIĆ;KOZINŠČAK, ULICA TOME KAPITANA 6;620;210;210;202;8;27;21;1;65;11;4;30;38;5
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;021;VELIKA OSTRNA I;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;605;189;189;183;6;26;5;3;80;17;2;11;29;10
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;022;VELIKA OSTRNA II;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;577;209;209;203;6;20;12;3;75;19;1;20;51;2
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;023;MALA OSTRNA;POSLOVNI PROSTOR VL. MARICA MUŠKON;MALA OSTRNA, ZAGREBAČKA 14;295;102;102;101;1;19;10;2;23;5;1;22;18;1
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;024;LEPROVICA;DRUŠTVENI DOM LEPROVICA;LEPROVICA, ZAGREBAČKA 49;211;95;95;86;9;8;4;1;24;3;0;31;14;1
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;025;ANDRILOVEC;VATROGASNI DOM ANDRILOVEC;ANDRILOVEC, ANDRILOVEČKA CESTA 83;245;87;87;82;5;6;2;1;17;10;2;23;21;0
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;026;PROZORJE;VATROGASNI DOM PROZORJE;PROZORJE, PROZORSKA 139;433;136;136;129;7;21;11;1;18;8;2;38;25;5
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;027;DONJE DVORIŠĆE;VATROGASNI DOM DONJE DVORIŠĆE;DONJE DVORIŠĆE, DVORIŠKA 43;165;83;83;76;7;8;8;0;34;7;0;10;8;1
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;001;IVANIĆ-GRAD - JALŠEVEC BREŠKI;DRUŠTVENI DOM U JALŠEVCU BREŠKOM;IVANIĆ-GRAD;584;258;258;243;15;20;8;4;74;6;2;61;62;6
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;002;OPATINEC;DRUŠTVENI DOM OPATINEC;OPATINEC;352;129;129;119;10;17;4;0;33;6;0;30;24;5
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;003;IVANIĆ-GRAD - LONJA;DRUŠTVENI DOM LONJA;STJEPANA GREGORKA BB, IVANIĆ-GRAD;1112;422;422;394;28;33;11;3;189;18;2;71;59;8
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;004;IVANIĆ-GRAD - POLJANA 1;UČENIČKI DOM;ULICA SLOBODE BB, IVANIĆ-GRAD;579;244;244;228;16;8;10;5;64;13;1;86;32;9
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;005;TREBOVEC;DRUŠTVENI DOM TREBOVEC;TREBOVEC;301;81;81;79;2;4;1;1;25;4;0;15;28;1
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;006;POSAVSKI BREGI;DRUŠTVENI DOM POSAVSKI BREGI;POSAVSKI BREGI;733;233;233;221;12;27;11;4;66;13;3;41;48;8
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;007;GREDA BREŠKA;DRUŠTVENI DOM GREDA BREŠKA;GREDA BREŠKA;276;103;103;94;9;12;3;0;23;2;1;31;19;3
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;008;LIJEVI DUBROVČAK;STARA ŠKOLA;LIJEVI DUBROVČAK;373;165;165;160;5;10;5;2;38;5;3;44;51;2
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;009;PREROVEC;DRUŠTVENI DOM PREROVEC;PREROVEC;84;31;31;28;3;5;2;0;4;1;0;8;6;2
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;010;PREČNO;DRUŠTVENI DOM PREČNO;PREČNO;64;17;17;15;2;0;0;1;4;1;0;4;4;1
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;011;CAGINEC;DRUŠTVENI DOM CAGINEC;CAGINEC;820;260;260;240;20;18;7;2;85;15;1;60;47;5
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;012;GRABERJE IVANIĆKO;DRUŠTVENI DOM GRABERJE IVANIĆKO;ZAGREBAČKA UL. BB, GRABERJE IVANIĆKO;768;223;223;216;7;28;10;1;61;10;0;59;39;8
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;013;ŠUMEĆANI;DRUŠTVENI DOM ŠUMEĆANI;ŠUMEĆANI;394;122;122;121;1;11;2;0;54;3;1;27;23;0
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;014;DEANOVEC;DRUŠTVENI DOM DEANOVEC;DEANOVEC;464;207;207;193;14;19;11;1;78;5;1;35;38;5
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;015;IVANIĆ-GRAD - ŠARAMPOV GORNJI 1;"O.Š.""STJEPANA BASARIČEKA""";UL. MILKE TRNINE BB, IVANIĆ-GRAD;855;373;373;350;23;23;11;6;106;17;3;111;62;11
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;016;IVANIĆ-GRAD - ŠARAMPOV GORNJI 2;"SPOMEN DOM ""A. VULINCA"" - I. KAT";BELICEVA 1, IVANIĆ-GRAD;1192;405;405;390;15;31;18;5;136;20;1;89;75;15
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;017;IVANIĆ-GRAD - CENTAR 1;MALA SALA PUČKOG OTVORENOG UČILIŠTA;MOSLAVAČKA 11, IVANIĆ-GRAD;552;260;260;245;15;14;14;2;78;10;1;80;36;10
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;018;IVANIĆ-GRAD - CENTAR 2;DOM UMIROVLJENIKA;UL. KRALJA TOMISLAVA BB, IVANIĆ-GRAD;896;386;386;372;14;28;16;4;128;24;2;109;48;13
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;019;IVANIĆ-GRAD - POLJANA 2;DRUŠTVENI DOM POLJANA;SAVSKA BB, IVANIĆ-GRAD;724;293;293;274;19;25;11;1;89;8;3;68;57;12
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;020;IVANIĆ-GRAD - DONJI ŠARAMPOV;DRUŠTVENI DOM;MAJDEKOVA BB, DONJI ŠARAMPOV;545;208;208;195;13;13;16;1;44;12;0;55;51;3
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;021;IVANIĆ-GRAD - ŠARAMPOV GORNJI 3;SPORTSKA DVORANA ŽERAVINEC;MILKE TRNINE BB, IVANIĆ-GRAD;587;227;227;214;13;9;6;3;66;10;0;67;45;8
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;001;BREZNIK PLEŠIVIČKI;KUĆA STJEPANA SLEMENŠEKA - GARAŽA;BREZNIK PLEŠIVIČKI 43;114;66;66;61;5;3;0;0;9;1;0;36;10;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;002;DONJI DESINEC;DOM DVD;DONJI DESINEC;669;300;300;289;11;15;17;5;55;8;2;150;32;5
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;003;GORNJI DESINEC;DOM DVD;GORNJI DESINEC;811;345;345;336;9;32;26;0;67;9;2;165;30;5
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;004;LOKOŠIN DOL;"PROSTORIJE ""MOTO CROSS KLUBA JASKA"", MLADINA";MLADINA;83;45;45;45;0;0;3;0;7;1;0;28;6;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;005;VLAŠKOVEC;KUĆA BRANKICE KOPIĆ, VLAŠKOVEC 31.;VLAŠKOVEC;95;44;44;41;3;2;1;1;9;1;0;17;7;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;006;STANKOVO;DOM DVD;STANKOVO;296;161;161;150;11;3;15;0;27;4;1;81;17;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;007;DONJA REKA;"PROSTORIJE TRGOVINE ""IVANČIĆ"", VL. MIRJANA IVANČIĆ";DONJA REKA 35 A;284;164;164;160;4;11;2;0;29;2;1;86;28;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;008;GORNJA REKA;DOM DVD;GORNJA REKA;320;157;157;153;4;7;2;3;21;2;5;98;14;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;009;ZDIHOVO;DOM DVD;ZDIHOVO;136;76;76;74;2;2;4;0;18;1;0;38;11;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;010;PAVLOVČANI I;DRUŠTVENI DOM;PAVLOVČANI;101;60;60;56;4;1;1;0;6;0;0;45;1;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;011;PAVLOVČANI II;DRUŠTVENI DOM;PAVLOVČANI;147;88;88;88;0;9;3;0;23;3;1;39;10;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;012;PLEŠIVICA;DOM DVD PLEŠIVICA;PLEŠIVICA;259;129;129;125;4;6;4;1;18;4;2;79;10;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;013;PRILIPJE;DRUŠTVENI DOM;PRILIPJE;178;120;120;118;2;3;1;0;47;3;1;48;13;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;014;VRANOV DOL;DOM DVD;VRANOV DOL;123;80;80;79;1;1;0;0;26;1;1;29;18;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;015;JURJEVČANI;DRUŠTVENI DOM;JURJEVČANI;73;42;42;39;3;1;0;0;11;2;0;18;6;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;016;MALUNJE I;DOM DVD;MALUNJE;179;97;97;95;2;9;1;0;21;1;2;54;5;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;017;MALUNJE II;DOM DVD;MALUNJE;150;81;81;81;0;3;7;1;28;1;0;30;8;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;018;ČRNILOVEC;DOM DVD;ČRNILOVEC;111;63;63;63;0;3;2;0;16;2;0;35;5;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;019;CVETKOVIĆ;DOM DVD;CVETKOVIĆ;520;249;249;241;8;17;9;0;95;10;1;83;22;4
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;020;ČABDIN;DOM DVD;ČABDIN;123;69;69;66;3;9;2;1;12;4;1;26;10;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;021;CRNA MLAKA;"ZGRADA TVRTKE ""IHOR PARK""";CRNA MLAKA;22;14;14;14;0;0;0;0;1;1;0;10;1;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;022;BREBROVAC;DRUŠTVENI DOM;BREBROVAC;83;36;36;35;1;2;2;0;15;1;0;10;5;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;023;PETROVINA;DOM DVD;PETROVINA;353;179;179;172;7;21;2;0;35;6;3;84;15;6
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;024;DRAGOVANŠČAK;"PROSTORIJE MNK ""PRIGORAC""";DRAGOVANŠČAK;131;46;46;46;0;1;1;1;10;1;1;28;3;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;025;SLAVETIĆ;"PROSTORIJE MNK ""SLAVETIĆ""";SLAVETIĆ;63;37;37;37;0;2;0;0;12;0;0;21;2;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;026;HRAŠĆA;DRUŠTVENI DOM;HRAŠĆA;95;49;49;49;0;4;2;0;21;0;1;14;7;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;027;BELČIĆI;DOM DVD;BELČIĆI;164;54;54;51;3;5;1;0;20;1;1;15;8;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;028;TOPLICE;KUĆA MIJE ZAHERA;TOPLICE 14;85;25;25;23;2;0;0;0;10;0;0;13;0;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;029;BUKOVAC SVETOJANSKI;KUĆA OBITELJI FERKO;BUKOVAC SVETOJANSKI 30;79;31;31;30;1;2;1;1;4;6;1;11;2;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;030;MILADINI;DOM DVD;MILADINI;111;58;58;58;0;10;0;0;14;0;2;22;7;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;031;DRAGA SVETOJANSKA;PROSTORIJE TRGOVINE VL. ĐURĐE BRADVIĆ;DRAGA SVETOJANSKA 28;124;63;63;61;2;3;2;0;16;2;0;24;10;4
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;032;GORICA SVETOJANSKA;DRUŠTVENI DOM, PROSTORIJE MO GORICA SVETOJANSKA;GORICA SVETOJANSKA;123;47;47;43;4;7;1;0;13;2;1;12;7;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;033;IVANČIĆI;VINARSKI PODRUM;IVANČIĆI;149;65;65;62;3;4;0;0;15;1;1;32;8;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;034;KUPEČ DOL;KUĆA MIROSLAVA PLEČKA;KUPEČ DOL 31;82;40;40;39;1;1;2;1;12;1;0;19;3;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;035;PRODIN DOL;KUĆA ŽELJKA PARILCA;PRODIN DOL 2;83;60;60;56;4;3;0;1;11;2;1;29;8;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;036;GUCI DRAGANIĆKI;DOM DVD;GUCI DRAGANIĆKI;311;97;97;95;2;10;2;0;27;1;0;42;11;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;037;GORNJA KUPČINA;DRUŠTVENI DOM;GORNJA KUPČINA;146;95;95;92;3;10;3;1;36;1;0;29;7;5
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;038;ČEGLJE;DRUŠTVENI DOM;ČEGLJE;329;172;172;163;9;7;2;1;81;7;0;38;24;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;039;VUKŠIN ŠIPAK;DOM DVD;VUKŠIN ŠIPAK;281;94;94;88;6;10;5;0;20;3;0;44;5;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;040;DOMAGOVIĆ;DOM DVD;DOMAGOVIĆ;455;238;238;227;11;14;5;0;31;15;2;131;16;13
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;041;IZIMJE;DOM DVD;IZIMJE;215;104;104;102;2;6;0;0;39;3;0;41;11;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;042;NOVAKI PETROVINSKI;DOM DVD;NOVAKI PETROVINSKI;249;97;97;90;7;4;3;1;22;5;0;43;11;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;043;VOLAVJE;DOM DVD;VOLAVJE;350;188;188;185;3;13;2;0;47;9;0;84;26;4
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;044;JASTREBARSKO I;ZGRADA HAK-A;TREŠNJEVKA 4, JASTREBARSKO;477;243;243;232;11;12;11;2;40;6;1;139;16;5
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;045;JASTREBARSKO II;ZGRADA SREDNJE ŠKOLE JASTREBARSKO;V.HOLJEVCA 11, JASTREBARSKO;735;367;367;349;18;20;15;3;57;12;8;196;33;5
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;046;JASTREBARSKO III;ZGRADA HRVATSKOG ŠUMARSKOG INSTITUTA;CVJETNO NASELJE 41, JASTREBARSKO;428;257;257;255;2;14;16;5;25;8;1;150;29;7
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;047;JASTREBARSKO IV;"DJEČJI VRTIĆ ""RADOST II""";BANA TOME ERDEDIJA BAKAČA 2, JASTREBARSKO;411;223;223;217;6;6;8;2;47;4;2;124;22;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;048;JASTREBARSKO V;CENTAR ZA KULTURU JASTREBARSKO;DR. FRANJE TUĐMANA 9, JASTREBARSKO;152;91;91;89;2;5;4;0;13;5;0;51;7;4
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;049;JASTREBARSKO VI;ZGRADA GLAZBENE ŠKOLE JASTREBARSKO;ZRINSKI-FRANKOPANSKA 13, JASTREBARSKO;272;146;146;131;15;12;11;1;14;5;0;76;11;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;050;JASTREBARSKO VII;DVORIŠNA ZGRADA OPĆINSKOG SUDA JASTREBARSKO;BRAĆE KAZIĆ 6, JASTREBARSKO;526;274;274;262;12;18;10;2;43;7;3;134;39;6
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;051;JASTREBARSKO VIII;ZGRADA GRADSKE UPRAVE;TRG J.J.STROSSMAYERA 13, JASTREBARSKO;593;319;319;310;9;16;8;0;52;8;4;189;29;4
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;052;JASTREBARSKO IX;ZGRADA ŽUPANIJSKIH ISPOSTAVA (BIVŠA OPĆINA);VLADKA MAČEKA 2, JASTREBARSKO;675;359;359;349;10;28;12;1;52;9;1;211;33;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;053;JASTREBARSKO X;ZGRADA GRADSKOG MUZEJA;VLADKA MAČEKA 1, JASTREBARSKO;605;320;320;302;18;24;18;0;49;15;4;151;37;4
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;001;BOBOVICA;VATROGASNI DOM BOBOVICA;BOBOVICA;227;132;132;129;3;5;34;0;24;5;5;35;21;0
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;002;BRASLOVJE;DRUŠTVENI DOM BRASLOVJE;BRASLOVJE;290;160;160;158;2;8;28;1;29;2;6;62;22;0
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;003;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;1299;548;548;538;10;31;209;3;68;11;15;165;32;4
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;004;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;791;323;323;309;14;20;91;3;37;9;9;116;17;7
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;005;BREGANICA I VIŠNJEVEC PODVRŠKI;KUĆA MARIJANA KUMERA;BREGANICA 6;52;33;33;33;0;0;9;1;5;0;0;15;2;1
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;006;BREGANICA I VIŠNJEVEC PODVRŠKI;KUĆA STJEPANA BERIBAKA;VIŠNJEVEC PODVRŠKI, VIŠNJEVEC PODVRŠKI  4;31;20;20;19;1;3;2;1;4;0;0;7;1;1
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;007;BUDINJAK;PROSTORIJE EKO-CENTRA BUDINJAK;BUDINJAK;59;19;19;18;1;1;0;1;0;0;0;15;1;0
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;008;BUDINJAK;PROSTORIJE STARE ŠKOLE GRABAR;GRABAR;59;9;9;8;1;1;0;0;0;0;1;3;1;2
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;009;BUDINJAK;VATROGASNI DOM GORNJA VAS;GORNJA VAS;31;9;9;9;0;2;4;0;0;0;0;2;1;0
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;010;CELINE SAMOBORSKE;DRUŠTVENI DOM CELINE;CELINE SAMOBORSKE;258;160;160;157;3;14;42;0;14;1;2;62;18;4
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;011;CERJE SAMOBORSKO;DRUŠTVENI DOM CERJE;CERJE SAMOBORSKO;317;179;179;171;8;9;44;2;23;4;3;66;15;5
