Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DENIS BEGIĆ;BARBARA KNEŽEVIĆ;IVONA MILETIĆ;MATIJA TEUR;ŽELJKO TURK
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;011;ZAPREŠIĆ;ZDRAVSTVENI CENTAR ZAPREŠIĆ SJEVER;ZAPREŠIĆ, MOKRIČKA 54;1049;408;408;392;16;58;113;29;60;132
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;012;ZAPREŠIĆ;ZDRAVSTVENI CENTAR ZAPREŠIĆ SJEVER;ZAPREŠIĆ, MOKRIČKA 54;956;352;352;346;6;59;112;20;29;126
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;013;ZAPREŠIĆ;ŠPORTSKO REKREACIJSKI CENTAR;ZAPREŠIĆ, VLADIMIRA NOVAKA 23;1173;526;526;511;15;128;134;57;41;151
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;014;ZAPREŠIĆ;POSLOVNI PROSTOR;"ZAPREŠIĆ, ANTE STARČEVIĆA 11 (""PAVUNA"" D.O.O.)";1055;415;415;407;8;121;123;27;30;106
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;015;ZAPREŠIĆ;KLUB UMIROVLJENIKA;ZAPREŠIĆ, ULICA PAVLA ŠTOOSA 2 (ULAZ SA ŠETNICE KARDINALA FRANJE KUHARIĆA);873;370;370;359;11;59;93;24;43;140
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;016;ZAPREŠIĆ;KLUB UMIROVLJENIKA;ZAPREŠIĆ, ULICA PAVLA ŠTOOSA 2 (ULAZ SA ŠETNICE KARDINALA FRANJE KUHARIĆA);977;397;397;388;9;97;110;35;23;123
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;017;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""ANTUNA AUGUSTINČIĆA""";ZAPREŠIĆ, VLADIMIRA NAZORA 2 A;1175;557;557;548;9;116;144;55;51;182
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;018;ZAPREŠIĆ;UDRUGA UMIROVLJENIKA;ZAPREŠIĆ, TRG ŽRTAVA FAŠIZMA 8/I;832;270;270;269;1;63;91;21;17;77
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;019;ZAPREŠIĆ;DVORANA ZA JUDO;ZAPREŠIĆ, TRG ŽRTAVA FAŠIZMA 18;1196;498;498;491;7;140;135;33;35;148
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;020;ZAPREŠIĆ;UDRUŽENJE OBRTNIKA;ULICA KARDINALA ALOJZIJA STEPINCA 2;1226;585;585;570;15;107;195;53;48;167
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;021;ZAPREŠIĆ;POSLOVNI PROSTOR;ZAPREŠIĆ, JURE PETREKOVIĆA 10A;1170;446;446;440;6;40;169;34;34;163
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;022;ZAPREŠIĆ;GRADSKA UPRAVA;ZAPREŠIĆ, NOVA ULICA 10;1019;494;494;479;15;62;184;38;41;154
