Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANDREJ KRLIN;ZVONIMIR NOVOSEL;ROMAN RODIĆ;MICHAEL SHARP;KRUNOSLAV TANDARIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;028;TOPLICE;KUĆA MIJE ZAHERA;TOPLICE 14;85;26;26;26;0;9;16;0;0;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;029;BUKOVAC SVETOJANSKI;KUĆA OBITELJI FERKO;BUKOVAC SVETOJANSKI 30;79;31;31;31;0;6;14;6;3;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;030;MILADINI;DOM DVD;MILADINI;111;60;60;58;2;24;31;0;2;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;031;DRAGA SVETOJANSKA;PROSTORIJE TRGOVINE VL. ĐURĐE BRADVIĆ;DRAGA SVETOJANSKA 28;124;63;63;62;1;26;21;2;9;4
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;032;GORICA SVETOJANSKA;DRUŠTVENI DOM, PROSTORIJE MO GORICA SVETOJANSKA;GORICA SVETOJANSKA;123;51;51;47;4;24;16;2;2;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;033;IVANČIĆI;VINARSKI PODRUM;IVANČIĆI;149;65;65;62;3;12;42;3;3;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;034;KUPEČ DOL;KUĆA MIROSLAVA PLEČKA;KUPEČ DOL 31;82;40;40;40;0;17;15;4;1;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;035;PRODIN DOL;KUĆA ŽELJKA PARILCA;PRODIN DOL 2;83;60;60;57;3;20;34;1;0;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;036;GUCI DRAGANIĆKI;DOM DVD;GUCI DRAGANIĆKI;311;97;97;96;1;43;49;1;1;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;037;GORNJA KUPČINA;DRUŠTVENI DOM;GORNJA KUPČINA;146;95;95;92;3;54;33;1;3;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;038;ČEGLJE;DRUŠTVENI DOM;ČEGLJE;329;172;172;167;5;140;21;2;1;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;039;VUKŠIN ŠIPAK;DOM DVD;VUKŠIN ŠIPAK;281;94;94;89;5;29;54;2;2;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;040;DOMAGOVIĆ;DOM DVD;DOMAGOVIĆ;455;238;238;234;4;24;184;10;5;11
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;041;IZIMJE;DOM DVD;IZIMJE;215;104;104;101;3;60;36;4;0;1
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;042;NOVAKI PETROVINSKI;DOM DVD;NOVAKI PETROVINSKI;249;97;97;92;5;40;41;2;3;6
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;043;VOLAVJE;DOM DVD;VOLAVJE;350;188;187;183;4;62;102;8;3;8
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;044;JASTREBARSKO I;ZGRADA HAK-A;TREŠNJEVKA 4, JASTREBARSKO;477;252;252;242;10;52;144;6;11;29
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;045;JASTREBARSKO II;ZGRADA SREDNJE ŠKOLE JASTREBARSKO;V.HOLJEVCA 11, JASTREBARSKO;735;367;367;359;8;82;202;21;25;29
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;046;JASTREBARSKO III;ZGRADA HRVATSKOG ŠUMARSKOG INSTITUTA;CVJETNO NASELJE 41, JASTREBARSKO;428;257;257;247;10;38;149;29;19;12
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;047;JASTREBARSKO IV;"DJEČJI VRTIĆ ""RADOST II""";BANA TOME ERDEDIJA BAKAČA 2, JASTREBARSKO;411;223;223;220;3;53;114;17;12;24
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;048;JASTREBARSKO V;CENTAR ZA KULTURU JASTREBARSKO;DR. FRANJE TUĐMANA 9, JASTREBARSKO;152;91;91;91;0;19;54;7;7;4
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;049;JASTREBARSKO VI;ZGRADA GLAZBENE ŠKOLE JASTREBARSKO;ZRINSKI-FRANKOPANSKA 13, JASTREBARSKO;272;146;146;135;11;24;78;16;9;8
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;050;JASTREBARSKO VII;DVORIŠNA ZGRADA OPĆINSKOG SUDA JASTREBARSKO;BRAĆE KAZIĆ 6, JASTREBARSKO;526;274;274;258;16;66;128;32;13;19
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;051;JASTREBARSKO VIII;ZGRADA GRADSKE UPRAVE;TRG J.J.STROSSMAYERA 13, JASTREBARSKO;593;319;319;310;9;61;185;20;14;30
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;052;JASTREBARSKO IX;ZGRADA ŽUPANIJSKIH ISPOSTAVA (BIVŠA OPĆINA);VLADKA MAČEKA 2, JASTREBARSKO;675;359;359;348;11;89;202;11;20;26
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;053;JASTREBARSKO X;ZGRADA GRADSKOG MUZEJA;VLADKA MAČEKA 1, JASTREBARSKO;605;320;320;308;12;71;171;14;21;31
