Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAÈKA STRANKA - HSS;KANDIDACIJSKA LISTA GRUPE BIRAÈA - MICHAEL SHARP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;STJEPAN KOŽIÆ - NEZAVISNA LISTA - SKNL, MOST, ZELENI FORUM - ZF
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;011;PAVLOVÈANI II;DRUŠTVENI DOM;PAVLOVÈANI;147;88;88;87;1;3;24;12;1;45;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;012;PLEŠIVICA;DOM DVD PLEŠIVICA;PLEŠIVICA;259;129;129;127;2;4;23;15;1;79;5
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;013;PRILIPJE;DRUŠTVENI DOM;PRILIPJE;178;120;120;118;2;1;53;12;6;41;5
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;014;VRANOV DOL;DOM DVD;VRANOV DOL;123;80;80;80;0;0;29;9;4;28;10
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;015;JURJEVÈANI;DRUŠTVENI DOM;JURJEVÈANI;73;42;42;40;2;0;8;5;1;25;1
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;016;MALUNJE I;DOM DVD;MALUNJE;179;97;97;94;3;5;21;11;7;45;5
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;017;MALUNJE II;DOM DVD;MALUNJE;150;83;83;82;1;4;38;8;4;26;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;018;ÈRNILOVEC;DOM DVD;ÈRNILOVEC;111;63;63;62;1;1;18;8;6;27;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;019;CVETKOVIÆ;DOM DVD;CVETKOVIÆ;520;249;249;246;3;12;94;21;31;78;10
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;020;ÈABDIN;DOM DVD;ÈABDIN;123;69;69;67;2;2;20;7;6;26;6
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;021;CRNA MLAKA;"ZGRADA TVRTKE ""IHOR PARK""";CRNA MLAKA;22;14;14;14;0;0;3;2;1;8;0
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;022;BREBROVAC;DRUŠTVENI DOM;BREBROVAC;83;41;41;40;1;2;19;2;0;15;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;023;PETROVINA;DOM DVD;PETROVINA;353;179;179;170;9;11;42;12;6;92;7
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;024;DRAGOVANŠÈAK;"PROSTORIJE MNK ""PRIGORAC""";DRAGOVANŠÈAK;131;46;46;46;0;0;8;5;2;29;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;025;SLAVETIÆ;"PROSTORIJE MNK ""SLAVETIÆ""";SLAVETIÆ;63;37;37;36;1;2;12;1;1;20;0
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;026;HRAŠÆA;DRUŠTVENI DOM;HRAŠÆA;95;49;49;49;0;4;24;2;0;17;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;027;BELÈIÆI;DOM DVD;BELÈIÆI;164;54;54;52;2;3;28;2;0;12;7
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;028;TOPLICE;KUÆA MIJE ZAHERA;TOPLICE 14;85;25;25;24;1;1;8;0;0;13;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;029;BUKOVAC SVETOJANSKI;KUÆA OBITELJI FERKO;BUKOVAC SVETOJANSKI 30;79;31;31;30;1;1;11;1;4;11;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;030;MILADINI;DOM DVD;MILADINI;111;58;58;56;2;7;17;4;3;22;3
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;031;DRAGA SVETOJANSKA;PROSTORIJE TRGOVINE VL. ÐURÐE BRADVIÆ;DRAGA SVETOJANSKA 28;124;63;63;63;0;1;25;4;10;21;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;032;GORICA SVETOJANSKA;DRUŠTVENI DOM, PROSTORIJE MO GORICA SVETOJANSKA;GORICA SVETOJANSKA;123;49;49;46;3;7;19;3;1;11;5
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;033;IVANÈIÆI;VINARSKI PODRUM;IVANÈIÆI;149;65;65;64;1;3;13;2;3;40;3
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;034;KUPEÈ DOL;KUÆA MIROSLAVA PLEÈKA;KUPEÈ DOL 31;82;40;40;40;0;2;16;4;1;14;3
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;035;PRODIN DOL;KUÆA ŽELJKA PARILCA;PRODIN DOL 2;83;60;60;58;2;2;20;3;1;30;2
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;036;GUCI DRAGANIÆKI;DOM DVD;GUCI DRAGANIÆKI;311;97;97;93;4;5;37;2;1;47;1
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;037;GORNJA KUPÈINA;DRUŠTVENI DOM;GORNJA KUPÈINA;146;95;95;92;3;5;54;1;2;27;3
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;038;ÈEGLJE;DRUŠTVENI DOM;ÈEGLJE;329;172;172;168;4;2;134;2;1;21;8
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;039;VUKŠIN ŠIPAK;DOM DVD;VUKŠIN ŠIPAK;281;94;94;91;3;10;27;6;0;43;5
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;040;DOMAGOVIÆ;DOM DVD;DOMAGOVIÆ;455;238;238;232;6;13;38;18;7;144;12
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;041;IZIMJE;DOM DVD;IZIMJE;215;104;104;103;1;4;55;2;1;37;4
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;042;NOVAKI PETROVINSKI;DOM DVD;NOVAKI PETROVINSKI;249;97;97;92;5;2;35;7;5;35;8
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;043;VOLAVJE;DOM DVD;VOLAVJE;350;188;188;183;5;13;57;15;4;82;12
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;044;JASTREBARSKO I;ZGRADA HAK-A;TREŠNJEVKA 4, JASTREBARSKO;477;245;245;235;10;13;42;28;17;124;11
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;045;JASTREBARSKO II;ZGRADA SREDNJE ŠKOLE JASTREBARSKO;V.HOLJEVCA 11, JASTREBARSKO;735;367;367;354;13;12;78;34;28;181;21
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;046;JASTREBARSKO III;ZGRADA HRVATSKOG ŠUMARSKOG INSTITUTA;CVJETNO NASELJE 41, JASTREBARSKO;428;257;257;248;9;11;31;12;25;132;37
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;047;JASTREBARSKO IV;"DJEÈJI VRTIÆ ""RADOST II""";BANA TOME ERDEDIJA BAKAÈA 2, JASTREBARSKO;411;223;223;218;5;6;47;24;19;102;20
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;048;JASTREBARSKO V;CENTAR ZA KULTURU JASTREBARSKO;DR. FRANJE TUÐMANA 9, JASTREBARSKO;152;91;91;90;1;5;14;6;9;49;7
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;049;JASTREBARSKO VI;ZGRADA GLAZBENE ŠKOLE JASTREBARSKO;ZRINSKI-FRANKOPANSKA 13, JASTREBARSKO;272;146;146;134;12;11;19;9;12;71;12
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;050;JASTREBARSKO VII;DVORIŠNA ZGRADA OPÆINSKOG SUDA JASTREBARSKO;BRAÆE KAZIÆ 6, JASTREBARSKO;526;274;274;258;16;16;53;19;16;115;39
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;051;JASTREBARSKO VIII;ZGRADA GRADSKE UPRAVE;TRG J.J.STROSSMAYERA 13, JASTREBARSKO;593;319;319;310;9;13;66;34;21;154;22
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;052;JASTREBARSKO IX;ZGRADA ŽUPANIJSKIH ISPOSTAVA (BIVŠA OPÆINA);VLADKA MAÈEKA 2, JASTREBARSKO;675;359;359;352;7;19;75;36;26;179;17
01;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;053;JASTREBARSKO X;ZGRADA GRADSKOG MUZEJA;VLADKA MAÈEKA 1, JASTREBARSKO;605;320;319;306;13;9;63;31;32;152;19
