Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;SILVIJA BLAŽEVIÆ;NIKA FLEISS;IRENA FRANCEKOVIÆ;ŽELJKO STANEC;PETRA ŠKROBOT
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;016;GALGOVO;DRUŠTVENI DOM GALGOVO;GALGOVO,BOGOVIÆEVA 2;729;371;371;360;11;22;60;6;212;60
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;017;GRADNA;DRUŠTVENI DOM GRADNA;GRADNA;483;225;225;220;5;24;26;10;63;97
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;018;GRDANJCI;DRUŠTVENI DOM GRDANJCI;GRDANJCI;268;156;156;155;1;4;45;2;71;33
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;019;GRDANJCI;KUÆA RADE BERIBAKA;BEDER 1;55;21;21;19;2;1;1;0;10;7
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;020;GRDANJCI;KUÆA BRANKA RATEŠIÆA;KOSTANJEVEC PODVRŠKI 8;63;41;41;40;1;0;5;3;19;13
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;021;GRDANJCI;DRUŠTVENI DOM JAVOREK;JAVOREK;38;25;25;25;0;0;7;0;16;2
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;022;HRASTINA SAMOBORSKA;PROSTORIJE MJESNOG ODBORA HRASTINA SAMOBORSKA;HRASTINA SAMOBORSKA;731;327;327;315;12;20;41;14;128;112
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;023;JARUŠJE;VATROGASNI DOM JARUŠJE;JARUŠJE;52;28;28;28;0;1;3;1;22;1
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;024;KLADJE;DRUŠTVENI DOM KLADJE;MIRNOVEÈKA,BB;760;383;383;374;9;14;19;35;199;107
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;025;KLAKE;OSNOVNA ŠKOLA U KLAKAMA;KLAKE;207;119;119;116;3;6;16;2;86;6
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;026;KLOKOÈEVEC SAMOBORSKI;DRUŠTVENI DOM KLOKOÈEVEC;KLOKOÈEVEC SAMOBORSKI;296;160;160;157;3;5;26;2;68;56
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;027;KONŠÆICA;DRUŠTVENI DOM KONŠÆICA;KONŠÆICA;248;122;122;120;2;2;5;4;53;56
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;028;LUG SAMOBORSKI;PROSTORIJE MJESNOG ODBORA LUG SAMOBORSKI;LUG SAMOBORSKI, KNEZA DOMAGOJA 1;825;431;430;425;5;22;33;19;151;200
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;029;MALA JAZBINA;KUÆA JAZBINSKI KATARINE;MALA JAZBINA 20/1;437;249;249;247;2;5;15;9;61;157
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;030;MALA  RAKOVICA;OSNOVNA ŠKOLA U MIRNOVCU;MIRNOVEC;523;302;302;298;4;8;17;16;126;131
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;031;MALI LIPOVEC - VELIKI LIPOVEC;DRUŠTVENI DOM MALI LIPOVEC;MALI LIPOVEC 44;98;63;63;57;6;4;3;4;38;8
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;032;MALI LIPOVEC - VELIKI LIPOVEC;VATROGASNI DOM VELIKI LIPOVEC;VELIKI LIPOVEC;80;41;41;41;0;1;8;3;17;12
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;033;MALI LIPOVEC - VELIKI LIPOVEC;KUÆA MARIJANA LUKŠIÆA;ŠIPAÈKI BREG, ŠIPAÈKI BREG 2/1;33;20;20;18;2;1;3;0;12;2
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;034;MALI LIPOVEC - VELIKI LIPOVEC;KUÆA JURAJA JAGODIÆA;DRAGONOŠ 16;17;12;12;12;0;0;0;0;12;0
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;035;MANJA VAS, KOTARI, BUKOVJE PODVRŠKO, PREKRIŽJE PLEŠIVIÈKO;OSNOVNA ŠKOLA U MANJOJ VASI;MANJA VAS;170;108;108;108;0;7;9;11;49;32
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;036;MEDSAVE;DRUŠTVENI DOM U MEDSAVAMA;MEDSAVE;183;90;90;88;2;10;11;1;54;12
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;037;MOLVICE;PROSTORIJE MJESNOG ODBORA MOLVICE;ŠKOLSKA 6;587;315;315;311;4;4;17;7;153;130
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;038;NORŠIÆ SELO;OSNOVNA ŠKOLA U NORŠIÆ SELU;NORŠIÆ SELO;89;38;38;38;0;1;11;1;14;11
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;039;OTRUŠEVEC;DRUŠTVENI DOM OTRUŠEVEC;OTRUŠEVEC;259;86;86;85;1;0;1;5;36;43
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;040;PAVUÈNJAK;VATROGASNI DOM PAVUÈNJAK;PAVUÈNJAK;461;198;198;192;6;6;28;8;128;22
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;041;PETKOV BREG;DRUŠTVENI  DOM PETKOV BREG;PETKOV BREG;226;90;90;90;0;5;16;4;45;20
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;042;PODGRAÐE PODOKIÆKO;KUÆA STJEPANA BAŠIÆA;PODGRAÐE PODOKIÆKO 42;127;75;75;72;3;2;10;4;42;14
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;043;PODVRH;VATROGASNI DOM PODVRH;PODVRH;655;326;326;322;4;13;22;4;93;190
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;044;RAKOV POTOK;DRUŠTVENI DOM RAKOV POTOK;RAKOV POTOK,KARLOVAÈKA 118;933;414;413;408;5;21;57;12;241;77
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;045;RUDE;OSNOVNA ŠKOLA U  RUDAMA;RUDE 93;520;232;232;224;8;5;25;4;119;71
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;046;RUDE;OSNOVNA ŠKOLA U RUDAMA;RUDE 93;441;205;205;204;1;12;26;11;84;71
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;047;CENTAR -  SAMOBOR;PROSTORIJE  MALE DVORANE HRVATSKOG DOMA;SAMOBOR, TRG MATICE HRVATSKE 6;1698;778;778;761;17;33;113;52;345;218
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;048;CVJETNO NASELJE-PERIVOJ-SAMOBOR;PROSTORIJE TRGOVAÈKOG DRUŠTVA SAMOBORSKI PERIVOJ D.O.O.;SAMOBOR, ULICA ARHITEKTE  EDE ŠENA 4;1671;717;711;702;9;42;112;42;254;252
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;049;GIZNIK-ANINDOL-SAMOBOR;PROSTORIJE TRGOVAÈKOG DRUŠTVA HVAT  D.O.O.;SAMOBOR, MILANA LANGA 29;1477;716;716;698;18;22;90;77;282;227
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;050;GIZNIK-ANINDOL-SAMOBOR;PROSTORIJE CENTRA ZA MLADE - BUNKER;SAMOBOR, SAVKE DABÈEVIÆ KUÈAR 8;1007;505;505;501;4;22;53;36;201;189
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;051;GORNJI KRAJ-HAMOR-SAMOBOR;PROSTORIJE TRGOVAÈKOG DRUŠTVA DR.ŠKOBIÆ;SAMOBOR,GORNJI KRAJ 11;765;362;362;358;4;10;52;31;133;132
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;052;JUŽNO NASELJE - SAMOBOR;OSNOVNA ŠKOLA BOGUMIL TONI;SAMOBOR, PERKOVÈEVA 90;1711;770;768;753;15;28;79;77;352;217
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;053;JUŽNO NASELJE - SAMOBOR;OSNOVNA ŠKOLA BOGUMIL TONI;ULICA IVANA PERKOVCA 90;1085;480;480;465;15;28;56;26;206;149
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;054;KOLODVORSKO NASELJE-SAJMIŠTE-SAMOBOR;PROSTORIJE T.D.CHROMOS D.D.-ZGRADA UPRAVE;SAMOBOR, ZAGREBAÈKA 30, ULAZ IZ ULICE GRADA WIRGESA;797;345;345;334;11;20;50;21;135;108
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;055;KOLODVORSKO NASELJE-SAJMIŠTE-SAMOBOR;PROSTORIJE TRGOVAÈKOG DRUŠTVA KOMUNALAC D.O.O.;SAMOBOR, HRASTINSKA CESTA BB(SAJMIŠTE);1052;463;463;455;8;22;69;37;164;163
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;056;PODLOŽNICE - SAMOBOR;PROSTORIJE DJEÈJEG VRTIÆA GRIGOR VITEZ;SAMOBOR, IVICE SUDNIKA 11;1188;584;584;574;10;32;58;28;216;240
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;057;PODLOŽNICE - SAMOBOR;PROSTORIJE AUTOŠKOLE MANDIÆ I MEGASTART;SAMOBOR, ULICA IVANA GUNDULIÆA 2 A;980;474;474;465;9;23;62;19;182;179
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;058;SVETA HELENA - SAMOBOR;PROSTORIJE SREDNJIH ŠKOLA U SAMOBORU (MALA KONGRESNA DVORANA);SAMOBOR, HEBRANGOVA 26;1443;657;657;647;10;30;90;58;244;225
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;059;SAMOBORSKI OTOK;DRUŠTVENI DOM SAMOBORSKI OTOK;SAMOBORSKI OTOK, TRG SVETOG NIKOLE 3;498;215;215;210;5;6;11;2;111;80
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;060;SLANI DOL;ZGRADA PARKA PRIRODE ŽUMBERAK (PROSTORIJA MJESNOG ODBORA);SLANI DOL 1;167;78;78;76;2;0;4;4;33;35
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;061;SLANI DOL;KUÆA ANÐELE PRIŠLIN;VRATNIK SAMOBORSKI, VRATNIK 19;79;41;41;40;1;0;0;0;33;7
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;062;SLANI DOL;KUÆA KREŠE BIŠÆANA;DRAGANJE SELO 38;68;43;43;43;0;0;2;1;30;10
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;063;SAVRŠÈAK;DRUŠTVENI DOM U SAVRŠÈAKU;SAVRŠÆAK;184;58;58;58;0;12;5;4;30;7
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;064;SMEROVIŠÆE;OSNOVNA ŠKOLA U SMEROVIŠÆU;SMEROVIŠÆE;215;99;99;98;1;2;11;4;61;20
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;065;SVETI MARTIN;OSNOVNA ŠKOLA U SVETOM MARTINU POD OKIÆEM;SV. MARTIN POD OKIÆEM;292;141;141;138;3;8;28;2;76;24
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;066;STOJDRAGA;ŠKOLA U NOVOM SELU ŽUMBERAÈKOM;NOVO SELO ŽUMBERAÈKO;20;7;7;7;0;0;1;0;6;0
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;067;STOJDRAGA;KUÆA LJERKE ŽIVODER, POKLEK;POKLEK 24;43;14;14;13;1;0;3;0;4;6
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;068;STOJDRAGA;PROSTORIJE MJESNOG ODBORA STOJDRAGA;STOJDRAGA 27;59;26;26;26;0;0;6;3;10;7
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;069;VELIKA RAKOVICA;OSNOVNA ŠKOLA U MIRNOVCU;MIRNOVEC;500;243;243;238;5;15;21;11;118;73
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;070;VRBOVEC SAMOBORSKI;VATROGASNI DOM;VRBOVEC SAMOBORSKI 79;230;127;127;127;0;18;32;3;53;21
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;071;VRHOVÈAK SAMOBORSKI;DRUŠTVENI DOM VRHOVÈAK;VRHOVÈAK SAMOBORSKI;321;155;155;152;3;8;34;11;53;46
