Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  RADE BILIĆ;DOMOVINSKI POKRET - DP;"HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL, ""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI"", HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ";HRVATSKA RADIĆEVSKA STRANKA - HRS;HRVATSKA SELJAČKA STRANKA - HSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  SINIŠA KLJAJIĆ;MOST;KANDIDACIJSKA LISTA GRUPE BIRAČA -  NENAD PANIAN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;013;DUGO SELO - ISTOK II;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;592;211;211;206;5;10;24;52;1;3;6;46;11;38;15
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;014;DUGO SELO - ISTOK III;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;537;241;241;237;4;11;17;51;3;6;1;52;0;78;18
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;015;DUGO SELO - ISTOK IV;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;688;268;268;260;8;11;15;61;6;6;4;69;9;60;19
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;016;DUGO SELO - ISTOK V;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;687;239;239;236;3;8;15;85;1;5;1;39;7;52;23
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;017;DUGO SELO - ISTOK VI;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;584;161;161;156;5;3;19;45;0;5;1;35;10;26;12
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;018;LUKARIŠĆE;POSLOVNI PROSTOR VL. KARMEN PAVLIC;LUKARIŠĆE, BJELOVARSKA 17;976;301;301;299;2;6;27;113;0;8;9;25;9;76;26
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;019;KOZINŠČAK I;"UGOSTITELJSKI OBRT ""LIVNO"" VL. MLADENKA NUJIĆ";KOZINŠČAK, KOZINSKA 31;603;184;180;175;5;7;24;68;0;6;1;23;1;30;15
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;020;KOZINŠČAK II;OBITELJSKA KUĆA VL. DUŠAN ŽIVKOVIĆ;KOZINŠČAK, ULICA TOME KAPITANA 6;620;211;211;205;6;11;15;52;4;12;6;52;2;34;17
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;021;VELIKA OSTRNA I;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;605;189;189;182;7;10;13;83;4;3;2;24;12;25;6
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;022;VELIKA OSTRNA II;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;577;209;209;206;3;7;11;73;0;3;2;19;16;57;18
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;023;MALA OSTRNA;POSLOVNI PROSTOR VL. MARICA MUŠKON;MALA OSTRNA, ZAGREBAČKA 14;295;102;102;100;2;4;14;21;0;2;0;15;3;35;6
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;024;LEPROVICA;DRUŠTVENI DOM LEPROVICA;LEPROVICA, ZAGREBAČKA 49;211;95;95;90;5;0;3;27;1;2;0;5;2;14;36
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;025;ANDRILOVEC;VATROGASNI DOM ANDRILOVEC;ANDRILOVEC, ANDRILOVEČKA CESTA 83;245;87;87;82;5;0;6;16;10;4;0;3;4;22;17
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;026;PROZORJE;VATROGASNI DOM PROZORJE;PROZORJE, PROZORSKA 139;433;136;136;133;3;3;15;22;2;2;3;9;3;45;29
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;027;DONJE DVORIŠĆE;VATROGASNI DOM DONJE DVORIŠĆE;DONJE DVORIŠĆE, DVORIŠKA 43;165;84;84;80;4;2;3;39;0;3;1;5;1;25;1
