Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANA BOLŠEC;STJEPAN KOŽIĆ;DOMAGOJ LOVRIĆ;MIHAEL ZMAJLOVIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;014;DUGO SELO - ISTOK III;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;537;241;241;226;15;31;106;26;63
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;015;DUGO SELO - ISTOK IV;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;688;268;268;248;20;33;111;34;70
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;016;DUGO SELO - ISTOK V;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;687;239;239;227;12;26;123;22;56
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;017;DUGO SELO - ISTOK VI;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;584;161;161;149;12;14;49;43;43
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;018;LUKARIŠĆE;POSLOVNI PROSTOR VL. KARMEN PAVLIC;LUKARIŠĆE, BJELOVARSKA 17;976;301;301;289;12;23;163;43;60
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;019;KOZINŠČAK I;"UGOSTITELJSKI OBRT ""LIVNO"" VL. MLADENKA NUJIĆ";KOZINŠČAK, KOZINSKA 31;603;187;185;174;11;18;109;21;26
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;020;KOZINŠČAK II;OBITELJSKA KUĆA VL. DUŠAN ŽIVKOVIĆ;KOZINŠČAK, ULICA TOME KAPITANA 6;620;212;212;201;11;22;101;33;45
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;021;VELIKA OSTRNA I;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;605;189;189;183;6;15;123;29;16
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;022;VELIKA OSTRNA II;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;577;209;209;203;6;21;127;21;34
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;023;MALA OSTRNA;POSLOVNI PROSTOR VL. MARICA MUŠKON;MALA OSTRNA, ZAGREBAČKA 14;295;102;102;100;2;11;47;22;20
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;024;LEPROVICA;DRUŠTVENI DOM LEPROVICA;LEPROVICA, ZAGREBAČKA 49;211;95;95;89;6;9;44;3;33
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;025;ANDRILOVEC;VATROGASNI DOM ANDRILOVEC;ANDRILOVEC, ANDRILOVEČKA CESTA 83;245;87;87;82;5;5;38;10;29
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;026;PROZORJE;VATROGASNI DOM PROZORJE;PROZORJE, PROZORSKA 139;433;136;136;128;8;14;50;21;43
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;027;DONJE DVORIŠĆE;VATROGASNI DOM DONJE DVORIŠĆE;DONJE DVORIŠĆE, DVORIŠKA 43;165;84;84;78;6;11;43;10;14
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;001;IVANIĆ-GRAD - JALŠEVEC BREŠKI;DRUŠTVENI DOM U JALŠEVCU BREŠKOM;IVANIĆ-GRAD;584;258;258;241;17;8;145;16;72
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;002;OPATINEC;DRUŠTVENI DOM OPATINEC;OPATINEC;352;129;129;115;14;9;60;16;30
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;003;IVANIĆ-GRAD - LONJA;DRUŠTVENI DOM LONJA;STJEPANA GREGORKA BB, IVANIĆ-GRAD;1112;422;422;390;32;22;269;29;70
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;004;IVANIĆ-GRAD - POLJANA 1;UČENIČKI DOM;ULICA SLOBODE BB, IVANIĆ-GRAD;579;244;244;229;15;16;115;6;92
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;005;TREBOVEC;DRUŠTVENI DOM TREBOVEC;TREBOVEC;301;86;86;81;5;3;56;3;19
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;006;POSAVSKI BREGI;DRUŠTVENI DOM POSAVSKI BREGI;POSAVSKI BREGI;733;233;233;217;16;13;138;27;39
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;007;GREDA BREŠKA;DRUŠTVENI DOM GREDA BREŠKA;GREDA BREŠKA;276;103;103;94;9;6;47;8;33
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;008;LIJEVI DUBROVČAK;STARA ŠKOLA;LIJEVI DUBROVČAK;373;165;165;162;3;10;105;7;40
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;009;PREROVEC;DRUŠTVENI DOM PREROVEC;PREROVEC;84;31;31;31;0;3;16;5;7
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;010;PREČNO;DRUŠTVENI DOM PREČNO;PREČNO;64;17;17;16;1;0;13;2;1
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;011;CAGINEC;DRUŠTVENI DOM CAGINEC;CAGINEC;820;260;260;242;18;15;142;20;65
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;012;GRABERJE IVANIĆKO;DRUŠTVENI DOM GRABERJE IVANIĆKO;ZAGREBAČKA UL. BB, GRABERJE IVANIĆKO;768;223;223;215;8;19;108;30;58
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;013;ŠUMEĆANI;DRUŠTVENI DOM ŠUMEĆANI;ŠUMEĆANI;394;122;122;120;2;5;77;11;27
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;014;DEANOVEC;DRUŠTVENI DOM DEANOVEC;DEANOVEC;464;207;207;196;11;12;129;17;38
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;015;IVANIĆ-GRAD - ŠARAMPOV GORNJI 1;"O.Š.""STJEPANA BASARIČEKA""";UL. MILKE TRNINE BB, IVANIĆ-GRAD;855;373;373;352;21;30;189;28;105
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;016;IVANIĆ-GRAD - ŠARAMPOV GORNJI 2;"SPOMEN DOM ""A. VULINCA"" - I. KAT";BELICEVA 1, IVANIĆ-GRAD;1192;405;405;379;26;24;222;37;96
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;017;IVANIĆ-GRAD - CENTAR 1;MALA SALA PUČKOG OTVORENOG UČILIŠTA;MOSLAVAČKA 11, IVANIĆ-GRAD;552;260;260;239;21;20;124;17;78
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;018;IVANIĆ-GRAD - CENTAR 2;DOM UMIROVLJENIKA;UL. KRALJA TOMISLAVA BB, IVANIĆ-GRAD;896;386;386;369;17;19;194;36;120
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;019;IVANIĆ-GRAD - POLJANA 2;DRUŠTVENI DOM POLJANA;SAVSKA BB, IVANIĆ-GRAD;724;293;293;267;26;12;156;25;74
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;020;IVANIĆ-GRAD - DONJI ŠARAMPOV;DRUŠTVENI DOM;MAJDEKOVA BB, DONJI ŠARAMPOV;545;208;208;194;14;23;101;9;61
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;021;IVANIĆ-GRAD - ŠARAMPOV GORNJI 3;SPORTSKA DVORANA ŽERAVINEC;MILKE TRNINE BB, IVANIĆ-GRAD;587;227;227;214;13;11;120;17;66
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;001;BREZNIK PLEŠIVIČKI;KUĆA STJEPANA SLEMENŠEKA - GARAŽA;BREZNIK PLEŠIVIČKI 43;114;66;66;62;4;1;20;2;39
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;002;DONJI DESINEC;DOM DVD;DONJI DESINEC;669;300;300;296;4;10;90;13;183
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;003;GORNJI DESINEC;DOM DVD;GORNJI DESINEC;811;345;345;336;9;23;99;18;196
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;004;LOKOŠIN DOL;"PROSTORIJE ""MOTO CROSS KLUBA JASKA"", MLADINA";MLADINA;83;45;45;45;0;3;12;0;30
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;005;VLAŠKOVEC;KUĆA BRANKICE KOPIĆ, VLAŠKOVEC 31.;VLAŠKOVEC;95;44;44;41;3;1;18;3;19
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;006;STANKOVO;DOM DVD;STANKOVO;296;161;161;154;7;16;46;4;88
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;007;DONJA REKA;"PROSTORIJE TRGOVINE ""IVANČIĆ"", VL. MIRJANA IVANČIĆ";DONJA REKA 35 A;284;164;164;160;4;7;53;8;92
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;008;GORNJA REKA;DOM DVD;GORNJA REKA;320;157;157;155;2;6;29;6;114
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;009;ZDIHOVO;DOM DVD;ZDIHOVO;136;76;76;75;1;2;27;1;45
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;010;PAVLOVČANI I;DRUŠTVENI DOM;PAVLOVČANI;101;60;60;55;5;1;6;2;46
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;011;PAVLOVČANI II;DRUŠTVENI DOM;PAVLOVČANI;147;88;88;88;0;3;37;6;42
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;012;PLEŠIVICA;DOM DVD PLEŠIVICA;PLEŠIVICA;259;129;129;125;4;2;28;5;90
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;013;PRILIPJE;DRUŠTVENI DOM;PRILIPJE;178;120;120;119;1;3;55;5;56
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;014;VRANOV DOL;DOM DVD;VRANOV DOL;123;80;80;78;2;3;39;1;35
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;015;JURJEVČANI;DRUŠTVENI DOM;JURJEVČANI;73;42;42;39;3;0;16;0;23
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;016;MALUNJE I;DOM DVD;MALUNJE;179;97;97;95;2;3;28;1;63
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;017;MALUNJE II;DOM DVD;MALUNJE;150;81;81;80;1;6;31;1;42
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;018;ČRNILOVEC;DOM DVD;ČRNILOVEC;111;63;63;63;0;4;14;1;44
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;019;CVETKOVIĆ;DOM DVD;CVETKOVIĆ;520;249;249;241;8;12;104;17;108
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;020;ČABDIN;DOM DVD;ČABDIN;123;69;69;66;3;2;28;6;30
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;021;CRNA MLAKA;"ZGRADA TVRTKE ""IHOR PARK""";CRNA MLAKA;22;14;14;14;0;1;2;0;11
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;022;BREBROVAC;DRUŠTVENI DOM;BREBROVAC;83;41;41;40;1;1;19;2;18
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;023;PETROVINA;DOM DVD;PETROVINA;353;179;179;171;8;2;46;22;101
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;024;DRAGOVANŠČAK;"PROSTORIJE MNK ""PRIGORAC""";DRAGOVANŠČAK;131;46;46;46;0;4;9;1;32
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;025;SLAVETIĆ;"PROSTORIJE MNK ""SLAVETIĆ""";SLAVETIĆ;63;37;37;37;0;0;13;3;21
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;026;HRAŠĆA;DRUŠTVENI DOM;HRAŠĆA;95;49;49;46;3;1;28;1;16
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;027;BELČIĆI;DOM DVD;BELČIĆI;164;54;54;53;1;1;29;2;21
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;028;TOPLICE;KUĆA MIJE ZAHERA;TOPLICE 14;85;26;26;25;1;0;8;0;17
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;029;BUKOVAC SVETOJANSKI;KUĆA OBITELJI FERKO;BUKOVAC SVETOJANSKI 30;79;31;31;30;1;3;7;2;18
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;030;MILADINI;DOM DVD;MILADINI;111;59;59;57;2;2;20;7;28
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;031;DRAGA SVETOJANSKA;PROSTORIJE TRGOVINE VL. ĐURĐE BRADVIĆ;DRAGA SVETOJANSKA 28;124;63;63;61;2;0;31;2;28
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;032;GORICA SVETOJANSKA;DRUŠTVENI DOM, PROSTORIJE MO GORICA SVETOJANSKA;GORICA SVETOJANSKA;123;50;50;49;1;1;22;5;21
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;033;IVANČIĆI;VINARSKI PODRUM;IVANČIĆI;149;65;65;64;1;1;21;2;40
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;034;KUPEČ DOL;KUĆA MIROSLAVA PLEČKA;KUPEČ DOL 31;82;40;40;39;1;0;9;0;30
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;035;PRODIN DOL;KUĆA ŽELJKA PARILCA;PRODIN DOL 2;83;60;60;55;5;0;22;4;29
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;036;GUCI DRAGANIĆKI;DOM DVD;GUCI DRAGANIĆKI;311;97;97;94;3;3;34;8;49
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;037;GORNJA KUPČINA;DRUŠTVENI DOM;GORNJA KUPČINA;146;95;95;88;7;2;41;7;38
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;038;ČEGLJE;DRUŠTVENI DOM;ČEGLJE;329;172;172;161;11;7;96;4;54
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;039;VUKŠIN ŠIPAK;DOM DVD;VUKŠIN ŠIPAK;281;94;94;90;4;0;25;7;58
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;040;DOMAGOVIĆ;DOM DVD;DOMAGOVIĆ;455;238;238;231;7;12;47;13;159
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;041;IZIMJE;DOM DVD;IZIMJE;215;104;104;103;1;2;33;3;65
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;042;NOVAKI PETROVINSKI;DOM DVD;NOVAKI PETROVINSKI;249;97;97;89;8;2;26;6;55
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;043;VOLAVJE;DOM DVD;VOLAVJE;350;188;187;181;6;3;73;7;98
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;044;JASTREBARSKO I;ZGRADA HAK-A;TREŠNJEVKA 4, JASTREBARSKO;477;247;247;239;8;7;54;11;167
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;045;JASTREBARSKO II;ZGRADA SREDNJE ŠKOLE JASTREBARSKO;V.HOLJEVCA 11, JASTREBARSKO;735;367;367;353;14;13;96;23;221
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;046;JASTREBARSKO III;ZGRADA HRVATSKOG ŠUMARSKOG INSTITUTA;CVJETNO NASELJE 41, JASTREBARSKO;428;257;257;253;4;9;59;13;172
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;047;JASTREBARSKO IV;"DJEČJI VRTIĆ ""RADOST II""";BANA TOME ERDEDIJA BAKAČA 2, JASTREBARSKO;411;223;223;221;2;8;70;5;138
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;048;JASTREBARSKO V;CENTAR ZA KULTURU JASTREBARSKO;DR. FRANJE TUĐMANA 9, JASTREBARSKO;152;91;91;91;0;9;18;3;61
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;049;JASTREBARSKO VI;ZGRADA GLAZBENE ŠKOLE JASTREBARSKO;ZRINSKI-FRANKOPANSKA 13, JASTREBARSKO;272;146;146;135;11;11;30;13;81
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;050;JASTREBARSKO VII;DVORIŠNA ZGRADA OPĆINSKOG SUDA JASTREBARSKO;BRAĆE KAZIĆ 6, JASTREBARSKO;526;274;273;261;12;7;85;17;152
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;051;JASTREBARSKO VIII;ZGRADA GRADSKE UPRAVE;TRG J.J.STROSSMAYERA 13, JASTREBARSKO;593;319;319;314;5;5;81;13;215
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;052;JASTREBARSKO IX;ZGRADA ŽUPANIJSKIH ISPOSTAVA (BIVŠA OPĆINA);VLADKA MAČEKA 2, JASTREBARSKO;675;359;359;347;12;9;82;21;235
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;053;JASTREBARSKO X;ZGRADA GRADSKOG MUZEJA;VLADKA MAČEKA 1, JASTREBARSKO;605;320;320;305;15;15;94;19;177
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;001;BOBOVICA;VATROGASNI DOM BOBOVICA;BOBOVICA;227;132;132;129;3;24;53;9;43
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;002;BRASLOVJE;DRUŠTVENI DOM BRASLOVJE;BRASLOVJE;290;160;160;156;4;14;69;4;69
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;003;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;1299;548;548;533;15;145;132;41;215
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;004;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;791;323;323;312;11;75;62;21;154
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;005;BREGANICA I VIŠNJEVEC PODVRŠKI;KUĆA MARIJANA KUMERA;BREGANICA 6;52;33;33;32;1;2;12;0;18
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;006;BREGANICA I VIŠNJEVEC PODVRŠKI;KUĆA STJEPANA BERIBAKA;VIŠNJEVEC PODVRŠKI, VIŠNJEVEC PODVRŠKI  4;31;20;20;19;1;3;6;3;7
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;007;BUDINJAK;PROSTORIJE EKO-CENTRA BUDINJAK;BUDINJAK;59;19;19;18;1;0;0;1;17
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;008;BUDINJAK;PROSTORIJE STARE ŠKOLE GRABAR;GRABAR;59;9;9;8;1;1;2;0;5
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;009;BUDINJAK;VATROGASNI DOM GORNJA VAS;GORNJA VAS;31;9;9;9;0;2;3;3;1
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;010;CELINE SAMOBORSKE;DRUŠTVENI DOM CELINE;CELINE SAMOBORSKE;258;160;160;158;2;29;42;16;71
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;011;CERJE SAMOBORSKO;DRUŠTVENI DOM CERJE;CERJE SAMOBORSKO;317;179;179;167;12;21;56;7;83
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;012;DOMASLOVEC;SPORTSKI CENTAR NK MLADOST;DOMASLOVEC, DOMASLOVEČKA 102;839;391;391;371;20;79;120;30;142
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;013;DREŽNIK PODOKIĆKI;DRUŠTVENI DOM DREŽNIK PODOKIĆKI;DREŽNIK PODOKIĆKI;214;114;114;111;3;7;31;7;66
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;014;DUBRAVA SAMOBORSKA;KUĆA STJEPANA RUNTASA;DUBRAVA SAMOBORSKA 34;222;95;95;89;6;19;26;3;41
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;015;FARKAŠEVEC SAMOBORSKI;ŠKOLA U FARKAŠEVCU SAMOBORSKOM;FARKAŠEVEC SAMOBORSKI;379;223;223;215;8;62;77;9;67
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;016;GALGOVO;DRUŠTVENI DOM GALGOVO;GALGOVO,BOGOVIĆEVA 2;729;371;371;357;14;37;109;30;181
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;017;GRADNA;DRUŠTVENI DOM GRADNA;GRADNA;483;225;225;215;10;53;61;29;72
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;018;GRDANJCI;DRUŠTVENI DOM GRDANJCI;GRDANJCI;268;156;156;149;7;18;50;10;71
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;019;GRDANJCI;KUĆA RADE BERIBAKA;BEDER 1;55;21;21;19;2;3;9;0;7
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;020;GRDANJCI;KUĆA BRANKA RATEŠIĆA;KOSTANJEVEC PODVRŠKI 8;63;41;41;40;1;3;16;3;18
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;021;GRDANJCI;DRUŠTVENI DOM JAVOREK;JAVOREK;38;25;25;23;2;0;16;0;7
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;022;HRASTINA SAMOBORSKA;PROSTORIJE MJESNOG ODBORA HRASTINA SAMOBORSKA;HRASTINA SAMOBORSKA;731;325;325;308;17;74;85;24;125
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;023;JARUŠJE;VATROGASNI DOM JARUŠJE;JARUŠJE;52;28;28;28;0;2;7;2;17
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;024;KLADJE;DRUŠTVENI DOM KLADJE;MIRNOVEČKA,BB;760;381;381;368;13;89;102;24;153
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;025;KLAKE;OSNOVNA ŠKOLA U KLAKAMA;KLAKE;207;119;119;108;11;9;47;3;49
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;026;KLOKOČEVEC SAMOBORSKI;DRUŠTVENI DOM KLOKOČEVEC;KLOKOČEVEC SAMOBORSKI;296;160;160;155;5;25;60;4;66
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;027;KONŠĆICA;DRUŠTVENI DOM KONŠĆICA;KONŠĆICA;248;122;122;119;3;39;27;6;47
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;028;LUG SAMOBORSKI;PROSTORIJE MJESNOG ODBORA LUG SAMOBORSKI;LUG SAMOBORSKI, KNEZA DOMAGOJA 1;825;431;430;419;11;124;89;18;188
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;029;MALA JAZBINA;KUĆA JAZBINSKI KATARINE;MALA JAZBINA 20/1;437;249;249;245;4;88;71;5;81
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;030;MALA  RAKOVICA;OSNOVNA ŠKOLA U MIRNOVCU;MIRNOVEC;523;302;302;297;5;88;66;16;127
