Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAVOR FILIPOVIĆ;JOŠKO KLISOVIĆ;ANKA MRAK-TARITAŠ;DAVOR NAĐI;JELENA PAVIČIĆ VUKIČEVIĆ;VESNA ŠKARE OŽBOLT;MIROSLAV ŠKORO;ŽELJKO TOKIĆ;TOMISLAV TOMAŠEVIĆ;ZVONIMIR TROSKOT
21;GRAD ZAGREB;grad;GRAD ZAGREB;011;KRALJ PETAR SVAČIĆ;ELEKTRA;GUNDULIĆEVA ULICA 32;1264;688;687;678;9;100;61;11;5;43;37;45;1;360;15
21;GRAD ZAGREB;grad;GRAD ZAGREB;012;KRALJ ZVONIMIR;OŠ S.S. KRANJČEVIĆA;ULICA BALTAZARA BOGIŠIĆA 13;1228;635;635;630;5;47;66;3;12;33;38;59;3;344;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;013;KRALJ ZVONIMIR;OŠ S.S. KRANJČEVIĆA;ULICA BALTAZARA BOGIŠIĆA 13;1219;640;640;637;3;49;45;7;6;41;25;63;1;383;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;014;KRALJ ZVONIMIR;POLIKLINIKA SUVAG;ULICA LJUDEVITA POSAVSKOG 10;1152;601;601;597;4;56;68;7;15;20;19;43;2;342;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;015;KRALJ ZVONIMIR;POLIKLINIKA SUVAG;ULICA LJUDEVITA POSAVSKOG 10;1174;639;639;635;4;41;68;8;11;37;45;56;0;346;23
21;GRAD ZAGREB;grad;GRAD ZAGREB;016;MATKO LAGINJA;PROSTORIJE MJESNOG ODBORA;ULICA MATKA LAGINJE 11;1272;671;670;661;9;50;75;17;7;27;42;46;1;389;7
21;GRAD ZAGREB;grad;GRAD ZAGREB;017;MATKO LAGINJA;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1247;692;692;687;5;39;60;4;10;33;43;77;0;404;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;018;MIMARA;OŠ IZIDORA KRŠNJAVOGA;ULICA ISIDORA KRŠNJAVOGA 2;801;385;385;379;6;27;32;4;9;20;18;36;1;222;10
21;GRAD ZAGREB;grad;GRAD ZAGREB;019;MIMARA;OŠ IZIDORA KRŠNJAVOGA;ULICA ISIDORA KRŠNJAVOGA 2;781;408;408;404;4;52;35;2;2;29;24;31;0;214;15
21;GRAD ZAGREB;grad;GRAD ZAGREB;020;NADBISKUP ANTUN BAUER;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;885;478;476;475;1;47;40;4;12;23;13;49;3;270;14
21;GRAD ZAGREB;grad;GRAD ZAGREB;021;NADBISKUP ANTUN BAUER;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;997;571;571;559;12;50;39;4;7;38;24;44;3;340;10
21;GRAD ZAGREB;grad;GRAD ZAGREB;022;PAVAO ŠUBIĆ;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1110;606;606;595;11;36;61;6;10;27;28;42;1;375;9
21;GRAD ZAGREB;grad;GRAD ZAGREB;023;PAVAO ŠUBIĆ;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1121;551;550;548;2;53;57;2;9;42;20;39;5;311;10
21;GRAD ZAGREB;grad;GRAD ZAGREB;024;PETAR KREŠIMIR IV;KLASIČNA GIMNAZIJA;ULICA JURJA KRIŽANIĆA 4A;828;460;459;456;3;40;38;6;6;20;20;50;0;264;12
21;GRAD ZAGREB;grad;GRAD ZAGREB;025;PETAR KREŠIMIR IV;KLASIČNA GIMNAZIJA;ULICA JURJA KRIŽANIĆA 4A;794;451;451;447;4;28;44;7;12;28;27;47;1;240;13
21;GRAD ZAGREB;grad;GRAD ZAGREB;026;PETAR ZRINSKI;PROSTORIJE MJESNOG ODBORA;PRIMORSKA ULICA 32;1295;687;687;684;3;48;67;3;5;51;35;42;2;424;7
21;GRAD ZAGREB;grad;GRAD ZAGREB;027;PETAR ZRINSKI;I. TEHNIČKA ŠKOLA TESLA;ULICA VJEKOSLAVA KLAIĆA 7;1118;573;573;569;4;56;52;7;13;40;32;36;1;320;12
21;GRAD ZAGREB;grad;GRAD ZAGREB;028;PETAR ZRINSKI;I. TEHNIČKA ŠKOLA TESLA;ULICA VJEKOSLAVA KLAIĆA 7;1142;543;542;538;4;37;52;1;8;32;16;55;2;315;20
21;GRAD ZAGREB;grad;GRAD ZAGREB;029;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIĆEVA ULICA 30;887;446;446;438;8;42;53;2;4;30;10;31;3;254;9
21;GRAD ZAGREB;grad;GRAD ZAGREB;030;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIĆEVA ULICA 30;762;420;420;410;10;39;35;11;8;21;18;55;2;207;14
21;GRAD ZAGREB;grad;GRAD ZAGREB;031;AUGUST CESAREC;PROSTORIJE MJESNOG ODBORA;TKALČIĆEVA ULICA 33 DVORANA, PRIZEMLJE DESNO;1354;600;599;592;7;106;28;4;15;49;33;58;0;263;36
21;GRAD ZAGREB;grad;GRAD ZAGREB;032;GORNJI GRAD;STARA GRADSKA VIJEĆNICA;ULICA SV. ĆIRILA I METODA 5;1234;685;685;681;4;65;76;9;12;47;30;62;0;362;18
21;GRAD ZAGREB;grad;GRAD ZAGREB;033;GORNJI GRAD;STARA GRADSKA VIJEĆNICA;ULICA SV. ĆIRILA I METODA 5;1106;550;550;546;4;47;40;6;9;36;31;54;0;315;8
21;GRAD ZAGREB;grad;GRAD ZAGREB;034;GUPČEVA ZVIJEZDA;UPRAVA GRADSKIH GROBLJA;ALEJA HERMANNA BOLLEA 27;602;308;308;301;7;24;36;2;3;32;17;24;2;155;6
21;GRAD ZAGREB;grad;GRAD ZAGREB;035;GUPČEVA ZVIJEZDA;PROSTORIJE MJESNOG ODBORA, DVORANA LIJEVO;KSAVER 203;543;292;292;290;2;25;27;1;5;22;16;19;0;170;5
21;GRAD ZAGREB;grad;GRAD ZAGREB;036;GUPČEVA ZVIJEZDA;CENTAR ZA REHABILITACIJU 'ZAGREB';ORLOVAC 2;692;394;393;390;3;51;34;10;11;30;29;56;1;147;21
21;GRAD ZAGREB;grad;GRAD ZAGREB;037;IVAN KUKULJEVIĆ SAKCINSKI;PROSTORIJE MJESNOG ODBORA;RADNIČKI DOL 1;839;483;483;480;3;34;40;4;5;19;30;33;1;307;7
21;GRAD ZAGREB;grad;GRAD ZAGREB;038;IVAN KUKULJEVIĆ SAKCINSKI;DOM ZDRAVLJA ZAGREB-ZAPAD;RADNIČKI DOL 24;867;448;448;444;4;40;48;6;7;28;24;31;2;238;20
21;GRAD ZAGREB;grad;GRAD ZAGREB;039;KRALJEVEC;PROSTORIJE MJESNOG ODBORA;KRALJEVEC 11;908;525;525;519;6;71;55;0;6;44;28;23;2;282;8
21;GRAD ZAGREB;grad;GRAD ZAGREB;040;MEDVEŠČAK;PROSTORIJE MJESNOG ODBORA;MEDVEŠČAK 2;1350;684;684;673;11;64;54;4;6;31;30;65;2;399;18
21;GRAD ZAGREB;grad;GRAD ZAGREB;041;MEDVEŠČAK;PROSTORIJE MJESNOG ODBORA;ULICA MILANA ŠUFFLAYA 2;783;422;422;418;4;29;35;3;7;43;22;39;1;221;18
21;GRAD ZAGREB;grad;GRAD ZAGREB;042;NOVA VES;PROSTORIJE MJESNOG ODBORA;NOVA VES 36;1404;745;745;735;10;67;68;5;10;74;30;75;1;388;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;043;NOVA VES;ŠKOLA ZA MEDICINSKE SESTRE MLINARSKA;MLINARSKA CESTA 34;1103;539;539;533;6;44;59;7;1;35;21;56;2;291;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;044;PETROVA;PROSTORIJE MJESNOG ODBORA;ULICA JAKOVA GOTOVCA 7;878;413;413;405;8;34;56;3;3;35;22;33;2;208;9
21;GRAD ZAGREB;grad;GRAD ZAGREB;045;PETROVA;DJEČJI VRTIĆ MEDVEŠČAK - PODRUČNI OBJEKT;JURKOVIĆEVA ULICA 14;680;369;369;363;6;40;47;2;9;33;16;33;2;173;8
21;GRAD ZAGREB;grad;GRAD ZAGREB;046;RIBNJAK;"CENTAR MLADIH ""RIBNJAK""";RIBNJAK 1;1144;612;612;604;8;50;60;5;13;28;42;55;0;343;8
21;GRAD ZAGREB;grad;GRAD ZAGREB;047;STJEPAN RADIĆ;OŠ PANTOVČAK;HERCEGOVAČKA ULICA 108;1252;682;681;676;5;60;94;5;17;45;38;88;2;314;13
21;GRAD ZAGREB;grad;GRAD ZAGREB;048;STJEPAN RADIĆ;OŠ PANTOVČAK;HERCEGOVAČKA ULICA 108;1359;773;773;767;6;67;77;9;16;70;52;76;3;364;33
21;GRAD ZAGREB;grad;GRAD ZAGREB;049;STJEPAN RADIĆ;KAZALIŠTE HISTRION - PREDVORJE;ILICA 90;1254;585;585;575;10;50;48;6;15;28;28;57;2;325;16
21;GRAD ZAGREB;grad;GRAD ZAGREB;050;ŠALATA;OŠ IVANA GORANA KOVAČIĆA;ULICA MATIJE MESIĆA 35;1469;826;826;822;4;120;68;5;26;61;42;77;4;390;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;051;TUŠKANAC;DJEČJI VRTIĆ TATJANE MARINIĆ, PODRUČNI OBJEKT;ULICA IVANA GORANA KOVAČIĆA 31;775;444;444;438;6;46;51;3;4;20;29;31;0;247;7
21;GRAD ZAGREB;grad;GRAD ZAGREB;052;TUŠKANAC;PROSTORIJE MJESNOG ODBORA;JABUKOVAC 28;628;316;316;316;0;39;32;2;2;36;15;21;0;160;9
21;GRAD ZAGREB;grad;GRAD ZAGREB;053;TUŠKANAC;CENTAR ZA ODGOJ DJECE I MLADEŽI;GORNJE PREKRIŽJE 48;344;211;211;210;1;27;22;1;4;17;9;14;0;112;4
21;GRAD ZAGREB;grad;GRAD ZAGREB;054;TUŠKANAC;HRVATSKI FILMSKI SAVEZ;TUŠKANAC 1;235;113;113;111;2;7;9;1;1;8;6;4;0;71;4
21;GRAD ZAGREB;grad;GRAD ZAGREB;055;VOĆARSKA;DJEČJI VRTIĆ MEDVEŠČAK;VOĆARSKA CESTA 69;1351;707;707;700;7;59;50;6;16;45;34;74;1;387;28
21;GRAD ZAGREB;grad;GRAD ZAGREB;056;VOĆARSKA;DJEČJI VRTIĆ MEDVEŠČAK;VOĆARSKA CESTA 69;1461;734;734;727;7;58;63;9;12;66;33;62;1;399;24
21;GRAD ZAGREB;grad;GRAD ZAGREB;057;CVJETNICA;DJEČJI VRTIĆ VRBIK;ŠETALIŠTE JURIJA GAGARINA 10;829;468;468;464;4;37;59;3;6;44;25;24;1;255;10
21;GRAD ZAGREB;grad;GRAD ZAGREB;058;CVJETNICA;DJEČJI VRTIĆ VRBIK;ŠETALIŠTE JURIJA GAGARINA 10;704;411;411;406;5;27;45;3;10;28;25;27;4;228;9
21;GRAD ZAGREB;grad;GRAD ZAGREB;059;CVJETNO NASELJE;OŠ CVJETNO NASELJE;CVJETNA CESTA 17;1512;789;789;785;4;45;78;9;14;42;38;77;2;452;28
21;GRAD ZAGREB;grad;GRAD ZAGREB;060;KANAL;PRIRODOSLOVNA ŠKOLA VLADIMIRA PRELOGA;ULICA GRADA VUKOVARA 269;1290;615;615;605;10;48;56;5;15;40;36;61;1;326;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;061;MARIN DRŽIĆ;OŠ MARINA DRŽIĆA;NALJEŠKOVIĆEVA ULICA 4;1403;688;684;677;7;47;64;6;8;36;24;90;1;372;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;062;MARIN DRŽIĆ;OŠ MARINA DRŽIĆA;NALJEŠKOVIĆEVA ULICA 4;1391;703;702;688;14;56;83;16;13;56;13;72;0;353;26
21;GRAD ZAGREB;grad;GRAD ZAGREB;063;MARIN DRŽIĆ;OŠ MARINA DRŽIĆA;NALJEŠKOVIĆEVA ULICA 4;1361;723;723;718;5;74;64;5;9;52;39;78;2;376;19
21;GRAD ZAGREB;grad;GRAD ZAGREB;064;MARIN DRŽIĆ;OŠ MARINA DRŽIĆA;NALJEŠKOVIĆEVA ULICA 4;1348;702;702;697;5;59;62;8;4;58;41;77;7;357;24
21;GRAD ZAGREB;grad;GRAD ZAGREB;065;MARTINOVKA;OŠ TINA UJEVIĆA;KOTURAŠKA CESTA 75;1295;710;710;703;7;61;70;5;15;46;35;84;0;372;15
21;GRAD ZAGREB;grad;GRAD ZAGREB;066;MARTINOVKA;UČENIČKI DOM FRANJE BUČARA;TRNJANSKA CESTA 11F;1125;509;509;507;2;39;37;2;16;49;21;36;0;291;16
21;GRAD ZAGREB;grad;GRAD ZAGREB;067;MIRAMARE;OŠ DAVORINA TRSTENJAKA;KRČKA ULICA 3;1116;612;612;603;9;96;40;13;11;59;18;55;7;283;21
21;GRAD ZAGREB;grad;GRAD ZAGREB;068;SAVSKI KUTI;PROSTORIJE MJESNOG ODBORA;LOMNIČKA ULICA 3;1495;845;843;836;7;76;85;7;19;40;36;61;5;477;30
21;GRAD ZAGREB;grad;GRAD ZAGREB;069;SIGEČICA;OŠ RAPSKA;RAPSKA ULICA 3;1073;542;542;533;9;67;59;6;3;27;37;37;1;271;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;070;SIGEČICA;OŠ RAPSKA;RAPSKA ULICA 3;1075;500;500;496;4;41;42;5;18;39;20;48;2;264;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;071;SIGEČICA;OŠ RAPSKA;RAPSKA ULICA 3;1084;529;529;524;5;41;49;6;5;49;25;53;0;278;18
21;GRAD ZAGREB;grad;GRAD ZAGREB;072;SIGEČICA;OŠ RAPSKA;RAPSKA ULICA 3;1122;528;526;521;5;37;44;0;12;39;48;42;1;273;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;073;SIGEČICA;OŠ RAPSKA;RAPSKA ULICA 3;1121;496;496;491;5;37;45;3;11;49;24;40;0;271;11
21;GRAD ZAGREB;grad;GRAD ZAGREB;074;STARO TRNJE;DJEČJI VRTIĆ SAVICA;ULICA VLADIMIRA RUŽDJAKA 22;1663;815;815;800;15;72;54;7;15;78;47;81;2;419;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;075;STARO TRNJE;PROSTORIJE MJESNOG ODBORA-STARO TRNJE;TRNJANSKA CESTA 128;1577;795;794;777;17;47;57;6;17;88;42;110;2;378;30
21;GRAD ZAGREB;grad;GRAD ZAGREB;076;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1169;584;583;574;9;54;53;4;10;51;21;50;1;313;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;077;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1167;638;637;635;2;61;73;6;13;29;21;53;1;353;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;078;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1223;604;604;597;7;56;77;3;8;39;31;48;3;319;13
21;GRAD ZAGREB;grad;GRAD ZAGREB;079;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1211;633;633;624;9;48;53;5;15;47;24;74;4;328;26
21;GRAD ZAGREB;grad;GRAD ZAGREB;080;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1200;710;709;701;8;62;69;7;18;49;14;72;0;385;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;081;TRNJANSKA SAVICA;PROSTORIJE MJESNOG ODBORA;ULICA VLADIMIRA RUŽDJAKA 21;1400;744;744;733;11;64;81;8;18;61;39;62;2;369;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;082;TRNJE;UČENIČKI DOM FRANJE BUČARA;TRNJANSKA CESTA 33;1152;577;577;568;9;51;37;6;10;65;26;65;1;279;28
21;GRAD ZAGREB;grad;GRAD ZAGREB;083;TRNJE;OŠ GRIGORA VITEZA;KRUGE 46;745;360;360;355;5;56;19;2;6;52;21;52;2;133;12
21;GRAD ZAGREB;grad;GRAD ZAGREB;084;VESLAČKO NASELJE;PROSTORIJE MJESNOG ODBORA;VESLAČKA ULICA 17A;944;540;540;537;3;45;33;2;13;47;33;51;0;300;13
21;GRAD ZAGREB;grad;GRAD ZAGREB;085;VRBIK;PROSTORIJE MJESNOG ODBORA;ULICA LAVOSLAVA RUŽIČKE 26;1381;766;765;758;7;41;56;7;13;51;49;39;0;482;20
21;GRAD ZAGREB;grad;GRAD ZAGREB;086;VRBIK;PROSTORIJE MJESNOG ODBORA;ULICA LAVOSLAVA RUŽIČKE 26;1431;806;804;793;11;71;98;9;16;51;36;83;0;399;30
21;GRAD ZAGREB;grad;GRAD ZAGREB;087;BUKOVAC;DOM ZDRAVLJA ZAGREB - ISTOK;KOSA 1B;1159;564;564;554;10;71;26;1;12;59;25;70;1;251;38
21;GRAD ZAGREB;grad;GRAD ZAGREB;088;BUKOVAC;DOM ZDRAVLJA ZAGREB - ISTOK;KOSA 1B;1159;572;572;567;5;56;33;0;10;47;31;74;3;271;42
21;GRAD ZAGREB;grad;GRAD ZAGREB;089;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA ULICA 50;966;491;491;480;11;45;37;1;6;49;20;81;3;209;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;090;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA ULICA 50;978;471;471;467;4;64;30;4;11;42;20;45;2;223;26
21;GRAD ZAGREB;grad;GRAD ZAGREB;091;BUKOVAC;VATROGASNI DOM;IX. BUKOVAČKI OGRANAK 2;1645;844;844;829;15;109;28;7;14;117;33;148;4;310;59
21;GRAD ZAGREB;grad;GRAD ZAGREB;092;DINKO ŠIMUNOVIĆ;OŠ IVANA FILIPOVIĆA;ULICA IVANA FILIPOVIĆA 1;1131;555;555;546;9;47;42;7;6;44;30;58;1;296;15
21;GRAD ZAGREB;grad;GRAD ZAGREB;093;DINKO ŠIMUNOVIĆ;OŠ IVANA FILIPOVIĆA;ULICA IVANA FILIPOVIĆA 1;1135;533;533;527;6;43;50;8;10;49;26;62;2;261;16
21;GRAD ZAGREB;grad;GRAD ZAGREB;094;DINKO ŠIMUNOVIĆ;OŠ IVANA FILIPOVIĆA;ULICA IVANA FILIPOVIĆA 1;1125;565;562;554;8;48;38;9;13;41;19;81;0;287;18
21;GRAD ZAGREB;grad;GRAD ZAGREB;095;DOBRI DOL;PROSTORIJE MJESNOG ODBORA;DOBRI DOL 49;908;547;545;540;5;51;51;5;13;33;17;43;2;304;21
21;GRAD ZAGREB;grad;GRAD ZAGREB;096;DOBRI DOL;OŠ JORDANOVAC;JORDANOVAC 108;1473;797;797;796;1;94;62;7;15;36;58;90;0;411;23
21;GRAD ZAGREB;grad;GRAD ZAGREB;097;DOBRI DOL;PODRUČNI URED MAKSIMIR;PETROVA ULICA 116;1475;737;737;735;2;58;49;2;10;62;40;91;5;393;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;098;DOTRŠČINA;PROSTORIJE MJESNOG ODBORA;JAZBINSKI ODVOJAK II. 6;853;395;395;393;2;44;37;2;8;52;32;48;2;149;19
21;GRAD ZAGREB;grad;GRAD ZAGREB;099;DOTRŠČINA;PROSTORIJE MJESNOG ODBORA;JAZBINSKI ODVOJAK II. 6;847;425;424;418;6;57;28;0;5;51;42;49;1;173;12
21;GRAD ZAGREB;grad;GRAD ZAGREB;100;EUGEN KVATERNIK;PROSTORIJE MJESNOG ODBORA;ULICA KRALJA ZVONIMIRA 68;850;403;402;397;5;26;33;7;10;26;22;41;1;221;10
21;GRAD ZAGREB;grad;GRAD ZAGREB;101;EUGEN KVATERNIK;DOM ZDRAVLJA ZAGREB-ISTOK AMBULANTA;ULICA METELA OŽEGOVIĆA 5;1106;568;568;559;9;39;49;9;10;40;25;41;1;328;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;102;KOZJAK;PROSTORIJE MJESNOG ODBORA;BIJENIČKA CESTA 97;1106;580;580;568;12;67;33;4;9;51;31;60;2;294;17
21;GRAD ZAGREB;grad;GRAD ZAGREB;103;KOZJAK;PROSTORIJE MJESNOG ODBORA;BIJENIČKA CESTA 97;1156;586;586;580;6;46;44;3;17;48;45;65;3;287;22
21;GRAD ZAGREB;grad;GRAD ZAGREB;104;KOZJAK;OŠ JORDANOVAC - PODRUČNA ŠKOLA KOZJAK;KOZJAK 27;1126;567;566;560;6;64;26;0;11;57;36;104;2;239;21
21;GRAD ZAGREB;grad;GRAD ZAGREB;105;MAKSIMIR;PROSTORIJE MJESNOG ODBORA;BARUTANSKI BREG 5;1193;638;636;631;5;62;33;10;18;49;34;66;3;327;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;106;MAKSIMIR;PROSTORIJE MJESNOG ODBORA;BARUTANSKI BREG 5;1245;597;597;595;2;52;45;8;16;38;29;60;2;313;32
21;GRAD ZAGREB;grad;GRAD ZAGREB;107;MAKSIMIR;DOM ZDRAVLJA ZAGREB - ISTOK;REBAR 33;965;489;489;485;4;48;48;2;8;39;30;58;0;238;14
21;GRAD ZAGREB;grad;GRAD ZAGREB;108;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINČIĆA 12;1195;630;630;627;3;60;61;2;11;51;34;65;8;310;25
21;GRAD ZAGREB;grad;GRAD ZAGREB;109;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINČIĆA 12;1177;610;610;593;17;64;65;4;15;33;28;53;1;303;27
21;GRAD ZAGREB;grad;GRAD ZAGREB;110;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINČIĆA 12;1181;670;647;644;3;52;87;10;19;35;29;65;2;326;19
21;GRAD ZAGREB;grad;GRAD ZAGREB;111;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINČIĆA 12;1161;592;592;585;7;28;65;7;6;48;25;73;4;305;24
21;GRAD ZAGREB;grad;GRAD ZAGREB;112;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINČIĆA 12;1197;606;605;595;10;54;69;10;15;51;26;68;2;289;11
21;GRAD ZAGREB;grad;GRAD ZAGREB;113;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINČIĆA 12;1200;624;624;620;4;31;51;6;26;44;33;83;1;318;27
21;GRAD ZAGREB;grad;GRAD ZAGREB;114;MAŠIĆEVA;OŠ VLADIMIRA NAZORA;JORDANOVAC 23;1257;669;669;665;4;72;46;12;13;36;35;71;2;359;19
21;GRAD ZAGREB;grad;GRAD ZAGREB;115;MAŠIĆEVA;OŠ VLADIMIRA NAZORA;JORDANOVAC 23;1210;700;700;693;7;71;74;4;15;31;32;72;1;371;22
21;GRAD ZAGREB;grad;GRAD ZAGREB;116;MAŠIĆEVA;XV. GIMNAZIJA MIOC;JORDANOVAC 8;1372;744;744;736;8;77;67;8;9;57;23;68;1;410;16
21;GRAD ZAGREB;grad;GRAD ZAGREB;117;REMETE;PROSTORIJE MJESNOG ODBORA;VINEC 1;1388;673;673;665;8;80;46;2;11;64;36;123;1;273;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;118;REMETE;PROSTORIJE MJESNOG ODBORA;VINEC 1;1453;631;631;626;5;61;24;4;17;91;35;106;3;255;30
21;GRAD ZAGREB;grad;GRAD ZAGREB;119;REMETE;OŠ REMETE;REMETE 99A;1016;526;526;515;11;60;45;3;8;51;30;100;0;176;42
21;GRAD ZAGREB;grad;GRAD ZAGREB;120;REMETE;OŠ REMETE;REMETE 99A;1005;573;573;567;6;48;31;4;14;89;36;90;2;213;40
21;GRAD ZAGREB;grad;GRAD ZAGREB;121;RUŽMARINKA;OŠ A.HARAMBAŠIĆA;ULICA AUGUSTA HARAMBAŠIĆA 18;1277;703;701;692;9;60;60;6;13;56;31;61;3;373;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;122;RUŽMARINKA;OŠ A.HARAMBAŠIĆA;ULICA AUGUSTA HARAMBAŠIĆA 18;1247;657;657;648;9;50;63;7;16;35;27;58;2;361;29
21;GRAD ZAGREB;grad;GRAD ZAGREB;123;BORONGAJ-LUGOVI;PROSTORIJE MJESNOG ODBORA;VUKOMEREC 41;1118;392;392;387;5;44;37;1;1;77;20;62;0;135;10
