Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, SNAGA SLAVONIJE I BARANJE - Snaga SiB
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;020;PROSTOR STARE AMBULANTE;BRODSKI DRENOVAC;BRODSKI DRENOVAC BB;599;210;210;197;13;34;157;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;021;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";BUČJE;BUČJE 38;225;116;116;114;2;26;85;0;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;022;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";ZAGRAĐE;ZAGRAĐE 37;363;201;201;190;11;38;142;7;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;023;SEOSKI DOM;BILICE;BILICE BB;140;96;96;95;1;16;73;2;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;024;KUĆA MARIJE KOVAČEVIĆ;BRĐANI;BRĐANI 34;33;14;14;14;0;4;10;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;025;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";GRADAC;STJEPANA RADIĆA 211;772;393;393;374;19;87;219;56;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;026;SEOSKI DOM;AŠIKOVCI;AŠIKOVCI BB;68;35;35;34;1;7;24;2;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;027;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";ZARILAC;ZARILAC 39;127;67;67;65;2;27;35;3;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;028;VATROGASNI DOM;KNEŽCI;KNEŽCI BB;43;32;32;31;1;5;21;0;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;029;VATROGASNI DOM;BUK;BUK BB;463;272;272;266;6;88;153;17;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;030;SEOSKI DOM;KALINIĆ;KALINIĆ BB;52;42;42;42;0;10;32;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;031;KUĆA ĐURE LOMBAR;PLETERNIČKI MIHALJEVCI;PLETERNIČKI MIHALJEVCI 29;9;3;3;3;0;0;3;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;032;KUĆA BRANKA DAMJANOVIĆ;TULNIK;TULNIK 29;17;15;15;15;0;5;9;1;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;033;KUĆA MARIJE ČIČKOVIĆ;MALI BILAČ;MALI BILAČ 15;15;12;12;12;0;2;10;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;034;KUĆA STANKA BARIŠIĆA, DVORANA;VESELA;VESELA 4A;117;57;57;53;4;20;30;2;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;035;KUĆA PETRA ŽALCA;POLOJE;POLOJE 2C;80;40;40;37;3;11;26;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;036;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA FRKLJEVCI";KADANOVCI;KADANOVCI 5;459;229;229;223;6;42;173;3;5
