Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BAJS;MARKO MARUŠIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;011;BJELOVAR;IV OSNOVNA ŠKOLA I;POLJANA DR. FRANJE TUĐMANA 1;1321;449;449;441;8;217;224
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;012;BJELOVAR;III OSNOVNA ŠKOLA;TOME BAKAČA 11D;1393;499;499;490;9;225;265
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;013;BJELOVAR;"MO ""A.G.MATOŠ""";JANKA DRAŠKOVIĆA 1B;617;215;215;207;8;84;123
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;014;BJELOVAR;DJEČJI VRTIĆ BJELOVAR;TRG ANTUNA GUSTAVA MATOŠA 8A;1113;335;335;331;4;161;170
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;015;BJELOVAR;"MO ""STJEPAN RADIĆ""";ANDRIJE MOHOROVIČIĆA 59;1519;582;582;569;13;232;337
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;016;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUĐMANA 1;1251;465;465;452;13;219;233
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;017;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 8;669;233;233;229;4;116;113
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;018;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 10;1217;461;461;450;11;162;288
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;019;BJELOVAR;"MO ""BAN J. JELAČIĆ""";RADNIČKO NASELJE PRILAZ II KBR. 3;1196;318;318;312;6;99;213
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;020;BJELOVAR;DOM U HRGOVLJANIMA;MIROSLAVA KRLEŽE 187;1230;480;480;474;6;181;293
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;021;BJELOVAR;DOM U VELIKIM SREDICAMA;VELIKE SREDICE 100;761;252;252;249;3;94;155
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAČKOJ CESTI;KRIŽEVAČKA CESTA 3A;896;298;298;292;6;90;202
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;352;126;126;125;1;61;64
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;100;27;27;27;0;16;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIČKA 61;870;299;299;295;4;158;137
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;240;57;57;56;1;28;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;326;92;92;90;2;37;53
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;77;17;17;17;0;5;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;772;187;187;184;3;38;146
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOČEVAC;DOM U KLOKOČEVCU;KLOKOČEVAC 86;680;192;192;189;3;44;145
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;147;40;40;40;0;12;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;132;43;43;40;3;29;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIČANI;"PROSTORIJE MO ""LETIČANI""";LETIČANI 68A;289;68;68;65;3;31;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;152;61;61;61;0;21;40
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;129;42;42;42;0;14;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;487;176;176;172;4;60;112
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;145;37;37;37;0;26;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;208;75;75;75;0;12;63
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;576;180;180;179;1;51;128
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;423;100;100;98;2;33;65
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;041;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE 78;498;101;101;98;3;31;67
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;042;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;203;93;93;93;0;13;80
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;043;RAJIĆ;"PROSTORIJE DVD ""RAJIĆ""";RAJIĆ 75;163;25;25;25;0;9;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;044;STANČIĆI;DOM U STANČIĆIMA;STANČIĆI 14;78;20;20;20;0;6;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;045;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIČKA ULICA 52;544;205;205;204;1;77;127
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;046;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI 81;184;45;45;43;2;12;31
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;047;TOMAŠ;DOM U TOMAŠU;TOMAŠ 85;204;44;44;43;1;27;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;048;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU;ĐURĐEVAČKA CESTA 148;1460;471;471;459;12;182;277
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;049;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO 109A;408;138;138;133;5;51;82
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;050;ZVIJERCI;DOM U ZVIJERCIMA;ZVIJERCI 77A;1829;518;518;509;9;211;298
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;051;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;656;185;185;184;1;71;113
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;052;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;554;152;152;148;4;59;89
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;001;ČAZMA;DOM KULTURE;TRG ČAZMANSKOG KAPTOLA 13;594;179;179;178;1;61;117
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;002;ČAZMA;VIJEĆNICA;KRALJA TOMISLAVA 1;351;151;151;145;6;75;70
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;003;DEREZA;DOM DEREZA;DEREZA 30A;179;49;49;48;1;32;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;004;BOSILJEVO;DOM BOSILJEVO;BOSILJEVO 18;297;64;64;63;1;29;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;005;ČAZMA;ZGRADA ŠUMARIJE;M. NOVAČIĆA 48;626;232;232;231;1;91;140
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;006;ČAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10A;624;199;199;197;2;85;112
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;007;SUHAJA;DOM SUHAJA;SUHAJA 95;164;29;29;29;0;14;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;008;MILAŠEVAC;DOM MILAŠEVAC;MILAŠEVAC 49A;123;33;33;33;0;16;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;009;CERINA;DOM CERINA;CERINA 14;87;23;23;23;0;7;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;010;GRABIK;KUĆA ĐURE KAPELCA;GRABIK 30;42;31;31;29;2;1;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;011;GORNJI LIPOVČANI;DOM DVD GORNJI LIPOVČANI;GORNJI LIPOVČANI 30;128;37;37;37;0;11;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;012;GORNJI DRAGIČEVCI;KUĆA IVANKE FERENČAK;GORNJI DRAGIČEVCI 31;74;26;26;26;0;9;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;013;DONJI DRAGIČEVCI;KUĆA JADRANKE PAPIĆ;DONJI DRAGIČEVCI 5A;27;17;17;17;0;5;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;014;PRNJAROVAC;VATROGASNO SPREMIŠTE;PRNJAROVAC 64;88;33;33;33;0;8;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;015;DAPCI;VATROGASNI DOM DAPCI;DAPCI 210;158;40;40;39;1;12;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;016;MARČANI;DOM MARČANI;MARČANI 41;82;23;23;23;0;9;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;017;OPĆEVAC;DOM OPĆEVAC;OPĆEVAC 40;245;55;55;55;0;13;42
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;018;SOVARI;DOM SOVARI;SOVARI 28;76;17;17;15;2;5;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;019;GORNJI DRAGANEC;DOM GORNJI DRAGANEC;GORNJI DRAGANEC 234;320;74;74;73;1;29;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;020;DONJI DRAGANEC;DOM DONJI DRAGANEC;DONJI DRAGANEC 56;107;40;40;40;0;13;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;021;SIŠĆANI;DOM SIŠĆANI;SIŠĆANI 101;243;87;87;87;0;33;54
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;022;ZDENČEC;DOM ZDENČEC;ZDENČEC 44;71;37;37;36;1;15;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;023;BOJANA;DOM BOJANA;BOJANA 67;137;70;70;68;2;24;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;024;VAGOVINA;DOM VAGOVINA;VAGOVINA 105;315;98;98;98;0;33;65
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;025;KOMUŠEVAC;DOM KOMUŠEVAC;KOMUŠEVAC 60;143;59;59;59;0;16;43
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;026;POBJENIK;ŠKOLA POBJENIK;POBJENIK 102;209;34;34;33;1;19;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;027;GRABOVNICA;DRUŠTVENI DOM GRABOVNICA;GRABOVNICA 54;322;87;87;86;1;28;58
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;028;GORNJI MIKLOUŠ;ŠKOLA GORNJI MIKLOUŠ;GORNJI MIKLOUŠ 61;90;32;32;32;0;17;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;029;DONJI MIKLOUŠ;DOM DONJI MIKLOUŠ;DONJI MIKLOUŠ 144;153;42;42;40;2;21;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;030;MARTINAC;DOM MARTINAC;MARTINAC 73;66;17;17;17;0;6;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;031;NOVO SELO;KUĆA KATE MLINARIĆ;NOVO SELO 18;30;14;14;14;0;10;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;032;VUČANI;DOM VUČANI;VUČANI 32;66;18;18;18;0;10;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;033;VRTLINSKA;DOM VRTLINSKA;VRTLINSKA 105;148;42;42;36;6;11;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;034;PAVLIČANI;DOM PAVLIČANI;PAVLIČANI 57;65;25;25;25;0;13;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4;432;145;145;143;2;54;89
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;002;DARUVAR;UDRUGA MATICE UMIROVLJENIKA;TRG DR. FRANJE TUĐMANA 4;600;247;247;240;7;101;139
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;003;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSE FRANKOPANA 80;873;291;291;286;5;90;196
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;004;DARUVAR;"OSNOVNA  ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;834;284;284;278;6;80;198
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;005;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;719;224;224;221;3;82;139
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;006;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;575;217;217;209;8;46;163
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;007;DARUVAR;HRVATSKE ŠUME ZAGREB, UPRAVA ŠUMA BJELOVAR - ŠUMARIJA DARUVAR;PETRA ZRINSKOG 1;929;349;349;347;2;114;233
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;008;DOLJANI;MJESNI DOM DOLJANI;HRVATSKIH BRANITELJA 57;632;247;247;243;4;55;188
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;009;DARUVAR;AMBULANTA ZAVODA ZA JAVNO ZDRAVSTVO (HES);PETRA SVAČIĆA 48;647;262;262;258;4;88;170
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;010;DARUVAR;VIJEĆNICA UDRUŽENJA OBRTNIKA;JOSIPA JELAČIĆA 15;310;120;120;117;3;46;71
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;011;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";LJUDEVITA GAJA 24;413;157;157;155;2;54;101
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;012;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;676;270;270;267;3;104;163
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;013;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;663;217;217;212;5;90;122
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;014;GORNJI DARUVAR;DOM KULTURE GORNJI DARUVAR;PODBORSKA ULICA 21;340;150;150;142;8;79;63
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;015;LJUDEVIT SELO;ČEŠKI DOM LJUDEVIT SELO;LJUDEVIT SELO 15;187;105;105;104;1;57;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;016;LIPOVAC MAJUR;MJESNI DOM LIPOVAC MAJUR;LIPOVAC MAJUR 6;68;44;44;44;0;8;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;017;DONJI DARUVAR;VATROGASNI DOM DONJI DARUVAR;MATIJE GUPCA 163;792;256;256;250;6;114;136
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;ZDENČAC;OSNOVNA ŠKOLA;BANOVAČA 77;352;147;147;145;2;23;122
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;002;GAREŠNIČKI BRESTOVAC;HRVATSKI RADNIČKI DOM;BRESTOVAČKA ULICA 72;741;266;266;265;1;81;184
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;003;TOMAŠICA;SEOSKI DOM PROSTOR BIVŠE TRGOVINE;TOMAŠICA 127;275;85;85;83;2;28;55
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;004;MALI PAŠIJAN;SEOSKI DOM;MALI PAŠIJAN 72;140;28;28;26;2;9;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;005;VELIKI PAŠIJAN;SEOSKI DOM;VELIKI PAŠIJAN 73;242;46;46;46;0;24;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;006;DIŠNIK;SEOSKI DOM;DIŠNIK 58;296;124;124;119;5;39;80
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;007;TRNOVITIČKI POPOVAC;MJESNI DOM;TRNOVITIČKI POPOVAC 85;308;107;107;107;0;48;59
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;008;VELIKI PROKOP;SEOSKI DOM;VELIKI PROKOP 5 A;29;14;14;14;0;10;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;009;VELIKA BRŠLJANICA;OSNOVNA ŠKOLA;VELIKA BRŠLJANICA 71;174;56;56;56;0;38;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;010;MALA BRŠLJANICA;DRUŠTVENI DOM;VELIKA BRŠLJANICA 46 A;35;13;13;13;0;9;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;011;GAREŠNICA;VATROGASNI DOM;UL. MATIJE GUPCA 136;730;193;193;187;6;69;118
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;012;KANIŠKA IVA;HRVATSKI SELJAČKI DOM;KANIŠKA IVA 145;355;100;100;99;1;29;70
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;013;CIGLENICA;SEOSKI DOM;CIGLENICA 85A;307;86;86;84;2;19;65
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;014;ROGOŽA;OSNOVNA ŠKOLA;ROGOŽA 54;202;47;47;47;0;35;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;015;GAREŠNICA;OSNOVNA ŠKOLA;KOLODVORSKA ULICA 4;294;92;92;91;1;29;62
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;016;VELIKO VUKOVJE;SEOSKI DOM;VELIKO VUKOVJE 146;192;36;36;36;0;32;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;017;MALO VUKOVJE;SEOSKI DOM;MALO VUKOVJE 39;96;36;36;36;0;7;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;018;HRASTOVAC;HRVATSKI DOM;TRG ANTE STARČEVIĆA 4;364;92;92;91;1;39;52
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;019;GAREŠNICA;PROSTOR UDRUGE UMIROVLJENIKA;TRG HRVATSKIH BRANITELJA 10;1096;349;349;341;8;130;211
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;020;DUHOVI;OSNOVNA ŠKOLA;DUHOVI 44;79;27;27;27;0;21;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;021;ULJANIK;DOM KULTURE;ULJANIK 68;216;52;52;52;0;25;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;022;GORNJI ULJANIK;KUĆA MARICE LEVANIĆ;GORNJI ULJANIK 23;95;35;35;34;1;15;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;023;ULJANIČKI BRIJEG;KUĆA ŽELJKA MIKULČIĆA;ULJANIČKI BRIJEG 5;16;9;9;9;0;8;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;024;GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21;1071;306;306;297;9;137;160
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;025;KAPELICA;DRUŠTVENI DOM;KAPELICA 105;460;95;95;95;0;41;54
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;026;KAJGANA;VATROGASNI DOM;KAJGANA 39;211;74;74;73;1;29;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUĐMAN;IVANA NEPOMUKA JEMERŠIĆA 1;561;249;249;245;4;83;162
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;002;GRUBIŠNO POLJE;MATICA UMIROVLJENIKA GRUBIŠNO POLJE;ULICA 4. STUDENI 1991. KBR.1A;719;321;321;315;6;125;190
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;003;GRUBIŠNO POLJE;"SREDNJA ŠKOLA ""BARTOLA KAŠIĆA""";BARTOLA KAŠIĆA 1;794;301;301;296;5;79;217
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;004;GRUBIŠNO POLJE;MJESNI DOM U GRUBIŠNOM POLJU;KRALJA ZVONIMIRA 75.;251;123;123;120;3;50;70
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;005;POLJANI;VATROGASNI DOM U POLJANIMA;POLJANI 66;209;91;91;90;1;31;59
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;006;DONJA RAŠENICA;VATROGASNI DOM U DONJOJ RAŠENICI;DONJA RAŠENICA 59;195;86;86;85;1;40;45
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;007;IVANOVO SELO;MJESNI DOM U IVANOVOM SELU;PRAŠKA 5;198;118;118;116;2;64;52
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;008;RASTOVAC;LOVAČKI DOM U RASTOVCU;RASTOVAC 46;103;46;46;44;2;14;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;009;TREGLAVA;MJESNI DOM U TREGLAVI;TREGLAVA 2;76;46;46;45;1;21;24
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;010;VELIKI ZDENCI;MJESNI DOM U VELIKIM ZDENCIMA;MATE LOVRAKA 115;268;121;121;117;4;35;82
