Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TANJA NOVOTNI GOLUBIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;011;BJELOVAR;IV OSNOVNA ŠKOLA I;POLJANA DR. FRANJE TUĐMANA 1;4;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;012;BJELOVAR;III OSNOVNA ŠKOLA;TOME BAKAČA 11D;6;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;013;BJELOVAR;"MO ""A.G.MATOŠ""";JANKA DRAŠKOVIĆA 1B;6;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;014;BJELOVAR;DJEČJI VRTIĆ BJELOVAR;TRG ANTUNA GUSTAVA MATOŠA 8A;5;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;015;BJELOVAR;"MO ""STJEPAN RADIĆ""";ANDRIJE MOHOROVIČIĆA 59;7;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;016;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUĐMANA 1;8;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;017;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 8;6;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;018;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 10;8;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;019;BJELOVAR;"MO ""BAN J. JELAČIĆ""";RADNIČKO NASELJE PRILAZ II KBR. 3;3;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;020;BJELOVAR;DOM U HRGOVLJANIMA;MIROSLAVA KRLEŽE 187;2;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;021;BJELOVAR;DOM U VELIKIM SREDICAMA;VELIKE SREDICE 100;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAČKOJ CESTI;KRIŽEVAČKA CESTA 3A;4;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIČKA 61;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;2;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOČEVAC;DOM U KLOKOČEVCU;KLOKOČEVAC 86;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIČANI;"PROSTORIJE MO ""LETIČANI""";LETIČANI 68A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;4;3;3;2;1;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;1;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;041;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE 78;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;042;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;043;RAJIĆ;"PROSTORIJE DVD ""RAJIĆ""";RAJIĆ 75;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;044;STANČIĆI;DOM U STANČIĆIMA;STANČIĆI 14;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;045;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIČKA ULICA 52;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;046;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI 81;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;047;TOMAŠ;DOM U TOMAŠU;TOMAŠ 85;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;048;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU;ĐURĐEVAČKA CESTA 148;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;049;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO 109A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;050;ZVIJERCI;DOM U ZVIJERCIMA;ZVIJERCI 77A;11;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;051;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;052;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;5;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;001;ČAZMA;DOM KULTURE;TRG ČAZMANSKOG KAPTOLA 13;4;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;002;ČAZMA;VIJEĆNICA;KRALJA TOMISLAVA 1;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;003;DEREZA;DOM DEREZA;DEREZA 30A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;004;BOSILJEVO;DOM BOSILJEVO;BOSILJEVO 18;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;005;ČAZMA;ZGRADA ŠUMARIJE;M. NOVAČIĆA 48;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;006;ČAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;007;SUHAJA;DOM SUHAJA;SUHAJA 95;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;008;MILAŠEVAC;DOM MILAŠEVAC;MILAŠEVAC 49A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;009;CERINA;DOM CERINA;CERINA 14;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;010;GRABIK;KUĆA ĐURE KAPELCA;GRABIK 30;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;011;GORNJI LIPOVČANI;DOM DVD GORNJI LIPOVČANI;GORNJI LIPOVČANI 30;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;012;GORNJI DRAGIČEVCI;KUĆA IVANKE FERENČAK;GORNJI DRAGIČEVCI 31;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;013;DONJI DRAGIČEVCI;KUĆA JADRANKE PAPIĆ;DONJI DRAGIČEVCI 5A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;014;PRNJAROVAC;VATROGASNO SPREMIŠTE;PRNJAROVAC 64;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;015;DAPCI;VATROGASNI DOM DAPCI;DAPCI 210;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;016;MARČANI;DOM MARČANI;MARČANI 41;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;017;OPĆEVAC;DOM OPĆEVAC;OPĆEVAC 40;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;018;SOVARI;DOM SOVARI;SOVARI 28;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;019;GORNJI DRAGANEC;DOM GORNJI DRAGANEC;GORNJI DRAGANEC 234;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;020;DONJI DRAGANEC;DOM DONJI DRAGANEC;DONJI DRAGANEC 56;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;021;SIŠĆANI;DOM SIŠĆANI;SIŠĆANI 101;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;022;ZDENČEC;DOM ZDENČEC;ZDENČEC 44;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;023;BOJANA;DOM BOJANA;BOJANA 67;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;024;VAGOVINA;DOM VAGOVINA;VAGOVINA 105;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;025;KOMUŠEVAC;DOM KOMUŠEVAC;KOMUŠEVAC 60;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;026;POBJENIK;ŠKOLA POBJENIK;POBJENIK 102;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;027;GRABOVNICA;DRUŠTVENI DOM GRABOVNICA;GRABOVNICA 54;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;028;GORNJI MIKLOUŠ;ŠKOLA GORNJI MIKLOUŠ;GORNJI MIKLOUŠ 61;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;029;DONJI MIKLOUŠ;DOM DONJI MIKLOUŠ;DONJI MIKLOUŠ 144;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;030;MARTINAC;DOM MARTINAC;MARTINAC 73;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;031;NOVO SELO;KUĆA KATE MLINARIĆ;NOVO SELO 18;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;032;VUČANI;DOM VUČANI;VUČANI 32;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;033;VRTLINSKA;DOM VRTLINSKA;VRTLINSKA 105;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;034;PAVLIČANI;DOM PAVLIČANI;PAVLIČANI 57;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4;66;17;17;17;0;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;002;DARUVAR;UDRUGA MATICE UMIROVLJENIKA;TRG DR. FRANJE TUĐMANA 4;61;10;10;8;2;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;003;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSE FRANKOPANA 80;129;48;48;46;2;46
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;004;DARUVAR;"OSNOVNA  ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;106;52;52;47;5;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;005;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;107;51;51;45;6;45
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;006;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;61;24;24;23;1;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;007;DARUVAR;HRVATSKE ŠUME ZAGREB, UPRAVA ŠUMA BJELOVAR - ŠUMARIJA DARUVAR;PETRA ZRINSKOG 1;204;72;72;64;8;64
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;008;DOLJANI;MJESNI DOM DOLJANI;HRVATSKIH BRANITELJA 57;185;27;26;23;3;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;009;DARUVAR;AMBULANTA ZAVODA ZA JAVNO ZDRAVSTVO (HES);PETRA SVAČIĆA 48;72;28;28;28;0;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;010;DARUVAR;VIJEĆNICA UDRUŽENJA OBRTNIKA;JOSIPA JELAČIĆA 15;51;13;13;12;1;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;011;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";LJUDEVITA GAJA 24;90;37;37;32;5;32
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;012;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;129;56;56;50;6;50
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;013;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;160;43;43;40;3;40
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;014;GORNJI DARUVAR;DOM KULTURE GORNJI DARUVAR;PODBORSKA ULICA 21;97;57;57;55;2;55
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;015;LJUDEVIT SELO;ČEŠKI DOM LJUDEVIT SELO;LJUDEVIT SELO 15;131;91;91;89;2;89
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;016;LIPOVAC MAJUR;MJESNI DOM LIPOVAC MAJUR;LIPOVAC MAJUR 6;17;15;15;15;0;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;017;DONJI DARUVAR;VATROGASNI DOM DONJI DARUVAR;MATIJE GUPCA 163;207;93;93;89;4;89
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;ZDENČAC;OSNOVNA ŠKOLA;BANOVAČA 77;6;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;002;GAREŠNIČKI BRESTOVAC;HRVATSKI RADNIČKI DOM;BRESTOVAČKA ULICA 72;8;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;003;TOMAŠICA;SEOSKI DOM PROSTOR BIVŠE TRGOVINE;TOMAŠICA 127;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;004;MALI PAŠIJAN;SEOSKI DOM;MALI PAŠIJAN 72;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;005;VELIKI PAŠIJAN;SEOSKI DOM;VELIKI PAŠIJAN 73;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;006;DIŠNIK;SEOSKI DOM;DIŠNIK 58;2;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;007;TRNOVITIČKI POPOVAC;MJESNI DOM;TRNOVITIČKI POPOVAC 85;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;008;VELIKI PROKOP;SEOSKI DOM;VELIKI PROKOP 5 A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;009;VELIKA BRŠLJANICA;OSNOVNA ŠKOLA;VELIKA BRŠLJANICA 71;3;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;010;MALA BRŠLJANICA;DRUŠTVENI DOM;VELIKA BRŠLJANICA 46 A;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;011;GAREŠNICA;VATROGASNI DOM;UL. MATIJE GUPCA 136;6;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;012;KANIŠKA IVA;HRVATSKI SELJAČKI DOM;KANIŠKA IVA 145;3;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;013;CIGLENICA;SEOSKI DOM;CIGLENICA 85A;2;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;014;ROGOŽA;OSNOVNA ŠKOLA;ROGOŽA 54;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;015;GAREŠNICA;OSNOVNA ŠKOLA;KOLODVORSKA ULICA 4;8;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;016;VELIKO VUKOVJE;SEOSKI DOM;VELIKO VUKOVJE 146;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;017;MALO VUKOVJE;SEOSKI DOM;MALO VUKOVJE 39;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;018;HRASTOVAC;HRVATSKI DOM;TRG ANTE STARČEVIĆA 4;2;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;019;GAREŠNICA;PROSTOR UDRUGE UMIROVLJENIKA;TRG HRVATSKIH BRANITELJA 10;19;2;2;1;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;020;DUHOVI;OSNOVNA ŠKOLA;DUHOVI 44;3;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;021;ULJANIK;DOM KULTURE;ULJANIK 68;14;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;022;GORNJI ULJANIK;KUĆA MARICE LEVANIĆ;GORNJI ULJANIK 23;5;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;023;ULJANIČKI BRIJEG;KUĆA ŽELJKA MIKULČIĆA;ULJANIČKI BRIJEG 5;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;024;GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21;12;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;025;KAPELICA;DRUŠTVENI DOM;KAPELICA 105;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;026;KAJGANA;VATROGASNI DOM;KAJGANA 39;3;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUĐMAN;IVANA NEPOMUKA JEMERŠIĆA 1;34;4;4;4;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;002;GRUBIŠNO POLJE;MATICA UMIROVLJENIKA GRUBIŠNO POLJE;ULICA 4. STUDENI 1991. KBR.1A;109;28;28;28;0;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;003;GRUBIŠNO POLJE;"SREDNJA ŠKOLA ""BARTOLA KAŠIĆA""";BARTOLA KAŠIĆA 1;73;5;5;5;0;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;004;GRUBIŠNO POLJE;MJESNI DOM U GRUBIŠNOM POLJU;KRALJA ZVONIMIRA 75.;9;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;005;POLJANI;VATROGASNI DOM U POLJANIMA;POLJANI 66;47;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;006;DONJA RAŠENICA;VATROGASNI DOM U DONJOJ RAŠENICI;DONJA RAŠENICA 59;55;7;7;7;0;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;007;IVANOVO SELO;MJESNI DOM U IVANOVOM SELU;PRAŠKA 5;133;51;51;51;0;51
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;008;RASTOVAC;LOVAČKI DOM U RASTOVCU;RASTOVAC 46;19;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;009;TREGLAVA;MJESNI DOM U TREGLAVI;TREGLAVA 2;51;20;20;20;0;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;010;VELIKI ZDENCI;MJESNI DOM U VELIKIM ZDENCIMA;MATE LOVRAKA 115;42;14;14;13;1;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;011;VELIKI ZDENCI;ZGRADA U PARKU VELIKI ZDENCI;TRG KRALJA TOMISLAVA 3;81;21;21;20;1;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;012;MALI ZDENCI;MJESNI DOM U MALIM ZDENCIMA;ANTUNA MIHANOVIĆA 77;84;17;17;16;1;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;013;ORLOVAC ZDENAČKI;MJESNI DOM U ORLOVCU ZDENAČKOM;ORLOVAC ZDENAČKI 70A;34;1;1;1;0;1
