Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMAGOJ BALJA;JOSIP BILANDŽIJA;SLAVEN ĐURĐEVIĆ;SINIŠA GLAVAŠ;MARIO JURETIĆ;AIDA SUČIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;014;ROGOŽA;OSNOVNA ŠKOLA;ROGOŽA 54;202;75;75;75;0;1;43;26;2;2;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;015;GAREŠNICA;OSNOVNA ŠKOLA;KOLODVORSKA ULICA 4;295;160;160;159;1;8;116;16;10;5;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;016;VELIKO VUKOVJE;SEOSKI DOM;VELIKO VUKOVJE 146;192;61;61;60;1;4;19;22;4;4;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;017;MALO VUKOVJE;SEOSKI DOM;MALO VUKOVJE 39;96;55;55;55;0;8;43;2;0;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;018;HRASTOVAC;HRVATSKI DOM;TRG ANTE STARČEVIĆA 4;364;161;161;153;8;8;102;33;4;3;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;019;GAREŠNICA;PROSTOR UDRUGE UMIROVLJENIKA;TRG HRVATSKIH BRANITELJA 10;1096;548;548;536;12;17;357;100;20;28;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;020;DUHOVI;OSNOVNA ŠKOLA;DUHOVI 44;79;47;47;44;3;2;26;10;0;5;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;021;ULJANIK;DOM KULTURE;ULJANIK 68;216;91;91;89;2;6;62;15;4;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;022;GORNJI ULJANIK;KUĆA MARICE LEVANIĆ;GORNJI ULJANIK 23;95;38;38;37;1;1;30;2;1;3;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;023;ULJANIČKI BRIJEG;KUĆA ŽELJKA MIKULČIĆA;ULJANIČKI BRIJEG 5;16;10;10;10;0;0;0;1;0;9;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;024;GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21;1072;480;480;471;9;37;309;75;27;17;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;025;KAPELICA;DRUŠTVENI DOM;KAPELICA 105;460;207;207;206;1;15;123;30;2;33;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;026;KAJGANA;VATROGASNI DOM;KAJGANA 39;211;110;110;108;2;2;78;3;3;4;18
