Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, DEMOKRATI, NARODNA STRANKA - REFORMISTI - REFORMISTI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAĐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, HRVATSKA SELJAČKA STRANKA - HSS;DEMOKRATSKI HSS - DHSS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;011;BJELOVAR;IV OSNOVNA ŠKOLA I;POLJANA DR. FRANJE TUĐMANA 1;1323;496;496;477;19;153;13;32;105;123;15;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;012;BJELOVAR;III OSNOVNA ŠKOLA;TOME BAKAČA 11D;1393;596;596;578;18;156;28;47;109;156;24;58
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;013;BJELOVAR;"MO ""A.G.MATOŠ""";JANKA DRAŠKOVIĆA 1B;617;272;271;264;7;63;12;16;72;74;4;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;014;BJELOVAR;DJEČJI VRTIĆ BJELOVAR;TRG ANTUNA GUSTAVA MATOŠA 8A;1114;398;398;385;13;95;9;22;68;154;9;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;015;BJELOVAR;"MO ""STJEPAN RADIĆ""";ANDRIJE MOHOROVIČIĆA 59;1521;687;685;669;16;168;19;68;140;188;20;66
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;016;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUĐMANA 1;1249;543;543;521;22;149;18;43;98;146;10;57
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;017;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 8;669;260;260;252;8;78;6;15;56;73;4;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;018;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 10;1218;547;547;541;6;133;26;48;125;159;11;39
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;019;BJELOVAR;"MO ""BAN J. JELAČIĆ""";RADNIČKO NASELJE PRILAZ II KBR. 3;1196;432;432;414;18;87;36;24;90;163;7;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;020;BJELOVAR;DOM U HRGOVLJANIMA;MIROSLAVA KRLEŽE 187;1231;499;499;491;8;128;13;33;152;137;10;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;021;BJELOVAR;DOM U VELIKIM SREDICAMA;VELIKE SREDICE 100;762;328;328;315;13;68;9;27;93;93;6;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAČKOJ CESTI;KRIŽEVAČKA CESTA 3A;897;371;371;366;5;81;15;38;94;109;9;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;352;158;158;158;0;38;5;19;31;57;3;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;99;46;46;45;1;7;0;6;8;22;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIČKA 61;871;349;349;343;6;106;22;32;53;105;8;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;241;70;70;68;2;16;0;19;15;15;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;326;110;110;108;2;19;5;7;21;46;2;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;77;19;19;19;0;1;1;2;4;11;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;773;256;255;247;8;41;6;6;58;128;5;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOČEVAC;DOM U KLOKOČEVCU;KLOKOČEVAC 86;680;186;186;182;4;35;2;16;54;70;3;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;147;39;39;39;0;2;13;0;9;11;1;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;132;56;56;51;5;22;3;4;3;14;3;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIČANI;"PROSTORIJE MO ""LETIČANI""";LETIČANI 68A;289;95;95;92;3;27;3;13;14;24;4;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;152;67;66;64;2;17;0;3;18;23;1;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;129;44;44;43;1;7;0;4;9;12;1;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;487;214;214;204;10;41;24;29;41;56;2;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;145;51;51;50;1;15;2;3;6;19;2;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;208;91;91;89;2;7;0;4;38;38;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;576;200;200;198;2;42;2;10;75;59;0;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;422;159;159;156;3;29;9;9;23;59;24;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;041;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE 78;497;143;143;141;2;29;2;8;46;53;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;042;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;203;99;99;97;2;4;5;10;43;34;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;043;RAJIĆ;"PROSTORIJE DVD ""RAJIĆ""";RAJIĆ 75;163;39;39;37;2;6;0;3;6;22;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;044;STANČIĆI;DOM U STANČIĆIMA;STANČIĆI 14;79;25;25;24;1;7;0;2;3;10;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;045;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIČKA ULICA 52;545;242;242;239;3;44;23;7;67;76;6;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;046;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI 81;183;61;61;57;4;19;4;4;12;16;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;047;TOMAŠ;DOM U TOMAŠU;TOMAŠ 85;203;66;66;65;1;20;3;4;5;28;2;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;048;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU;ĐURĐEVAČKA CESTA 148;1460;565;565;556;9;146;16;56;117;175;10;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;049;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO 109A;409;173;173;170;3;34;3;13;35;76;2;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;050;ZVIJERCI;DOM U ZVIJERCIMA;ZVIJERCI 77A;1830;611;611;604;7;116;11;83;162;178;10;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;051;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;660;235;235;226;9;41;46;16;50;56;1;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;052;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;554;178;178;171;7;53;18;13;34;42;1;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;001;ČAZMA;DOM KULTURE;TRG ČAZMANSKOG KAPTOLA 13;594;268;268;264;4;59;89;13;46;28;5;24
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;002;ČAZMA;VIJEĆNICA;KRALJA TOMISLAVA 1;352;188;188;184;4;56;50;6;25;10;6;31
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;003;DEREZA;DOM DEREZA;DEREZA 30A;179;68;68;68;0;17;27;5;6;6;1;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;004;BOSILJEVO;DOM BOSILJEVO;BOSILJEVO 18;297;112;112;109;3;37;36;7;13;9;1;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;005;ČAZMA;ZGRADA ŠUMARIJE;M. NOVAČIĆA 48;626;312;312;307;5;72;98;15;54;28;1;39
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;006;ČAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10A;625;277;277;273;4;67;81;15;54;23;3;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;007;SUHAJA;DOM SUHAJA;SUHAJA 95;164;49;49;49;0;9;29;0;4;6;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;008;MILAŠEVAC;DOM MILAŠEVAC;MILAŠEVAC 49A;123;47;47;46;1;12;13;4;4;5;3;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;009;CERINA;DOM CERINA;CERINA 14;88;42;42;42;0;6;22;2;1;0;1;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;010;GRABIK;KUĆA ĐURE KAPELCA;GRABIK 30;42;32;32;30;2;1;9;4;15;1;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;011;GORNJI LIPOVČANI;DOM DVD GORNJI LIPOVČANI;GORNJI LIPOVČANI 30;128;56;56;55;1;8;25;2;9;3;0;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;012;GORNJI DRAGIČEVCI;KUĆA IVANKE FERENČAK;GORNJI DRAGIČEVCI 31;74;29;29;29;0;6;4;1;6;5;3;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;013;DONJI DRAGIČEVCI;KUĆA JADRANKE PAPIĆ;DONJI DRAGIČEVCI 5A;27;19;19;18;1;2;7;2;4;1;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;014;PRNJAROVAC;VATROGASNO SPREMIŠTE;PRNJAROVAC 64;88;42;42;41;1;3;13;5;10;5;2;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;015;DAPCI;VATROGASNI DOM DAPCI;DAPCI 210;158;59;59;59;0;12;13;4;13;8;2;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;016;MARČANI;DOM MARČANI;MARČANI 41;82;32;32;32;0;11;8;0;9;0;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;017;OPĆEVAC;DOM OPĆEVAC;OPĆEVAC 40;246;95;95;89;6;10;20;6;17;22;2;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;018;SOVARI;DOM SOVARI;SOVARI 28;76;24;24;24;0;6;6;0;7;2;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;019;GORNJI DRAGANEC;DOM GORNJI DRAGANEC;GORNJI DRAGANEC 234;321;120;120;118;2;34;39;1;26;7;2;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;020;DONJI DRAGANEC;DOM DONJI DRAGANEC;DONJI DRAGANEC 56;107;50;50;48;2;8;22;1;5;5;2;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;021;SIŠĆANI;DOM SIŠĆANI;SIŠĆANI 101;243;113;113;111;2;33;31;3;31;9;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;022;ZDENČEC;DOM ZDENČEC;ZDENČEC 44;71;47;47;47;0;12;6;6;13;5;0;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;023;BOJANA;DOM BOJANA;BOJANA 67;137;76;76;75;1;13;16;3;31;5;0;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;024;VAGOVINA;DOM VAGOVINA;VAGOVINA 105;314;131;131;129;2;33;21;0;45;12;1;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;025;KOMUŠEVAC;DOM KOMUŠEVAC;KOMUŠEVAC 60;143;74;74;71;3;17;32;8;7;4;1;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;026;POBJENIK;ŠKOLA POBJENIK;POBJENIK 102;209;60;60;58;2;17;15;4;6;6;3;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;027;GRABOVNICA;DRUŠTVENI DOM GRABOVNICA;GRABOVNICA 54;322;144;144;140;4;57;42;4;19;10;1;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;028;GORNJI MIKLOUŠ;ŠKOLA GORNJI MIKLOUŠ;GORNJI MIKLOUŠ 61;90;44;44;44;0;17;13;2;7;4;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;029;DONJI MIKLOUŠ;DOM DONJI MIKLOUŠ;DONJI MIKLOUŠ 144;154;65;65;62;3;17;16;2;15;3;1;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;030;MARTINAC;DOM MARTINAC;MARTINAC 73;66;28;28;28;0;6;7;2;6;5;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;031;NOVO SELO;KUĆA KATE MLINARIĆ;NOVO SELO 18;30;15;15;15;0;9;3;0;1;2;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;032;VUČANI;DOM VUČANI;VUČANI 32;66;24;24;24;0;7;9;1;6;0;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;033;VRTLINSKA;DOM VRTLINSKA;VRTLINSKA 105;148;55;55;50;5;8;22;2;9;2;2;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;034;PAVLIČANI;DOM PAVLIČANI;PAVLIČANI 57;65;47;47;44;3;10;8;1;4;3;3;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4;432;187;187;181;6;52;1;6;72;11;7;32
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;002;DARUVAR;UDRUGA MATICE UMIROVLJENIKA;TRG DR. FRANJE TUĐMANA 4;600;302;301;286;15;90;2;6;107;16;11;54
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;003;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSE FRANKOPANA 80;873;404;404;390;14;100;5;28;157;30;17;53
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;004;DARUVAR;"OSNOVNA  ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;835;375;375;357;18;90;7;13;147;29;15;56
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;005;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;719;335;335;326;9;89;5;18;131;22;10;51
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;006;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;575;277;277;266;11;77;1;9;128;11;4;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;007;DARUVAR;HRVATSKE ŠUME ZAGREB, UPRAVA ŠUMA BJELOVAR - ŠUMARIJA DARUVAR;PETRA ZRINSKOG 1;928;423;423;403;20;107;0;7;206;23;12;48
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;008;DOLJANI;MJESNI DOM DOLJANI;HRVATSKIH BRANITELJA 57;632;321;321;310;11;94;1;9;159;14;11;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;009;DARUVAR;AMBULANTA ZAVODA ZA JAVNO ZDRAVSTVO (HES);PETRA SVAČIĆA 48;646;351;350;333;17;92;2;13;163;14;7;42
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;010;DARUVAR;VIJEĆNICA UDRUŽENJA OBRTNIKA;JOSIPA JELAČIĆA 15;310;167;167;165;2;44;1;11;59;14;8;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;011;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";LJUDEVITA GAJA 24;413;215;214;208;6;78;3;9;81;11;5;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;012;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;676;356;356;341;15;117;6;18;125;22;6;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;013;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;663;317;317;304;13;113;13;14;101;10;8;45
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;014;GORNJI DARUVAR;DOM KULTURE GORNJI DARUVAR;PODBORSKA ULICA 21;340;181;181;176;5;85;2;15;42;6;3;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;015;LJUDEVIT SELO;ČEŠKI DOM LJUDEVIT SELO;LJUDEVIT SELO 15;187;124;124;121;3;66;7;4;24;7;0;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;016;LIPOVAC MAJUR;MJESNI DOM LIPOVAC MAJUR;LIPOVAC MAJUR 6;68;53;53;51;2;13;0;0;35;0;1;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;017;DONJI DARUVAR;VATROGASNI DOM DONJI DARUVAR;MATIJE GUPCA 163;793;375;375;358;17;131;3;11;129;20;12;52
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;ZDENČAC;OSNOVNA ŠKOLA;BANOVAČA 77;353;198;198;188;10;46;3;5;115;7;3;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;002;GAREŠNIČKI BRESTOVAC;HRVATSKI RADNIČKI DOM;BRESTOVAČKA ULICA 72;740;385;385;374;11;110;6;12;203;13;4;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;003;TOMAŠICA;SEOSKI DOM PROSTOR BIVŠE TRGOVINE;TOMAŠICA 127;275;135;135;134;1;35;4;13;57;8;2;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;004;MALI PAŠIJAN;SEOSKI DOM;MALI PAŠIJAN 72;140;59;59;58;1;24;2;1;27;0;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;005;VELIKI PAŠIJAN;SEOSKI DOM;VELIKI PAŠIJAN 73;242;108;108;101;7;43;0;4;42;3;1;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;006;DIŠNIK;SEOSKI DOM;DIŠNIK 58;296;170;170;157;13;43;1;1;92;8;3;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;007;TRNOVITIČKI POPOVAC;MJESNI DOM;TRNOVITIČKI POPOVAC 85;308;149;149;147;2;49;4;23;55;1;0;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;008;VELIKI PROKOP;SEOSKI DOM;VELIKI PROKOP 5 A;29;18;18;18;0;13;0;1;1;1;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;009;VELIKA BRŠLJANICA;OSNOVNA ŠKOLA;VELIKA BRŠLJANICA 71;174;75;75;74;1;40;1;4;12;1;2;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;010;MALA BRŠLJANICA;DRUŠTVENI DOM;VELIKA BRŠLJANICA 46 A;35;19;19;19;0;10;0;0;5;0;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;011;GAREŠNICA;VATROGASNI DOM;UL. MATIJE GUPCA 136;730;336;336;321;15;92;6;22;146;20;13;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;012;KANIŠKA IVA;HRVATSKI SELJAČKI DOM;KANIŠKA IVA 145;355;152;152;147;5;21;11;16;67;14;5;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;013;CIGLENICA;SEOSKI DOM;CIGLENICA 85A;307;117;117;114;3;21;9;8;57;9;6;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;014;ROGOŽA;OSNOVNA ŠKOLA;ROGOŽA 54;202;75;75;74;1;33;2;3;16;2;0;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;015;GAREŠNICA;OSNOVNA ŠKOLA;KOLODVORSKA ULICA 4;295;148;148;143;5;45;1;12;66;1;2;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;016;VELIKO VUKOVJE;SEOSKI DOM;VELIKO VUKOVJE 146;192;61;61;57;4;31;4;1;3;0;2;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;017;MALO VUKOVJE;SEOSKI DOM;MALO VUKOVJE 39;96;44;44;44;0;12;0;4;23;2;0;3
