Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS;IVAN BELJAN;DUBRAVKA DRAGAŠEVIÆ;SANDRA FRÈO;MARKO MARUŠIÆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;015;BJELOVAR;"MO ""STJEPAN RADIÆ""";ANDRIJE MOHOROVIÈIÆA 59;1521;687;685;664;21;242;35;61;80;246
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;016;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUÐMANA 1;1249;543;543;523;20;209;31;41;60;182
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;017;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUÐMANA 8;669;260;260;252;8;100;13;17;23;99
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;018;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUÐMANA 10;1218;547;545;529;16;175;36;49;45;224
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;019;BJELOVAR;"MO ""BAN J. JELAÈIÆ""";RADNIÈKO NASELJE PRILAZ II KBR. 3;1196;432;432;410;22;129;57;42;13;169
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;020;BJELOVAR;DOM U HRGOVLJANIMA;MIROSLAVA KRLEŽE 187;1231;499;499;483;16;171;26;38;21;227
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;021;BJELOVAR;DOM U VELIKIM SREDICAMA;VELIKE SREDICE 100;762;329;329;313;16;95;19;29;22;148
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAÈKOJ CESTI;KRIŽEVAÈKA CESTA 3A;897;371;371;364;7;107;35;41;22;159
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;352;158;158;158;0;58;10;23;10;57
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;99;46;46;44;2;15;3;6;2;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIÈKA 61;871;351;351;343;8;134;31;32;29;117
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;241;70;70;67;3;21;0;19;1;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;326;110;110;107;3;37;9;10;11;40
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;77;19;19;18;1;7;0;2;0;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;773;282;282;272;10;74;11;9;11;167
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOÈEVAC;DOM U KLOKOÈEVCU;KLOKOÈEVAC 86;680;186;186;180;6;63;7;19;3;88
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;147;39;39;39;0;4;15;1;4;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;132;56;56;53;3;31;2;6;2;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIÈANI;"PROSTORIJE MO ""LETIÈANI""";LETIÈANI 68A;289;106;106;99;7;41;2;13;9;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;152;67;67;65;2;31;2;4;1;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;129;48;48;47;1;10;0;5;10;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;487;214;214;203;11;65;31;27;10;70
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;145;51;51;49;2;25;4;5;5;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;208;91;91;90;1;18;1;4;1;66
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;576;200;200;197;3;58;4;17;10;108
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;422;159;159;152;7;54;22;14;4;58
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;041;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE 78;497;155;155;153;2;53;5;9;4;82
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;042;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;203;99;99;97;2;10;7;10;0;70
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;043;RAJIÆ;"PROSTORIJE DVD ""RAJIÆ""";RAJIÆ 75;163;39;39;37;2;15;1;3;1;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;044;STANÈIÆI;DOM U STANÈIÆIMA;STANÈIÆI 14;79;25;25;25;0;10;0;3;1;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;045;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIÈKA ULICA 52;545;242;242;241;1;79;26;8;16;112
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;046;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI 81;183;61;61;59;2;28;6;3;1;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;047;TOMAŠ;DOM U TOMAŠU;TOMAŠ 85;203;66;66;65;1;34;4;5;5;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;048;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU;ÐURÐEVAÈKA CESTA 148;1460;566;566;550;16;216;27;61;42;204
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;049;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO 109A;409;173;173;171;2;56;6;16;18;75
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;050;ZVIJERCI;DOM U ZVIJERCIMA;ZVIJERCI 77A;1830;635;635;616;19;190;23;86;52;265
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;051;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;660;235;235;226;9;50;72;18;13;73
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;052;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;554;178;178;171;7;61;30;20;8;52
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;ÈAZMA;DOM KULTURE;TRG ÈAZMANSKOG KAPTOLA 13;594;268;268;265;3;61;122;7;23;52
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;002;ÈAZMA;VIJEÆNICA;KRALJA TOMISLAVA 1;352;188;188;183;5;62;68;6;20;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;003;DEREZA;DOM DEREZA;DEREZA 30A;179;68;68;68;0;20;28;4;5;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;004;BOSILJEVO;DOM BOSILJEVO;BOSILJEVO 18;297;112;112;108;4;39;48;7;0;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;005;ÈAZMA;ZGRADA ŠUMARIJE;M. NOVAÈIÆA 48;626;312;312;309;3;75;135;8;38;53
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;006;ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10A;625;277;277;267;10;74;96;16;31;50
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;007;SUHAJA;DOM SUHAJA;SUHAJA 95;164;49;49;49;0;12;32;0;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;008;MILAŠEVAC;DOM MILAŠEVAC;MILAŠEVAC 49A;123;47;47;46;1;13;21;1;6;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;009;CERINA;DOM CERINA;CERINA 14;88;42;42;42;0;9;21;2;8;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;010;GRABIK;KUÆA ÐURE KAPELCA;GRABIK 30;42;32;32;30;2;1;11;4;0;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;011;GORNJI LIPOVÈANI;DOM DVD GORNJI LIPOVÈANI;GORNJI LIPOVÈANI 30;128;55;55;54;1;6;29;2;8;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;012;GORNJI DRAGIÈEVCI;KUÆA IVANKE FERENÈAK;GORNJI DRAGIÈEVCI 31;74;29;29;29;0;11;7;2;4;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;013;DONJI DRAGIÈEVCI;KUÆA JADRANKE PAPIÆ;DONJI DRAGIÈEVCI 5A;27;19;19;19;0;6;8;3;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;014;PRNJAROVAC;VATROGASNO SPREMIŠTE;PRNJAROVAC 64;88;42;42;41;1;6;15;8;3;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;015;DAPCI;VATROGASNI DOM DAPCI;DAPCI 210;158;59;59;59;0;11;18;6;8;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;016;MARÈANI;DOM MARÈANI;MARÈANI 41;82;32;32;32;0;12;12;0;0;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;017;OPÆEVAC;DOM OPÆEVAC;OPÆEVAC 40;246;95;95;90;5;12;32;6;15;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;018;SOVARI;DOM SOVARI;SOVARI 28;76;24;24;23;1;8;7;0;2;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;019;GORNJI DRAGANEC;DOM GORNJI DRAGANEC;GORNJI DRAGANEC 234;321;120;120;117;3;35;41;3;11;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;020;DONJI DRAGANEC;DOM DONJI DRAGANEC;DONJI DRAGANEC 56;107;50;50;48;2;8;26;0;6;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;021;SIŠÆANI;DOM SIŠÆANI;SIŠÆANI 101;243;113;113;113;0;26;48;2;3;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;022;ZDENÈEC;DOM ZDENÈEC;ZDENÈEC 44;71;47;47;46;1;15;6;5;6;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;023;BOJANA;DOM BOJANA;BOJANA 67;137;76;76;72;4;14;24;1;5;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;024;VAGOVINA;DOM VAGOVINA;VAGOVINA 105;314;131;131;130;1;41;30;1;12;46
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;025;KOMUŠEVAC;DOM KOMUŠEVAC;KOMUŠEVAC 60;143;74;74;73;1;18;35;6;3;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;026;POBJENIK;ŠKOLA POBJENIK;POBJENIK 102;209;60;60;59;1;14;23;4;12;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;027;GRABOVNICA;DRUŠTVENI DOM GRABOVNICA;GRABOVNICA 54;322;144;144;140;4;58;48;4;5;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;028;GORNJI MIKLOUŠ;ŠKOLA GORNJI MIKLOUŠ;GORNJI MIKLOUŠ 61;90;44;44;44;0;21;15;1;0;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;029;DONJI MIKLOUŠ;DOM DONJI MIKLOUŠ;DONJI MIKLOUŠ 144;154;65;65;62;3;22;17;3;7;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;030;MARTINAC;DOM MARTINAC;MARTINAC 73;66;28;28;27;1;3;8;5;1;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;031;NOVO SELO;KUÆA KATE MLINARIÆ;NOVO SELO 18;30;15;15;15;0;8;4;0;1;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;032;VUÈANI;DOM VUÈANI;VUÈANI 32;66;24;24;23;1;5;11;1;1;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;033;VRTLINSKA;DOM VRTLINSKA;VRTLINSKA 105;148;55;55;53;2;7;27;2;4;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;034;PAVLIÈANI;DOM PAVLIÈANI;PAVLIÈANI 57;65;47;47;43;4;11;12;1;16;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4;432;187;187;178;9;59;0;5;31;83
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;002;DARUVAR;UDRUGA MATICE UMIROVLJENIKA;TRG DR. FRANJE TUÐMANA 4;600;302;301;284;17;104;6;7;52;115
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;003;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSE FRANKOPANA 80;873;404;404;387;17;135;15;32;42;163
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;004;DARUVAR;"OSNOVNA  ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;835;375;375;358;17;112;13;15;49;169
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;005;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;719;335;335;323;12;103;8;16;51;145
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;006;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;575;277;277;266;11;88;4;7;31;136
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;007;DARUVAR;HRVATSKE ŠUME ZAGREB, UPRAVA ŠUMA BJELOVAR - ŠUMARIJA DARUVAR;PETRA ZRINSKOG 1;928;423;423;408;15;119;4;11;49;225
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;008;DOLJANI;MJESNI DOM DOLJANI;HRVATSKIH BRANITELJA 57;632;321;320;306;14;109;5;7;23;162
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;009;DARUVAR;AMBULANTA ZAVODA ZA JAVNO ZDRAVSTVO (HES);PETRA SVAÈIÆA 48;646;351;350;331;19;112;5;12;39;163
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;010;DARUVAR;VIJEÆNICA UDRUŽENJA OBRTNIKA;JOSIPA JELAÈIÆA 15;310;167;167;164;3;63;2;5;22;72
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;011;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";LJUDEVITA GAJA 24;413;215;213;204;9;77;4;7;20;96
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;012;DARUVAR;ÈEŠKI DOM DARUVAR;T. G. MASARYKA 5;676;356;356;338;18;137;6;14;36;145
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;013;DARUVAR;ÈEŠKI DOM DARUVAR;T. G. MASARYKA 5;663;317;317;300;17;121;5;18;47;109
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;014;GORNJI DARUVAR;DOM KULTURE GORNJI DARUVAR;PODBORSKA ULICA 21;340;181;181;176;5;93;3;15;21;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;015;LJUDEVIT SELO;ÈEŠKI DOM LJUDEVIT SELO;LJUDEVIT SELO 15;187;124;124;119;5;70;3;6;11;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;016;LIPOVAC MAJUR;MJESNI DOM LIPOVAC MAJUR;LIPOVAC MAJUR 6;68;53;53;51;2;13;1;0;3;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;017;DONJI DARUVAR;VATROGASNI DOM DONJI DARUVAR;MATIJE GUPCA 163;793;375;375;360;15;145;5;13;55;142
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;ZDENÈAC;OSNOVNA ŠKOLA;BANOVAÈA 77;353;198;198;184;14;55;6;10;8;105
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;002;GAREŠNIÈKI BRESTOVAC;HRVATSKI RADNIÈKI DOM;BRESTOVAÈKA ULICA 72;740;385;384;371;13;128;6;10;25;202
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;003;TOMAŠICA;SEOSKI DOM PROSTOR BIVŠE TRGOVINE;TOMAŠICA 127;275;135;135;131;4;39;5;15;18;54
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;004;MALI PAŠIJAN;SEOSKI DOM;MALI PAŠIJAN 72;140;59;59;57;2;28;1;0;3;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;005;VELIKI PAŠIJAN;SEOSKI DOM;VELIKI PAŠIJAN 73;242;108;108;99;9;57;1;1;4;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;006;DIŠNIK;SEOSKI DOM;DIŠNIK 58;296;170;170;161;9;59;1;1;12;88
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;007;TRNOVITIÈKI POPOVAC;MJESNI DOM;TRNOVITIÈKI POPOVAC 85;308;149;149;144;5;55;4;19;13;53
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;008;VELIKI PROKOP;SEOSKI DOM;VELIKI PROKOP 5 A;29;18;18;18;0;14;0;1;1;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;009;VELIKA BRŠLJANICA;OSNOVNA ŠKOLA;VELIKA BRŠLJANICA 71;174;78;78;77;1;45;3;4;12;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;010;MALA BRŠLJANICA;DRUŠTVENI DOM;VELIKA BRŠLJANICA 46 A;35;19;19;19;0;14;1;0;3;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;011;GAREŠNICA;VATROGASNI DOM;UL. MATIJE GUPCA 136;730;336;336;324;12;112;13;25;20;154
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;012;KANIŠKA IVA;HRVATSKI SELJAÈKI DOM;KANIŠKA IVA 145;355;152;152;148;4;30;12;11;16;79
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;013;CIGLENICA;SEOSKI DOM;CIGLENICA 85A;307;117;117;112;5;33;11;8;3;57
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;014;ROGOŽA;OSNOVNA ŠKOLA;ROGOŽA 54;202;75;75;72;3;38;1;4;13;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;015;GAREŠNICA;OSNOVNA ŠKOLA;KOLODVORSKA ULICA 4;295;147;147;143;4;49;2;14;13;65
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;016;VELIKO VUKOVJE;SEOSKI DOM;VELIKO VUKOVJE 146;192;61;61;55;6;35;4;1;11;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;017;MALO VUKOVJE;SEOSKI DOM;MALO VUKOVJE 39;96;53;53;53;0;18;0;3;2;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;018;HRASTOVAC;HRVATSKI DOM;TRG ANTE STARÈEVIÆA 4;364;161;161;153;8;53;3;6;25;66
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;019;GAREŠNICA;PROSTOR UDRUGE UMIROVLJENIKA;TRG HRVATSKIH BRANITELJA 10;1096;548;548;528;20;174;18;19;70;247
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;020;DUHOVI;OSNOVNA ŠKOLA;DUHOVI 44;79;47;47;44;3;23;2;4;6;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;021;ULJANIK;DOM KULTURE;ULJANIK 68;216;91;91;87;4;31;3;10;10;33
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;022;GORNJI ULJANIK;KUÆA MARICE LEVANIÆ;GORNJI ULJANIK 23;95;38;38;36;2;19;0;1;1;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;023;ULJANIÈKI BRIJEG;KUÆA ŽELJKA MIKULÈIÆA;ULJANIÈKI BRIJEG 5;16;10;10;9;1;3;0;1;4;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;024;GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21;1072;477;477;456;21;170;15;39;46;186
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;025;KAPELICA;DRUŠTVENI DOM;KAPELICA 105;460;207;207;202;5;84;11;17;22;68
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;026;KAJGANA;VATROGASNI DOM;KAJGANA 39;211;110;110;106;4;61;0;1;2;42
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;IVANA NEPOMUKA JEMERŠIÆA 1;561;298;298;282;16;99;2;11;26;144
