Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SAŠA LUKIĆ;DRAGIŠA ŽUTINIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAČKOJ CESTI;KRIŽEVAČKA CESTA 3A;31;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;8;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;6;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIČKA 61;47;6;6;6;0;6;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;48;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;9;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOČEVAC;DOM U KLOKOČEVCU;KLOKOČEVAC 86;17;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;7;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;10;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIČANI;"PROSTORIJE MO ""LETIČANI""";LETIČANI 68A;12;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;24;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;23;4;4;4;0;4;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;24;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;29;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;16;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;8;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;041;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE 78;50;3;3;3;0;3;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;042;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;6;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;043;RAJIĆ;"PROSTORIJE DVD ""RAJIĆ""";RAJIĆ 75;8;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;044;STANČIĆI;DOM U STANČIĆIMA;STANČIĆI 14;4;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;045;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIČKA ULICA 52;48;3;3;3;0;2;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;046;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI 81;20;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;047;TOMAŠ;DOM U TOMAŠU;TOMAŠ 85;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;048;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU;ĐURĐEVAČKA CESTA 148;50;3;3;3;0;3;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;049;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO 109A;34;6;6;6;0;6;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;050;ZVIJERCI;DOM U ZVIJERCIMA;ZVIJERCI 77A;46;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;051;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;29;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;052;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;29;1;1;1;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;001;ČAZMA;DOM KULTURE;TRG ČAZMANSKOG KAPTOLA 13;10;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;002;ČAZMA;VIJEĆNICA;KRALJA TOMISLAVA 1;16;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;003;DEREZA;DOM DEREZA;DEREZA 30A;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;004;BOSILJEVO;DOM BOSILJEVO;BOSILJEVO 18;7;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;005;ČAZMA;ZGRADA ŠUMARIJE;M. NOVAČIĆA 48;10;1;1;1;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;006;ČAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10A;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;007;SUHAJA;DOM SUHAJA;SUHAJA 95;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;008;MILAŠEVAC;DOM MILAŠEVAC;MILAŠEVAC 49A;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;009;CERINA;DOM CERINA;CERINA 14;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;010;GRABIK;KUĆA ĐURE KAPELCA;GRABIK 30;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;011;GORNJI LIPOVČANI;DOM DVD GORNJI LIPOVČANI;GORNJI LIPOVČANI 30;7;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;012;GORNJI DRAGIČEVCI;KUĆA IVANKE FERENČAK;GORNJI DRAGIČEVCI 31;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;013;DONJI DRAGIČEVCI;KUĆA JADRANKE PAPIĆ;DONJI DRAGIČEVCI 5A;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;014;PRNJAROVAC;VATROGASNO SPREMIŠTE;PRNJAROVAC 64;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;015;DAPCI;VATROGASNI DOM DAPCI;DAPCI 210;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;016;MARČANI;DOM MARČANI;MARČANI 41;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;017;OPĆEVAC;DOM OPĆEVAC;OPĆEVAC 40;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;018;SOVARI;DOM SOVARI;SOVARI 28;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;019;GORNJI DRAGANEC;DOM GORNJI DRAGANEC;GORNJI DRAGANEC 234;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;020;DONJI DRAGANEC;DOM DONJI DRAGANEC;DONJI DRAGANEC 56;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;021;SIŠĆANI;DOM SIŠĆANI;SIŠĆANI 101;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;022;ZDENČEC;DOM ZDENČEC;ZDENČEC 44;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;023;BOJANA;DOM BOJANA;BOJANA 67;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;024;VAGOVINA;DOM VAGOVINA;VAGOVINA 105;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;025;KOMUŠEVAC;DOM KOMUŠEVAC;KOMUŠEVAC 60;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;026;POBJENIK;ŠKOLA POBJENIK;POBJENIK 102;3;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;027;GRABOVNICA;DRUŠTVENI DOM GRABOVNICA;GRABOVNICA 54;8;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;028;GORNJI MIKLOUŠ;ŠKOLA GORNJI MIKLOUŠ;GORNJI MIKLOUŠ 61;3;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;029;DONJI MIKLOUŠ;DOM DONJI MIKLOUŠ;DONJI MIKLOUŠ 144;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;030;MARTINAC;DOM MARTINAC;MARTINAC 73;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;031;NOVO SELO;KUĆA KATE MLINARIĆ;NOVO SELO 18;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;032;VUČANI;DOM VUČANI;VUČANI 32;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;033;VRTLINSKA;DOM VRTLINSKA;VRTLINSKA 105;1;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ČAZMA;034;PAVLIČANI;DOM PAVLIČANI;PAVLIČANI 57;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4;53;5;5;4;1;4;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;002;DARUVAR;UDRUGA MATICE UMIROVLJENIKA;TRG DR. FRANJE TUĐMANA 4;104;16;16;15;1;14;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;003;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSE FRANKOPANA 80;119;24;24;24;0;24;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;004;DARUVAR;"OSNOVNA  ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;122;41;41;40;1;38;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;005;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;94;16;16;16;0;15;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;006;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KRSTE FRANKOPANA 80;100;31;30;29;1;27;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;007;DARUVAR;HRVATSKE ŠUME ZAGREB, UPRAVA ŠUMA BJELOVAR - ŠUMARIJA DARUVAR;PETRA ZRINSKOG 1;108;22;22;22;0;20;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;008;DOLJANI;MJESNI DOM DOLJANI;HRVATSKIH BRANITELJA 57;29;1;1;1;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;009;DARUVAR;AMBULANTA ZAVODA ZA JAVNO ZDRAVSTVO (HES);PETRA SVAČIĆA 48;65;13;13;13;0;10;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;010;DARUVAR;VIJEĆNICA UDRUŽENJA OBRTNIKA;JOSIPA JELAČIĆA 15;30;6;6;5;1;5;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;011;DARUVAR;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";LJUDEVITA GAJA 24;48;16;15;15;0;13;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;012;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;84;27;27;26;1;26;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;013;DARUVAR;ČEŠKI DOM DARUVAR;T. G. MASARYKA 5;64;12;12;12;0;11;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;014;GORNJI DARUVAR;DOM KULTURE GORNJI DARUVAR;PODBORSKA ULICA 21;55;22;22;22;0;18;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;015;LJUDEVIT SELO;ČEŠKI DOM LJUDEVIT SELO;LJUDEVIT SELO 15;5;1;1;1;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;016;LIPOVAC MAJUR;MJESNI DOM LIPOVAC MAJUR;LIPOVAC MAJUR 6;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;017;DONJI DARUVAR;VATROGASNI DOM DONJI DARUVAR;MATIJE GUPCA 163;72;31;31;30;1;28;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;ZDENČAC;OSNOVNA ŠKOLA;BANOVAČA 77;11;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;002;GAREŠNIČKI BRESTOVAC;HRVATSKI RADNIČKI DOM;BRESTOVAČKA ULICA 72;27;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;003;TOMAŠICA;SEOSKI DOM PROSTOR BIVŠE TRGOVINE;TOMAŠICA 127;4;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;004;MALI PAŠIJAN;SEOSKI DOM;MALI PAŠIJAN 72;19;1;1;1;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;005;VELIKI PAŠIJAN;SEOSKI DOM;VELIKI PAŠIJAN 73;6;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;006;DIŠNIK;SEOSKI DOM;DIŠNIK 58;57;7;7;7;0;6;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;007;TRNOVITIČKI POPOVAC;MJESNI DOM;TRNOVITIČKI POPOVAC 85;65;5;5;5;0;3;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;008;VELIKI PROKOP;SEOSKI DOM;VELIKI PROKOP 5 A;26;16;16;16;0;15;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;009;VELIKA BRŠLJANICA;OSNOVNA ŠKOLA;VELIKA BRŠLJANICA 71;91;37;37;36;1;36;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;010;MALA BRŠLJANICA;DRUŠTVENI DOM;VELIKA BRŠLJANICA 46 A;16;7;7;7;0;7;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;011;GAREŠNICA;VATROGASNI DOM;UL. MATIJE GUPCA 136;24;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;012;KANIŠKA IVA;HRVATSKI SELJAČKI DOM;KANIŠKA IVA 145;4;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;013;CIGLENICA;SEOSKI DOM;CIGLENICA 85A;7;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;014;ROGOŽA;OSNOVNA ŠKOLA;ROGOŽA 54;108;31;31;31;0;30;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;015;GAREŠNICA;OSNOVNA ŠKOLA;KOLODVORSKA ULICA 4;34;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;016;VELIKO VUKOVJE;SEOSKI DOM;VELIKO VUKOVJE 146;73;13;13;13;0;12;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;017;MALO VUKOVJE;SEOSKI DOM;MALO VUKOVJE 39;7;1;1;1;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;018;HRASTOVAC;HRVATSKI DOM;TRG ANTE STARČEVIĆA 4;8;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;019;GAREŠNICA;PROSTOR UDRUGE UMIROVLJENIKA;TRG HRVATSKIH BRANITELJA 10;96;13;13;13;0;13;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;020;DUHOVI;OSNOVNA ŠKOLA;DUHOVI 44;22;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;021;ULJANIK;DOM KULTURE;ULJANIK 68;44;6;6;6;0;6;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;022;GORNJI ULJANIK;KUĆA MARICE LEVANIĆ;GORNJI ULJANIK 23;9;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;023;ULJANIČKI BRIJEG;KUĆA ŽELJKA MIKULČIĆA;ULJANIČKI BRIJEG 5;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;024;GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21;110;11;11;11;0;11;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;025;KAPELICA;DRUŠTVENI DOM;KAPELICA 105;9;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;026;KAJGANA;VATROGASNI DOM;KAJGANA 39;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUĐMAN;IVANA NEPOMUKA JEMERŠIĆA 1;53;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;002;GRUBIŠNO POLJE;MATICA UMIROVLJENIKA GRUBIŠNO POLJE;ULICA 4. STUDENI 1991. KBR.1A;59;4;4;4;0;4;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;003;GRUBIŠNO POLJE;"SREDNJA ŠKOLA ""BARTOLA KAŠIĆA""";BARTOLA KAŠIĆA 1;65;6;6;6;0;6;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;004;GRUBIŠNO POLJE;MJESNI DOM U GRUBIŠNOM POLJU;KRALJA ZVONIMIRA 75.;35;7;7;7;0;6;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;005;POLJANI;VATROGASNI DOM U POLJANIMA;POLJANI 66;4;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;006;DONJA RAŠENICA;VATROGASNI DOM U DONJOJ RAŠENICI;DONJA RAŠENICA 59;26;9;9;8;1;8;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;007;IVANOVO SELO;MJESNI DOM U IVANOVOM SELU;PRAŠKA 5;4;1;1;1;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;008;RASTOVAC;LOVAČKI DOM U RASTOVCU;RASTOVAC 46;18;2;2;2;0;2;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;009;TREGLAVA;MJESNI DOM U TREGLAVI;TREGLAVA 2;2;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;010;VELIKI ZDENCI;MJESNI DOM U VELIKIM ZDENCIMA;MATE LOVRAKA 115;31;5;5;5;0;4;1
