Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;CENTAR, DEMOKRATI;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAĐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, HRVATSKA SELJAČKA STRANKA - HSS;DEMOKRATSKI HSS - DHSS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;011;BJELOVAR;IV OSNOVNA ŠKOLA I;POLJANA DR. FRANJE TUĐMANA 1;1323;496;496;487;9;46;92;11;32;73;192;17;24
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;012;BJELOVAR;III OSNOVNA ŠKOLA;TOME BAKAČA 11D;1393;596;596;582;14;56;87;8;47;74;236;28;46
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;013;BJELOVAR;"MO ""A.G.MATOŠ""";JANKA DRAŠKOVIĆA 1B;617;272;271;265;6;26;33;8;18;51;109;4;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;014;BJELOVAR;DJEČJI VRTIĆ BJELOVAR;TRG ANTUNA GUSTAVA MATOŠA 8A;1114;398;398;389;9;22;65;7;19;54;186;8;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;015;BJELOVAR;"MO ""STJEPAN RADIĆ""";ANDRIJE MOHOROVIČIĆA 59;1521;687;685;664;21;57;120;9;72;97;244;19;46
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;016;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUĐMANA 1;1249;543;543;529;14;58;107;7;51;75;177;7;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;017;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 8;669;260;260;256;4;21;52;5;16;35;109;3;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;018;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 10;1218;546;545;540;5;61;74;7;39;66;254;14;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;019;BJELOVAR;"MO ""BAN J. JELAČIĆ""";RADNIČKO NASELJE PRILAZ II KBR. 3;1196;432;432;414;18;8;66;10;30;64;216;9;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;020;BJELOVAR;DOM U HRGOVLJANIMA;MIROSLAVA KRLEŽE 187;1231;499;499;490;9;27;88;12;39;84;205;12;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;021;BJELOVAR;DOM U VELIKIM SREDICAMA;VELIKE SREDICE 100;762;328;328;320;8;4;41;4;34;72;137;9;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAČKOJ CESTI;KRIŽEVAČKA CESTA 3A;897;371;371;366;5;20;53;10;38;59;162;7;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;352;158;158;158;0;7;31;2;20;24;65;3;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;99;46;46;44;2;0;8;0;2;6;27;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIČKA 61;871;349;349;342;7;13;86;10;31;43;145;5;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;241;70;70;68;2;4;13;0;16;8;24;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;326;110;110;108;2;4;13;1;9;18;55;1;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;77;19;19;18;1;0;2;0;1;0;15;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;773;255;255;252;3;3;32;1;10;51;148;4;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOČEVAC;DOM U KLOKOČEVCU;KLOKOČEVAC 86;680;186;186;180;6;4;28;2;15;41;85;2;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;147;39;39;39;0;0;2;13;1;4;17;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;132;56;56;52;4;1;23;1;5;4;13;3;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIČANI;"PROSTORIJE MO ""LETIČANI""";LETIČANI 68A;289;95;95;91;4;7;13;0;16;12;33;3;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;152;67;67;66;1;4;14;3;6;14;23;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;129;44;44;43;1;1;5;1;3;7;16;1;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;487;214;214;207;7;11;34;2;25;37;92;1;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;145;51;51;51;0;1;19;0;2;5;19;2;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;208;91;91;89;2;2;6;1;4;15;60;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;576;200;200;197;3;4;25;0;14;60;80;1;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;422;159;159;155;4;2;19;3;11;15;80;23;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;041;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE 78;497;143;143;140;3;1;25;1;9;35;66;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;042;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;203;99;99;98;1;3;4;1;12;33;45;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;043;RAJIĆ;"PROSTORIJE DVD ""RAJIĆ""";RAJIĆ 75;163;39;39;38;1;1;5;0;0;2;29;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;044;STANČIĆI;DOM U STANČIĆIMA;STANČIĆI 14;79;25;25;24;1;2;5;0;1;2;12;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;045;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIČKA ULICA 52;545;242;242;242;0;9;31;9;10;37;131;4;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;046;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI 81;183;61;61;59;2;1;13;1;3;10;29;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;047;TOMAŠ;DOM U TOMAŠU;TOMAŠ 85;203;66;66;65;1;3;15;1;6;4;31;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;048;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU;ĐURĐEVAČKA CESTA 148;1460;565;565;555;10;42;104;15;54;84;210;12;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;049;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO 109A;409;173;173;171;2;2;31;0;11;20;102;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;050;ZVIJERCI;DOM U ZVIJERCIMA;ZVIJERCI 77A;1830;609;609;602;7;35;81;9;66;98;269;9;35
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;051;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;660;235;235;227;8;11;34;24;15;37;91;3;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;052;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;554;178;178;172;6;7;29;1;10;27;89;2;7
