Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STJEPAN KOVAČ;LJERKA CIVIDINI
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;017;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA A;TRG PAPE IVANA PAVLA II. 1;687;289;289;287;2;109;178
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;018;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA B;TRG PAPE IVANA PAVLA II. 1;1185;537;537;530;7;182;348
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;019;IVANOVEC;ZGRADA DOMA KULTURE;ZAGREBAČKA 30;1030;273;273;271;2;117;154
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;020;IVANOVEC;ZGRADA VATROGASNOG DOMA GORNJI VIDOVEC - IVANOVEC;ULICA GORNJI VIDOVEC 10;731;251;251;247;4;92;155
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;021;MIHOVLJAN;ZGRADA DRUŠTVENOG  DOMA;PRVOMAJSKA ULICA 92;1237;527;527;523;4;165;358
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;022;NOVO SELO ROK;ZGRADA DRUŠTVENOG DOMA;MARŠALA TITA 49;1234;426;426;420;6;248;172
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;023;KRIŠTANOVEC;ZGRADA DRUŠTVENOG DOMA;KRIŠTANOVEC 122A;529;208;208;207;1;71;136
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;024;MAČKOVEC;ZGRADA DRUŠTVENOG DOMA;TRG SV. PETRA I PAVLA 2;1113;492;492;490;2;254;236
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;025;SLEMENICE;ZGRADA DRUŠTVENOG DOMA;SLEMENICE 10D;206;91;91;91;0;33;58
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;026;ŽIŠKOVEC;ZGRADA DRUŠTVENOG DOMA;ŽIŠKOVEC 3B;449;171;171;169;2;97;72
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;027;KURŠANEC;ZGRADA DRUŠTVENOG DOMA;GLAVNA ULICA 104;449;137;136;134;2;70;64
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;028;KURŠANEC;ROMSKI OBITELJSKI CENTAR;VARAŽDINSKA 2;684;426;426;425;1;420;5
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;029;NOVO SELO NA DRAVI;ZGRADA DRUŠTVENOG DOMA;PRVOMAJSKA ULICA 12;502;162;162;160;2;96;64
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;030;SAVSKA VES;ZGRADA DRUŠTVENOG DOMA;J.BAJKOVCA 93A;1085;451;451;450;1;193;257
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;031;ŠANDOROVEC;ZGRADA DRUŠTVENOG DOMA;ULICA VLADIMIRA NAZORA 2;279;115;115;115;0;72;43
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;032;TOTOVEC;ZGRADA DRUŠTVENOG DOMA;ULICA DR. VLADIMIRA BAKARIĆA 35;418;130;130;127;3;53;74
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;033;ŠTEFANEC;ZGRADA VIŠENAMJENSKE DVORANE;ULICA NIKOLE TESLE 1A;595;236;236;233;3;117;116
