Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LJERKA CIVIDINI;STJEPAN KOVAČ;SREĆKO KRIŠTOFIĆ;TOMISLAV MARKOVIĆ;MARIO MARUŠEVAC;DARKO ZVER
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;021;MIHOVLJAN;ZGRADA DRUŠTVENOG  DOMA;PRVOMAJSKA ULICA 92;1237;623;623;615;8;185;205;32;47;9;137
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;022;NOVO SELO ROK;ZGRADA DRUŠTVENOG DOMA;MARŠALA TITA 49;1234;518;517;512;5;98;285;11;41;11;66
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;023;KRIŠTANOVEC;ZGRADA DRUŠTVENOG DOMA;KRIŠTANOVEC 122A;529;321;321;315;6;124;139;6;7;3;36
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;024;MAČKOVEC;ZGRADA DRUŠTVENOG DOMA;TRG SV. PETRA I PAVLA 2;1113;544;544;535;9;161;260;22;47;4;41
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;025;SLEMENICE;ZGRADA DRUŠTVENOG DOMA;SLEMENICE 10D;206;124;124;122;2;42;58;5;6;0;11
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;026;ŽIŠKOVEC;ZGRADA DRUŠTVENOG DOMA;ŽIŠKOVEC 3B;448;185;185;185;0;62;93;9;10;3;8
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;027;KURŠANEC;ZGRADA DRUŠTVENOG DOMA;GLAVNA ULICA 104;449;171;170;162;8;40;87;10;12;3;10
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;028;KURŠANEC;ROMSKI OBITELJSKI CENTAR;VARAŽDINSKA 2;684;286;285;273;12;3;265;2;2;1;0
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;029;NOVO SELO NA DRAVI;ZGRADA DRUŠTVENOG DOMA;PRVOMAJSKA ULICA 12;503;213;213;207;6;33;135;2;7;9;21
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;030;SAVSKA VES;ZGRADA DRUŠTVENOG DOMA;J.BAJKOVCA 93A;1085;505;505;499;6;135;211;20;39;5;89
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;031;ŠANDOROVEC;ZGRADA DRUŠTVENOG DOMA;ULICA VLADIMIRA NAZORA 2;279;131;131;129;2;33;82;1;4;0;9
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;032;TOTOVEC;ZGRADA DRUŠTVENOG DOMA;ULICA DR. VLADIMIRA BAKARIĆA 35;418;133;133;128;5;37;53;4;19;1;14
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;033;ŠTEFANEC;ZGRADA VIŠENAMJENSKE DVORANE;ULICA NIKOLE TESLE 1A;595;277;277;270;7;63;138;5;20;2;42
