Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BRANKO DUKIÆ;MARKO VUÈETIÆ
13;ZADARSKA ŽUPANIJA;grad;ZADAR;042;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIÆ"" ZADAR";TRG PETRA PRERADOVIÆA 1;1040;447;447;438;9;184;254
13;ZADARSKA ŽUPANIJA;grad;ZADAR;043;PREMUDA;PROSTORIJE OSNOVNE ŠKOLE (U PRIZEMLJU);PREMUDA;112;46;46;43;3;14;29
13;ZADARSKA ŽUPANIJA;grad;ZADAR;044;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A.G. MATOŠA 40;1242;497;497;480;17;259;221
13;ZADARSKA ŽUPANIJA;grad;ZADAR;045;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1184;413;413;404;9;204;200
13;ZADARSKA ŽUPANIJA;grad;ZADAR;046;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1235;502;502;482;20;248;234
13;ZADARSKA ŽUPANIJA;grad;ZADAR;047;RAVA;OSNOVNA ŠKOLA RAVA;RAVA;116;72;72;71;1;44;27
13;ZADARSKA ŽUPANIJA;grad;ZADAR;048;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;940;351;350;343;7;188;155
13;ZADARSKA ŽUPANIJA;grad;ZADAR;049;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;1107;374;374;362;12;208;154
13;ZADARSKA ŽUPANIJA;grad;ZADAR;050;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;950;341;341;333;8;199;134
13;ZADARSKA ŽUPANIJA;grad;ZADAR;051;SILBA;OSNOVNA ŠKOLA ZADARSKI OTOCI;SILBA;410;179;179;177;2;78;99
13;ZADARSKA ŽUPANIJA;grad;ZADAR;052;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1115;372;372;368;4;272;96
13;ZADARSKA ŽUPANIJA;grad;ZADAR;053;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1013;249;249;246;3;143;103
13;ZADARSKA ŽUPANIJA;grad;ZADAR;054;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1172;481;481;464;17;275;189
13;ZADARSKA ŽUPANIJA;grad;ZADAR;055;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;942;322;322;316;6;193;123
13;ZADARSKA ŽUPANIJA;grad;ZADAR;056;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1224;383;383;373;10;229;144
13;ZADARSKA ŽUPANIJA;grad;ZADAR;057;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1231;563;563;551;12;391;160
13;ZADARSKA ŽUPANIJA;grad;ZADAR;058;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;972;406;406;401;5;284;117
13;ZADARSKA ŽUPANIJA;grad;ZADAR;059;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1308;530;530;517;13;338;179
13;ZADARSKA ŽUPANIJA;grad;ZADAR;060;VELI IŽ;OSNOVNA ŠKOLA U VELOM IŽU;VELI IŽ;432;180;180;178;2;100;78
13;ZADARSKA ŽUPANIJA;grad;ZADAR;061;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;780;262;261;256;5;124;132
13;ZADARSKA ŽUPANIJA;grad;ZADAR;062;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;1043;374;374;365;9;241;124
13;ZADARSKA ŽUPANIJA;grad;ZADAR;063;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1021;411;410;396;14;171;225
13;ZADARSKA ŽUPANIJA;grad;ZADAR;064;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1015;395;395;378;17;129;249
13;ZADARSKA ŽUPANIJA;grad;ZADAR;065;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;927;368;368;359;9;165;194
13;ZADARSKA ŽUPANIJA;grad;ZADAR;066;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1155;468;468;461;7;200;261
13;ZADARSKA ŽUPANIJA;grad;ZADAR;067;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAÈKA 12;858;321;321;315;6;185;130
13;ZADARSKA ŽUPANIJA;grad;ZADAR;068;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAÈKA 12;669;252;252;247;5;122;125
13;ZADARSKA ŽUPANIJA;grad;ZADAR;069;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAÈKA 12;669;250;250;247;3;104;143
13;ZADARSKA ŽUPANIJA;grad;ZADAR;070;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAÈKA 12;568;220;220;214;6;103;111
13;ZADARSKA ŽUPANIJA;grad;ZADAR;071;ZAPUNTEL;DOM MLADEŽI ZAPUNTEL;ZAPUNTEL;65;27;27;27;0;13;14
