Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BOŽIDAR LONGIN;IVICA ŽUVELA
13;ZADARSKA ŽUPANIJA;grad;NIN;002;NIN;DOM KULTURE;NIN;1213;274;274;272;2;122;150
13;ZADARSKA ŽUPANIJA;grad;NIN;003;NINSKI STANOVI;"OŠ ""PETAR ZORANIÆ"" NIN PODRUÈNA ŠKOLA NINSKI STANOVI";NINSKI STANOVI;328;54;54;53;1;34;19
13;ZADARSKA ŽUPANIJA;grad;NIN;004;POLJICA BRIG;MJESNI ODBOR POLJICA BRIG;POLJICA BRIG;261;62;62;61;1;25;36
13;ZADARSKA ŽUPANIJA;grad;NIN;005;ZATON;"OŠ ""PETAR ZORANIÆ"" NIN PODRUÈNA ŠKOLA U ZATONU";ZATON;652;97;97;97;0;63;34
13;ZADARSKA ŽUPANIJA;grad;NIN;006;ŽERAVA;"OŠ ""BARTUL KAŠIÆ"" ZADAR PODRUÈNA ŠKOLA ŽERAVA";ŽERAVA;132;33;33;33;0;23;10
13;ZADARSKA ŽUPANIJA;grad;NIN;007;ŽERAVA-POLJACI;"PROSTORIJE TVRTKE ""NAJAM""";ŽERAVA-POLJACI KBR 19;63;12;12;11;1;6;5
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;001;OBROVAC;SREDNJA ŠKOLA U OBROVCU;OBROVAC;867;194;194;192;2;115;77
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;002;KRUŠEVO;OSNOVNA ŠKOLA U KRUŠEVU;KRUŠEVO;1359;331;331;329;2;228;101
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;003;GORNJI KARIN;OSNOVNA ŠKOLA U GORNJEM KARINU;GORNJI KARIN;1347;220;220;217;3;127;90
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;004;BILIŠANE;MJESNI ODBOR BILIŠANE;BILIŠANE;430;65;65;65;0;58;7
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;005;ŽEGAR;OSNOVNA ŠKOLA U ŽEGARU;ŽEGAR;776;45;45;45;0;31;14
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;006;KRUPA;OSNOVNA ŠKOLA  KRUPA;KRUPA;167;22;22;22;0;19;3
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;007;GOLUBIÆ;OSNOVNA ŠKOLA U GOLUBIÆU;GOLUBIÆ;210;52;52;52;0;44;8
13;ZADARSKA ŽUPANIJA;grad;OBROVAC;008;MUŠKOVCI;ZGRADA  RHE VELEBIT;MUŠKOVCI;228;15;15;15;0;12;3
13;ZADARSKA ŽUPANIJA;grad;PAG;001;PAG;PAG - MALA SPORTSKA DVORANA OŠ;ANTE STARÈEVIÆA 12;603;121;121;121;0;86;35
13;ZADARSKA ŽUPANIJA;grad;PAG;002;PAG;PAG - VELIKA SPORTSKA DVORANA OŠ;VUKOVARSKA ULICA B.B.;962;178;178;174;4;114;60
13;ZADARSKA ŽUPANIJA;grad;PAG;003;PAG;PAG - PROSTORIJE KNEŽEVOG DVORA;TRG KRALJA PETRA KREŠIMIRA IV;787;176;176;171;5;101;70
13;ZADARSKA ŽUPANIJA;grad;PAG;004;GORICA;GORICA -PROSTORIJE DOMA;GORICA;81;18;18;18;0;7;11
13;ZADARSKA ŽUPANIJA;grad;PAG;005;DINJIŠKA;OSNOVNA ŠKOLA JURJA DALMATINCA - PODRUÈNA ŠKOLA DINJIŠKA;ZADARSKA 1;270;52;52;52;0;40;12
13;ZADARSKA ŽUPANIJA;grad;PAG;006;VLAŠIÆI;MJESNI ODBOR VLAŠIÆI;VLAŠIÆI;255;72;72;70;2;61;9
13;ZADARSKA ŽUPANIJA;grad;PAG;007;ŠIMUNI;TD ŠIMUNI;ŠIMUNI;142;25;25;24;1;14;10
13;ZADARSKA ŽUPANIJA;grad;ZADAR;001;ARBANASI;MJESNI ODBOR ARBANASI;TRG GOSPE LORETSKE 1;898;371;371;357;14;195;162
13;ZADARSKA ŽUPANIJA;grad;ZADAR;002;ARBANASI;MJESNI ODBOR ARBANASI - PROSTORIJA VRTIÆA;TRG GOSPE LORETSKE 1;1035;493;492;476;16;261;215
13;ZADARSKA ŽUPANIJA;grad;ZADAR;003;BILI BRIG;GRADSKA KNJIŽNICA;PUT PUDARICE 15;1327;559;559;548;11;215;333
13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BILI BRIG;"OSNOVNA ŠKOLA  ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1179;494;494;479;15;191;288
13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1202;473;473;453;20;166;287
13;ZADARSKA ŽUPANIJA;grad;ZADAR;006;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1196;396;396;374;22;228;146
13;ZADARSKA ŽUPANIJA;grad;ZADAR;007;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1217;454;454;448;6;222;226
13;ZADARSKA ŽUPANIJA;grad;ZADAR;008;BOKANJAC;MJESNI ODBOR BOKANJAC;TRG SV. ŠIME I TADIJE 1;1267;471;471;465;6;198;267
13;ZADARSKA ŽUPANIJA;grad;ZADAR;009;BRGULJE;MJESNI ODBOR BRGULJE;BRGULJE;80;48;48;47;1;22;25
13;ZADARSKA ŽUPANIJA;grad;ZADAR;010;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1136;463;463;451;12;140;311
13;ZADARSKA ŽUPANIJA;grad;ZADAR;011;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1152;459;459;443;16;154;289
13;ZADARSKA ŽUPANIJA;grad;ZADAR;012;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1228;517;517;504;13;151;353
13;ZADARSKA ŽUPANIJA;grad;ZADAR;013;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1342;518;518;506;12;208;298
13;ZADARSKA ŽUPANIJA;grad;ZADAR;014;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1303;418;418;411;7;134;277
13;ZADARSKA ŽUPANIJA;grad;ZADAR;015;CRNO;OSNOVNA ŠKOLA U CRNOM;CRNO, CRNO 169;563;255;255;249;6;154;95
13;ZADARSKA ŽUPANIJA;grad;ZADAR;016;CRVENE KUÆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;935;296;296;290;6;153;137
13;ZADARSKA ŽUPANIJA;grad;ZADAR;017;CRVENE KUÆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1167;452;452;439;13;224;215
13;ZADARSKA ŽUPANIJA;grad;ZADAR;018;DIKLO;OSNOVNA ŠKOLA  DIKLO;ŠPALETINA 1;834;366;366;358;8;120;238
13;ZADARSKA ŽUPANIJA;grad;ZADAR;019;DIKLO;OSNOVNA ŠKOLA DIKLO;ŠPALETINA 1;816;317;317;311;6;131;180
13;ZADARSKA ŽUPANIJA;grad;ZADAR;020;DRAÈEVAC ZADARSKI;TRG ISPRED CRKVE UZNESENJA BLAŽENE DJEVICE MARIJE U DRAÈEVCU;DRAÈEVAC;201;117;117;115;2;65;50
13;ZADARSKA ŽUPANIJA;grad;ZADAR;021;IST;OSNOVNA ŠKOLA ZADARSKI OTOCI;IST;228;106;106;104;2;38;66
13;ZADARSKA ŽUPANIJA;grad;ZADAR;022;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;902;383;383;373;10;102;271
13;ZADARSKA ŽUPANIJA;grad;ZADAR;023;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;1028;435;435;426;9;175;251
13;ZADARSKA ŽUPANIJA;grad;ZADAR;024;JAZINE I;SREDNJOŠKOLSKI ÐAÈKI DOM U ZADRU;OBALA KNEZA BRANIMIRA 10 A;693;297;297;288;9;96;192
13;ZADARSKA ŽUPANIJA;grad;ZADAR;025;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;1077;405;405;393;12;171;222
13;ZADARSKA ŽUPANIJA;grad;ZADAR;026;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;979;310;310;302;8;116;186
13;ZADARSKA ŽUPANIJA;grad;ZADAR;027;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;813;319;319;312;7;99;213
13;ZADARSKA ŽUPANIJA;grad;ZADAR;028;KOŽINO;OSNOVNA ŠKOLA U KOŽINU;KOŽINO, PUT ZGONA 1;742;284;284;279;5;123;156
13;ZADARSKA ŽUPANIJA;grad;ZADAR;029;MALI IŽ;PROSTORIJE MJESNOG ODBORA ISPOD AMBULANTE;MALI IŽ;277;106;106;103;3;20;83
13;ZADARSKA ŽUPANIJA;grad;ZADAR;030;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;1142;468;468;458;10;136;322
13;ZADARSKA ŽUPANIJA;grad;ZADAR;031;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;947;388;388;377;11;123;254
13;ZADARSKA ŽUPANIJA;grad;ZADAR;032;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIÆA;BRIBIRSKI PRILAZ 2;989;406;406;392;14;148;244
13;ZADARSKA ŽUPANIJA;grad;ZADAR;033;MOLAT;DOM KULTURE MOLAT;MOLAT;155;70;70;69;1;23;46
13;ZADARSKA ŽUPANIJA;grad;ZADAR;034;NOVI BOKANJAC;MJESNI ODBOR NOVI BOKANJAC;GRGURA BUDISLAVIÆA 99;1434;592;592;571;21;211;360
13;ZADARSKA ŽUPANIJA;grad;ZADAR;035;OLIB;MJESNI ODBOR OLIB;OLIB;192;65;65;63;2;35;28
13;ZADARSKA ŽUPANIJA;grad;ZADAR;036;PETRÈANE;OSNOVNA ŠKOLA PETRÈANE;PETRÈANE, ULICA V 3;666;218;218;213;5;101;112
13;ZADARSKA ŽUPANIJA;grad;ZADAR;037;PLOÈE;MJESNI ODBOR PLOÈE;PLOÈE;826;313;313;306;7;187;119
13;ZADARSKA ŽUPANIJA;grad;ZADAR;038;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIÆA B.B.;1130;477;477;464;13;192;272
13;ZADARSKA ŽUPANIJA;grad;ZADAR;039;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIÆA B.B.;1179;427;427;420;7;207;213
13;ZADARSKA ŽUPANIJA;grad;ZADAR;040;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIÆ"" ZADAR";TRG PETRA PRERADOVIÆA 1;1016;427;427;414;13;159;255
13;ZADARSKA ŽUPANIJA;grad;ZADAR;041;POLUOTOK;MJESNI ODBOR POLUOTOK;N. MATAFARE 2 A;1117;487;487;478;9;166;312
13;ZADARSKA ŽUPANIJA;grad;ZADAR;042;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIÆ"" ZADAR";TRG PETRA PRERADOVIÆA 1;1040;447;447;433;14;160;273
13;ZADARSKA ŽUPANIJA;grad;ZADAR;043;PREMUDA;PROSTORIJE OSNOVNE ŠKOLE (U PRIZEMLJU);PREMUDA;112;46;46;44;2;9;35
13;ZADARSKA ŽUPANIJA;grad;ZADAR;044;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A.G. MATOŠA 40;1242;497;496;484;12;213;271
13;ZADARSKA ŽUPANIJA;grad;ZADAR;045;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1184;413;413;407;6;148;259
13;ZADARSKA ŽUPANIJA;grad;ZADAR;046;PUNTAMIKA;EKONOMSKO-BIROTEHNIÈKA I TRGOVAÈKA ŠKOLA ZADAR;A. G. MATOŠA 40;1235;502;502;482;20;187;295
13;ZADARSKA ŽUPANIJA;grad;ZADAR;047;RAVA;OSNOVNA ŠKOLA RAVA;RAVA;116;72;72;72;0;42;30
13;ZADARSKA ŽUPANIJA;grad;ZADAR;048;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;940;351;350;341;9;141;200
13;ZADARSKA ŽUPANIJA;grad;ZADAR;049;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;1107;374;374;360;14;160;200
13;ZADARSKA ŽUPANIJA;grad;ZADAR;050;RIÈINA;MJESNI ODBOR RIÈINE;JOSIPA JOVIÆA 1;950;344;344;318;26;166;152
13;ZADARSKA ŽUPANIJA;grad;ZADAR;051;SILBA;OSNOVNA ŠKOLA ZADARSKI OTOCI;SILBA;410;179;179;176;3;68;108
13;ZADARSKA ŽUPANIJA;grad;ZADAR;052;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1115;372;372;370;2;229;141
13;ZADARSKA ŽUPANIJA;grad;ZADAR;053;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1013;249;248;246;2;124;122
13;ZADARSKA ŽUPANIJA;grad;ZADAR;054;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1172;481;481;473;8;199;274
13;ZADARSKA ŽUPANIJA;grad;ZADAR;055;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;942;322;322;318;4;159;159
13;ZADARSKA ŽUPANIJA;grad;ZADAR;056;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1224;383;383;377;6;189;188
13;ZADARSKA ŽUPANIJA;grad;ZADAR;057;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1231;563;563;551;12;281;270
13;ZADARSKA ŽUPANIJA;grad;ZADAR;058;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;972;406;406;398;8;195;203
13;ZADARSKA ŽUPANIJA;grad;ZADAR;059;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1308;530;530;516;14;265;251
13;ZADARSKA ŽUPANIJA;grad;ZADAR;060;VELI IŽ;OSNOVNA ŠKOLA U VELOM IŽU;VELI IŽ;432;180;180;174;6;91;83
13;ZADARSKA ŽUPANIJA;grad;ZADAR;061;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;780;262;261;257;4;104;153
13;ZADARSKA ŽUPANIJA;grad;ZADAR;062;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIÆ 12;1043;374;374;366;8;163;203
13;ZADARSKA ŽUPANIJA;grad;ZADAR;063;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1021;411;411;398;13;131;267
13;ZADARSKA ŽUPANIJA;grad;ZADAR;064;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1015;395;395;385;10;109;276
13;ZADARSKA ŽUPANIJA;grad;ZADAR;065;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;927;368;368;360;8;121;239
13;ZADARSKA ŽUPANIJA;grad;ZADAR;066;VIŠNJIK;OSNOVNA ŠKOLA ŠIME BUDINIÆA;PUT ŠIMUNOVA 4;1155;468;468;461;7;131;330
13;ZADARSKA ŽUPANIJA;grad;ZADAR;067;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAÈKA 12;858;321;321;313;8;164;149
13;ZADARSKA ŽUPANIJA;grad;ZADAR;068;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (I KAT);VESLAÈKA 12;669;252;252;247;5;70;177
13;ZADARSKA ŽUPANIJA;grad;ZADAR;069;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAÈKA 12;669;250;250;245;5;79;166
13;ZADARSKA ŽUPANIJA;grad;ZADAR;070;VOŠTARNICA;MJESNI ODBOR VOŠTARNICA (PRIZEMLJE);VESLAÈKA 12;568;220;220;210;10;76;134
13;ZADARSKA ŽUPANIJA;grad;ZADAR;071;ZAPUNTEL;DOM MLADEŽI ZAPUNTEL;ZAPUNTEL;65;27;27;27;0;12;15
13;ZADARSKA ŽUPANIJA;opæina;BIBINJE;001;BIBINJE;"OSNOVNA ŠKOLA ""STJEPAN RADIÆ""";BIBINJE;971;195;195;188;7;121;67
13;ZADARSKA ŽUPANIJA;opæina;BIBINJE;002;BIBINJE;"OSNOVNA ŠKOLA ""STJEPAN RADIÆ""";BIBINJE;1175;210;210;209;1;128;81
13;ZADARSKA ŽUPANIJA;opæina;BIBINJE;003;BIBINJE;"OSNOVNA ŠKOLA ""STJEPAN RADIÆ""";BIBINJE;1325;219;219;218;1;152;66
13;ZADARSKA ŽUPANIJA;opæina;GALOVAC;001;GALOVAC;OSNOVNA ŠKOLA GALOVAC;GALOVAC, ULICA I  175;1103;246;246;243;3;162;81
13;ZADARSKA ŽUPANIJA;opæina;GRAÈAC;001;GRAÈAC;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" PRIZEMLJE SOBA BR.1";ŠKOLSKA 12;949;518;518;473;45;291;182
13;ZADARSKA ŽUPANIJA;opæina;GRAÈAC;002;GRAÈAC;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" PRIZEMLJE SOBA BR.2";ŠKOLSKA 12;1019;541;541;482;59;288;194
13;ZADARSKA ŽUPANIJA;opæina;GRAÈAC;003;GRAÈAC;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" PRIZEMLJE SOBA BR.3";ŠKOLSKA 12;870;503;503;473;30;354;119
13;ZADARSKA ŽUPANIJA;opæina;GRAÈAC;004;SRB;"OSNOVNA ŠKOLA ""NIKOLE TESLE"" SOBA BR.1";ŠKOLSKA BB;795;424;424;350;74;100;250
13;ZADARSKA ŽUPANIJA;opæina;GRAÈAC;005;BRUVNO;OBITELJSKA KUÆA VL.DARKO KRIVOŠIJA;BRUVNO 10;158;97;97;77;20;25;52
13;ZADARSKA ŽUPANIJA;opæina;GRAÈAC;006;ZRMANJA;OBITELJSKA KUÆA VL. NIKOLA DRONJAK;ZRMANJA 4;112;59;59;54;5;8;46
13;ZADARSKA ŽUPANIJA;opæina;JASENICE;001;JASENICE;OSNOVNA ŠKOLA PETRA ZORANIÆA;MASLENICA, PETRA ZORANIÆA 2;975;180;180;176;4;115;61
13;ZADARSKA ŽUPANIJA;opæina;JASENICE;002;ROVANJSKA;PODRUÈNA ŠKOLA ROVANJSKA;ROVANJSKA, SV. JURJA 18;346;73;73;73;0;52;21
13;ZADARSKA ŽUPANIJA;opæina;JASENICE;003;ZATON OBROVAÈKI;PRIVATNE PROSTORIJE U ZATONU OBROVAÈKOM;DONJI MARIÈIÆI 8, ZATON OBROVAÈKI;173;17;17;17;0;12;5
13;ZADARSKA ŽUPANIJA;opæina;KALI;001;KALI;OPÆINSKI DOM KALI, PRIZEMLJE (KINO SALA);TRG MARNJIVE 23, KALI;1713;964;962;927;35;470;457
13;ZADARSKA ŽUPANIJA;opæina;KOLAN;001;KOLAN;OSNOVNA ŠKOLA A.G.MATOŠ NOVALJA, PODRUÈÈNI RAZREDNI ODJEL KOLAN;FIGURICA 5;788;223;223;223;0;158;65
13;ZADARSKA ŽUPANIJA;opæina;KUKLJICA;001;KUKLJICA;"OŠ ""VALENTIN KLARIN"" PREKO, PODRUÈNA ŠKOLA KUKLJICA";KUKLJICA;894;558;558;539;19;203;336
13;ZADARSKA ŽUPANIJA;opæina;LIŠANE OSTROVIÈKE;001;LIŠANE OSTROVIÈKE;ZGRADA OPÆINE LIŠANE OSTROVIÈKE;BRAŠTINA BB;494;171;171;168;3;134;34
13;ZADARSKA ŽUPANIJA;opæina;LIŠANE OSTROVIÈKE;002;OSTROVICA;OBITELJSKA KUÆA MILORADA MIJALJEVIÆA POK. FRANE ROÐ. 1956. GODINE;OSTROVICA KBR. 27;121;20;20;19;1;13;6
