Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STJEPAN KOŽIĆ;MIHAEL ZMAJLOVIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;022;VELIKA OSTRNA II;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;578;204;204;194;10;140;54
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;023;MALA OSTRNA;POSLOVNI PROSTOR VL. MARICA MUŠKON;MALA OSTRNA, ZAGREBAČKA 14;295;96;96;95;1;53;42
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;024;LEPROVICA;DRUŠTVENI DOM LEPROVICA;LEPROVICA, ZAGREBAČKA 49;212;87;87;82;5;40;42
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;025;ANDRILOVEC;VATROGASNI DOM ANDRILOVEC;ANDRILOVEC, ANDRILOVEČKA CESTA 83;245;96;96;94;2;51;43
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;026;PROZORJE;VATROGASNI DOM PROZORJE;PROZORJE, PROZORSKA 139;432;133;133;128;5;77;51
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;027;DONJE DVORIŠĆE;VATROGASNI DOM DONJE DVORIŠĆE;DONJE DVORIŠĆE, DVORIŠKA 43;165;85;85;81;4;61;20
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;001;IVANIĆ-GRAD - JALŠEVEC BREŠKI;DRUŠTVENI DOM U JALŠEVCU BREŠKOM;IVANIĆ-GRAD;584;133;133;131;2;87;44
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;002;OPATINEC;DRUŠTVENI DOM OPATINEC;OPATINEC;353;55;55;52;3;28;24
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;003;IVANIĆ-GRAD - LONJA;DRUŠTVENI DOM LONJA;STJEPANA GREGORKA BB, IVANIĆ-GRAD;1113;204;204;202;2;151;51
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;004;IVANIĆ-GRAD - POLJANA 1;UČENIČKI DOM;ULICA SLOBODE BB, IVANIĆ-GRAD;579;140;140;134;6;61;73
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;005;TREBOVEC;DRUŠTVENI DOM TREBOVEC;TREBOVEC;301;62;62;61;1;40;21
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;006;POSAVSKI BREGI;DRUŠTVENI DOM POSAVSKI BREGI;POSAVSKI BREGI;732;107;107;102;5;67;35
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;007;GREDA BREŠKA;DRUŠTVENI DOM GREDA BREŠKA;GREDA BREŠKA;276;62;62;62;0;41;21
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;008;LIJEVI DUBROVČAK;STARA ŠKOLA;LIJEVI DUBROVČAK;374;95;95;94;1;56;38
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;009;PREROVEC;DRUŠTVENI DOM PREROVEC;PREROVEC;84;16;16;16;0;11;5
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;010;PREČNO;DRUŠTVENI DOM PREČNO;PREČNO;64;11;11;11;0;10;1
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;011;CAGINEC;DRUŠTVENI DOM CAGINEC;CAGINEC;819;144;144;139;5;90;49
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;012;GRABERJE IVANIĆKO;DRUŠTVENI DOM GRABERJE IVANIĆKO;ZAGREBAČKA UL. BB, GRABERJE IVANIĆKO;766;114;114;112;2;63;49
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;013;ŠUMEĆANI;DRUŠTVENI DOM ŠUMEĆANI;ŠUMEĆANI;394;63;63;62;1;40;22
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;014;DEANOVEC;DRUŠTVENI DOM DEANOVEC;DEANOVEC;465;129;129;124;5;94;30
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;015;IVANIĆ-GRAD - ŠARAMPOV GORNJI 1;"O.Š.""STJEPANA BASARIČEKA""";UL. MILKE TRNINE BB, IVANIĆ-GRAD;856;185;185;182;3;102;80
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;016;IVANIĆ-GRAD - ŠARAMPOV GORNJI 2;"SPOMEN DOM ""A. VULINCA"" - I. KAT";BELICEVA 1, IVANIĆ-GRAD;1192;183;183;179;4;110;69
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;017;IVANIĆ-GRAD - CENTAR 1;MALA SALA PUČKOG OTVORENOG UČILIŠTA;MOSLAVAČKA 11, IVANIĆ-GRAD;553;142;142;141;1;81;60
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;018;IVANIĆ-GRAD - CENTAR 2;DOM UMIROVLJENIKA;UL. KRALJA TOMISLAVA BB, IVANIĆ-GRAD;896;216;216;214;2;122;92
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;019;IVANIĆ-GRAD - POLJANA 2;DRUŠTVENI DOM POLJANA;SAVSKA BB, IVANIĆ-GRAD;724;128;128;124;4;84;40
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;020;IVANIĆ-GRAD - DONJI ŠARAMPOV;DRUŠTVENI DOM;MAJDEKOVA BB, DONJI ŠARAMPOV;545;112;112;111;1;65;46
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;021;IVANIĆ-GRAD - ŠARAMPOV GORNJI 3;SPORTSKA DVORANA ŽERAVINEC;MILKE TRNINE BB, IVANIĆ-GRAD;587;125;125;124;1;79;45
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;001;BREZNIK PLEŠIVIČKI;KUĆA STJEPANA SLEMENŠEKA - GARAŽA;BREZNIK PLEŠIVIČKI 43;114;56;56;54;2;15;39
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;002;DONJI DESINEC;DOM DVD;DONJI DESINEC;668;206;206;205;1;59;146
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;003;GORNJI DESINEC;DOM DVD;GORNJI DESINEC;811;225;225;219;6;54;165
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;004;LOKOŠIN DOL;"PROSTORIJE ""MOTO CROSS KLUBA JASKA"", MLADINA";MLADINA;83;30;30;30;0;4;26
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;005;VLAŠKOVEC;KUĆA BRANKICE KOPIĆ, VLAŠKOVEC 31.;VLAŠKOVEC;95;33;33;32;1;12;20
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;006;STANKOVO;DOM DVD;STANKOVO;295;107;107;105;2;30;75
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;007;DONJA REKA;"PROSTORIJE TRGOVINE ""IVANČIĆ"", VL. MIRJANA IVANČIĆ";DONJA REKA 35 A;284;119;119;119;0;45;74
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;008;GORNJA REKA;DOM DVD;GORNJA REKA;319;112;112;111;1;19;92
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;009;ZDIHOVO;DOM DVD;ZDIHOVO;136;52;52;52;0;20;32
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;010;PAVLOVČANI I;DRUŠTVENI DOM;PAVLOVČANI;101;41;41;41;0;5;36
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;011;PAVLOVČANI II;DRUŠTVENI DOM;PAVLOVČANI;147;66;66;65;1;26;39
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;012;PLEŠIVICA;DOM DVD PLEŠIVICA;PLEŠIVICA;259;88;88;87;1;17;70
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;013;PRILIPJE;DRUŠTVENI DOM;PRILIPJE;178;91;91;89;2;43;46
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;014;VRANOV DOL;DOM DVD;VRANOV DOL;123;51;51;51;0;25;26
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;015;JURJEVČANI;DRUŠTVENI DOM;JURJEVČANI;73;27;27;27;0;10;17
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;016;MALUNJE I;DOM DVD;MALUNJE;178;61;61;61;0;18;43
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;017;MALUNJE II;DOM DVD;MALUNJE;150;60;60;59;1;24;35
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;018;ČRNILOVEC;DOM DVD;ČRNILOVEC;110;43;43;43;0;10;33
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;019;CVETKOVIĆ;DOM DVD;CVETKOVIĆ;520;183;183;180;3;88;92
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;020;ČABDIN;DOM DVD;ČABDIN;123;56;56;54;2;23;31
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;021;CRNA MLAKA;"ZGRADA TVRTKE ""IHOR PARK""";CRNA MLAKA;22;11;11;11;0;2;9
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;022;BREBROVAC;DRUŠTVENI DOM;BREBROVAC;82;34;34;34;0;15;19
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;023;PETROVINA;DOM DVD;PETROVINA;353;129;129;123;6;36;87
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;024;DRAGOVANŠČAK;"PROSTORIJE MNK ""PRIGORAC""";DRAGOVANŠČAK;131;30;30;30;0;3;27
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;025;SLAVETIĆ;"PROSTORIJE MNK ""SLAVETIĆ""";SLAVETIĆ;63;32;32;32;0;12;20
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;026;HRAŠĆA;DRUŠTVENI DOM;HRAŠĆA;95;35;35;35;0;19;16
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;027;BELČIĆI;DOM DVD;BELČIĆI;164;43;43;42;1;20;22
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;028;TOPLICE;KUĆA MIJE ZAHERA;TOPLICE 14;85;15;15;15;0;5;10
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;029;BUKOVAC SVETOJANSKI;KUĆA OBITELJI FERKO;BUKOVAC SVETOJANSKI 30;79;27;27;27;0;8;19
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;030;MILADINI;DOM DVD;MILADINI;111;34;34;32;2;13;19
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;031;DRAGA SVETOJANSKA;PROSTORIJE TRGOVINE VL. ĐURĐE BRADVIĆ;DRAGA SVETOJANSKA 28;123;49;49;47;2;27;20
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;032;GORICA SVETOJANSKA;DRUŠTVENI DOM, PROSTORIJE MO GORICA SVETOJANSKA;GORICA SVETOJANSKA;124;37;37;36;1;21;15
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;033;IVANČIĆI;VINARSKI PODRUM;IVANČIĆI;149;47;47;47;0;11;36
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;034;KUPEČ DOL;KUĆA MIROSLAVA PLEČKA;KUPEČ DOL 31;82;30;30;30;0;7;23
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;035;PRODIN DOL;KUĆA ŽELJKA PARILCA;PRODIN DOL 2;82;51;51;49;2;19;30
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;036;GUCI DRAGANIĆKI;DOM DVD;GUCI DRAGANIĆKI;310;61;61;60;1;17;43
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;037;GORNJA KUPČINA;DRUŠTVENI DOM;GORNJA KUPČINA;146;44;44;43;1;19;24
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;038;ČEGLJE;DRUŠTVENI DOM;ČEGLJE;330;94;94;94;0;57;37
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;039;VUKŠIN ŠIPAK;DOM DVD;VUKŠIN ŠIPAK;282;41;41;41;0;11;30
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;040;DOMAGOVIĆ;DOM DVD;DOMAGOVIĆ;455;164;164;162;2;28;134
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;041;IZIMJE;DOM DVD;IZIMJE;214;79;79;78;1;28;50
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;042;NOVAKI PETROVINSKI;DOM DVD;NOVAKI PETROVINSKI;249;73;73;71;2;25;46
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;043;VOLAVJE;DOM DVD;VOLAVJE;350;152;152;150;2;57;93
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;044;JASTREBARSKO I;ZGRADA HAK-A;TREŠNJEVKA 4, JASTREBARSKO;475;170;170;164;6;41;123
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;045;JASTREBARSKO II;ZGRADA SREDNJE ŠKOLE JASTREBARSKO;V.HOLJEVCA 11, JASTREBARSKO;734;252;252;250;2;65;185
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;046;JASTREBARSKO III;ZGRADA HRVATSKOG ŠUMARSKOG INSTITUTA;CVJETNO NASELJE 41, JASTREBARSKO;428;196;196;192;4;41;151
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;047;JASTREBARSKO IV;"DJEČJI VRTIĆ ""RADOST II""";BANA TOME ERDEDIJA BAKAČA 2, JASTREBARSKO;411;182;182;177;5;48;129
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;048;JASTREBARSKO V;CENTAR ZA KULTURU JASTREBARSKO;DR. FRANJE TUĐMANA 9, JASTREBARSKO;153;80;80;79;1;17;62
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;049;JASTREBARSKO VI;ZGRADA GLAZBENE ŠKOLE JASTREBARSKO;ZRINSKI-FRANKOPANSKA 13, JASTREBARSKO;272;105;105;100;5;22;78
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;050;JASTREBARSKO VII;DVORIŠNA ZGRADA OPĆINSKOG SUDA JASTREBARSKO;BRAĆE KAZIĆ 6, JASTREBARSKO;526;185;185;183;2;66;117
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;051;JASTREBARSKO VIII;ZGRADA GRADSKE UPRAVE;TRG J.J.STROSSMAYERA 13, JASTREBARSKO;593;232;232;229;3;58;171
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;052;JASTREBARSKO IX;ZGRADA ŽUPANIJSKIH ISPOSTAVA (BIVŠA OPĆINA);VLADKA MAČEKA 2, JASTREBARSKO;675;245;245;241;4;66;175
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;053;JASTREBARSKO X;ZGRADA GRADSKOG MUZEJA;VLADKA MAČEKA 1, JASTREBARSKO;604;197;197;192;5;51;141
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;001;BOBOVICA;VATROGASNI DOM BOBOVICA;BOBOVICA;227;122;122;120;2;60;60
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;002;BRASLOVJE;DRUŠTVENI DOM BRASLOVJE;BRASLOVJE;290;152;152;151;1;64;87
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;003;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;1299;585;585;550;35;196;354
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;004;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;791;340;340;323;17;101;222
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;005;BREGANICA I VIŠNJEVEC PODVRŠKI;KUĆA MARIJANA KUMERA;BREGANICA 6;53;38;38;38;0;18;20
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;006;BREGANICA I VIŠNJEVEC PODVRŠKI;KUĆA STJEPANA BERIBAKA;VIŠNJEVEC PODVRŠKI, VIŠNJEVEC PODVRŠKI  4;31;19;19;19;0;10;9
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;007;BUDINJAK;PROSTORIJE EKO-CENTRA BUDINJAK;BUDINJAK;59;14;14;14;0;1;13
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;008;BUDINJAK;PROSTORIJE STARE ŠKOLE GRABAR;GRABAR;59;8;8;7;1;3;4
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;009;BUDINJAK;VATROGASNI DOM GORNJA VAS;GORNJA VAS;31;6;6;6;0;4;2
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;010;CELINE SAMOBORSKE;DRUŠTVENI DOM CELINE;CELINE SAMOBORSKE;258;161;161;161;0;47;114
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;011;CERJE SAMOBORSKO;DRUŠTVENI DOM CERJE;CERJE SAMOBORSKO;317;153;153;144;9;46;98
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;012;DOMASLOVEC;SPORTSKI CENTAR NK MLADOST;DOMASLOVEC, DOMASLOVEČKA 102;838;374;374;360;14;167;193
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;013;DREŽNIK PODOKIĆKI;DRUŠTVENI DOM DREŽNIK PODOKIĆKI;DREŽNIK PODOKIĆKI;214;103;103;103;0;32;71
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;014;DUBRAVA SAMOBORSKA;KUĆA STJEPANA RUNTASA;DUBRAVA SAMOBORSKA 34;222;96;96;92;4;34;58
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;015;FARKAŠEVEC SAMOBORSKI;ŠKOLA U FARKAŠEVCU SAMOBORSKOM;FARKAŠEVEC SAMOBORSKI;380;214;214;202;12;96;106
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;016;GALGOVO;DRUŠTVENI DOM GALGOVO;GALGOVO,BOGOVIĆEVA 2;728;345;345;329;16;120;209
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;017;GRADNA;DRUŠTVENI DOM GRADNA;GRADNA;483;237;237;226;11;98;128
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;018;GRDANJCI;DRUŠTVENI DOM GRDANJCI;GRDANJCI;268;161;161;158;3;70;88
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;019;GRDANJCI;KUĆA RADE BERIBAKA;BEDER 1;55;27;27;27;0;13;14
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;020;GRDANJCI;KUĆA BRANKA RATEŠIĆA;KOSTANJEVEC PODVRŠKI 8;63;42;42;42;0;24;18
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;021;GRDANJCI;DRUŠTVENI DOM JAVOREK;JAVOREK;38;25;25;24;1;17;7
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;022;HRASTINA SAMOBORSKA;PROSTORIJE MJESNOG ODBORA HRASTINA SAMOBORSKA;HRASTINA SAMOBORSKA;731;313;313;302;11;113;189
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;023;JARUŠJE;VATROGASNI DOM JARUŠJE;JARUŠJE;52;26;26;25;1;7;18
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;024;KLADJE;DRUŠTVENI DOM KLADJE;MIRNOVEČKA,BB;760;404;404;386;18;151;235
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;025;KLAKE;OSNOVNA ŠKOLA U KLAKAMA;KLAKE;207;107;107;102;5;41;61
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;026;KLOKOČEVEC SAMOBORSKI;DRUŠTVENI DOM KLOKOČEVEC;KLOKOČEVEC SAMOBORSKI;296;158;158;151;7;56;95
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;027;KONŠĆICA;DRUŠTVENI DOM KONŠĆICA;KONŠĆICA;248;136;136;134;2;58;76
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;028;LUG SAMOBORSKI;PROSTORIJE MJESNOG ODBORA LUG SAMOBORSKI;LUG SAMOBORSKI, KNEZA DOMAGOJA 1;824;452;451;427;24;131;296
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;029;MALA JAZBINA;KUĆA JAZBINSKI KATARINE;MALA JAZBINA 20/1;435;263;263;255;8;115;140
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;030;MALA  RAKOVICA;OSNOVNA ŠKOLA U MIRNOVCU;MIRNOVEC;523;304;304;300;4;102;198
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;031;MALI LIPOVEC - VELIKI LIPOVEC;DRUŠTVENI DOM MALI LIPOVEC;MALI LIPOVEC 44;97;62;62;55;7;23;32
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;032;MALI LIPOVEC - VELIKI LIPOVEC;VATROGASNI DOM VELIKI LIPOVEC;VELIKI LIPOVEC;80;41;41;40;1;19;21
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;033;MALI LIPOVEC - VELIKI LIPOVEC;KUĆA MARIJANA LUKŠIĆA;ŠIPAČKI BREG, ŠIPAČKI BREG 2/1;33;21;21;20;1;10;10
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;034;MALI LIPOVEC - VELIKI LIPOVEC;KUĆA JURAJA JAGODIĆA;DRAGONOŠ 16;17;13;13;13;0;11;2
01;ZAGREBAČKA ŽUPANIJA;grad;SAMOBOR;035;MANJA VAS, KOTARI, BUKOVJE PODVRŠKO, PREKRIŽJE PLEŠIVIČKO;OSNOVNA ŠKOLA U MANJOJ VASI;MANJA VAS;170;96;96;93;3;30;63
