Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVOJE KOŠĆEC;EVA JENDRIŠ ŠKRLJAK
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;024;KRIŽEVČEC;DRUŠTVENI DOM;KRIŽEVČEC  1 B;74;21;21;21;0;19;2
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;025;MAJKOVEC;DRUŠTVENI DOM;ULICA SVETOG TROJSTVA 50, MAJKOVEC;159;59;59;57;2;41;16
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;026;PAUKOVEC;DRUŠTVENI DOM;PAUKOVEČKA 17, PAUKOVEC;302;96;96;94;2;69;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;027;BUKEVJE;DRUŠTVENI DOM;BUKEVJE 15 A;82;41;41;39;2;32;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;028;BUKOVEC ZELINSKI;DRUŠTVENI DOM;BUKOVEC ZELINSKI 66 N;331;118;118;116;2;67;49
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;029;SUHODOL ZELINSKI;KUĆA ŠKRLEC IVICE;SUHODOL ZELINSKI 8;105;30;30;29;1;22;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;030;GORIČICA;ZGRADA ŽUPANIJSKIH CESTA ZAGREBAČKE ŽUPANIJE D.O.O.;ZAGREBAČKA 44A, GORIČICA;357;87;87;84;3;38;46
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;031;KALINJE;DRUŠTVENI DOM;KALINJE 13 A;224;94;94;92;2;70;22
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;032;PRETOKI;DRUŠTVENI DOM;PRETOKI 22;434;176;176;171;5;111;60
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;033;DONJE OREŠJE;DRUŠTVENI DOM;BISTRIČKA 79, DONJE OREŠJE;399;192;192;185;7;104;81
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;034;GORNJE OREŠJE;DRUŠTVENI DOM;GORNJE OREŠJE 78 A;204;79;79;79;0;45;34
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;035;HRASTJE;DRUŠTVENI DOM;HRASTJE 52;288;122;122;120;2;66;54
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;036;ŽITOMIR;DRUŠTVENI DOM;ŽITOMIR 16 D;136;52;52;51;1;39;12
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;037;PREPOLNO;PODRUČNA ŠKOLA;PREPOLNO 3;44;20;20;19;1;11;8
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;038;ZADRKOVEC;DRUŠTVENI DOM;ZADRKOVEC 25 D;254;87;87;86;1;53;33
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;039;KOMIN;PODRUČNA ŠKOLA;KOMIN 36;298;113;113;113;0;80;33
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;040;TOMAŠEVEC;DRUŠTVENI DOM;TOMAŠEVEC 28 D;157;73;73;71;2;46;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;041;RADOIŠĆE;DRUŠTVENI DOM;RADOIŠĆE 97B;207;72;72;72;0;47;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;042;ZRINŠĆINA;DRUŠTVENI DOM;ZRINŠĆINA 30 A;112;31;31;30;1;19;11
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;043;SALNIK;DRUŠTVENI DOM;SALNIK 31;137;54;54;54;0;29;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;044;MARINOVEC ZELINSKI;DRUŠTVENI DOM;MARINOVEC ZELINSKI 27;107;49;49;49;0;36;13
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;045;ŠULINEC;DRUŠTVENI DOM;ŠULINEC 26 A;206;88;88;86;2;61;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;046;KREČAVES;DRUŠTVENI DOM;KREČAVES 53;195;85;85;84;1;51;33
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;047;NOVO MJESTO;DRUŠTVENI DOM;NOVO MJESTO 44;108;46;46;45;1;39;6
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;048;POLONJE I;DRUŠTVENI DOM;POLONJE 8 A;185;69;69;68;1;48;20
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;049;POLONJE II;DRUŠTVENI DOM;POLONJE TOMAŠEVEČKO 105 A;144;59;59;58;1;25;33
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;050;KELEMINOVEC;DRUŠTVENI DOM;KELEMINOVEC 22;93;47;47;47;0;27;20
