Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR DEKANIĆ;JOSIP DABRO
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;025;VINKOVCI;"VIII. MJESNI ODBOR ""BAN JELAČIĆ"" VINKOVCI";BANA J.JELAČIĆA 11;780;188;187;172;15;97;75
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;026;VINKOVCI;"IX. MJESNI ODBOR ""ZAGREBAČKI BLOK"" VINKOVCI";M.BRAŠNIĆA 2A;716;225;225;218;7;113;105
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;027;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;865;253;253;238;15;111;127
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;028;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;654;195;195;190;5;101;89
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;029;VINKOVCI;"X. MJESNI ODBOR ""SLAVIJA"" VINKOVCI";ŠOKAČKI ŠOR 1;1227;349;349;335;14;154;181
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;030;VINKOVCI;"DILJ, D.D. POGON ""SLAVONKA"", VINKOVCI";KRALJA ZVONIMIRA 156;829;272;272;262;10;155;107
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;031;VINKOVCI;"XI. MJESNI ODBOR ""MALA BOSNA"" VINKOVCI";V.GORTANA 25B;956;260;260;253;7;155;98
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;032;MIRKOVCI;"XII. MJESNI ODBOR ""MIRKOVCI"" - MIRKOVCI";DUNAVSKA 1;1497;228;228;218;10;122;96
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;033;MIRKOVCI;"O.Š. ""NIKOLE TESLE"" MIRKOVCI";VUKOVARSKA 2;1326;225;225;219;6;107;112
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;001;SOTIN;DOM KULTURE;ULICA DR. FRANJE TUĐMANA BR. 2;621;290;290;279;11;120;159
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;002;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;657;355;355;336;19;125;211
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;003;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;855;474;474;449;25;201;248
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;004;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;858;480;480;459;21;208;251
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;005;VUKOVAR;OSNOVNA ŠKOLA MITNICA;FRUŠKOGORSKA BR. 2;676;360;360;345;15;161;184
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;006;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;673;344;344;333;11;181;152
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;007;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;600;261;261;251;10;119;132
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;008;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;705;330;329;316;13;139;177
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;009;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;578;216;216;210;6;115;95
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;010;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;765;358;358;334;24;157;177
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;011;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;732;316;316;306;10;148;158
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;012;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;787;349;349;337;12;167;170
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;013;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;843;345;345;331;14;164;167
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;014;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;770;302;302;285;17;151;134
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;015;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;761;311;311;292;19;157;135
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;016;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;951;393;393;364;29;192;172
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;017;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;618;259;259;243;16;114;129
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;018;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;629;262;262;253;9;126;127
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;019;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA"", PODRUČNA ŠKOLA LUŽAC";LJUDEVITA POSAVSKOG BR. 16;659;231;231;218;13;118;100
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;020;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;1023;369;369;353;16;168;185
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;021;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;670;282;282;267;15;150;117
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;022;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;821;286;286;265;21;140;125
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;023;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;712;280;280;268;12;149;119
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;024;VUKOVAR;EKONOMSKA ŠKOLA VUKOVAR;STJEPANA FILIPOVIĆA BR. 6;721;317;317;306;11;162;144
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;025;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA  84;708;326;326;321;5;161;160
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;026;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;552;249;249;236;13;124;112
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;027;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;576;244;244;237;7;102;135
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;028;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIĆA BR. 2;783;329;329;319;10;165;154
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;029;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIĆA BR. 2;809;337;337;324;13;167;157
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;030;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIĆA""";DR. A. STARČEVIĆA BR.5;592;230;230;218;12;110;108
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;031;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIĆA""";DR. A. STARČEVIĆA BR.5;1099;498;496;470;26;248;222
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;032;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE"" PODRUČNA ŠKOLA LIPOVAČA";SVETE ANE BR. 24;310;138;138;134;4;49;85
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;001;ŽUPANJA;"OŠ ""IVAN KOZARAC"" I";DR. FRANJE RAČKOG 30;923;461;461;434;27;232;202
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;002;ŽUPANJA;"OŠ ""IVAN KOZARAC"" II";DR.FRANJE RAČKOG 30;807;378;378;356;22;145;211
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;003;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA I;VELIKI KRAJ 42;918;409;409;386;23;204;182
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;004;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA II;VELIKI KRAJ 42;474;206;206;194;12;108;86
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;005;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA III;VELIKI KRAJ 42;640;290;290;277;13;118;159
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;006;ŽUPANJA;ŠUMARIJA I;DR.FRANJE RAČKOG 34;750;405;405;388;17;189;199
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;007;ŽUPANJA;ŠUMARIJA II;DR.FRANJE RAČKOG 34;777;415;411;389;22;179;210
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;008;ŽUPANJA;"KINO ""MLADOST"" I";STROSMAYEROVA 51;522;296;296;277;19;125;152
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;009;ŽUPANJA;"KINO ""MLADOST"" II";STROSSMAYEROVA 51;671;335;335;317;18;135;182
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;010;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" I";A.STEPINCA 18;1078;505;505;481;24;207;274
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;011;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" II";A.STEPINCA 18;804;360;360;337;23;177;160
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;012;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" III";A.STEPINCA 18;935;430;430;414;16;205;209
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;013;ŽUPANJA;"KINO ""KRISTAL""";ŠEĆERANA 62;663;339;339;325;14;179;146
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;014;ŽUPANJA;"PROSTORIJE NK ""ŽUPANJA 77""";M.ĆATIĆA;553;249;249;242;7;132;110
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;001;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;943;463;463;459;4;403;56
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;002;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;619;294;294;290;4;244;46
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;003;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;672;316;316;312;4;276;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ANDRIJAŠEVCI;004;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIĆ MAŽURANIĆ""";ŠKOLSKA 1;986;430;430;421;9;373;48
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;001;BABINA GREDA;"ČITAONICA ""NOVA SALA""";KRALJA TOMISLAVA BB;643;86;86;86;0;60;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;002;BABINA GREDA;"ČITAONICA ""ČEVATOVO""";BANA J.JELAČIĆA BB;621;130;130;130;0;83;47
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;003;BABINA GREDA;"ČITAONICA ""DONJA MALA""";VLADIMIRA NAZORA 42;873;165;165;157;8;106;51
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;004;BABINA GREDA;"ČITAONICA ""BERAVA""";BRAĆE RADIĆA 33;527;127;127;126;1;97;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BABINA GREDA;005;BABINA GREDA;"ČITAONICA ""JELAS""";MIJATA STOJANOVIĆA 116;265;74;74;74;0;47;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;001;BOGDANOVCI;ZGRADA OPĆINE;BANA JOSIPA JELAČIĆA 1;579;211;211;208;3;131;77
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;002;PETROVCI;OSNOVNA ŠKOLA PETROVCI;BANA JOSIPA JELAČIĆA 1;647;99;99;96;3;57;39
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOGDANOVCI;003;SVINJAREVCI;ZGRADA MJESNOG ODBORA (STARA OSNOVNA ŠKOLA);CRKVENA 4;299;98;98;96;2;35;61
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;001;BOROVO;"NASELJE ""CREPULJE""";B.MASLARIĆA 46;443;63;63;63;0;50;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;002;BOROVO;BOROVO;GLAVNA 79;604;123;123;120;3;103;17
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;003;BOROVO;"OSNOVNA ŠKOLA ""BOROVO""";TRG PALIH BORACA 30;1186;203;203;201;2;191;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;004;BOROVO;"DJEČJI VRTIĆ ""ZLATOKOSA""";N. KOVAČEVIĆA 2A;1005;144;144;139;5;118;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;005;BOROVO;BOROVO;OZRENSKA 37;505;113;113;111;2;103;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;001;BOŠNJACI;DOM KULTURE (PROSTORIJE KUD-A);TRG FRA B.T.LEAKOVIĆA 10;885;265;265;260;5;188;72
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;002;BOŠNJACI;OPĆINA BOŠNJACI;TRG FRA B.T.LEAKOVIĆA 15;660;154;154;152;2;114;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;003;BOŠNJACI;VATROGASNI DOM;TRG FRA B.T.LEAKOVIĆA 12;733;169;169;167;2;108;59
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;004;BOŠNJACI;"OSNOVNA ŠKOLA ""FRA B.T.LEAKOVIĆ""";BRAĆE RADIĆA 38 A;848;176;176;173;3;114;59
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;001;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ""";ŠETALIŠTE DR. FRANJE TUĐMANA 3;1021;296;296;290;6;181;109
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;002;ŠIŠKOVCI;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ"" PODRUČNA ŠKOLA ŠIŠKOVCI";J.KOZARCA 8;658;288;288;282;6;216;66
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;003;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ""";ŠETALIŠTE DR. FRANJE TUĐMANA 3;1068;408;408;402;6;250;152
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;004;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ """;ŠETALIŠTE  DR.FRANJE TUĐMANA 3;895;267;267;257;10;151;106
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;001;DRENOVCI;OPĆINSKA  NARODNA KNJIŽNICA DRENOVCI;BRAĆE RADIĆA 2;699;384;384;364;20;161;203
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;002;DRENOVCI;"OSNOVNA ŠKOLA ""FRANJO HANAMAN"" DRENOVCI";ISTREV 2;924;508;508;474;34;225;249
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;003;ĐURIĆI;"OSNOVNA ŠKOLA ""IVAN FILIPOVIĆ"" - PODRUČNA ŠKOLA ĐURIĆI";M.GUPCA 99;217;131;131;126;5;89;37
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;004;POSAVSKI PODGAJCI;O.Š. DAVORIN TRSTENJAK;M.GUPCA 160;1000;478;478;453;25;225;228
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;005;RAČINOVCI;"OSNOVNA ŠKOLA ""IVAN FILIPOVIĆ"" RAČINOVCI";A.STARČEVIĆA 1;581;383;383;366;17;310;56
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;006;RAJEVO SELO;DOM KULTURE U RAJEVOM SELU;RAJEVO SELO, ZRINSKIH I FRANKOPANA 60;869;412;412;402;10;210;192
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GRADIŠTE;001;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;547;99;99;99;0;74;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GRADIŠTE;002;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;797;116;116;115;1;83;32
