Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ĐORĐE GVOZDIĆ;MILAN UZELAC
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;021;GOSPIĆ;ZGRADA HRVATSKOG NARODNOG DOMA SMILJAN;SMILJAN;11;1;1;1;0;0;1
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;022;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE DEBELO BRDO;DEBELO BRDO;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;023;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE  BUŽIM;BUŽIM;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;024;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE VELIKI ŽITNIK;VELIKI ŽITNIK;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;025;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE KLANAC;KLANAC;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;026;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE ALEKSINICA;ALEKSINICA;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;027;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE KALINOVAČA;KALINOVAČA;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;028;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE NOVOSELIJA;NOVOSELIJA;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;029;GOSPIĆ;KUĆA MARIA JOVANOVIĆA;MALA PLANA 35 A;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;001;NOVALJA 1 - ZGRADA GRAD. MUZEJA;ZGRADA GRADSKOG MUZEJA NOVALJA - PRIZEMLJE;ZVONIMIROVA 27;13;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;002;NOVALJA 2 - ZGRADA GRADA, VIJEĆNICA;ZGRADA G.NOVALJE -I. KAT, VIJEĆNICA;TRG DR. FRANJE TUĐMANA 1;15;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;003;NOVALJA - LUN - ZGRADA PODRUČNE ŠKOLE;ZGRADA PODRUČNE ŠKOLE LUN;LUN;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;004;NOVALJA - ZGRADA PODRUČNE ŠKOLE JAKIŠNICA;ZGRADA PODRUČNE ŠKOLE JAKIŠNICA;JAKIŠNICA;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;005;NOVALJA - ZGRADA MO STARA NOVALJA;ZGRADA MO STARA NOVALJA - KAŠTEL;STARA NOVALJA;5;2;2;2;0;0;2
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;006;NOVALJA - ZGRADA MO METAJNA;ZGRADA MO METAJNA;METAJNA;3;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;007;NOVALJA - ZGRADA MO ZUBOVIĆI;ZGRADA MO ZUBOVIĆI;ZUBOVIĆI;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;008;NOVALJA - ZGRADA MO KUSTIĆI;ZGRADA MO KUSTIĆI;KUSTIĆI;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;001;OTOČAC - PODRUČNA ŠKOLA HRVATSKO POLJE;PODRUČNA ŠKOLA HRVATSKO POLJE;HRVATSKO POLJE;52;8;8;6;2;1;5
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;002;OTOČAC - PODRUČNA ŠKOLA KOMPOLJE;PODRUČNA ŠKOLA KOMPOLJE;KOMPOLJE;63;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;003;OTOČAC - PODRUČNA ŠKOLA ŠVICA;PODRUČNA ŠKOLA ŠVICA;ŠVICA;53;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;004;OTOČAC - PODRUČNA ŠKOLA LIPOVLJE;PODRUČNA ŠKOLA LIPOVLJE;LIPOVLJE;18;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;005;OTOČAC - PODRUČNA ŠKOLA KUTEREVO;PODRUČNA ŠKOLA KUTEREVO;KUTEREVO;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;006;OTOČAC - AUTO-KLUB OTOČAC;AUTO KLUB OTOČAC;OTOČAC, IVE SENJANINA 12;69;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;007;OTOČAC-OSNOVNA ŠKOLA OTOČAC;OŠ OTOČAC;OTOČAC;27;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;008;OTOČAC-ZGRADA GACKOG PUČKOG  O. UČ. (KAT);ZGRADA GACKOG  PUČKOG O. UČ.(KAT);OTOČAC;60;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;009;OTOČAC - ZGRADA GACKOG PUČKOG O. UČ (PRIZ);ZGRADA GACKOG PUČKOG O. UČ. (PRIZ);OTOČAC;136;2;2;2;0;0;2
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;010;OTOČAC - LOVAČKI DOM DABAR;LOVAČKI DOM DABAR;DABAR;27;1;1;1;0;1;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;011;OTOČAC - DOM PROZOR DONJI;DOM PROZOR DONJI;PROZOR DONJI;5;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;012;OTOČAC - PODRUČNA ŠKOLA PROZOR GORNJI;PODRUČNA ŠKOLA PROZOR GORNJI;PROZOR GORNJI;2;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;013;OTOČAC - PODRUČNA ŠKOLA ČOVIĆI;PODRUČNA ŠKOLA ČOVIĆI;ČOVIĆI;4;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;014;OTOČAC - PODRUČNA ŠKOLA LIČKO LEŠĆE;PODRUČNA ŠKOLA LIČKO LEŠĆE;LIČKO LEŠĆE DONJE;4;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;015;"OTOČAC - HRVATSKI SELJAČKI DOM ""GACKA"" LIČKO LEŠĆE";"HRVATSKI SELJAČKI DOM ""GACKA""";LIČKO LEŠĆE GORNJE;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;016;OTOČAC - PODRUČNA ŠKOLA SINAC;PODRUČNA ŠKOLA SINAC;SINAC;3;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;017;OTOČAC - MJESNI DOM RAMLJANI;MJESNI DOM RAMLJANI;RAMLJANI;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;001;SENJ - UPRAVA ŠUMA SENJ;UPRAVA ŠUMA SENJ;N. SUZANA 27;27;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;002;"SENJ - OŠ ""S. S. KRANJČEVIĆA""";"OŠ ""S. S. KRANJČEVIĆA""";S. S. KRANJČEVIĆA 1;12;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;003;SENJ - ŠKOLSKA SPORTSKA DVORANA;"ŠKOLSKA SPORTSKA DVORANA SENJ ""ROBERT BARBIĆ-BELI""";S. S. KRANJČEVIĆA 1-A;19;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;004;SENJ - GRADSKA KNJIŽNICA SENJ;GRADSKA KNJIŽNICA SENJ;TRG CILNICA 11, SENJ;21;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;005;SENJ - MJESNI ODBOR U SV. JURJU;MJESNI ODBOR U SV. JURJU;SELO 23, SVETI JURAJ;5;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;006;SENJ - MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;JABLANAC;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;007;"SENJ- PODRUČNA OŠ ""PROF. BOŽO KATALINIĆ""";"PODRUČNA OŠ ""PROF. BOŽO KATALINIĆ""";VRATNIK;7;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;008;SENJ- MJESNI ODBOR KRIVI PUT, PODBILO;MJESNI ODBOR KRIVI PUT,PODBILO;PODBILO;3;1;1;0;1;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;SENJ;009;SENJ - MJESNI ODBOR KRASNO;MJESNI ODBOR KRASNO;KRASNO;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;001;BRINJE - OŠ BRINJE - PRIZEMLJE;OŠ BRINJE - PRIZEMLJE;BRINJE;21;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;002;BRINJE - OŠ BRINJE - I KAT;OŠ BRINJE - I KAT;BRINJE;28;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;003;BRINJE - OSNOVNA ŠKOLA KRIŽPOLJE;OSNOVNA ŠKOLA KRIŽPOLJE;KRIŽPOLJE;2;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;004;BRINJE - OŠ LETINAC;OŠ LETINAC;LETINAC;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;005;BRINJE - DOM PROKIKE;DOM PROKIKE;PROKIKE;58;1;1;1;0;0;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;006;BRINJE - OŠ KRIŽ KAMENICA;OŠ KRIŽ KAMENICA;KRIŽ KAMENICA;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;007;BRINJE - ZADRUŽNI DOM VODOTEČ;ZADRUŽNI DOM VODOTEČ;VODOTEČ;35;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;008;BRINJE - OSNOVNA ŠKOLA JEZERANE;OSNOVNA ŠKOLA JEZERANE;JEZERANE;3;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;009;BRINJE - OŠ LIPICE;OŠ LIPICE;LIPICE;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;BRINJE;010;BRINJE - OŠ STAJNICA;OŠ STAJNICA;STAJNICA;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;001;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIĆA 18;429;212;212;169;43;41;128
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;002;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIĆA 18;321;168;168;142;26;30;112
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;003;NEBLJUSI;ZGRADA DRUŠTVENOG DOMA NEBLJUSI;NEBLJUSI;163;91;91;75;16;15;60
09;LIČKO-SENJSKA ŽUPANIJA;općina;DONJI LAPAC;004;GORNJI LAPAC;"ZGRADA LOVAČKOG DRUŠTVA ""OZEBLIN""";GORNJI LAPAC;177;105;105;88;17;17;71
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;001;KARLOBAG;OSNOVNA ŠKOLA KARLOBAG;KARLOBAG, OBALA V. NAZORA 18;7;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;002;KARLOBAG;ŽUPNI STAN U CESARICI;CESARICA 41;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;003;KARLOBAG;LUGARNICA U SUŠNJU CESARIČKOM BR.1;SUŠANJ 1;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;KARLOBAG;004;KARLOBAG;OSNOVNA ŠKOLA LUKOVO ŠUGARJE;LUKOVO ŠUGARJE;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;001;LOVINAC;DOM KULTURE LOVINAC;LOVINAC;48;24;24;24;0;8;16
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;002;SVETI ROK;HOSTEL SVETI ROK;SVETI ROK;12;3;3;1;2;0;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;003;RIČICE;ZGRADA DOMA KULTURE U RIČICAMA;RIČICE;2;2;2;2;0;1;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;LOVINAC;004;ŠTIKADA;"PROSTORIJE UPRAVNE ZGRADE ""LIGNUM"" U ŠTIKADI";ŠTIKADA;78;56;56;51;5;11;40
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;001;PERUŠIĆ;DOM KULTURE U PERUŠIĆU;PERUŠIĆ, HRVATSKE MLADEŽI 3;12;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;002;PERUŠIĆ;ZGRADA BIVŠE POŠTE U PERUŠIĆU (PRIZEMLJE);PERUŠIĆ, TRG POPA MARKA MESIĆA 5;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;003;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE U POCRNIĆIMA;PERUŠIĆ;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;004;PERUŠIĆ;KUĆA JOSE KOLAKA (GRUBIŠE);MALO POLJE 59;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;005;PERUŠIĆ;KUĆA JURE JURKOVIĆA;KVARTE 41 A;8;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;006;PERUŠIĆ;KUĆA ŽELJKA KRULJCA, KALUĐEROVAC;KALUĐEROVAC 14 A;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;007;PERUŠIĆ;KUĆA GORDANE PETRIĆ, STUDENCI;STUDENCI 51 A;25;4;4;3;1;0;3
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;008;PERUŠIĆ;DRUŠTVENI DOM DONJI KOSINJ;DONJI KOSINJ;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;009;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE RUDINKA;DONJI KOSINJ;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;010;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE VUKELIĆI;DONJI KOSINJ;3;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;011;PERUŠIĆ;DRUŠTVENI DOM KOSINJSKI BAKOVAC;KOSINJSKI BAKOVAC;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;012;PERUŠIĆ;DRUŠTVENI DOM GORNJI KOSINJ;GORNJI KOSINJ 54;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;013;PERUŠIĆ;KUĆA RAJKA ŠTAKIĆA;MLAKVA 48/1;55;17;17;15;2;4;11
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;014;PERUŠIĆ;DRUŠTVENI DOM LIPOVO POLJE;LIPOVO POLJE;73;33;33;33;0;16;17
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;001;KORENICA;OŠ DR. F. TUĐMAN, KORENICA (BLAGOVAONICA ŠKOLE);RIJEČKA BR. 2, KORENICA;341;70;70;67;3;8;59
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;002;KORENICA;UGOSTITELJSKO TURISTIČKA ŠKOLA P.JEZERA (RESTORAN MRSINJ);ZAGREBAČKA BR. 2, KORENICA;278;71;71;68;3;8;60
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;003;MUKINJE;OSNOVNA ŠKOLA PLITVIČKA JEZERA;MUKINJE BR. 19;102;14;14;14;0;3;11
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;004;SMOLJANAC;OSNOVNA ŠKOLA SMOLJANAC;SMOLJANAC BR. 1;41;9;9;9;0;0;9
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;005;ČANAK;DRUŠTVENI DOM ČANAK;ČANAK BR. 50/1;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;006;DONJI VAGANAC;OSNOVNA ŠKOLA DONJI VAGANAC;VAGANAC BR. 26/1;5;2;2;1;1;0;1
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;007;LIČKO PETROVO SELO;PROSTORIJE UDRUGE TARA;LIČKO PETROVO SELO 55;86;52;52;39;13;0;39
09;LIČKO-SENJSKA ŽUPANIJA;općina;UDBINA;001;UDBINA;ZGRADA OPĆINE UDBINA (KANCELARIJA ZA SASTANKE);STJEPANA RADIĆA 6, UDBINA;330;220;220;209;11;5;204
09;LIČKO-SENJSKA ŽUPANIJA;općina;UDBINA;002;PODLAPAČA;OSNOVNA ŠKOLA PODLAPAČA (UČIONICA BROJ 2);PODLAPAČA 25;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;UDBINA;003;DEBELO BRDO;PROSTOR BIVŠE TRGOVINE (KRAJ OSNOVNE ŠKOLE);DEBELO BRDO 59;217;117;117;116;1;5;111
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;001;VRHOVINE-OŠ U ZALUŽNICI;OSNOVNA ŠKOLA U ZALUŽNICI;ZALUŽNICA;56;27;27;25;2;1;24
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;002;VRHOVINE - OŠ VRHOVINE;OŠ VRHOVINE;VRHOVINE;141;62;62;60;2;7;53
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;003;VRHOVINE - D. CENTAR ZA ST., G. VRHOVINE;DNEVNI CENTAR ZA STARIJE I NEMOĆNE OSOBE U GORNJIM VRHOVINAMA;GORNJE VRHOVINE;84;68;68;67;1;2;65
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;004;VRHOVINE - RUDOPOLJE KUĆA ŽIVKA VLAISAVLJEVIĆA;RUDOPOLJE U KUĆI ŽIVKA VLAISAVLJEVIĆA;RUDOPOLJE 21;29;18;18;18;0;2;16
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;005;VRHOVINE- TURJANSKI KUĆA BILJANE BRAKUS;U TURJANSKOM U KUĆI BILJANE BRAKUS;TURJANSKI 46;32;24;24;24;0;1;23
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;006;VRHOVINE - DRUŠTVENI DOM (PROSTORIJA MO) DONJI BABIN POTOK;DRUŠTVENI DOM (PROSTORIJA MO) DONJI BABIN POTOK;DONJI BABIN POTOK;49;33;33;32;1;5;27
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;007;VRHOVINE - GORNJI BABIN POTOK KUĆA DELIĆ LJUBICE;OBITELJSKA KUĆA LJUBICE DELIĆ;GORNJI BABIN POTOK 45;35;30;30;26;4;0;26
