Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ĐURO CAPOR;MATO FRANKOVIĆ;IVANA KONČEVSKI;MARO KRISTIĆ;ŽELJKO RAGUŽ;IVAN TROPAN;PERO VIĆAN;ANDRO VLAHUŠIĆ
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;011;DUBROVNIK G.K. MONTOVJERNA;OPĆINSKI SUD U DUBROVNIKU ATRIJ ISPRED SUDNICE BROJ 2;A. STARČEVIĆA 23;1330;666;666;651;15;105;197;11;41;56;62;99;80
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;012;DUBROVNIK G.K. MONTOVJERNA;OBRTNIČKA ŠKOLA;IVA VOJNOVIĆA 12;1410;732;731;713;18;113;214;6;47;56;60;105;112
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;013;DUBROVNIK G.K. MONTOVJERNA;"DJEČJI VRTIĆ ""PALČICA"" /DVORANA A/";I.VOJNOVIĆA 34;859;412;412;402;10;54;132;7;26;37;50;56;40
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;014;DUBROVNIK G.K. MONTOVJERNA;"DJEČJI VRTIĆ ""PALČICA"" /DVORANA B/";I.VOJNOVIĆA 34;1420;689;689;670;19;106;205;7;40;47;72;110;83
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;015;DUBROVNIK G.K. MONTOVJERNA;ZAVOD ZA JAVNO ZDRAVSTVO;OD SV. MIHAJLA 6;863;446;446;435;11;60;152;5;37;23;33;59;66
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;016;DUBROVNIK G.K. LAPAD;GRADSKI KOTAR LAPAD;KNEZA DOMAGOJA 2;1087;497;497;484;13;70;145;6;33;22;59;86;63
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;017;DUBROVNIK G.K. LAPAD;"OSNOVNA ŠKOLA  ""LAPAD""";OD BATALE  26;1197;579;579;561;18;87;186;7;34;33;57;69;88
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;018;DUBROVNIK G.K. LAPAD;"DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA ""A""";KRALJA TOMISLAVA  7;944;475;475;463;12;75;167;1;31;35;37;67;50
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;019;DUBROVNIK G.K. LAPAD;"DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA ""B""";KRALJA TOMISLAVA 7;560;271;271;264;7;46;90;8;10;18;25;32;35
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;020;DUBROVNIK G.K. LAPAD;"UPRAVNA ZGRADA ""DUBROVNIK - BABIN KUK""";ĆIRA CARIĆA 3;1364;753;753;739;14;85;278;8;41;59;41;113;114
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;021;DUBROVNIK G.K. LAPAD;"DJEČJI  VRTIĆ ""RADOST""";ŽRTAVA S DAKSE 36;559;304;304;297;7;56;100;1;23;19;29;27;42
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;022;DUBROVNIK G.K. GRUŽ;"PROSTORIJE GRADSKE ORGANIZACIJE  ""CRVENOG KRIŽA""";OBALA PAPE IVANA  PAVLA II 61;603;294;294;283;11;24;74;5;19;58;21;36;46
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;023;DUBROVNIK G.K. GRUŽ;AMBULANTA GRUŽ;ANDRIJE  HEBRANGA 79;1030;506;506;496;10;25;171;0;24;82;35;74;85
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;024;DUBROVNIK G.K. GRUŽ;"OSNOVNA ŠKOLA ""IVAN GUNDULIĆ"" DVORANA A";SUSTJEPANSKA 14;1299;619;619;605;14;78;193;8;36;39;62;66;123
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;025;DUBROVNIK G.K. GRUŽ;PROSTORIJE GRADSKOG KOTARA GRUŽ;OBALA STJEPANA RADIĆA 29;1036;508;508;495;13;66;143;4;31;61;40;58;92
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;026;DUBROVNIK G.K. GRUŽ;"OSNOVNA ŠKOLA ""IVAN GUNDULIĆ"" -DVORANA B";SUSTJEPANSKA 14;1446;702;702;693;9;58;245;15;45;64;49;72;145
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;027;DUBROVNIK G.K. GRUŽ;OPĆINSKI SUD U DUBROVNIKU -SUDNICA BROJ 1;DR. ANTE STARČEVIĆA 23;936;461;461;451;10;74;140;6;37;17;47;61;69
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;028;DUBROVNIK G.K. MOKOŠICA;DJEČIJI VRTIĆ I;UZ JADRANSKU CESTU BB,MOKOŠICA;1632;858;858;842;16;50;437;12;48;47;27;127;94
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;029;DUBROVNIK G.K. MOKOŠICA;DJEČIJI VRTIĆ II;UZ JADRANSKU CESTU BB, MOKOŠICA;594;312;312;308;4;14;197;2;9;26;3;30;27
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;030;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA I. (NOVA MOKOŠICA);BARTOLA KAŠIĆA  20;702;348;348;341;7;36;152;3;15;17;26;37;55
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;031;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA II. (NOVA MOKOŠICA);BARTOLA KAŠIĆA 20;1075;495;495;475;20;28;209;6;33;43;22;75;59
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;032;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA III. (NOVA MOKOŠICA);BARTOLA KAŠIĆA 20;1113;563;556;539;17;44;206;10;38;57;29;79;76
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;033;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA IV;BARTOLA KAŠIĆA 20;1181;555;555;538;17;38;237;5;28;38;38;66;88
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;034;DUBROVNIK G.K. MOKOŠICA;BARAKA-KLUB UMIROVLJENIKA;NOVA MOKOŠICA;1265;696;696;678;18;78;253;19;53;47;40;100;88
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;035;DUBROVNIK G.K.KOMOLAC;GRADSKI KOTAR KOMOLAC,;NA SKALI 2. ( POVIŠE KONZUMA);1532;758;758;730;28;57;307;8;68;61;27;116;86
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;036;DUBROVNIK M.O. GROMAČA;MJESNI ODBOR GROMAČA;GROMAČA BB;132;105;105;104;1;0;60;1;3;4;0;31;5
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;037;DUBROVNIK M.O. KLIŠEVO;DOM KLIŠEVO;KLIŠEVO;47;41;41;41;0;1;19;2;0;2;0;16;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;038;KOLOČEP M.O. KOLOČEP;"OSNOVNA ŠKOLA ""KOLOČEP""";DONJE ČELO BB;245;120;120;119;1;14;47;5;7;5;9;4;28
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;039;LJUBAČ M.O. LJUBAČ;DOM LJUBAČ;LJUBAČ BB;67;53;53;52;1;1;26;0;0;6;3;11;5
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;040;LOPUD M.O. LOPUD;"OSNOVNA ŠKOLA ""ANTUN MASLE""";LOPUD;320;125;125;122;3;7;35;6;27;11;9;11;16
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;041;MRAVINJAC M.O. MRAVINJAC;MJESNI ODBOR MRAVINJAC;MRAVINJAC BB;53;49;49;49;0;0;38;0;1;5;0;5;0
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;042;MRČEVO M.O. MRČEVO;MJESNI ODBOR MRČEVO;MRČEVO BB;91;84;84;84;0;2;56;0;1;9;0;14;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;043;ORAŠAC M.O. ORAŠAC;MATIČNI URED ORAŠAC;NA KOMARDI 21;646;399;399;391;8;21;203;11;15;8;15;92;26
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;044;OSOJNIK M.O.OSOJNIK;MJESNI ODBOR OSOJNIK,;NA GUTIĆI 11 , OSOJNIK;268;201;201;197;4;10;128;3;4;8;1;32;11
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;045;RIĐICA M.O. RIĐICA;MJESNI DOM RIĐICA;RIĐICA BB;22;21;21;21;0;0;13;0;0;0;0;6;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;046;SUĐURAĐ M.O. SUĐURAĐ;OSNOVNA ŠKOLA SUĐURAĐ;SUĐURAĐ BB;215;108;108;108;0;9;40;1;11;12;4;25;6
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;047;SUSTJEPAN G.K. GRUŽ;DRUŠTV.PROST NA SPORTS. IGRALIŠTU SUSTJEPAN;SUSTJEPAN BB;266;173;173;169;4;12;51;4;18;20;3;25;36
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;048;ŠIPAN M.O. ŠIPANSKA LUKA;DOM MLADEŽI  ŠIPAN - ŠIPANSKA LUKA;ŠIPANSKA LUKA  BB;253;167;167;159;8;13;45;3;9;40;7;24;18
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;049;TRSTENO M.O. TRSTENO;ZGRADA OSNOVNE ŠKOLE TRSTENO;TRSTENO BB;210;159;159;154;5;9;80;7;2;24;2;26;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;050;ZATON MALI M.O. ZATON;DOM MLADEŽI ZATON MALI;ZATON MALI BB;775;416;416;407;9;51;143;7;18;21;14;91;62
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;051;ZATON VELIKI M.O. ZATON;"URED ""TIC""-A,  ZATON VELIKI";ZATON VELIKI;345;182;182;177;5;19;76;5;6;6;9;44;12
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;052;HRVATSKE ŠUME D.O.O.;ŠUMARIJA DUBROVNIK;BOSANKA 49A, BOSANKA;127;72;72;69;3;5;26;4;7;7;3;13;4
