Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKOLA DOBROSLAVIĆ;MARKO GILJAČA;KARLO GJURAŠIĆ;TEREZINA ORLIĆ;BOŽO PETROV;ROKO TOLIĆ
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;011;DUBROVNIK G.K. MONTOVJERNA;OPĆINSKI SUD U DUBROVNIKU ATRIJ ISPRED SUDNICE BROJ 2;A. STARČEVIĆA 23;1330;666;666;651;15;156;95;42;67;101;190
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;012;DUBROVNIK G.K. MONTOVJERNA;OBRTNIČKA ŠKOLA;IVA VOJNOVIĆA 12;1410;732;727;705;22;176;102;51;67;103;206
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;013;DUBROVNIK G.K. MONTOVJERNA;"DJEČJI VRTIĆ ""PALČICA"" /DVORANA A/";I.VOJNOVIĆA 34;859;412;412;398;14;122;55;28;41;50;102
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;014;DUBROVNIK G.K. MONTOVJERNA;"DJEČJI VRTIĆ ""PALČICA"" /DVORANA B/";I.VOJNOVIĆA 34;1420;689;688;667;21;162;90;36;82;105;192
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;015;DUBROVNIK G.K. MONTOVJERNA;ZAVOD ZA JAVNO ZDRAVSTVO;OD SV. MIHAJLA 6;863;446;446;435;11;129;46;17;37;77;129
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;016;DUBROVNIK G.K. LAPAD;GRADSKI KOTAR LAPAD;KNEZA DOMAGOJA 2;1087;497;497;479;18;104;51;15;55;94;160
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;017;DUBROVNIK G.K. LAPAD;"OSNOVNA ŠKOLA  ""LAPAD""";OD BATALE  26;1197;579;579;556;23;140;80;25;46;88;177
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;018;DUBROVNIK G.K. LAPAD;"DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA ""A""";KRALJA TOMISLAVA  7;944;475;475;462;13;135;70;25;33;71;128
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;019;DUBROVNIK G.K. LAPAD;"DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA ""B""";KRALJA TOMISLAVA 7;560;271;271;262;9;72;39;8;27;37;79
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;020;DUBROVNIK G.K. LAPAD;"UPRAVNA ZGRADA ""DUBROVNIK - BABIN KUK""";ĆIRA CARIĆA 3;1364;753;753;725;28;211;74;42;55;115;228
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;021;DUBROVNIK G.K. LAPAD;"DJEČJI  VRTIĆ ""RADOST""";ŽRTAVA S DAKSE 36;559;304;304;294;10;82;47;14;23;52;76
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;022;DUBROVNIK G.K. GRUŽ;"PROSTORIJE GRADSKE ORGANIZACIJE  ""CRVENOG KRIŽA""";OBALA PAPE IVANA  PAVLA II 61;603;294;294;281;13;60;13;37;28;43;100
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;023;DUBROVNIK G.K. GRUŽ;AMBULANTA GRUŽ;ANDRIJE  HEBRANGA 79;1030;506;506;490;16;154;34;52;58;58;134
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;024;DUBROVNIK G.K. GRUŽ;"OSNOVNA ŠKOLA ""IVAN GUNDULIĆ"" DVORANA A";SUSTJEPANSKA 14;1299;619;619;608;11;175;66;36;51;98;182
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;025;DUBROVNIK G.K. GRUŽ;PROSTORIJE GRADSKOG KOTARA GRUŽ;OBALA STJEPANA RADIĆA 29;1036;508;508;493;15;125;59;52;32;82;143
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;026;DUBROVNIK G.K. GRUŽ;"OSNOVNA ŠKOLA ""IVAN GUNDULIĆ"" -DVORANA B";SUSTJEPANSKA 14;1446;701;701;680;21;219;61;56;58;94;192
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;027;DUBROVNIK G.K. GRUŽ;OPĆINSKI SUD U DUBROVNIKU -SUDNICA BROJ 1;DR. ANTE STARČEVIĆA 23;936;461;461;449;12;115;55;17;41;77;144
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;028;DUBROVNIK G.K. MOKOŠICA;DJEČIJI VRTIĆ I;UZ JADRANSKU CESTU BB,MOKOŠICA;1632;858;858;834;24;340;57;31;103;153;150
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;029;DUBROVNIK G.K. MOKOŠICA;DJEČIJI VRTIĆ II;UZ JADRANSKU CESTU BB, MOKOŠICA;594;312;312;305;7;167;10;19;26;44;39
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;030;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA I. (NOVA MOKOŠICA);BARTOLA KAŠIĆA  20;702;348;348;334;14;115;29;10;28;63;89
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;031;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA II. (NOVA MOKOŠICA);BARTOLA KAŠIĆA 20;1075;495;495;473;22;151;39;24;49;95;115
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;032;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA III. (NOVA MOKOŠICA);BARTOLA KAŠIĆA 20;1113;563;558;536;22;192;42;33;56;97;116
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;033;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA IV;BARTOLA KAŠIĆA 20;1181;555;555;540;15;184;35;20;51;88;162
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;034;DUBROVNIK G.K. MOKOŠICA;BARAKA-KLUB UMIROVLJENIKA;NOVA MOKOŠICA;1265;695;695;675;20;184;72;29;83;141;166
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;035;DUBROVNIK G.K.KOMOLAC;GRADSKI KOTAR KOMOLAC,;NA SKALI 2. ( POVIŠE KONZUMA);1532;758;758;736;22;237;59;59;63;132;186
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;036;DUBROVNIK M.O. GROMAČA;MJESNI ODBOR GROMAČA;GROMAČA BB;132;105;105;105;0;57;1;3;26;11;7
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;037;DUBROVNIK M.O. KLIŠEVO;DOM KLIŠEVO;KLIŠEVO;47;41;41;40;1;15;0;2;16;4;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;038;KOLOČEP M.O. KOLOČEP;"OSNOVNA ŠKOLA ""KOLOČEP""";DONJE ČELO BB;245;120;120;114;6;38;11;9;5;23;28
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;039;LJUBAČ M.O. LJUBAČ;DOM LJUBAČ;LJUBAČ BB;67;53;53;51;2;27;0;3;6;5;10
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;040;LOPUD M.O. LOPUD;"OSNOVNA ŠKOLA ""ANTUN MASLE""";LOPUD;320;125;125;121;4;28;12;3;7;47;24
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;041;MRAVINJAC M.O. MRAVINJAC;MJESNI ODBOR MRAVINJAC;MRAVINJAC BB;53;49;49;49;0;32;0;0;5;2;10
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;042;MRČEVO M.O. MRČEVO;MJESNI ODBOR MRČEVO;MRČEVO BB;91;84;84;83;1;54;1;5;9;3;11
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;043;ORAŠAC M.O. ORAŠAC;MATIČNI URED ORAŠAC;NA KOMARDI 21;646;399;399;382;17;168;13;9;58;52;82
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;044;OSOJNIK M.O.OSOJNIK;MJESNI ODBOR OSOJNIK,;NA GUTIĆI 11 , OSOJNIK;268;201;201;195;6;109;6;6;19;15;40
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;045;RIĐICA M.O. RIĐICA;MJESNI DOM RIĐICA;RIĐICA BB;22;21;21;21;0;12;0;0;4;2;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;046;SUĐURAĐ M.O. SUĐURAĐ;OSNOVNA ŠKOLA SUĐURAĐ;SUĐURAĐ BB;215;108;108;107;1;37;8;10;13;25;14
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;047;SUSTJEPAN G.K. GRUŽ;DRUŠTV.PROST NA SPORTS. IGRALIŠTU SUSTJEPAN;SUSTJEPAN BB;266;173;173;166;7;48;13;9;11;37;48
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;048;ŠIPAN M.O. ŠIPANSKA LUKA;DOM MLADEŽI  ŠIPAN - ŠIPANSKA LUKA;ŠIPANSKA LUKA  BB;253;167;167;159;8;40;12;40;23;15;29
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;049;TRSTENO M.O. TRSTENO;ZGRADA OSNOVNE ŠKOLE TRSTENO;TRSTENO BB;210;159;159;151;8;68;8;14;13;18;30
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;050;ZATON MALI M.O. ZATON;DOM MLADEŽI ZATON MALI;ZATON MALI BB;775;416;416;410;6;117;42;14;65;56;116
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;051;ZATON VELIKI M.O. ZATON;"URED ""TIC""-A,  ZATON VELIKI";ZATON VELIKI;345;182;182;176;6;63;20;4;27;27;35
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;052;HRVATSKE ŠUME D.O.O.;ŠUMARIJA DUBROVNIK;BOSANKA 49A, BOSANKA;127;72;72;70;2;19;2;3;24;15;7
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;001;KORČULA;ZGRADI CENTRA ZA KULTURU KORČULA;KORČULA;991;590;590;568;22;260;149;6;5;112;36
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;002;HOTEL MARKO POLO KORČULA;KORČULA;KORČULA;509;290;289;280;9;124;60;2;10;57;27
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;003;KORČULA;SREDNJA ŠKOLA PETRA ŠEGEDINA KORČULA - ZGRADA SV. ANTUN;KORČULA;1263;707;707;680;27;295;143;2;17;163;60
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;004;ŽRNOVO;ZGRADA OSNOVNE ŠKOLE;ŽRNOVO;1024;654;654;619;35;330;98;3;7;92;89
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;005;PUPNAT;DOM KULTURE U PUPNATU;PUPNAT;348;217;217;205;12;131;35;0;4;26;9
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;006;ČARA;DOM KULTURE U ČARI;ČARA;537;371;371;334;37;152;30;3;9;62;78
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;007;RAČIŠĆE;"HOTEL ""MEDITERAN"" U RAČIŠĆU";RAČIŠĆE;412;268;268;244;24;111;57;7;7;33;29
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;001;METKOVIĆ;GRADSKO KULTURNO SREDIŠTE;S. RADIĆA 1;626;377;377;362;15;160;8;1;3;159;31
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;002;METKOVIĆ;GRADSKO KULTURNO SREDIŠTE;STJEPANA RADIĆA 1;850;469;469;461;8;222;10;2;2;199;26
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;003;METKOVIĆ;GIMNAZIJA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1152;654;654;627;27;310;9;3;7;243;55
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;004;METKOVIĆ;GIMNAZIJA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;711;367;364;349;15;150;12;4;3;163;17
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;005;METKOVIĆ;DUBRAVICA-MJESNI URED ,DUBRAVICA B.B.;DUBRAVICA B.B.;114;71;71;68;3;43;4;1;1;18;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;006;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL. KRALJA ZVONIMIRA 12;1113;629;629;607;22;299;8;2;14;252;32
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;007;METKOVIĆ;ZGRADA POLITIČKIH STRANAKA;UL.KRALJA ZVONIMIRA 20;741;422;422;409;13;196;5;2;2;179;25
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;008;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1231;737;736;714;22;406;9;3;3;267;26
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;009;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1110;646;646;622;24;384;6;3;7;201;21
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;010;METKOVIĆ;PROSTOR METKOVIĆ D.O.O.;MOSTARSKA 10 (UNKA);849;478;478;454;24;248;8;0;5;158;35
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;011;METKOVIĆ;ZGRADA PRAVOSUDNIH TIJELA;UL.A.HEBRANGA 9;1096;552;551;540;11;281;6;2;2;231;18
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;012;METKOVIĆ;ZGRADA PRAVOSUDNIH TIJELA;UL.A.HEBRANGA 9;1204;613;613;587;26;300;5;5;6;252;19
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;013;METKOVIĆ;"OŠ""DON M.PAVLINOVIĆ""";A.STEPINCA BR.2.;913;500;500;467;33;232;15;6;1;177;36
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;014;METKOVIĆ;"OŠ""DON M.PAVLINOVIĆA""";A.STEPINCA 2;1179;677;677;646;31;298;13;2;4;296;33
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;015;VID;DRUŠTVENE PROSTORIJE;VID, LEDENE GOSPE 22;667;416;416;389;27;204;7;4;8;157;9
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;016;PRUD;PODRUČNA ŠKOLA PRUD;PRUD;428;248;248;240;8;145;4;1;2;82;6
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;001;OPUZEN;OSNOVNA ŠKOLA;S.S. KRANJČEVIĆA 11;866;547;547;507;40;227;10;2;7;210;51
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;002;OPUZEN;OSNOVNA ŠKOLA;S.S. KRANJČEVIĆA 11;783;458;458;421;37;236;11;5;1;131;37
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;003;OPUZEN;SREDNJA ŠKOLA OPUZEN;TRG OPUZENSKE BOJNE 5;532;321;321;302;19;176;12;1;1;81;31
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;004;OPUZEN (VLAKA);KUĆA BRANKE PROVIĆA (PIKA);BANA JOSIPA JELAČIĆA 66;437;235;235;219;16;136;4;0;5;59;15
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;001;PLOČE;SREDNJA ŠKOLA FRA A.K.MIOŠIĆA;PLOČE;714;476;476;435;41;141;22;5;9;97;161
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;002;PLOČE;"OŠ ""VLADIMIR NAZOR""";PLOČE;761;472;472;452;20;165;23;5;6;100;153
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;003;PLOČE;DJEČJI VRTIĆ U PLOČAMA;PLOČE;710;456;456;422;34;128;22;4;2;81;185
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;004;PLOČE;MJESNI ODBOR U PLOČAMA;V. NAZORA 45;530;351;351;322;29;87;16;3;5;74;137
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;005;PLOČE;PUČKO UČILIŠTE U PLOČAMA;PLOČE;242;159;159;153;6;70;2;6;1;26;48
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;006;PLOČE;PROSTORIJE GRADA PLOČA;TRG KRALJA TOMISLAVA 23;914;615;615;581;34;186;19;5;5;114;252
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;007;STABLINA;MJESNI ODBOR U STABLINI;STABLINA;763;574;574;548;26;275;14;2;9;70;178
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;008;KOMIN;DOM KULTURE U KOMINU;KOMIN;1004;668;668;634;34;355;13;3;1;116;146
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;009;ROGOTIN;DOM KULTURE U ROGOTINU;ROGOTIN;558;406;406;394;12;256;7;0;2;84;45
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;010;ŠARIĆ STRUGA;DOM KULTURE U ŠARIĆ STRUGI;ŠARIĆ STRUGA;188;131;131;125;6;70;1;3;1;20;30
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;011;BANJA;"""KUĆA POK.JOKE BATINOVIĆA""";PUT VRILA 5, BANJA;152;111;111;108;3;39;3;0;0;29;37
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;012;BAĆINA;DOM KULTURE U BAĆINI;BAĆINA;498;330;330;307;23;75;34;6;4;62;126
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;013;PERAČKO BLATO;DOM KULTURE U PERAČKOM BLATU;PERAČKO BLATO;262;207;207;191;16;47;11;1;4;49;79
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;014;STAŠEVICA;DOM KULTURE-ZGRADA STARE ŠKOLE U STAŠEVICI;STAŠEVICA;458;332;332;314;18;155;14;3;5;37;100
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;015;STAŠEVICA-SPILICE;DOM KULTURE U STAŠEVICI -SPILICE;STAŠEVICA-SPILICE;321;228;228;217;11;102;11;5;5;42;52
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;001;BLATO;"PROSTORIJA ""SREDNJA ŠKOLA BLATO""";ULICA 1 BROJ 25/I;595;436;436;416;20;232;33;2;12;75;62
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;002;BLATO;"PROSTORIJA ""V.U. KUMPANJIJA""";ULICA 82 BROJ 8;1020;659;659;637;22;328;53;6;10;145;95
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;003;BLATO;"PROSTORIJA ""KLAVIR SALA DOMA KULTURE""";TRG DR. FRANJE TUĐMANA 4;703;481;481;457;24;286;30;4;6;70;61
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;004;BLATO;"PROSTORIJA ""OSNOVNA ŠKOLA BLATO""";ULICA 1 BROJ 25/2;918;609;609;585;24;343;44;5;3;102;88
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;001;MAJKOVI;ZGRADA VATROGASNOG DOMA BIRAČKO MJESTO I;MAJKOVI BB;160;95;95;89;6;44;8;0;13;14;10
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;002;SLANO;ZGRADA DJEČJEG VRTIĆA BIRAČKO MJESTO II;SLANO BB;546;343;343;336;7;154;18;4;42;52;66
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;003;BANIĆI;EX ŠKOLA BANIĆI BIRAČKO MJESTO III;BANIĆI BB;209;124;124;121;3;62;5;2;9;21;22
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;004;LISAC;ZGRADA ŠKOLE BIRAČKO MJESTO IV.;LISAC BB;140;72;72;70;2;35;5;1;4;13;12
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;005;DOLI;DOM ZADUŽBINE MIHANOVIĆ U DOLIMA BIRAČKO MJESTO V.;DOLI BB;172;85;85;85;0;24;5;3;13;15;25
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;006;VISOČANI;SEOSKI DOM U VISOČANIMA BIRAČKO MJESTO VI.;VISOČANI BB;149;103;103;102;1;76;5;1;5;11;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;007;OŠLJE;ZGRADA ŠKOLE  BIRAČKO MJESTO VII.;OŠLJE BB;116;72;72;70;2;42;1;2;9;4;12
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;008;TOPOLO;ZGRADA ŠKOLE BIRAČKO MJESTO VIII.;TOPOLO BB;175;98;98;97;1;51;5;0;31;3;7
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;JANJINA;001;JANJINA;ATRIJ ZADRUŽNOG DOMA JANJINA;JANJINA 52;328;153;153;149;4;77;10;1;6;40;15
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;JANJINA;002;SRESER;URED TURISTIČKE ZAJEDNICE U SRESERU;SRESER, KRAJ 23;175;63;63;61;2;24;1;1;2;30;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;JANJINA;003;OSOBJAVA;ZGRADA MJESNOG ODBORA U OSOBJAVI;BEZEKOVIĆI 1;57;32;32;32;0;11;3;0;1;16;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;001;CAVTAT;DOM KULTURE;CAVTAT BB;713;407;407;386;21;146;54;5;15;41;125
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;002;CAVTAT;OSNOVNA ŠKOLA CAVTAT;STJEPANA RADIĆA 3;768;382;382;370;12;133;32;11;9;79;106
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;003;CAVTAT;HOTELI CAVTAT D.D., HOTEL EPIDAURUS;CAVTAT, OD ŽALA 1;424;237;237;232;5;102;9;8;14;36;63
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;004;ZVEKOVICA;OMLADINSKI DOM NA  ZVEKOVICI;ZVEKOVICA BB;542;290;290;285;5;110;22;8;11;44;90
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;005;ČILIPI;"OSNOVNA ŠKOLA ""ČILIPI""";ČILIPI BB;812;465;465;447;18;146;37;9;21;97;137
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;006;DUBRAVKA;"DOM ""BUTKOVINA"" DUBRAVKA";DUBRAVKA BB;351;217;217;212;5;92;12;2;6;25;75
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;007;GABRILE;"OŠ ""GABRILE""";GABRILE BB;181;119;119;112;7;57;5;4;4;12;30
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;008;GRUDA;"OSNOVNA ŠKOLA ""GRUDA""";GRUDA BB;740;488;488;465;23;166;56;12;25;92;114
