Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA SELJAČKA STRANKA - HSS;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NEZAVISNA LISTA MLADIH - NLM;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;013;BIRAČKO MJESTO 13;PROSTORIJA ŽELJEZNIČKOG KOLODVORA DRNIŠ U BADNJU, BADANJ;ŽELJEZNIČKA STANICA 6 A;221;92;92;88;4;47;2;9;11;19;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;014;BIRAČKO MJESTO 14;KUĆA ZVONIMIRA DŽALE U KRIČKAMA;KOD CRKVE KRALJICE MIRA 20;194;73;73;73;0;36;5;9;11;12;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;015;BIRAČKO MJESTO 15;OSNOVNA ŠKOLA U SEDRAMIĆU;MILAKOVIĆI 1;159;107;107;106;1;92;0;7;3;4;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;016;BIRAČKO MJESTO 16;KUĆA MILE MUJANA U ŽITNIĆU;MUJANI 4B, ŽITNIĆ;139;68;68;67;1;22;1;19;10;13;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;017;BIRAČKO MJESTO 17;OSNOVNA ŠKOLA U PAKOVU SELU;KOD ŠKOLE 10;177;131;131;123;8;102;2;5;11;3;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;018;BIRAČKO MJESTO 18;OSNOVNA ŠKOLA U POKROVNIKU;LUCIĆI 29;185;93;93;90;3;50;1;12;14;13;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;019;BIRAČKO MJESTO 19;OSNOVNA ŠKOLA U RADONIĆU;KOD ŠKOLE 1;327;140;140;131;9;58;0;8;18;47;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;020;BIRAČKO MJESTO 20;OSNOVNA ŠKOLA U SIVERIĆU;OKO ŠKOLE 7;441;227;227;223;4;86;9;6;41;78;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;021;BIRAČKO MJESTO 21;KUĆA MIROSLAVA ĆOSIĆA U TEPLJUHU;PERIČIĆI 16;115;41;41;38;3;5;2;4;3;7;17
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;022;BIRAČKO MJESTO 22;KUĆA DRAGANA GUNDELJA U BIOČIĆU;GUNDELJI I DEVIĆI 11;94;33;33;32;1;2;0;0;4;0;26
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;023;BIRAČKO MJESTO 23;DOM KULTURE U MIOČIĆU;PUT PARČIĆA 1;94;17;17;16;1;3;0;0;1;0;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;024;BIRAČKO MJESTO 24;KUĆA DRAŽENA BAKOVIĆA  U PARČIĆU;BANOVCI 4 A;129;60;60;60;0;25;1;9;3;21;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;025;BIRAČKO MJESTO 25;KUĆA IVICE KRANJCA (GRILE) U KADINOJ GLAVICI;DONJE GORETE 7;159;101;101;100;1;59;2;20;6;13;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;026;BIRAČKO MJESTO 26;KUĆA BOŽICE VUDRAGOVIĆ U ŠTIKOVU;VUJEVIĆI 8;54;19;19;19;0;5;2;1;0;2;9
