Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JOSIP BEGONJA;ANTE GALIĆ;ANĐELKA TOMIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;014;BIRAČKO MJESTO 14;KUĆA ZVONIMIRA DŽALE U KRIČKAMA;KOD CRKVE KRALJICE MIRA 20;194;73;73;71;2;38;17;16
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;015;BIRAČKO MJESTO 15;OSNOVNA ŠKOLA U SEDRAMIĆU;MILAKOVIĆI 1;159;107;107;103;4;91;6;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;016;BIRAČKO MJESTO 16;KUĆA MILE MUJANA U ŽITNIĆU;MUJANI 4B, ŽITNIĆ;139;68;68;67;1;30;17;20
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;017;BIRAČKO MJESTO 17;OSNOVNA ŠKOLA U PAKOVU SELU;KOD ŠKOLE 10;177;131;131;121;10;100;16;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;018;BIRAČKO MJESTO 18;OSNOVNA ŠKOLA U POKROVNIKU;LUCIĆI 29;185;93;93;89;4;51;20;18
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;019;BIRAČKO MJESTO 19;OSNOVNA ŠKOLA U RADONIĆU;KOD ŠKOLE 1;327;139;139;127;12;60;23;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;020;BIRAČKO MJESTO 20;OSNOVNA ŠKOLA U SIVERIĆU;OKO ŠKOLE 7;441;227;227;220;7;96;40;84
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;021;BIRAČKO MJESTO 21;KUĆA MIROSLAVA ĆOSIĆA U TEPLJUHU;PERIČIĆI 16;115;43;43;41;2;25;5;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;022;BIRAČKO MJESTO 22;KUĆA DRAGANA GUNDELJA U BIOČIĆU;GUNDELJI I DEVIĆI 11;94;33;33;32;1;15;6;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;023;BIRAČKO MJESTO 23;DOM KULTURE U MIOČIĆU;PUT PARČIĆA 1;94;17;17;15;2;11;1;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;024;BIRAČKO MJESTO 24;KUĆA DRAŽENA BAKOVIĆA  U PARČIĆU;BANOVCI 4 A;129;60;60;60;0;25;3;32
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;025;BIRAČKO MJESTO 25;KUĆA IVICE KRANJCA (GRILE) U KADINOJ GLAVICI;DONJE GORETE 7;159;101;101;98;3;56;14;28
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;026;BIRAČKO MJESTO 26;KUĆA BOŽICE VUDRAGOVIĆ U ŠTIKOVU;VUJEVIĆI 8;54;19;19;19;0;7;4;8
