Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;OGNJEN VUKMIROVIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA U TRBOUNJU;KOD ŠKOLE 4;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;012;BIRAČKO MJESTO 12;KUĆA IVICE TARLE U VELUŠIĆU;TARLE 5;16;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;013;BIRAČKO MJESTO 13;PROSTORIJA ŽELJEZNIČKOG KOLODVORA DRNIŠ U BADNJU, BADANJ;ŽELJEZNIČKA STANICA 6 A;1;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;014;BIRAČKO MJESTO 14;KUĆA ZVONIMIRA DŽALE U KRIČKAMA;KOD CRKVE KRALJICE MIRA 20;33;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;015;BIRAČKO MJESTO 15;OSNOVNA ŠKOLA U SEDRAMIĆU;MILAKOVIĆI 1;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;016;BIRAČKO MJESTO 16;KUĆA MILE MUJANA U ŽITNIĆU;MUJANI 4B, ŽITNIĆ;12;2;2;2;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;017;BIRAČKO MJESTO 17;OSNOVNA ŠKOLA U PAKOVU SELU;KOD ŠKOLE 10;1;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;018;BIRAČKO MJESTO 18;OSNOVNA ŠKOLA U POKROVNIKU;LUCIĆI 29;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;019;BIRAČKO MJESTO 19;OSNOVNA ŠKOLA U RADONIĆU;KOD ŠKOLE 1;2;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;020;BIRAČKO MJESTO 20;OSNOVNA ŠKOLA U SIVERIĆU;OKO ŠKOLE 7;13;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;021;BIRAČKO MJESTO 21;KUĆA MIROSLAVA ĆOSIĆA U TEPLJUHU;PERIČIĆI 16;71;27;27;27;0;27
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;022;BIRAČKO MJESTO 22;KUĆA DRAGANA GUNDELJA U BIOČIĆU;GUNDELJI I DEVIĆI 11;68;30;30;29;1;29
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;023;BIRAČKO MJESTO 23;DOM KULTURE U MIOČIĆU;PUT PARČIĆA 1;55;15;15;15;0;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;024;BIRAČKO MJESTO 24;KUĆA DRAŽENA BAKOVIĆA  U PARČIĆU;BANOVCI 4 A;11;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;025;BIRAČKO MJESTO 25;KUĆA IVICE KRANJCA (GRILE) U KADINOJ GLAVICI;DONJE GORETE 7;9;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;026;BIRAČKO MJESTO 26;KUĆA BOŽICE VUDRAGOVIĆ U ŠTIKOVU;VUJEVIĆI 8;25;10;10;10;0;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;001;BIRAČKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46, KNIN;22;2;2;2;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;002;BIRAČKO MJESTO 2;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;98;24;24;22;2;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;003;BIRAČKO MJESTO 3;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;124;13;13;13;0;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;004;BIRAČKO MJESTO 4;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA 2, KNIN;116;10;10;8;2;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;005;BIRAČKO MJESTO 5;"PROSTORIJE ""UPRAVITELJ KNIN"" (BIVŠA TRŽNICA D.O.O.)";VUKOVARSKA 2, KNIN;91;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;006;BIRAČKO MJESTO 6;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;106;7;7;7;0;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;007;BIRAČKO MJESTO 7;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;105;11;11;11;0;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;008;BIRAČKO MJESTO 8;PRIVATNA KUĆA ANDRIJE ŠKEGRO;DOMOVINSKOG RATA 33, KOVAČIĆ;258;58;58;55;3;55
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;009;BIRAČKO MJESTO 9;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48, KNIN;258;29;29;27;2;27
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;010;BIRAČKO MJESTO 10;ZGRADA OŠ DR. FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;88;2;2;2;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;011;BIRAČKO MJESTO 11;ZGRADA OŠ DR.FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;88;8;8;6;2;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;012;BIRAČKO MJESTO 12;KUĆA VLATKE ČOVIĆ;SURONJINA 15, KNIN;149;22;22;22;0;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;013;BIRAČKO MJESTO 13;DOM KULTURE U VRPOLJU;FRA ANDRIJE MARIĆA 2, VRPOLJE;55;3;3;3;0;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;014;BIRAČKO MJESTO 14;OSNOVNA ŠKOLA DOMOVINSKE ZAHVALNOSTI, PODRUČNA ŠKOLA GOLUBIĆ;GOLUBIĆ;226;64;64;60;4;60
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;015;BIRAČKO MJESTO 15;ZGRADA NOVE AMBULANTE;PLAVNO;165;51;51;46;5;46
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;016;BIRAČKO MJESTO 16;KUĆA ĐURE RADOŠA;CENTAR 34, STRMICA;175;78;78;76;2;76
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;017;BIRAČKO MJESTO 17;ZGRADA TELEKOMUNIKACIJA-POŠTA;ZADARSKA 1, ŽAGROVIĆ;311;148;148;141;7;141
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;018;BIRAČKO MJESTO 18;KUĆA ILIJE ORLOVIĆA;LJUBAČ;44;28;28;20;8;20
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;019;BIRAČKO MJESTO 19;KUĆA VLASNIŠTVA VELJKA TANJGE;OČESTOVO;83;38;38;38;0;38
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;020;BIRAČKO MJESTO 20;KUĆA RADOJKE MILIVOJEVIĆ;POLAČA;145;72;72;66;6;66
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;001;BIRAČKO MJESTO 1;"""KULTURNI CENTAR U SKRADINU""";ANTUNA BECIĆA 2, SKRADIN;113;17;17;17;0;17
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;002;BIRAČKO MJESTO 2;PROSTORIJE OSNOVNE ŠKOLE U DUBRAVICAMA;DUBRAVICE;54;15;15;15;0;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;003;BIRAČKO MJESTO 3;KUĆA JOSE SLADIĆA POK. GRGE U PLASTOVU;PLASTOVO;119;36;36;24;12;24
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;004;BIRAČKO MJESTO 4;PROSTORIJE OSNOVNE ŠKOLE U RUPAMA;RUPE;3;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;005;BIRAČKO MJESTO 5;POSLOVNI PROSTOR DALIBORA DUJIĆA - POSLOVNA ZONA KOSA BB;IĆEVO;22;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;006;BIRAČKO MJESTO 6;POLJOPRIVREDNA ZADRUGA BRANITELJA BRATIŠKOVCI-BRIBIR;DOBROTE VULINOVIĆI 52 A, BRATIŠKOVCI;214;61;61;59;2;59
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;007;BIRAČKO MJESTO 7;POSLOVNI PROSTOR ZDRAVKA MARETIĆA U VAĆANIMA;DONJI VAĆANI 15;74;21;21;19;2;19
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;008;BIRAČKO MJESTO 8;"PROSTORIJE BOĆARSKOG KLUBA ""SONKOVIĆ"" U SONKOVIĆU";SONKOVIĆ;262;130;130;109;21;109
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;009;BIRAČKO MJESTO 9;POSLOVNI PROSTOR JOŠKA CIGIĆA U BRIBIRU (BIVŠA OSNOVNA ŠKOLA);BRIBIRSKE MOSTINE BB;197;52;52;44;8;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;010;BIRAČKO MJESTO 10;PROSTORIJE OSNOVNE ŠKOLE U PIRAMATOVCIMA;PIRAMATOVCI;3;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;011;BIRAČKO MJESTO 11;PROSTORIJE OSNOVNE ŠKOLE  U KRKOVIĆU;KRKOVIĆ;23;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;001;BIRAČKO MJESTO 1;TURISTIČKO - UGOSTITELJSKA ŠKOLA;ANTE ŠUPUKA BB, ŠIBENIK;24;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;002;BIRAČKO MJESTO 2;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A , ŠIBENIK;9;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;003;BIRAČKO MJESTO 3;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A, ŠIBENIK;23;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;004;BIRAČKO MJESTO 4;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;30;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;11;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;006;BIRAČKO MJESTO 6;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;27;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;007;BIRAČKO MJESTO 7;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;36;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;008;BIRAČKO MJESTO 8;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;38;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;009;BIRAČKO MJESTO 9;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;46;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;010;BIRAČKO MJESTO 10;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;52;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;40;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;012;BIRAČKO MJESTO 12;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;21;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;013;BIRAČKO MJESTO 13;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;17;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;014;BIRAČKO MJESTO 14;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;49;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;015;BIRAČKO MJESTO 15;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;29;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;016;BIRAČKO MJESTO 16;VODOVOD I ODVODNJA D.O.O. ŠIBENIK;KRALJA ZVONIMIRA 50,  ŠIBENIK;20;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;017;BIRAČKO MJESTO 17;PROSTORIJE DJEČJEG VRTIĆA ŽIŽULA;ULICA MILICE I TURKA 4,  ŠIBENIK;13;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;018;BIRAČKO MJESTO 18;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;79;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;019;BIRAČKO MJESTO 19;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;62;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;020;BIRAČKO MJESTO 20;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;33;3;3;3;0;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;021;BIRAČKO MJESTO 21;PROSTORIJE GRAD. ČETVRTI PLIŠAC;FRA STJEPANA ZLATOVIĆA,   ŠIBENIK;17;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;022;BIRAČKO MJESTO 22;OSNOVNA ŠKOLA VIDICI - PODRUČNA ŠKOLA RAŽINE;PUT EGERA BB, ŠIBENIK;16;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;023;BIRAČKO MJESTO 23;PROSTORIJE GRADSKE ČETVRTI RAŽINE DONJE;LEPENIČKA 1, ŠIBENIK;24;5;5;4;1;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;024;BIRAČKO MJESTO 24;PROSTORIJE GRADSKE VIJEĆNICE;TRG REPUBLIKE HRVATSKE,  ŠIBENIK;22;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;025;BIRAČKO MJESTO 25;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1,  ŠIBENIK;17;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;026;BIRAČKO MJESTO 26;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1, ŠIBENIK;17;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;027;BIRAČKO MJESTO 27;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;43;6;6;5;1;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;028;BIRAČKO MJESTO 28;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;49;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;029;BIRAČKO MJESTO 29;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;47;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;030;BIRAČKO MJESTO 30;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;65;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;031;BIRAČKO MJESTO 31;PROSTORIJE PROMETNO TEHNIČKE ŠKOLE (EX EKONOMSKA ŠKOLA);KRALJA ZVONIMIRA 2,  ŠIBENIK;26;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;032;BIRAČKO MJESTO 32;KREŠIMIROV DOM;TRG PALIH BRANITELJA DOMOVINSKOG RATA 1,  ŠIBENIK;35;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;033;BIRAČKO MJESTO 33;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;26;1;1;0;1;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;034;BIRAČKO MJESTO 34;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;34;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;035;BIRAČKO MJESTO 35;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;32;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;036;BIRAČKO MJESTO 36;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;24;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;037;BIRAČKO MJESTO 37;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;25;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;038;BIRAČKO MJESTO 38;PROSTORIJE ŠPORTSKOG KLUBA POLET U ZABLAĆU;ZABLAĆE;7;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;039;BIRAČKO MJESTO 39;PROSTORIJE TURISTIČKOG UREDA JADRIJA;JADRIJA;10;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;040;BIRAČKO MJESTO 40;ŠKOLSKA ZGRADA U BORAJI;BORAJA BB;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;041;BIRAČKO MJESTO 41;PROSTORIJE MJESNOG ODBORA BRODARICA;KRAPANJSKIH SPUŽVARA 4, BRODARICA;8;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;042;BIRAČKO MJESTO 42;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;35;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;043;BIRAČKO MJESTO 43;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;21;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;044;BIRAČKO MJESTO 44;ŠKOLSKA ZGRADA U DANILU;DANILO BB;1;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;045;BIRAČKO MJESTO 45;PROSTORIJE ŠKOLSKE ZGRADE U DANILU BIRNJU;DANILO BIRANJ BB;4;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;046;BIRAČKO MJESTO 46;PROSTORIJE ŠKOLSKE ZGRADE U DANILU KRALJICAMA;DANILO KRALJICE BB;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;047;BIRAČKO MJESTO 47;PRIVATNA KUĆA VLASNIŠTVO ZVONKA MIŠURE U DONJEM POLJU;VRPOLJAČKA CESTA 8, DONJE POLJE;1;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;048;BIRAČKO MJESTO 48;PODRUČNA OSNOVNA ŠKOLA PETRA KREŠIMIRA IV U DUBRAVI KOD ŠIBENIKA;DUBRAVA KOD ŠIBENIKA BB;3;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;049;BIRAČKO MJESTO 49;U PRIVATNOJ KUĆI VLASNIŠTVO IVICE RAKA;RAKOVO SELO 67;3;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;050;BIRAČKO MJESTO 50;MJESNI ODBOR GORIŠ;LABORI 63A, GORIŠ;5;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;051;BIRAČKO MJESTO 51;U PROSTORIJAMA ŠKOLSKE ZGRADE U  GREBAŠTICI;GREBAŠTICA DONJA BB;3;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;052;BIRAČKO MJESTO 52;PROSTORIJE MJESNOG ODBORA JADRTOVAC U JADRTOVCU;JADRTOVAC BB;1;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;053;BIRAČKO MJESTO 53;PROSTORIJE MJESNOG ODBORA KAPRIJE U KAPRIJU;KAPRIJE BB;1;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;054;BIRAČKO MJESTO 54;PROSTORIJE LOVAČKOG DOMA KRKA U KONJEVRATIMA;KONJEVRATE, KONJEVRATE BB;36;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;055;BIRAČKO MJESTO 55;PROSTORIJE ŠKOLSKE ZGRADE U BRNJICI;BRNJICA BB;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;056;BIRAČKO MJESTO 56;PROSTORIJE ŠKOLSKE ZGRADE U KRAPNJU;KRAPANJ BB;2;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;057;BIRAČKO MJESTO 57;U PRIVATNOJ KUĆI VINKA PAŠKALINA (POK. NIKOLE) U LEPENICI;MRDEŽE 5;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;058;BIRAČKO MJESTO 58;PROSTORIJE MJESNOG ODBORA LOZOVAC U TROMILJI;TROMILJA BB;22;3;3;3;0;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;059;BIRAČKO MJESTO 59;PROSTORIJE PODRUČNE ŠKOLE JURJA DALMATINCA U TROMILJI;TROMILJA BB;81;0;0;0;0;0
