Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO JELIĆ;IVICA LEDENKO;GORAN PAUK;JOŠKO ŠUPE
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;011;BIRAČKO MJESTO 11;ZGRADA OŠ DR.FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;641;284;284;273;11;184;17;64;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;012;BIRAČKO MJESTO 12;KUĆA VLATKE ČOVIĆ;SURONJINA 15, KNIN;1491;639;639;634;5;394;31;191;18
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;013;BIRAČKO MJESTO 13;DOM KULTURE U VRPOLJU;FRA ANDRIJE MARIĆA 2, VRPOLJE;603;266;266;261;5;172;6;80;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;014;BIRAČKO MJESTO 14;OSNOVNA ŠKOLA DOMOVINSKE ZAHVALNOSTI, PODRUČNA ŠKOLA GOLUBIĆ;GOLUBIĆ;724;296;295;284;11;210;10;61;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;015;BIRAČKO MJESTO 15;ZGRADA NOVE AMBULANTE;PLAVNO;182;56;56;51;5;33;1;5;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;016;BIRAČKO MJESTO 16;KUĆA ĐURE RADOŠA;CENTAR 34, STRMICA;195;82;82;79;3;57;2;7;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;017;BIRAČKO MJESTO 17;ZGRADA TELEKOMUNIKACIJA-POŠTA;ZADARSKA 1, ŽAGROVIĆ;531;269;269;255;14;149;12;50;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;018;BIRAČKO MJESTO 18;KUĆA ILIJE ORLOVIĆA;LJUBAČ;51;35;35;34;1;33;0;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;019;BIRAČKO MJESTO 19;KUĆA VLASNIŠTVA VELJKA TANJGE;OČESTOVO;90;51;51;42;9;28;1;2;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;020;BIRAČKO MJESTO 20;KUĆA RADOJKE MILIVOJEVIĆ;POLAČA;161;81;81;78;3;68;2;6;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;001;BIRAČKO MJESTO 1;"""KULTURNI CENTAR U SKRADINU""";ANTUNA BECIĆA 2, SKRADIN;760;255;255;247;8;74;43;107;23
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;002;BIRAČKO MJESTO 2;PROSTORIJE OSNOVNE ŠKOLE U DUBRAVICAMA;DUBRAVICE;618;247;247;240;7;41;28;156;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;003;BIRAČKO MJESTO 3;KUĆA JOSE SLADIĆA POK. GRGE U PLASTOVU;PLASTOVO;259;101;101;92;9;14;4;64;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;004;BIRAČKO MJESTO 4;PROSTORIJE OSNOVNE ŠKOLE U RUPAMA;RUPE;487;203;203;196;7;16;31;144;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;005;BIRAČKO MJESTO 5;POSLOVNI PROSTOR DALIBORA DUJIĆA - POSLOVNA ZONA KOSA BB;IĆEVO;116;60;60;60;0;3;1;56;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;006;BIRAČKO MJESTO 6;POLJOPRIVREDNA ZADRUGA BRANITELJA BRATIŠKOVCI-BRIBIR;DOBROTE VULINOVIĆI 52 A, BRATIŠKOVCI;272;69;69;61;8;27;8;13;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;007;BIRAČKO MJESTO 7;POSLOVNI PROSTOR ZDRAVKA MARETIĆA U VAĆANIMA;DONJI VAĆANI 15;195;57;57;52;5;9;5;29;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;008;BIRAČKO MJESTO 8;"PROSTORIJE BOĆARSKOG KLUBA ""SONKOVIĆ"" U SONKOVIĆU";SONKOVIĆ;598;218;218;174;44;33;12;95;34
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;009;BIRAČKO MJESTO 9;POSLOVNI PROSTOR JOŠKA CIGIĆA U BRIBIRU (BIVŠA OSNOVNA ŠKOLA);BRIBIRSKE MOSTINE BB;274;67;67;58;9;28;7;15;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;010;BIRAČKO MJESTO 10;PROSTORIJE OSNOVNE ŠKOLE U PIRAMATOVCIMA;PIRAMATOVCI;244;66;66;61;5;5;10;44;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;011;BIRAČKO MJESTO 11;PROSTORIJE OSNOVNE ŠKOLE  U KRKOVIĆU;KRKOVIĆ;311;99;99;94;5;24;19;47;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;001;BIRAČKO MJESTO 1;TURISTIČKO - UGOSTITELJSKA ŠKOLA;ANTE ŠUPUKA BB, ŠIBENIK;725;325;325;313;12;116;14;119;64
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;002;BIRAČKO MJESTO 2;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A , ŠIBENIK;487;219;219;212;7;83;21;63;45
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;003;BIRAČKO MJESTO 3;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A, ŠIBENIK;625;281;281;274;7;123;16;74;61
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;004;BIRAČKO MJESTO 4;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;987;430;430;417;13;186;30;146;55
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;578;257;257;249;8;103;10;94;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;006;BIRAČKO MJESTO 6;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;616;221;220;213;7;76;21;64;52
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;007;BIRAČKO MJESTO 7;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;844;387;387;368;19;139;29;124;76
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;008;BIRAČKO MJESTO 8;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;705;270;270;267;3;85;15;98;69
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;009;BIRAČKO MJESTO 9;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;924;376;376;368;8;133;22;142;71
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;010;BIRAČKO MJESTO 10;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;871;367;367;347;20;130;29;107;81
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;719;309;309;303;6;150;26;85;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;012;BIRAČKO MJESTO 12;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;542;242;242;231;11;92;22;78;39
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;013;BIRAČKO MJESTO 13;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;718;327;327;319;8;122;15;134;48
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;014;BIRAČKO MJESTO 14;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;703;265;265;249;16;86;34;90;39
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;015;BIRAČKO MJESTO 15;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;947;411;411;396;15;128;41;197;30
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;016;BIRAČKO MJESTO 16;VODOVOD I ODVODNJA D.O.O. ŠIBENIK;KRALJA ZVONIMIRA 50,  ŠIBENIK;904;366;365;352;13;122;24;164;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;017;BIRAČKO MJESTO 17;PROSTORIJE DJEČJEG VRTIĆA ŽIŽULA;ULICA MILICE I TURKA 4,  ŠIBENIK;490;218;218;217;1;72;31;81;33
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;018;BIRAČKO MJESTO 18;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;1015;398;398;389;9;130;34;170;55
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;019;BIRAČKO MJESTO 19;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;1240;520;520;504;16;131;71;237;65
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;020;BIRAČKO MJESTO 20;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;959;421;421;406;15;137;50;150;69
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;021;BIRAČKO MJESTO 21;PROSTORIJE GRAD. ČETVRTI PLIŠAC;FRA STJEPANA ZLATOVIĆA,   ŠIBENIK;637;259;258;247;11;86;25;92;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;022;BIRAČKO MJESTO 22;OSNOVNA ŠKOLA VIDICI - PODRUČNA ŠKOLA RAŽINE;PUT EGERA BB, ŠIBENIK;1344;534;534;511;23;146;101;214;50
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;023;BIRAČKO MJESTO 23;PROSTORIJE GRADSKE ČETVRTI RAŽINE DONJE;LEPENIČKA 1, ŠIBENIK;699;262;262;245;17;81;38;99;27
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;024;BIRAČKO MJESTO 24;PROSTORIJE GRADSKE VIJEĆNICE;TRG REPUBLIKE HRVATSKE,  ŠIBENIK;670;264;264;252;12;99;22;85;46
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;025;BIRAČKO MJESTO 25;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1,  ŠIBENIK;491;211;211;202;9;86;11;73;32
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;026;BIRAČKO MJESTO 26;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1, ŠIBENIK;461;200;199;190;9;65;25;78;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;027;BIRAČKO MJESTO 27;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;820;363;363;352;11;131;33;123;65
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;028;BIRAČKO MJESTO 28;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;782;331;331;323;8;120;30;106;67
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;029;BIRAČKO MJESTO 29;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;663;278;278;266;12;108;22;81;55
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;030;BIRAČKO MJESTO 30;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;1138;504;504;490;14;191;45;180;74
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;031;BIRAČKO MJESTO 31;PROSTORIJE PROMETNO TEHNIČKE ŠKOLE (EX EKONOMSKA ŠKOLA);KRALJA ZVONIMIRA 2,  ŠIBENIK;699;295;295;284;11;98;20;119;47
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;032;BIRAČKO MJESTO 32;KREŠIMIROV DOM;TRG PALIH BRANITELJA DOMOVINSKOG RATA 1,  ŠIBENIK;769;312;312;297;15;97;28;121;51
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;033;BIRAČKO MJESTO 33;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;514;191;191;188;3;71;15;59;43
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;034;BIRAČKO MJESTO 34;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;551;209;209;202;7;78;20;71;33
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;035;BIRAČKO MJESTO 35;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;593;253;253;249;4;82;31;81;55
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;036;BIRAČKO MJESTO 36;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;669;272;272;262;10;105;35;67;55
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;037;BIRAČKO MJESTO 37;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;671;292;292;287;5;101;25;128;33
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;038;BIRAČKO MJESTO 38;PROSTORIJE ŠPORTSKOG KLUBA POLET U ZABLAĆU;ZABLAĆE;661;192;192;187;5;53;17;80;37
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;039;BIRAČKO MJESTO 39;PROSTORIJE TURISTIČKOG UREDA JADRIJA;JADRIJA;224;106;106;104;2;34;14;32;24
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;040;BIRAČKO MJESTO 40;ŠKOLSKA ZGRADA U BORAJI;BORAJA BB;214;110;110;101;9;10;11;75;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;041;BIRAČKO MJESTO 41;PROSTORIJE MJESNOG ODBORA BRODARICA;KRAPANJSKIH SPUŽVARA 4, BRODARICA;736;269;268;253;15;89;26;96;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;042;BIRAČKO MJESTO 42;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;847;295;295;291;4;109;27;119;36
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;043;BIRAČKO MJESTO 43;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;973;344;344;326;18;115;43;125;43
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;044;BIRAČKO MJESTO 44;ŠKOLSKA ZGRADA U DANILU;DANILO BB;315;135;135;126;9;28;15;71;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;045;BIRAČKO MJESTO 45;PROSTORIJE ŠKOLSKE ZGRADE U DANILU BIRNJU;DANILO BIRANJ BB;376;153;153;150;3;40;22;74;14
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;046;BIRAČKO MJESTO 46;PROSTORIJE ŠKOLSKE ZGRADE U DANILU KRALJICAMA;DANILO KRALJICE BB;106;48;48;45;3;4;5;35;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;047;BIRAČKO MJESTO 47;PRIVATNA KUĆA VLASNIŠTVO ZVONKA MIŠURE U DONJEM POLJU;VRPOLJAČKA CESTA 8, DONJE POLJE;236;85;85;82;3;17;11;47;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;048;BIRAČKO MJESTO 48;PODRUČNA OSNOVNA ŠKOLA PETRA KREŠIMIRA IV U DUBRAVI KOD ŠIBENIKA;DUBRAVA KOD ŠIBENIKA BB;706;325;325;312;13;105;36;138;33
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;049;BIRAČKO MJESTO 49;U PRIVATNOJ KUĆI VLASNIŠTVO IVICE RAKA;RAKOVO SELO 67;293;143;143;138;5;41;17;60;20
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;050;BIRAČKO MJESTO 50;MJESNI ODBOR GORIŠ;LABORI 63A, GORIŠ;126;73;73;72;1;11;12;43;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;051;BIRAČKO MJESTO 51;U PROSTORIJAMA ŠKOLSKE ZGRADE U  GREBAŠTICI;GREBAŠTICA DONJA BB;907;389;388;363;25;112;41;172;38
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;052;BIRAČKO MJESTO 52;PROSTORIJE MJESNOG ODBORA JADRTOVAC U JADRTOVCU;JADRTOVAC BB;156;68;68;65;3;20;9;28;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;053;BIRAČKO MJESTO 53;PROSTORIJE MJESNOG ODBORA KAPRIJE U KAPRIJU;KAPRIJE BB;271;121;121;111;10;37;8;44;22
