Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST, LOZA NEZAVISNA LISTA - LOZA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAČKA STRANKA - HSS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNA LISTA STIPE PETRINA - NLSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, NOVA LJEVICA - NL
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;037;BIRAČKO MJESTO 37;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;671;292;292;282;10;22;123;2;18;16;57;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;038;BIRAČKO MJESTO 38;PROSTORIJE ŠPORTSKOG KLUBA POLET U ZABLAĆU;ZABLAĆE;661;192;192;190;2;3;86;3;16;11;35;36
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;039;BIRAČKO MJESTO 39;PROSTORIJE TURISTIČKOG UREDA JADRIJA;JADRIJA;224;105;105;100;5;10;34;0;7;2;23;24
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;040;BIRAČKO MJESTO 40;ŠKOLSKA ZGRADA U BORAJI;BORAJA BB;214;110;110;104;6;6;77;2;7;1;8;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;041;BIRAČKO MJESTO 41;PROSTORIJE MJESNOG ODBORA BRODARICA;KRAPANJSKIH SPUŽVARA 4, BRODARICA;736;269;268;262;6;26;103;2;20;7;58;46
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;042;BIRAČKO MJESTO 42;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;847;295;295;290;5;17;127;5;23;12;65;41
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;043;BIRAČKO MJESTO 43;OSNOVNA ŠKOLA BRODARICA;GOMLJANIK 100, BRODARICA;973;343;343;330;13;23;134;3;32;12;77;49
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;044;BIRAČKO MJESTO 44;ŠKOLSKA ZGRADA U DANILU;DANILO BB;315;135;135;130;5;9;85;1;12;1;13;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;045;BIRAČKO MJESTO 45;PROSTORIJE ŠKOLSKE ZGRADE U DANILU BIRNJU;DANILO BIRANJ BB;376;152;152;150;2;13;87;4;16;6;13;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;046;BIRAČKO MJESTO 46;PROSTORIJE ŠKOLSKE ZGRADE U DANILU KRALJICAMA;DANILO KRALJICE BB;106;48;48;48;0;2;38;1;5;0;2;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;047;BIRAČKO MJESTO 47;PRIVATNA KUĆA VLASNIŠTVO ZVONKA MIŠURE U DONJEM POLJU;VRPOLJAČKA CESTA 8, DONJE POLJE;236;84;84;79;5;1;49;3;5;3;11;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;048;BIRAČKO MJESTO 48;PODRUČNA OSNOVNA ŠKOLA PETRA KREŠIMIRA IV U DUBRAVI KOD ŠIBENIKA;DUBRAVA KOD ŠIBENIKA BB;706;325;324;315;9;22;141;4;55;9;49;35
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;049;BIRAČKO MJESTO 49;U PRIVATNOJ KUĆI VLASNIŠTVO IVICE RAKA;RAKOVO SELO 67;293;143;143;138;5;12;64;2;15;5;21;19
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;050;BIRAČKO MJESTO 50;MJESNI ODBOR GORIŠ;LABORI 63A, GORIŠ;126;73;73;73;0;8;48;0;1;1;6;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;051;BIRAČKO MJESTO 51;U PROSTORIJAMA ŠKOLSKE ZGRADE U  GREBAŠTICI;GREBAŠTICA DONJA BB;907;389;389;371;18;28;212;3;23;7;76;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;052;BIRAČKO MJESTO 52;PROSTORIJE MJESNOG ODBORA JADRTOVAC U JADRTOVCU;JADRTOVAC BB;156;68;68;67;1;6;31;1;2;0;12;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;053;BIRAČKO MJESTO 53;PROSTORIJE MJESNOG ODBORA KAPRIJE U KAPRIJU;KAPRIJE BB;271;121;121;113;8;5;54;4;9;3;16;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;054;BIRAČKO MJESTO 54;PROSTORIJE LOVAČKOG DOMA KRKA U KONJEVRATIMA;KONJEVRATE, KONJEVRATE BB;297;109;109;109;0;4;56;2;10;2;16;19
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;055;BIRAČKO MJESTO 55;PROSTORIJE ŠKOLSKE ZGRADE U BRNJICI;BRNJICA BB;70;30;30;29;1;5;14;0;1;2;2;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;056;BIRAČKO MJESTO 56;PROSTORIJE ŠKOLSKE ZGRADE U KRAPNJU;KRAPANJ BB;260;75;75;73;2;6;28;0;10;4;15;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;057;BIRAČKO MJESTO 57;U PRIVATNOJ KUĆI VINKA PAŠKALINA (POK. NIKOLE) U LEPENICI;MRDEŽE 5;58;31;31;31;0;2;25;0;3;0;1;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;058;BIRAČKO MJESTO 58;PROSTORIJE MJESNOG ODBORA LOZOVAC U TROMILJI;TROMILJA BB;351;127;127;124;3;8;51;11;7;4;19;24
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;059;BIRAČKO MJESTO 59;PROSTORIJE PODRUČNE ŠKOLE JURJA DALMATINCA U TROMILJI;TROMILJA BB;250;81;81;80;1;5;30;0;15;6;10;14
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;060;BIRAČKO MJESTO 60;OSNOVNA ŠKOLA VRPOLJE, PODRUČNA ŠKOLA PERKOVIĆ;SITNO DONJE  BB;523;254;254;246;8;42;151;4;23;0;18;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;061;BIRAČKO MJESTO 61;MJESNA PROSTORIJA U MRAVNICI;MRAVNICA BB;57;34;34;32;2;3;28;0;0;0;1;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;062;BIRAČKO MJESTO 62;MJESNA PROSTORIJA U SLIVNU  (ERCEZI);SLIVNO - ERCEZI BB;99;40;40;39;1;7;20;1;4;3;1;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;063;BIRAČKO MJESTO 63;PROSTORIJE MJESNOG ODBORA PODINE;PODINE BB;27;7;7;7;0;0;5;0;0;0;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;064;BIRAČKO MJESTO 64;PROSTORIJE ŠKOLSKE ZGRADE U RASLINI;RASLINA BB;541;249;249;243;6;13;116;6;13;12;29;54
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;065;BIRAČKO MJESTO 65;PROSTORIJE OSNOVNE ŠKOLE U VRPOLJU;VRPOLJE BB;680;314;314;305;9;29;156;6;46;8;41;19
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;066;BIRAČKO MJESTO 66;PROSTORIJE MJESNOG ODBORA VRSNO U VRSNOM;VRSNO BB;77;39;39;36;3;1;30;0;4;0;1;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;067;BIRAČKO MJESTO 67;U PROSTORIJAMA VATROGASNOG DOMA U ZATONU;ZATONSKI ŽRTAVA 74 A;927;338;338;332;6;33;156;5;21;15;58;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;068;BIRAČKO MJESTO 68;U PROSTORIJAMA DOMA KULTURE U ZLARINU;ISPOD LEROJA BB;332;152;152;150;2;6;61;2;7;13;24;37
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;069;BIRAČKO MJESTO 69;PROSTORIJE MJESNOG ODBORA ŽABORIĆ U ŽABORIĆU;TUTIKOVA 1;612;258;258;247;11;19;114;9;15;8;46;36
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;070;BIRAČKO MJESTO 70;PROSTORIJE MJESNOG ODBORA ŽIRJE U ŽIRJU;TRG BB;228;101;101;100;1;9;37;2;4;5;21;22
