Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP, HRVATSKA STRANKA REDA - HSR, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ;MOST;MREŽA NEZAVISNIH LISTA - MREŽA, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNI;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARIO RAJN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, GRAÐANSKO-LIBERALNI SAVEZ - GLAS
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;007;ŠTAGLINEC;DRUŠTVENI DOM ŠTAGLINEC;ŠTAGLINEC;401;168;168;166;2;3;45;20;0;7;6;14;1;70
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;008;HEREŠIN;DRUŠTVENI DOM HEREŠIN;HEREŠIN;610;246;246;231;15;7;30;24;11;21;41;37;3;57
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;009;KOPRIVNICA;AUTO-KLUB (1) KOPRIVNICA;STAROGRADSKA ULICA 45;837;344;344;325;19;28;56;41;4;34;16;36;5;105
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;010;KOPRIVNICA;AUTO-KLUB (2) KOPRIVNICA;STAROGRADSKA ULICA 45;783;310;310;298;12;12;27;42;6;29;19;37;6;120
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;011;KOPRIVNICA;PUÈKO OTVORENO UÈILIŠTE - DOMOLJUB;STAROGRADSKA ULICA 1;526;207;207;193;14;7;30;28;2;25;15;23;2;61
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;012;KOPRIVNICA;ELEKTRA KOPRIVNICA;HRVATSKE DRŽAVNOSTI 32;481;194;194;187;7;3;34;20;2;16;14;33;1;64
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;013;KOPRIVNICA;"GKP ""KOMUNALAC"" KOPRIVNICA";MOSNA ULICA 15;441;169;169;163;6;10;14;25;0;14;15;29;1;55
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;014;KOPRIVNICA;GRAD KOPRIVNICA, VJENÈAONICA;ZRINSKI TRG 1;341;154;154;147;7;1;17;26;0;14;20;26;4;39
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;015;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAÆA RADIÆ""  (1) KOPRIVNICA";MIKLINOVEC 6A;823;364;364;354;10;17;52;52;4;39;32;59;5;94
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;016;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAÆA RADIÆ"" (2) KOPRIVNICA";MIKLINOVEC 6A;1178;582;582;562;20;19;80;52;4;58;51;118;4;176
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;017;KOPRIVNICA;DRUŠTVENI DOM MIKLINOVEC;MIKLINOVEC 99 A;1013;400;400;381;19;26;41;54;3;35;42;71;6;103
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;018;KOPRIVNICA;UDRUGA UMIROVLJENIKA KOPRIVNICA;FRANA GALOVIÆA 4;664;288;288;277;11;10;56;22;2;22;22;38;3;102
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;019;KOPRIVNICA;SREDNJA ŠKOLA KOPRIVNICA;TRG SLOBODE 7;951;437;437;428;9;15;78;53;2;45;25;58;6;146
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;020;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIÆ"" (1) KOPRIVNICA";DR. ŽELJKA SELINGERA 3A;944;383;383;368;15;11;52;43;8;35;24;64;1;130
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;021;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIÆ"" (2) KOPRIVNICA";ULICA DR. ŽELJKA SELINGERA 3A;492;188;188;177;11;13;31;19;3;15;21;15;1;59
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;022;KOPRIVNICA;VETERINARSKA STANICA  KOPRIVNICA;ULICA MIHOVILA PAVLEKA MIŠKINE 66;512;180;180;175;5;2;21;32;2;20;15;10;3;70
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;023;KOPRIVNICA;BIVŠA VOJARNA - GLAVNI ULAZ, BIVŠA STRAŽARA;TRG DR. ŽARKA DOLINARA 1;409;135;135;133;2;10;20;20;1;11;6;20;1;44
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;024;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMÈIÆ GOSTOVINSKI"" (1) KOPRIVNICA";ŠKOLSKA ULICA 5;589;224;224;214;10;9;22;32;1;17;20;35;4;74
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;025;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMÈIÆ GOSTOVINSKI"" (2) KOPRIVNICA";ŠKOLSKA ULICA 5;400;191;191;185;6;3;29;22;1;12;14;23;2;79
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;026;KOPRIVNICA;COOR PODRAVSKO SUNCE (1) KOPRIVNICA;HERCEGOVAÈKA ULICA BB;700;323;323;315;8;11;27;24;2;22;33;35;2;159
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;027;KOPRIVNICA;COOR PODRAVSKO SUNCE (2) KOPRIVNICA;HERCEGOVAÈKA ULICA BB;817;323;323;308;15;13;44;39;1;20;20;50;3;118
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;028;KOPRIVNICA;PODRAVKIN MUZEJ PREHRANE KOPRIVNICA;STAROGRADSKA ULICA BB;626;311;311;301;10;9;45;23;1;34;30;51;7;101
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;029;KOPRIVNICA;"""WEST CENTAR"" (1) KOPRIVNICA";ZAGREBAÈKA ULICA BB;793;301;301;292;9;20;54;30;2;42;17;45;5;77
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;030;KOPRIVNICA;"""WEST CENTAR"" (2) KOPRIVNICA";ZAGREBAÈKA ULICA BB;917;213;213;207;6;14;22;18;2;21;16;26;0;88
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;031;KOPRIVNICA;"GKP ""KOMUNALAC"" (1) KOPRIVNICA";VARAŽDINSKA CESTA 18;815;308;308;297;11;19;31;29;5;46;21;35;3;108
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;032;KOPRIVNICA;"GKP ""KOMUNALAC"" (2) KOPRIVNICA";VARAŽDINSKA CESTA 18;885;301;301;289;12;12;44;13;2;55;13;33;0;117
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;033;KUNOVEC BREG;DRUŠTVENI DOM U KUNOVEC BREGU;KOPRIVNIÈKA ULICA 101;592;183;183;180;3;11;31;22;2;20;17;11;1;65
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;034;KOPRIVNICA;PODRUÈNA ŠKOLA VINICA (1);VINICA 67;995;360;360;351;9;15;56;25;5;73;28;41;1;107
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;035;KOPRIVNICA;PODRUÈNA ŠKOLA VINICA (2);VINICA 67;816;272;272;267;5;31;18;39;2;36;17;31;1;92
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;036;KOPRIVNICA;"OSIGURANJE ""TRIGLAV"" KOPRIVNICA";TARAŠÈICE 21;672;314;314;299;15;13;39;34;4;18;15;45;7;124
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;037;KOPRIVNICA;"OSNOVNA ŠKOLA ""ÐURO ESTER"" (1) KOPRIVNICA";TRG SLOBODE 5;517;225;225;221;4;13;24;23;1;14;16;32;3;95
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;038;KOPRIVNICA;"OSNOVNA ŠKOLA ""ÐURO ESTER"" (2) KOPRIVNICA";TRG SLOBODE 5;486;203;203;197;6;9;27;34;0;14;10;27;1;75
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;001;KRIŽEVCI;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";ULICA BANA JOSIPA JELAÈIÆA 23;811;390;390;382;8;21;34;6;0;5;79;10;143;84
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;002;KRIŽEVCI;ŽUPANIJSKA UPRAVA ZA CESTE KRIŽEVCI;ULICA IVANA ZAKMARDIJA DIJANKOVEÈKOG 3;404;195;195;194;1;7;20;6;1;5;57;11;40;47
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;003;KRIŽEVCI;"""KOMUNALNO PODUZEÆE"" D. D. KRIŽEVCI (DVORANA I. NA KATU)";ULICA DRAGE GRDENIÆA 7;508;296;296;287;9;15;38;2;1;13;64;12;96;46
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;004;KRIŽEVCI;HRVATSKI DOM  KRIŽEVCI (LIJEVO DVORANA);ULICA ANTUNA GUSTAVA MATOŠA 4;849;359;358;346;12;7;29;5;3;12;62;10;126;92
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;005;KRIŽEVCI;HRVATSKI DOM KRIŽEVCI (DESNO GALERIJA);ULICA ANTUNA GUSTAVA MATOŠA 4;803;359;359;354;5;11;38;4;7;17;66;17;107;87
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;006;KRIŽEVCI;AUTO-MOTO KLUB KRIŽEVCI;ZAGREBAÈKA ULICA 33;848;363;363;352;11;10;31;6;6;8;65;17;119;90
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;007;KRIŽEVCI;HRVATSKI ZAVOD ZA ZAPOŠLJAVANJE - PODRUÈNA SLUŽBA KRIŽEVCI;ULICA KRALJA TOMISLAVA 20;654;312;312;301;11;14;41;5;1;5;53;17;85;80
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;008;KRIŽEVCI;RADNIK D.D. KRIŽEVCI;ULICA KRALJA TOMISLAVA 45;691;335;335;327;8;13;47;4;0;9;66;20;91;77
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;009;KRIŽEVCI;HRVATSKE ŠUME - ŠUMARIJA KRIŽEVCI;ULICA KRALJA TOMISLAVA 114;872;431;431;418;13;16;31;6;4;15;58;27;152;109
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;010;KRIŽEVCI;"GRADSKA KNJIŽNICA ""FRANJO MARKOVIÆ"" - MULTIMEDIJALNI CENTAR";TRG SVETOG FLORIJANA 14;696;368;368;352;16;24;45;5;1;10;58;14;116;79
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;011;KRIŽEVCI;DOM SV. MARKA KRIŽEVÈANINA, KRIŽEVCI;ULICA FRANJE MARKOVIÆA 33;673;260;260;257;3;7;16;1;2;12;69;17;95;38
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;012;KRIŽEVCI;VRTLARIJA KOMUNALNOG PODUZEÆA KRIŽEVCI (DRUŠTVENE PROSTORIJE);ULICA IVANA LEPUŠIÆA 1;608;236;236;226;10;7;17;7;0;6;42;17;61;69
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;013;KRIŽEVCI;VATROGASNI DOM KRIŽEVCI;ULICA FRANJE RAÈKOGA 2;609;318;318;310;8;20;41;2;4;8;44;11;90;90
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;014;KRIŽEVCI;"OSNOVNA ŠKOLA ""LJUDEVITA MODECA"" KRIŽEVCI";ULICA FRANJE RAÈKOGA 3;831;360;360;354;6;14;51;8;4;11;70;19;100;77
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;015;MALI POTOÈEC;VATROGASNI DOM MALI POTOÈEC;MALI POTOÈEC;158;77;77;73;4;11;8;3;1;2;10;1;22;15
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;016;APATOVEC;VATROGASNI DOM APATOVEC;APATOVEC;276;65;65;62;3;7;20;4;1;0;9;1;7;13
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;017;BOJNIKOVEC;VATROGASNI DOM BOJNIKOVEC;BOJNIKOVEC;173;94;94;93;1;3;15;4;0;0;10;4;43;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;018;BRCKOVÈINA;DRUŠTVENI DOM BRCKOVÈINA;BRCKOVÈINA;260;97;97;94;3;8;10;3;2;7;18;3;20;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;019;BUKOVJE KRIŽEVAÈKO;VATROGASNI DOM BUKOVJE KRIŽEVAÈKO;BUKOVJE KRIŽEVAÈKO;240;94;94;92;2;7;8;2;0;1;7;4;47;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;020;CAREVDAR;DRUŠTVENI DOM CAREVDAR;CAREVDAR;361;172;172;162;10;6;17;3;1;2;16;6;78;33
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;021;NOVI BOŠNJANI;DRUŠTVENI DOM NOVI BOŠNJANI;NOVI BOŠNJANI;63;28;28;27;1;3;7;0;0;1;4;1;10;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;022;STARI BOŠNJANI;DRUŠTVENI DOM STARI BOŠNJANI;STARI BOŠNJANI;75;37;37;36;1;1;6;1;1;0;5;1;17;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;023;DONJI CUBINEC;DRUŠTVENI DOM DONJI CUBINEC;DONJI CUBINEC;204;99;99;96;3;9;6;3;0;4;9;4;33;28
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;024;CUBINEC;VATROGASNI DOM CUBINEC;CUBINEC;240;102;102;98;4;10;17;9;0;2;20;5;19;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;025;DIJANKOVEC;VATROGASNI DOM DIJANKOVEC;DIJANKOVEC;126;62;62;57;5;2;13;3;2;0;12;2;14;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;026;SREDNJI DUBOVEC;VATROGASNI DOM SREDNJI DUBOVEC;SREDNJI DUBOVEC;166;78;78;77;1;1;13;6;1;1;6;0;27;22
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;027;ÐURÐIC;VATROGASNI DOM ÐURÐIC;ÐURÐIC;326;127;127;123;4;7;37;1;1;0;17;5;34;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;028;LEMEŠ KRIŽEVAÈKI;DRUŠTVENI DOM LEMEŠ KRIŽEVAÈKI;LEMEŠ KRIŽEVAÈKI;155;89;89;88;1;1;7;0;0;6;9;2;52;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;029;ERDOVEC;VATROGASNI DOM ERDOVEC;ERDOVEC;162;79;79;72;7;1;5;3;1;0;3;8;46;5
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;030;DONJA GLOGOVNICA;PODRUÈNA ŠKOLA DONJA GLOGOVNICA;DONJA GLOGOVNICA;347;123;123;118;5;3;53;2;2;2;18;2;17;19
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;031;GRAÈINA;VATROGASNI DOM GRAÈINA;GRAÈINA;152;76;76;73;3;2;9;5;0;1;10;3;26;17
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;032;IVANEC KRIŽEVAÈKI;VATROGASNI DOM IVANEC KRIŽEVAÈKI;IVANEC KRIŽEVAÈKI;250;88;88;84;4;6;27;2;1;1;12;6;8;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;033;KLOŠTAR VOJAKOVAÈKI;PODRUÈNA ŠKOLA KLOŠTAR VOJAKOVAÈKI;KLOŠTAR VOJAKOVAÈKI;303;83;83;81;2;2;32;3;1;4;8;2;19;10
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;034;MAJUREC;VATROGASNI DOM MAJUREC;MAJUREC;351;148;148;141;7;14;22;10;1;2;19;3;34;36
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;035;NOVAKI RAVENSKI;VATROGASNI DOM NOVAKI RAVENSKI;NOVAKI RAVENSKI;134;61;61;57;4;3;9;1;2;9;15;1;10;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;036;OSIJEK VOJAKOVAÈKI;DRUŠTVENI DOM OSIJEK VOJAKOVAÈKI;OSIJEK VOJAKOVAÈKI;133;58;58;57;1;0;3;0;0;0;2;0;27;25
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;037;PAVLOVEC RAVENSKI;VATROGASNI DOM PAVLOVEC RAVENSKI;PAVLOVEC RAVENSKI;108;47;47;46;1;9;4;1;0;0;3;2;17;10
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;038;POLJANA KRIŽEVAÈKA;DRUŠTVENI DOM POLJANA KRIŽEVAÈKA;POLJANA KRIŽEVAÈKA;275;126;126;120;6;2;8;8;3;2;15;2;53;27
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;039;PODGAJEC;DRUŠTVENI DOM PODGAJEC;PODGAJEC;172;83;83;80;3;9;11;1;2;1;9;0;20;27
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;040;SVETA HELENA;VATROGASNI DOM SVETA HELENA;SVETA HELENA;234;138;138;135;3;4;38;14;7;1;15;8;21;27
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;041;SVETI MARTIN;DRUŠTVENI DOM SVETI MARTIN;SVETI MARTIN;230;96;96;94;2;5;10;2;4;0;15;3;34;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;042;ŠPIRANEC;VATROGASNI DOM ŠPIRANEC;ŠPIRANEC;140;71;71;70;1;2;1;1;2;0;14;2;19;29
